Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5845.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5846.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5847.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5848.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5849.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5850.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5851.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5852.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5853.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5854.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5855.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5856.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5857.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5858.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5859.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5790.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5791.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5792.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5793.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5794.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_15cm_4-27-2024_Slot2-91_5824.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5825.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5826.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5827.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5828.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5829.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5830.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5831.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5832.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5833.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5865.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5866.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5867.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5868.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5869.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5870.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5871.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5872.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5873.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5874.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5875.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5876.d
P24752	P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	3129.3	3889.62	2995.64	2827.99	4215.64	2500.2	3774.36	2505.68	2977.85	3116.65	2649.45	3185.26	2949.36	3248.97	3294.31	3648.56	3374.47	3272.53	3451.3	3205.73		2000.11	2450.54	2911.17	4302.49	3485.45	3246.33	3745.53	3246.54	3500.16												
P24844	P24844;P19105;O14950	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9	6591.32	8076.21	6626.42	7449.84	7243.44	7220.31	7685.34	8118.2	8340.56	8548.99	8672.42	8840.8	8837.98	9030.69	7841.94	6608.39	7902.96	8621.66	7100.63	7670.96		8014.14	8030.73	8224.68	7082.24	6263.59	7108.53	6569.28	6192.38	7087.97												
P24941	P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2								657.256			720.68							1084.58	342.371			1805.98	682.04	1275.43		1093.07	859.035	810.333		689.322												
P25205	P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	3378.66	3339.47	3951.55	3616.39	3426.56	3304.52	3008.42	3036.29	3140.26	3743.45	4045.49	3940.5	3555.85	3280.76	3314.14	3260.36	3494.73	3476.26	3809.17	3642.84		4520.63	4614.41	4918.11	4619.2	3375.76	3078.17	3174.78	3152.95	3425.16												
P25325	P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase			1642.22						1849.17	1867.14		1548.74		1380.78		393.283			585.398				1175.47	1423.32		490.264		181.526	325.596	407.433												
P25398	P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12	7312.54	7280.72	6544.47	7786.7	7016.38	5874.75	6669.72	7328.94	6551.48	6856.76	6217.19	6754.55	5972	5431.6	6241.84	5655.64	6309.58	6499.97	6266.33	6536.65		6430.32	5810.59	5857.29	6213.12	6843.04	7149.73	5932.44	6045.15	6926.07												
P25490	P25490;O15391	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	602.314	935.903		922.044			537.554				357.539				449.526				498.774						567.588																	
P25685	P25685;Q9UDY4	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	1677.01	1594.6	1919.04	2493.46	1698.46	2283.77	2018.76	1968.07	3390.42	1702.98	2522.83	1589.07	2495.78	2561.28	2586.78	1955.73	2005.7	2032.12	1760.56	2057.96		2000.28	2101.34	1649.1	2459.25	1695.73	1846.78	1595.32	1855.94	1618.83												
P25705	P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	11246.3	11052.7	9882.28	10219.4	10786.4	10403.1	10095.5	9708.03	9685.35	9614.65	10472.6	9946.5	10655	10174	9759.21	10110.4	11099.4	9990.77	10346.6	10079		11053	9902.09	9431.61	10811.5	9911.85	9865.68	9877.02	10665.4	10042.7												
P25786	P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	4701.02	3921.97	3929.59	4754.54	5413.07	7165.22	4666.58	5385.18	6167.53	5913.46	6019.49	5490.6	5236.77	5836.49	5502.49	4576.05	5958.22	5655.15	6043.83	3600.56		4375.13	5969.36	5846.97	6071.39	5042.96	6796.46	5415.13	3810.84	5172.22												
P25787	P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	2037.09	1490.71	978.586				1512.79	2006.67	1421.64		1610.09	1467.17	2200.8	1976.63		2196.05	2069.94	2156.13	1852.16	2242.13		1855.07	1510.2	2788.06	2353.88	1951.91	1482.91	1747.64	1879.64	1672.48												
P25788	P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	3271.35	3346.2	3195.61	2435.97	2561.11	2700.88	2670.47	3089.78	2194.74	3267.59	3698.78	3446.44	2978.03	2219.93	1495.64	3247.95	3303.53	2565.98	3007.09	2493.74		4149.44	2459.49	3930.94	3195.88	2566.33	2410.1	3082.24	2732.9	2833.8												
P25789	P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	3607.12	3179.88	3014.98	2874.84	3806.54	4493.71	4626.12	3374.03	3755.62	4279.82	3802.64	3510.96	3285.48	3282.83	3590.07	3296.58	3566.56	3168.61	3598.8	2984.57		3247.43	3063.33	3333.82	3268.74	2505.71	3304.78	3839.37	3510.59	3699.62												
P26006	P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	1320.69	1441.77	1480.79	1479.33		1444	1987.04	1456.89	1060.19	1398.76	1379.98	1565.18	1358.55	1222.59	1663.01	1132.74	2133.29	1694.25	1327.44	1394.12		2119.5	1467.34	1087.11	2060.39	1174.64	2540.69	1684.53	2113.34	1199.09												
P26038	P26038;P15311;P35241	MOES_HUMAN	MSN	Moesin	11098.4	11234.1	11605.2	11989.6	11900.5	11718	11296	11602.4	11724.8	11109.3	12162.5	12364.3	10664.8	11876.2	10843.1	10758.5	11787.6	10752.1	12471	10877.8		12373.6	12783.8	11605.5	12435.8	11778.4	11263.5	11435.5	11572.2	11637.2												
P26196	P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6																1014.62	1284.82	2910.42	1060.03			2491.35	1712.77	2743.62	1936.09	997.485	1259.43	1065.68	1013.36	1124.72												
P26232	P26232	CTNA2_HUMAN	CTNNA2	Catenin alpha-2																579.177		658.128		570.804		1140.5	948.228	1283.42	1020.55		490.657	444.547	386.168	486.111												
P26358	P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1							1444.82		1466.27	1075.96			428.281	921.975									877.357	826.868	409.513																	
P26368	P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit			563.66	992.716					645.832			1203.28			819.969	1821.68	1843.66	1988.77	1716.99	1582.92		2237.57	2022.41	2269.33	1808.87	1548.97	1443.93	1414.42	1349.23	1135.54												
P26373	P26373	RL13_HUMAN	RPL13	60S ribosomal protein L13	12390.3	11358	12398.2	12933	11672.3	10739.2	10208	12762.2	11408.5	11390.4	15364.7	12638.1	14078.6	13732.4	12891.1	11562.6	11071.1	10683.5	10764.1	11438.2		12332.3	12788.1	10203.6	11640.4	13114.3	12870.2	13034.2	13437.2	13113.7												
P26440	P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	1677.29	2049.78	882.095		1452.01	1277.89	1509.3	1152.82			1141.87	1335.59	594.384	1154.47	1655.93	1636.04			1221.39	1560.38		1169.77	2484.66		1504.15		1077.06		2336.15	1019.27												
P26447	P26447	S10A4_HUMAN	S100A4	Protein S100-A4	18944.8	16381.9	18226.6	22396.5	19926.7	23050.6	20670.2	20171.1	20397.5	20859.1	17125.6	19640.5	20270.9	22767.6	21840.5	21454.2	21477.1	21787.4	19091	21107.5		17054.6	18361.4	20299.8	17930.7	19955.5	16724	20571	17013.8	18585.7												
P26583	P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	2358.12	2856.57	2490.14	2766.04	3096.47	2443.84	2929.78	3037.31	2619.11	2498.46	2150.66	2254.44	2324.36	2402.58	2829.48	2241.3	2627.91	3223.21	3138.23	2704.43		2770.61	1917.99	2034.57	2944.75	2466.53	2137.32	2341.55	2844.55	2547.31												
P26599	P26599;O95758	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	4398.46	5184.5	4895.01	5169.94	4197.25	5476.44	5775.34	4711.2	5620.84	5177.86	5271.96	4466.94	4760.74	5803.19	5472.46	5307.03	5263.29	5267.43	5495.42	5832.55		5198.25	5571.25	4662.87	5038.68	4702.79	4596.06	5520.23	5063.74	4272.39												
P26639	P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	6370.08	6264.4	6893.59	6292.11	7002.46	6454.59	6706.14	7289.44	6827.7	7203.99	6628.7	7179.98	6672.73	7394.65	6889.89	7094.22	6114.72	6856.67	6407.29	6648.1		7463.11	6724.82	7034.22	6509.41	7058.78	6703.63	6451.66	6778.34	6808.63												
P26640	P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	1650.55	2118.81	1922	2721.64	1887.88	1869.1	1554.29	1694.37	1480.43	1271.35	1323.16	1541.06	2034.27	1948.16	1643.05	1895.37	1642.45	2007.89	1607.05	1796.06		1040.45	1550.51	1723.49	2141.27	1262.8	1406.35	1009.79	1182.96	1536.14												
P26641	P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	8299.34	9221.49	9344.97	8439.08	8514.05	9476.23	10486.4	9844.16	8851.28	10390.9	9688.99	12615.6	10764.4	9951.38	10771.5	9671.41	8738.8	9967.16	10081.6	9767.83		10047.7	10102.2	8461.67	9485.69	10216.7	9194.11	9675.2	8600.91	9719.31												
P26885	P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2		2044.24				1988.5				2326.31				3534.26	2037.17	1759.42	2233.18	2110.79	1643.76	2202.71		1674.14	2277.79	1456.61	1976.34	2402.39	2265.75	2164.54	2572.56	2378.13												
P27105	P27105	STOM_HUMAN	STOM	Stomatin	2658.83	2819.51	2674.5	2843.2	2506.15	3379.43	2817.27	2550.35	2060.65	2475.56	2817.51	3150.17	1925.23	3233.55	2518.95	1900.34	2019.36	2632.08	2519.19	3335.01		3583.47	3572.15	2344.28	3494.74	3439.45	2981.78	1995.02	3070.12	3004.44												
P27144	P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial							1831.72	1393.1			1339.52	1034.12	1449.95	819.271									1838.97	2235.12	1653.84	1407.96																
P27348	P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	16279.4	17503.2	16534.3	19164.9	16538.8	18991.6	17867.4	17280.3	17030.7	16276.5	16505.8	17160.1	17993.3	18749.4	17087.2	16918.8	15218.7	17592.4	15097.6	14875.2		18396.8	17469.7	19294.5	16255.8	19482	15769.3	16198	19946.7	16038.9												
P27635	Q96L21;P27635	RL10_HUMAN	RPL10	60S ribosomal protein L10	10360.4	8194.2	10343.6	9931.63	8617.33	11068.7	10488.2	9834.96	8540.82	8132.24	9766.21	9744.76	9591.71	10435.7	9145.68	10725.3	9262.76	9831.41	7133.43	8841.61		9369.3	10410.1	8100.82	9293.15	8428.25	7681.6	9918.92	10947.6	9901.94												
P27694	P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit				884.49		477.593	786.164	584.672	670.653	712.023		1100.65	680.092	654.972	516.583	761.853	1118.52	1107.94	941.547	1187.26		1264.18	1355.6	1394.95	1125.87	923.796	1057.55	1016.65	796.619	621.557												
P27695	P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	4725.56	3769.07	4939.24	3923.76	4378.75	6581.74	4059.47	5930.99	3821.59	4536.12	5122.14	5134.27	4622.44	4579.24	4322.57	4912.78	3360.96	2914.92	4269.19	3033.97		4147.19	4868.41	4986.14	4860.29	5599.42	4333.75	5506.75	3816.48	3205.69												
P27708	P27708	PYR1_HUMAN	CAD	CAD protein	1029.52	1620.66	1258.4	1833.8	1520.89	1857.51	1574.53	1238.78	1246.55	1410.08	1361.77	1065.64	2104.78	2021.11	1575.21	1606.35	1619.72	1379.54	1579.63	1721.19		1683.46	1927.43	1851.66	2040.69	1731.27	1616.46	1421.91	1344.85	1598.96												
P27797	P27797	CALR_HUMAN	CALR	Calreticulin	10345.6	10391.8	10632.7	9982.42	10111.4	9811.49	10924.6	9407.51	9808.97	10594.9	9776.8	10981.8	10636.5	11127.7	9700.5	9163.51	8950.52	9876.11	9226.45	9096.16		10340.9	9399.52	10260.6	10293.3	10474.9	9200	10688.8	9541.26	10377.6												
P27816	P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	3085.44	2765.43	3608.01	3397.58	2862.42	3526.06	3381.8	3279	3707.51	3345.13	3553.81	3434.57	3269.87	3409	3660.91	3557.65	3241.08	3660.29	3422.16	3105.78		3290.2	3207.59	3406.67	4013.14	3297.07	3425.25	3509.09	3635.55	3902.09												
P27824	P27824	CALX_HUMAN	CANX	Calnexin	5765.55	6548.67	6618.92	6729.68	6105.86	6327.26	5923.14	6603.78	6180.2	6391.08	7029.64	5986.77	5471.62	6640.18	5898.91	5825.96	6143.85	6338.67	6550.93	6415.53		7459.35	6400.06	6321.66	7302.14	7365.83	6342.12	7311.42	6588.9	6454.65												
P28066	P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	4503.56	4616.45	3137.27	5020.5	4050.09	4491.64	3554.08	3227.83	4221.27	3431.5	4941.78	4467.7	4043.5	4141.52	3374.68	4087.41	4307.64	4048.08	3848.08	4763.09		5119.1	5358.95	5474.56	5367.91	4564.81	3837.87	4314.61	4488.86	3971.21												
P28070	P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	1461.17	1364.45	2673.22	1351.73	1515.9	2345.5	1326.14	2267.16	2214.23	2397.04	2304.58	1988.84	1427.6	1886.88	1860.47	2815.81	1646.79			1772.74		3803.54	2804.62	2479.9	2524.48	1295.28	2971.51	1796.36	1968.15	1938.23												
P28072	P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	4010.06	3121.03	2728.74	2944.58	2544.02	2381.72	3457.48	3519.89	2511.53	3862.2	3972.5	3956.52	3621.52	3802.38	3289.73	3351.6	3662.67	4044.37	3759.76	4441.71		4466.55	4552.88	3299.32	4062.58	4106.76	3228.21	2605.62	3389.07	3625.2												
P28074	P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	1668.92	2192.33	1249.79	1527.01	1747.48	1702.22	2241.96	1647.25	1224.1	1341.79	1434.04	1363.29	1589.04	1478.4	1458.3	1802.4	1319.71	1931.02	1611.57	1971.11		2586.98	1932.35			1648.62	1326.23	1822.2	1994.85	1628.1												
P28288	P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3								790.372						790.195																												
P28290	P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2			459.66									308.251		334.731	294.62													193.976														
P28331	P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial			741.777	973.579		717.208	827.84	684.477	982.874	831.49	754.362	1009.05	947.503	1326.3	1159.01	1170.12	1317.55	1064.19	1114.13	824.837		1858.02	1177.83	882.108	1625.7	780.94	845.191	668.232	995.651	879.395												
P28340	P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	6461.41	6057.32	7255.81	6955.17	6366.15	7574.83	7922.81	6498.66	7042.83	6976.66	6513.15	7005.78	6577.28	7748.76	8213.94	7126.56	6215.23	5281.12	8381.58	6829.9			4321.08	6050.03	4524.81	6692.99		7071.94	976.787	5379.67												
P28482	P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	1472.81		1309.79			977.729	1550.02	1885.58	1837.43	1058.61		861.515	1255.56		832.573			1749.54		1500.09			809.508	2311.62	2235.55		1281.85	1127.93	1400.35	1213.52												
P28799	P28799	GRN_HUMAN	GRN	Progranulin															891.539														1132.93													
P28838	P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	507.58	935.12	1005.93	853.715	1591.08	1280.54	754.063	2336.8	519.242	643.484	1907.93	805.289	599.498	904.968	378.078	1554.37	1001.61	954.901	1155.58	1919.92		1100.22	639.752	992.498	1227.85	1457.23	1240.08	1165.75	1347.48	397.017												
P29034	P29034	S10A2_HUMAN	S100A2	Protein S100-A2	1684.21	1746.08	1435.2	952.137	2514.16	1700.8	1766.6	1555.41	1196.01	1478.97	1359.57	1476.24	1533.81	1924.24	1178.92	1344.33		1401.81	1940.78	1775.4		1551.47	2183.73	1299.14	1448.36	1295.69	1654.38	1565.51	1180.37	1885.76												
P29144	P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2						1527.19	922.148	1274.36									1093.04							539.368	746.027	1092.51	447.736	460.43	421.605	741.376												
P29372	P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase																											301.903		618.387													
P29401	P29401	TKT_HUMAN	TKT	Transketolase	38509.9	38201.2	39313.1	36878.7	40325.8	37456.1	39630.8	39543.1	36819.1	37177.5	38572.1	39053.2	38502.4	39307.5	37432.8	38259.8	38020.6	42039.8	38292.7	38738.3		36498.8	38730.2	39340.3	36761.2	40237.5	38156.4	38757.8	43583.6	38009.8												
P29558	P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1		1168.59	1110.7		1662.7			1368.62		1461.11	1229.67	2570.74	1537.97		1540.1	353.282		940.667	169.949			445.502	1838.84	755.079	316.045		353.959		314.283	421.063												
P29692	P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	5756.76	6137.94	5695.07	4986.43	5839.01	6573.06	5765.31	6558.83	5821.44	6451.16	7033.96	6846.55	7219.2	8230.85	7645.93	8032.18	6278.4	7553.18	6352.12	5975.62		7203.5	7842.92	8678.37	6241.61	7455.63	7149.17	6717.19	6457.53	7292.78												
P29966	P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	2234.76	2784.37	2087.74	2334.9	2554.75	3077.19	2636.88	2243.8	2537.97	2378.07	2551.16	2249.8	2849.43	2082.29	2521.54	2835.38	2516.82	1931.78	2035.78	2082.58		2238.78	2537.71	2911.53	2799.07	2623.23	2482.52	2847.11	2520.16	2557.99												
P29992	O95837;P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	2748.19	2028.01		2404.98		2472.35			1660.7				2004.68											343.297	541.966	256.896		193.602	176.89													
P30040	P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	3110.06	3310.29	3387.77	3399.99	4138.85	3697.05	4322.53	3414.79	3253.52	3371.83	3451.85	3675.04	4363.26	3265.21	3400.42	4317.7	4484.49	3888.54	4088.53	3335.8		4267.73	4424.08	4506.31	5959.17	3230.8	4861.9	4122.08	3938.63	4014.19												
P30041	P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	12851.9	11168.2	10860.1	13091.6	11269.9	12799.7	11989.4	11703.8	11583.6	11425.9	10781.2	10957.2	12206.5	11945.3	9692.53	12886.7	13571	12743.9	13151.1	13971		12182.4	14226.7	14580.9	14183.2	12627.6	11630.5	11059.4	13020.9	12134.4												
P30043	P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)		484.249				754.545				388.468		546.988	676.143	424.279	615.267	1386.36		627.706		380.468		1558.75	1141.54	1151.86	2024.75	524.727	916.493	484.069	723.637	395.093												
P30044	P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	5060.32	6319.1	6428.48	4746.06	4626.73	5878.72	5233.04	4565.99	4301.57	4996.25	4551.42	4313.3	5268.13	5888.17	4449.46	4881.68	4927.55	4723.47	4736.87	4840.14		6962.3	7512.04	6186.13	6795.35	5916.87	5270.55	5134.82	5217.89	5450.66												
P30046	A6NHG4;P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	5608.38	6573.99	5141.67	5727.76	7480.98	4378	5459.79	6550.39	5418.25	5423.31	5272.56	5308.74	5117.67	6251.82	6457.78	5264.64	6543.2	6085.22	4528.39	6751.11		7277.1	5532.85	6837.7	7188.13	6594.01	5443.68	4917.59	6321.43	7175.86												
P30048	P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	4995.31	5442.59	5121.4	5203.32	6008.65	6971.96	5771.16	5555.64	6342.73	5957.03	5360.7	6334.67	7337.61	5503.96	5475.83	5025.51	4777.35	6427.51	5093.72	5114.55		7430.22	4737.71	7168.61	6560.69	6498.36	5324.67	6880.19	6666.86	5382.36												
P30049	P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	4200.25	3938.96	4339.56	4079.25	5055.53	4290.11	4331.9	3778.32	5816.97	3977.68	4157.06	4213.62	3783.1	4558.42	3610.7	4310.09	3890.21	4141.52	3428.64	4480.96		3489.98	3520.09	2358.67	3957.11	2833.21	3991.14	4482	3983.26	3157.31												
P30050	P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	5935.5	5352.09	5305.3	5348.28	5614.38	6084.5	6618.55	6508.7	6332.03	5891.21	5494.25	6069.66	5904.78	6265.23	5187.67	5966.75	5425.96	5625.26	5435.22	5946.65		5261.16	5553.64	5373.06	5546.19	5976.48	5924.42	4953.63	6212.9	5655.88												
P30084	P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	2498.76	1930.4	1595.25		3269.19	2231.96	2498.52	2199.6	2068.88	2593.42	1840.62	1963.97	2455.5	2229.63	2493.65	2775.42	2409.09	2694.23	1978.29	2420.86		2636.26	2751.06	2581.34	3203.38	3177.59	2569.47	2584.18	2344.23	2439.06												
P30085	P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase		2829.41	2782.36	2042.42		1136.29		1431.26	2816.95		2459.24	2342.05	1638.14	3581.37	3547.09	2538.34	1369.41	2376.14	1492.56	1704.32		2677.09	2634.21	2746.11	1805.74	2742.92	1933.99	1710.66	1247.15	1589.98												
P30086	P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	10033.1	8712.63	9884.98	9391.67	9177.42	9559.94	9277.12	8944.43	9971.85	9347.59	9398.88	9221.7	9284.8	10466	9585.08	9285	10352.7	10332.2	9502.31	10045.5		9401.02	8502.88	9363.48	9706.89	9063.54	8771.8	9006.71	10092.8	8924.3												
