Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5628.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5629.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5630.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5631.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5632.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5633.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5634.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5635.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5636.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5637.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5639.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5640.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5641.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5642.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5643.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5659.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5660.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5661.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5662.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5663.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-21-2024_Slot2-91_5664.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5665.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5666.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5667.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5668.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5644.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5645.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5646.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5647.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5648.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5649.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5650.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5651.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5652.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5653.d
P28074	P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5						3597.62	3221.68	1706.07	2022.26	3531.94	2438.1	2591.72	1983.36	3040.27	2662.14	2705.96	2861.02	2427.6	2823.9	2871.87	2825.75	2396.05	2443.24	2823.71	2479.71	1928.92	2695.41	2219.09	2238.09	2463.89	1838.77	1792.59	1789.21	2487.88	2959.77
P28288	P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3							449.734	499.678	1280.2	939.61	1396.5	735.345	638.089	560.217	1058.9	783.269	1201.86	375.608	964.342	1311.58	603.326	964.997	1320.71	877.028	1053.95	888.291	212.471	936.69	567.084	1305	622.599	543.312	797.86		391.63
P28290	P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2												1078.34		1048.88		370.399	356.972			881.8		452.7	773.534			672.778					792.614	957.914	571.203		847.015
P28331	P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial						1938.85	1635.71	1243.52	1956.16	1803.8	1158.19	1591.76	1756.78	1734.08	1242.84	1814.44	2111.45	1511.98	1524.37	1758.28	1371.48	1314.55	1544.69	1618.88	1745.97	1343.26	1256.15	991.284	1585.45	2047.86	1492.88	1133.66	1688.22	2198.64	1144.28
P28340	P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit						7773.55	16360.4	15592.6	12375.1	11899.6	11148.7	9304.47	19635.4	10980.8	10015.6	9104.57	8875.12	8031.77	9202.75	9242	12945.1	11670	9898.73	10947.1	9759.09	8028.08	12273.6	12226.6	11411.8	5211.7	11231.6	11847.4	15089.9	11241.4	10690.8
P28347	P28347	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1											317.55	1741.69		466.753	362.502								994.556											921.566	
P28370	P28370	SMCA1_HUMAN	SMARCA1	Probable global transcription activator SNF2L1																							1060.51	993.3				608.574		1116.31					
P28482	P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1						3406.34	2884.2	3000.88	1868.75	2593.58	2088.14	1948.86	1638.62	2097.34	1899.57	1705.95	1796.67	1955.28	2000.11	2563.3	2032.78	2017.44	3025.26	1256.03	1904.07	1754.67	1818.33	1914.43	953.2	1762.79	1575.1	2251.8	2458.71	2014.14	2386.53
P28799	P28799	GRN_HUMAN	GRN	Progranulin											1188.88		1791.46							1067.03	270.851				213.546				1840.95		476.74		850.217	744.452	
P28838	P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase						531.319	1686.69	1413.32	2718.15	1150.91	1464.85	1325.35	937.787	1173.5	1509.72	1294.24	1392.64	1350.75	1688.82	1350.55	1050.42	912.449	1039.41	1098.47	1030.22	1147.83	1204.48	1203.84	1789.79	920.055	1774.78	1362.28	1111.29	1265.5	1145.48
P29034	P29034	S10A2_HUMAN	S100A2	Protein S100-A2						2408.98	3596.89	2588.13	2198.93	2553.43	4261.21	3721.05	2882.65	3277.6	3464.51	3482.45	3093.41	4238.01	2717.63	2535.53	2906.36	1927.18	2564.37	2697.14	2120.03	3407.08	2760.04	2654.06	3812.79	3807.55	2380.74	3097.45	1980.37	2600.11	2461.62
P29084	P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta								407.2				375.51	745.616	247.716		318.878		518.963			287.672		608.59	603.101	423.557										
P29144	P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2						1519.66	1362.38	2073.87	3190.97	3612.85	1009.91	1481.67	1367.44	1448.8	1030.32	740.639	1069.7	1904.75	1333.97		1722.93	2120.17	1680.5	1421.48	2295.25	1113.49	2968.57	1481.59		1789.32	1104.68	2387.55	1571.08	1402.82	2176
P29218	P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1							949.079															1135.16		537.77		1485.24		1010.65	519.963	1214.03	1136.02	1095.3		1052.19	870.069
P29372	P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase							199.155		583.583		713.157	498.479	137.51	472.734		292.056	1005.2	720.002	638.653		583.658	583.806	461.661		607.729				880.113	520.907		256.424	319.746		381.628
P29400	P02462;P29400	CO4A5_HUMAN	COL4A5	Collagen alpha-5(IV) chain																146.925	408.61				403.306														
P29401	P29401	TKT_HUMAN	TKT	Transketolase	2.82949e+06	2.1643e+06	2.05929e+06	1.66816e+06	1.96379e+06	65150.8	62457.8	59616.8	63722.5	58514.6	67194.8	75648.7	73507.5	74424.2	73970.3	67947.9	73611.5	75791.8	74303.4	79056.2	75576.9	72801.8	69851.5	75388.3	75393.9	75176.1	72925.8	76892.6	73406.4	72701	71886.8	74009.5	65991.1	65222.3	72508.4
P29558	P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1							678.807			530.087		335.543	442.8		442.848	273.899		635.274	242.81	181.904	489.726	444.069		233.027	302.95	269.854	786.416		337.003			387.391	651.854	520.65	
P29590	P29590	PML_HUMAN	PML	Protein PML						451.596					697.762					317.693			328.189						287.801				189.709		459.564		157.075		
P29692	P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	581875	449964	562358	421530	360459	23468.2	22192.8	20270.4	20676.3	21809.9	22574.2	21734.2	23153	21314.8	20721.8	22273.9	20440.3	21134.7	22071.4	21544.6	22370.4	20833.7	22047.7	20681.7	21499.4	24583	21274.3	24047.6	22188.7	23803.9	22489.6	23970.9	23263.9	24285.4	20857
P29966	P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate				493938	88334.7	3655.6	3822.65	5344.93		6989.06	2817.73	3311.21	3653.91	3295.04	3173.28	3105.36	4127.61	3096.41	4103.47	4177.74	3752.74	3186.1	4021.03	4298.22	4188.9	4120.16	3167.02	4046.72	4163.09	4108.8	3684.57	3868.38	3207.42	3373.45	3958.32
P29992	O95837;P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11												1362.32	658.79	653.037	2446.73	334.176			2818.49	1785.03	1532.4	1599.44	1469.68	1678.85	1758.53			1837.47			1595.45	1932.63	1166.17	1155.1	
P30040	P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29		131640				9856.22	8298.65	9840.73	11592.3	7206.15	8094.47	9039.63	8069.82	6734.3	8869.17	6359.9	9017.99	9073.06	7341.85	9828.46	8209.95	8631.53	8146.69	7180.41	9683.96	9229.7	8443.17	9154.92	7985.53	9345.8	7775.8	9097.52	9671.35	8960.73	7003.37
P30041	P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	477609	566004		1.59765e+06	475166	35525.8	36384.1	37235	32623.7	34030	34430.5	38228.9	30595.9	34482.9	39504.6	31208.1	36074.6	35333.1	35203.1	33783.9	38481.6	34423.8	32755	34684.7	38466.5	36378.4	41439.6	33182	38352.6	37231.4	44025.3	36129.2	39541.7	38366.7	33566
P30043	P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)											1533.9	1364.26	1045.05	1351.49	2224.39	604.159					987.746	1923.58	1067.82	1204.11	1654	1214.43	1370.07	1156.25	1104.77	901.955	695.241	895.523	1674.52	878.826	799.897
P30044	P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial						13283.7	15731.5	13739.5	12485.1	14866.3	12914	13449.9	13198.8	11515	11361.6	15259.2	14912.1	12056.3	14854.8	11533.4	11955	12608	13576.9	14303.1	13453.9	11875	12217.2	12031.2	11438.9	11747.5	11263.9	12639.7	13690.8	12646.3	13310.5
P30048	P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	208576	101470		114347	151480	4200.7	4537.69	5123.2	4684.86	5968.32	8667.75	8375.21	7557.62	7840.03	7851.83	8059.57	7266.33	7810.29	7222.71	6768.28	8158.46	7875.66	8757.27	8169.58	8003.36	8409.93	8027.16	8539.34	8164.09	7699.14	6933.02	8441.08	7468.36	6512.37	8729.58
P30049	P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	145344	81947.5			119728				5048.84	5839.29	6066.71	5018.82	5029.66	5840.88	5371.08	6018.57	6403.94	6072.84	6271.56	6222.81	5145.71	6192.13	6462.33	5783.88	5980.02	6373.08	5975.69	5940.94	5992.37	5996.17	6539.4	6082.34	6919.29	5036.81	6509.6
P30050	P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	241804	144128	469803	266479	186759	16804.7	11333.6	14985.4	15167.8	17515.9	14819	16787.4	14891.7	14460.3	12580.8	16952	16417.8	14980.2	17970	16048	16122.1	16506.5	16689.6	15924.5	14826.9	16619.7	14974.1	15401.8	15517.5	15845.5	14907.9	14748.8	15094.3	15102.4	16987.7
P30084	P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial		119339	110179			3205.48	3730.9	3467.22	3540.93	3900.24	4388.99	3714.97	4097.43	3389.84	3473.46	4356.32	3083.34	4281.42	3654.17	3930.09	4012.36	4389.25	3334.46	3685.48	3783.76	2972.11	3964.73	2822.47	3143.05	4268.28	3267.52	4103.02	3006.33	3149.67	3081.77
P30085	P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase						3306.68	2749.12	2784.54	2907.11	3613.77	3035.97	1775.83	2504.54	2192.84	2533.56	2046.81	1810.5	1602	2880.02	2211.96	2223.14	2389.71	2927.42	2488.6	2209.45	2313.07	2828.6	2344.9	1792.37	1755.57	1850.15	1890.95	1475.72	2618.51	2318.85
P30086	P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1			688671			13843.7	17685.8	17467.6	19153.4	17679.2	19196.1	19643.1	16960.8	20763	17851.1	19185.2	17948	18708	21721.2	18221.2	19624.8	19352.6	19693.2	21336.5	18342.2	20629.7	18357.6	20051.8	17524.2	19600.8	17688.6	18532.4	18199.4	19514.6	18339.2
P30101	P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	573952	465561	532086	344368	366308	19688.7	18365.4	19341	20456	22111.4	20781.1	21543.6	20347.4	20361.6	21366.2	20984.3	21121.9	21308	21676.8	20006.7	20505.7	20742.1	20602.5	20848.3	20935.6	20363.5	20741.5	21069.1	19172.4	21009.4	19124.8	21788.9	20628.9	22416	21319.3
P30153	P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform		116797	101218			3739.96	4357.13	3865.84	3768.04	4869.36	5013.59	5260.31	4848.6	4652.52	3862.21	4751.4	5649.12	3487.81	4992.76	3953.75	4337.08	3493.06	3734.96	3758.69	4230.72	3762.2	3808.68	4253.84	4159.69	4729.92	3594.97	3410.1	4395.36	4483.27	4597.62
P30260	P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog								458.525					540.091		483.892			757.904		601.45	728.846	484.348		748.962	267.366	896.883	633.205	811.817				1253.61			
P30281	P30281	CCND3_HUMAN	CCND3	G1/S-specific cyclin-D3																184.907							684.679					405.344	231.125			568.995			812.658
P30405	Q9UNP9;P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial					882983	1159.88				1414.13	331.422	1610.44		1124.87			1357.83	445.975	1357.96	732.716	1025.84	557.254		167.694	183.334		1722.23								
P30408	P30408	T4S1_HUMAN	TM4SF1	Transmembrane 4 L6 family member 1																					1083.64			831.321								1035.06		314.892	
P30419	O60551;P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1						3530.49	3369.35		3079.43	2905.94	1504.94	2433.33	1337.37	1822.8	1510.08	2192.08	1171.42	2223.76	2714.27	1394.62	1820.81	2163.67	1625.14	1634.73	1709.45	1817.67	1482.02	1464.54	1918.44	2670.53	1568.72	1933.73	2686.01	2479.99	1836.75
P30519	P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2									877.645		512.102				975.495								619.186	572.578		569.844					549.442				
P30520	P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	205758					4100.06	3747.12	5224.57	3078.82	4003.97	4201.38	3346.56	3761.16	3466.24	3362.95	2013.25	2277.32	4017.01	3494.69	2619.75	3334.44	4163.54	2662.94	3378.1	3185.98	3189.45	2858.83	3931.81	3019.58	3554.43	3064.83	4434.65	3015.35	3548.61	2715.25
P30530	P30530	UFO_HUMAN	AXL	Tyrosine-protein kinase receptor UFO											297.899	472.639	669.205			865.31	674.885	983.466		807.57	502.453	553.565	510.371	615.508		775.569					448.969				611.757
P30533	P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein						1978.77		1266.29		2113.78	1569.34	1509.44	1715.35	1714.97	1621.43	1714.07	2139.61	1698.38	2298.56	1441.47	1389.93	1683.82	1888.3	1790.64	1438.64	1608.94	1606.24	1704.51	1033.18	1378.82	2388.36	2012.85	1648.78	1929.29	1359.15
P30536	P30536	TSPO_HUMAN	TSPO	Translocator protein													697.192		1644.93								1119	1040.71		840.407			1733.24		1504.79				
P30566	P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase						1099.75	921.117	774.951	1757.49	1797.54	968.124	1030.61	994.957	1273.57	994.839	1103.3	1366.9	1418.36	1134.22	1177.99	1191.71	1294.5	1164.15	1017.32	930.634	1011.75	1185.14	1212.63	1224.39	1134.93	1485.14	1014.37	1694.68	1207.2	1297.27
P30622	P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1						1582.09		1022.43	800.883		1403.78	867.899	614.842	588.193	1034.98	696.27	851.393	1105.08	1036.88	821.244	820.539	1269.48	1052.15	850.271	982.267	861.344	981.742		872.347	756.853	749.557	637.403	1155.28	991.59	1054.4
P30626	P30626	SORCN_HUMAN	SRI	Sorcin	341448					7495.87	6173.29	6391.66	5784.25	7469.7	6067.33	6226.39	6035.81	6340.41	6263.28	6345.33	8025.82	6354.85	7160.16	6840.07	6556.58	6862.87	4977.3	5744.81	6801.7	5662.55	6117.91	6761.81	5792.7	6430.61	6399.21	7442.22	6478.86	6232.99	5934.55
P30740	P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor						952.455		1328.94	1109.23	1023.79	1067.4	897.831	1014.32	702.159	598.428	817.853	823.974	391.653	1327	854.416	1055.96	764.045	814.219	616.72	534.486	851.444	517.166	1013.28		682.354	589.855	1156.79	792.791	560.09	786.573
P30837	P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial						3755.64	4022.17	2066.51	3966.96	1951.68	3610.43	2610.39	3848.87	4303.94	3686.04	3620.72	3379.53	3072.54	2946.56	2646.34	3591.88	4016.17	3351.71	3121.92	3899.62	3992	2543.51	3598.16	3452.52	2890.26	2653.16	4123.56	2475.78	3690.26	3360.28
P30838	P30838	AL3A1_HUMAN	ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring								284.938	892.249		1343.74	2581.15	566.092	852.93		344.045	760.042	1184.61		1389.89		515.928	761.306		632.071	2328.92	659.31	1415.19	503.275	2288.18		280.731			
P30876	P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2						2141.97	2223.63	1653.04	1007.5		1142.45	929.163	1493.54	965.511	880.622	1193.29		845.214	1096.46		670.565	466.754	1693.18	810.605	1043.89	931.945	1083.47	1129.43	801.687		751.457	986.414	1330.42		456.906
P31040	P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	310074	204310	219608	153608	100395	6519.51	6431.98	7335.7	5119.15	4991.73	5658.34	5034.06	6921.92	5582.58	6873.88	6434.42	6332.81	5827.54	6975.13	6114.02	6302.33	5881.4	6496.51	6503.6	6445.03	6301.57	6116.73	5975.45	5414.27	5310.91	4724.7	5395.31	5662.44	5257.67	5753.21
P31150	P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha						1374.54	1090.55	1530.47	1248.97	1749.5	1312.1	1531.85	846.408	864.031	995.791	1421.63	1156.62	909.513	1119.51	1201.16	1509.12	1319.46	1199.13	1229.81	1211.91	1332.16	796.309	1175.38	838	1107.33	1501.79	963.678	1312.29	1229.42	1670.1
P31153	P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2						1902.65	1921.1	2240.68	2008.39	2100.42	2350.42	2566.88	2505.29	2649.62	2705.64	2462.98	2981.57	2363.11	3044.3	2631.16	2591.18	2482.67	2555.94	2838.41	2672.88	2520.71	2800.89	2467.71	3198.81	3365.2	2604.37	2615.51	2591.82	2591.78	3528.74
P31327	P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial						10986.5	9877.98	10567.2	10145	10420.6	10036.1	9425.07	9737.41	10166	9263.46	9946.62	11001.8	10860.8	11069.1	10644.7	11166.3	9629.39	9970.54	10541.9	10192.2	9828.43	8874.94	9815.48	9039.83	10060.4	9668.44	10437	9315.71	9593.59	10030
P31350	P31350;Q7LG56	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2						1844	1747.69	2328.93	1053.96	2142.64	2002.87	1717.82	1237.64	2158.42	1661.3	1871.65	1787.65	2277.87	1757.34	1846.98	1712.06	2391.4	1667.95	2622.09	2251.1	1324.48	1807.86	1766.28	2895.09	2300.37	2784.87	1699.74	1665.48	1814.47	2234.85
P31483	P31483	TIA1_HUMAN	TIA1	Cytotoxic granule associated RNA binding protein TIA1											819.023				726.52																	583.331	716.587		
P31689	P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1				357310		5285.75	6620.89	6633.98	4329.26	4477.61	4151.24	4768.68	4170.35	4586.11	3887.86	4397.86	3962.54	3726.12	3714.04	3761.18	3884.74	4203.38	3537.06	3767.42	3459.29	3192.69	4721.29	3825.17	3222.86	3839.6	4300.7	4762.69	3320.95	3885.06	3851.1
P31930	P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial					175143	6330.61	6914.46	6967.95	8227.13	6956.2	5963.35	6201.31	5823.18	6259.11	7730.61	7247.55	6499.77	6661.22	5676.12	7220.32	7194.53	6513.62	6772.16	6006.82	5923.07	5709.53	6753.49	6528.43	6281.22	5720.56	5806.1	6174.69	5998.24	6312.79	7136.6
P31937	P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	184380	117412				1752.91	1840.03			1247.88	1380.1	1296	885.229	1000.32	901.419	1414.16	1243.98	1161.24	1166.82	1137.51	1359.01	851.433	1032.57	1500.22	749.266	1009.14	976.892	1001.31	1003.68	542.864	736.601	1199.91	1441.57	1383.59	788.685
P31939	P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC		1.36682e+06				6723.77	6274.66	8447.43	8245.42	9323.6	8054.37	7905.75	7772.39	8165.51	7373.26	7156.17	8586.59	7711.45	7559.89	8387.71	8166.58	8868.98	8311.18	8404.33	8327.25	7677.84	7532.23	8691.31	7567.46	7500.64	8811.16	7840.68	7953.22	8048.09	7669.02
P31942	P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	956089	621397				4805.81	3759.63	4459	4315.02	5782.82	4502.4	4566.59	5223.22	4112.63	5633	5101.46	5745.67	5657.97	5890.77	4905.26	5962.17	4605.63	4613.35	4711.07	5175.53	4725.61	4439.85	5199.89	4551.63	4289.99	4889.7	5050.17	5802.77	6019.45	4540.12
P31943	P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	433533	530463	519690	393260	355794	16963.4	19498.3	17315	14982.1	17187.7	16546.8	15136.6	16336.5	16764.7	16966.9	16739.7	18937.9	18859.8	17500.6	18727	17830	17331.4	16535.7	17451.9	16949.5	15870.7	17824.2	16951.1	16719.1	16059.5	16906.5	17102.7	16703.5	15191.5	14074.1
P31946	P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	335055	362249	342844	256965	367253	11856.2	10420.8	11049.2	13070.2	12056.6	11544.4	10632.7	8495.18	9887.13	11281.3	9125.51	10775.5	9035.21	12955.9	10322.2	10776.3	12225.3	10574.1	11226.4	12120.1	11408.2	10301.1	11877.2	11483.8	12204	10529.5	13463.7	12992.1	15495.7	11988
P31947	P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	175454				195299		2040.63	4027.67			3449.97	5025.66	2958.97	3640.32	4330.01	4417.67	4337.43	4828.81	4166.12	4108.66	4010.76	4435.3	4860.18	3897.47	3792.97	5133.09	4701.76	5425.68	4768.18	5003.03	4117.66	5368.23	4196.08	4808.4	4493.17
P31948	P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	577878	396776	572855	450467	325659	15406.4	17792	19477.5	17105.4	17144.3	18388.8	18796	20163.9	19508.2	19616.3	19649.4	18640.8	18475.1	18302.4	17899.6	20182.3	18204	17500.2	18119.6	17643	19436.7	19038.2	18463.3	18165.2	19798.1	20511.9	21152.2	18663.8	18802.1	18204.6
P31949	P31949	S10AB_HUMAN	S100A11	Protein S100-A11						24844.6	21893.4	13556.5	30918.6	22536	23185.7	26756.8	21826.9	23754.6	22645.8	15986.7	23224.3	20038.7	19259.7	18633.3	18945.3	21993.5	20722.3	23629.6	20668.5	20743.5	20616.3	17929.4	18290	17760.4	22122.6	22412.1	21709.4	22706.8	22495
P32004	P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1							1082.12	1801.92	1242.51	962.073	994.726	1413.35	711.763	478.141	1343.16	639.007	1121.53	389.059	524.145	869.516	1009.5	1047.72	1130.77	392.586	647.307	706.312		1871.86	1086.31	689.372	943.323	801.974	1040.09	506.254	1366.03
P32119	P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	617583	365421		382313	359147	16407.2	13602.1	14916.9	16036.1	14127.4	15987.5	16819.4	15181.9	15388.5	16144	16104.1	15870.6	16942.6	16812	15572.5	15369.6	15339.5	14565.8	15824.7	15753.6	15011.7	17219.3	17805.6	16597.8	15112.7	15966.3	15403.7	16466.5	15978.4	15563.6
P32320	P32320	CDD_HUMAN	CDA	Cytidine deaminase							895.666	576.365		479.588	508.377		720.957	1236.08		242.552	516.512	426.595		364.944	605.746	843.416	472.29	411.215		332.626		841.21	339.828		568.48	503.487		527.178	193.036
P32322	Q96C36;P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial						1924.11	2965.4	3256.59	2916.22	2471.8	1887.44	2973.3	2748.49	1960.5	2162.61	2254.84	2053.37	2902.18	1637.75	2413.37	2398.52	2070.72	2545.92	2004.78	1825.78	1838.56	2439.91	1975.12	1427.56	2407.48	1889.99	2053.07	1777.23	1707.2	1531.33
