Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5680.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5681.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5682.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5683.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5684.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5675.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5676.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5677.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5678.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5679.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5670.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5671.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5672.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5673.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5674.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5685.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5686.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5687.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5688.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5689.d
P10515	P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	3297.75	3504.14	3190.86	3369.62	3200.54	3118.66	2937.05	3197.96	3856.09	2755.68	3318.1	2757.05	2593.47	2234.25	2500.52	3232.79	2860.48	3003.02	2944.74	3091.25
P10599	P10599	THIO_HUMAN	TXN	Thioredoxin	43278.3	36581.8	40331.4	42238.2	42135.7	42407.2	42572.4	46025.8	38140.8	37030.8	42553.4	41391.7	40271.9	40427.6	41141.3	38944.2	39839.4	46278.7	44568.9	43354.8
P10606	P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	6594.55	5963.01	6124.39	5155.95	6553.3	5363.73	5624.62	6760.92	6259.92	6231.88	5968.25	5720.05	6053.53	6481.97	5640.58	4926.92	5819.74	5215.35	4881.65	6570.74
P10619	P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	986.404	2029.84	1297.01	577.476	1662.65	1026.94	1192.5	1379.68	1217.5	1683.68	1452.81	1712.37	1851.98	1054.17	1249.31	1236.24	1359.02	1289.28	1220	1424.02
P10620	P10620	MGST1_HUMAN	MGST1	Microsomal glutathione S-transferase 1	3849.45	3057.49	3584.47	3765.6	3613.12	2547.89	4289.31	3607.67	4181.84	2723.43	3221.45	3690.43	4139.91	3443.42	4828.09	4146.41	3269.07	4187.51	3267.05	2469.23
P10644	P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	2024.19	1901.89	2297.67	2280.09	2632.06	2246.43	1889.67	1668.88	2645.34	2253.39	1864.5	1760.26	1991.86	2058.1	1930.49	2402.22	2052.41	1666.09	1944.39	2345.21
P10768	P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	2705.36	3897.69	2862.16	3599.66	3300.28	3218.88	2899.67	3181.26	2203.8	2249.66	3111.54	2834.29	3106.57	3154.08	2727.37	2765	3234.89	3478.28	2906.17	3057.95
P10809	P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	90273.9	86872.8	89275.2	92334.6	93527.5	86116.4	95918.4	92683.6	91335.6	90671.6	91597.8	94061.3	94039.5	91829.7	94026.8	92064.9	92194.9	93015.1	95887.8	95976.3
P10909	P10909	CLUS_HUMAN	CLU	Clusterin	3407.91	3569.72	3568.06	3508.28	3958.79	4279.74	4065.62	3344.26	3434.8	3966.92	3284.06	3632.93	3560.49	3143.08	2686.84	3460.01	3278.96	3675.47	3951.14	4094.16
P11021	P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	57842.6	58811.6	57686.8	54269.4	56459.5	56233.4	55711.6	60774.5	60853.8	58901.9	55770.4	60014.7	57516.4	60816.7	61995.9	59573.3	60393.6	61322.6	61154.4	59292.7
P11047	P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	607.419		960.673	1042.89			887.614	811.968	574.611	624.087	1082.17	826.365	679.233	1468.51	1058.28	926.153	589.387	931.504		717.909
P11117	P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	1174.41	2701.71	2157.81	1893.96	2347.97	2205.48	2343.47	2561.48	2321.92	1973.11	1769.79	2091.28	1747.34	1362.27	2002.67	2085.7	1767.47	1747.44	1602.45	1910.89
P11137	P11137	MTAP2_HUMAN	MAP2	Microtubule-associated protein 2			1943.16	1306.15	1366.69	1130.78	1940.47	1336.16	1552.29	1217.67	1216.78	1104.45	1087.31	2366.79	974.519	1656.04	1262.39	1086.46	1474.13	1599.51
P11142	P54652;P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	85667	90298.9	91571.7	85669	89648.9	87858.9	86186	91079.1	92819.3	91465.1	85875.1	88773.4	88024.8	92626.4	92059.2	87352.3	87783.6	90970.2	89264.1	91821.2
P11166	P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	5084.49	4726.16	5367.41	5015.12	4551.69	6253.78	4420.49	4821.86	6413.31	5030.52	5118.67	5040.52	5696.87	6929.98	6667.5	6482.73	4771.83	5622.57	5052.12	5587.97
P11171	P11171	EPB41_HUMAN	EPB41	Protein 4.1		338.009	585.565	730.39			674.669			1058.18					694.95	560.776		264.029		431.206
P11172	P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	2370.03	1934.04	1956.04	1716.79	1511.64	2009.59	2196.58	2177.69	1481.06	1826.99	1853.6	1932.36	2276.53	1715.3	2284.44	2248.53	1703.2	1657.69	1952.12	1800.27
P11177	P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	5062.86	4818.5	5746.42	4891.86	4939.95	4976.96	5832.9	4917.74	5893.91	5557.56	5136.44	5255.54	6462.67	5652.97	6011.81	5502.88	5771.78	5404.94	5511.19	5289.12
P11216	P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	915.211		874.154		1172.1			746.095	1148.73			953.645	1514.56	1021.57			647.339	1005.8	692.14	937.325
P11233	P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	1086.45	724.272	484.224	779.292		1783.48	1341.51	1551.46	1118.47	1007.52	1251.29	1338.5	1256.21	1252.09	1391.25	721.035	1426.96	1395.78	991.045	771.035
P11274	P11274;Q12979	BCR_HUMAN	BCR	Breakpoint cluster region protein								667.234		1056		951.548	261.315	231.933			655.044		326.142	615.809
P11279	P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	13345.4	11397.6	10646	10654.1	10633.8	12088.3	13107.7	10037	9188.21	10573.8	11117.2	9436.57	11945.8	12186.3	13765.2	11665.8	10619.9	11373.6	10670.7	11008.9
P11310	P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	5407.39	5319.96	5003.71	5373.41	5518.09	6074.6	5207.34	5123.04	5346.9	5103.13	5957.26	4975.99	5362.4	4682.88	6055.15	5558.43	5217.84	5375.52	5085.77	5341.14
P11387	P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	3333.79	4167.82	4002.94	3520.35	4167.23	4354.21	3561.7	3748.78	3483.37	3192.36	4117.9	3819.33	4211.27	3707.47	3907.08	3611.69	3944.49	3806.93	3592.1	3921.9
P11388	P11388	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	3107.62	3346.88	3538.27	2548.94	3208.21	2976.92	3055.16	3161.36	3221.16	3255.06	2937.41	2867.17	3054.91	3114.84	3272.26	3037.5	3095.7	2814.16	3273.82	3086.58
P11413	P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	16838.6	15171.2	14922.6	15623.4	15363	13987.8	15366.1	16017	15133.9	15201.7	16237.2	15912.9	15290.4	15418.9	15136.5	16350.8	15674.5	15424.8	15316	14937.9
P11441	P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	2438.54	1129.87	2215.81	1746.64	2378.18	1979.72	2709.73	1657.09	1838	2307.56	2174.99	1923.72	2478.89	1518.06	3116.73	2008.99	2243.12	1442.62	1998.69	2159.35
P11498	P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	4690.28	4921.27	4920.19	4826.23	4641.33	4679.87	4781.68	4689.05	4955.86	4410.7	4468.52	4671.51	4359.73	4686.92	4573.28	4768.15	4544.42	4726.75	4780.42	4225.57
P11586	P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	11104.2	11803.4	11280.6	10776.2	11520.8	10964.8	10569.2	12036.2	11667.8	11186.5	11526.8	11724.7	11622.1	11325.8	11647.1	11183.6	11462.9	11230.7	12380.8	11658.2
P11717	P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	2751.09	3034.1	3152.32	3000.18	2847.43	3351.95	3274.82	3084.37	2580.79	2807.42	2940.71	2834.9	2481.06	2908.29	2890.18	2940.21	2746.86	2999.89	2949.46	2793.41
P11766	P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	3710.92	4606.42	4260.66	4235.21	3623.29	3458.6	2991.25	3574.43	3852.82	3336.22	3696.7	3729.42	4529.27	4445.29	3973.94	3618.43	3940.8	4510.18	4165.02	3685.51
P11802	P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4	2516.43	2199.84	1269.09	3081.41	1057.69	1757.51	2018.98	3069.79	2563.3	3301.21	1320.65	2275.06	2123.86	1551.94	2127.09	1615.4	1481.16	2312.77	1615.08	2420.27
P11908	P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2	2062.51	1426.48	1788.93	1871.74	1846.03	1629.6	1700.48	2303.7	1465.75	1653.86	1514.29	1442.32	1269.93	1754.34	1478.82	786.749	2241.8	1406.26	1737.14	2075.05
P11940	P11940;Q4VXU2	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	11010.3	11098	11000.1	10008.6	11382.1	11695.4	10755.6	11039.1	11330.2	11092.1	10724.6	11258.7	10981.1	10894.8	10359.6	10583.3	11273.5	11101.2	10668.2	11259.6
P12004	P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	11912.6	11796.9	12502.1	11219.2	11666.5	10492	10321.8	10536.6	11242.4	10121.6	11908.2	11022.5	10835.7	11403.4	11111.7	11528.5	11894.7	11625.5	11475.4	10438.4
P12081	P12081;P49590	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	5683.97	6096.28	5187.32	5785.61	5569.15	5863.86	6662.95	5471.18	5780.34	6176.62	5948.12	6294.76	5790.24	5314.66	6133.65	5914.91	5757.05	5646.67	5357.22	5373.61
P12235	P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	2925.26	2535.1	2549.19	3333.41	2441.07	3634.93	1668.58	2809.15	2631.66	2542.73	2467.17	2254.84	2975.6	2815.35	2475.01	1967.51	2861.76	3057.39	1953.24	2952.34
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	6714.54	9350.58	11515.7	9708.28	10175.7	10332.8	9383.06	8909.76	8411.89	7714.85	5481.49	11185.9	10711.5	8596.85	8502.24	11047.3	8749.17	9906.27	8580.26	9025.5
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	11688.1	12164.3	12284.5	11096.2	12226.5	11813.3	12341.2	12267	12788	12214.3	11763.9	12886.2	12444.1	11687.1	12437.5	12886.6	12603	12902.2	11695.9	12052.8
P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	3650.65	3299.77	3788.82	3657.94	3512.79	3799.08	3366.98	3333.41	3345.68	3455.2	3363.72	3658.76	3928.72	3325.29	3647.89	3481.77	3237.27	3783.78	3547.5	3544.03
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	30034.6	26655	31486.8	27371.2	34203.3	25804.5	29515.2	26247.1	30113	31396.8	28640.6	32379.4	33150	29865.1	28030.3	32520.3	32009.9	35255.7	35248.8	34622.6
P12429	P12429	ANXA3_HUMAN	ANXA3	Annexin A3	7071.56	8000.65	7338.4	7544.08	8341.37	7186.55	7399.92	7611.66	7169.27	7107.56	7637.45	7836.96	7296.62	7457.22	7493.09	8410.99	8164.25	7587.7	7323.47	7152.55
P12694	P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	2774.63		1154.93		1790.85		2041.84	1738.4	2704.65			873.755	1136.37					1217.53		510.347
P12814	P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	8831.84	9173.78	8745.29	8512.62	8296.72	7983.26	9739.67	9040.09	8453.07	8740.49	8092.91	9716.78	8788.97	8970.55	8505.44	9241.78	9482.49	9549.53	9262.5	9603.6
P12882;Q9UKX2	Q9UKX2;P12882	MYH1_HUMAN;MYH2_HUMAN	MYH1;MYH2	Myosin-1					5424.19		3682.93									5720.5				4377.31
P12955	P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	2687.61	2944.05	3273.16	2784.27	3126.1	2575.21	2512.54	2792.92	2115.68	3080.95	2901.5	2656.77	2861.69	3291.57	3278.33	2570.35	2763.04	2886.92	2270.36	2193.48
P12956	P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	14262.5	12884.3	13129.4	12021.3	14214.3	12690.6	12811	14147.2	14585	14523.5	12531.4	14073.5	13614	13753.3	14402.8	14340.8	13982.1	14278.2	13745.4	14308.6
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	19058.3	16624.5	16111.2	16823.4	19005.3	16997.1	16909.2	17842.5	18292	18014.1	17581.2	18088.2	16776.4	17943.8	15585.5	16534.7	17163.7	18571.1	17470.6	17969.9
P13051	P13051	UNG_HUMAN	UNG	Uracil-DNA glycosylase	552.824		797.7		492.351														667.138	
P13073	P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	7879.5	8127.59	7983.91	8875.24	8642.28	6217.9	8585.54	8126.57	7598.18	5882.42	8812.49	8673.71	8557.45	8641.24	8034.27	8094.71	8546.69	8494.38	8146.97	7970.96
P13473	P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	8824.08	7084.28	6932.69	7589.16	8038.63	7695.49	6401.74	7262.99	7933.36	6992.33	8359.2	7653.65	6806.12	8853.06	7901.59	8231.4	8118.12	7964.5	8018.95	8279.12
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	3658.13	3490.05	3607.68	3326.94	3782.77	2488.83	3485.32	3243.45	3424.45	3150.02	3190.78	3221.82	3546.88	3251.27	3361.32	3222.14	3309.98	3035.58	3467.37	3237.16
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	60277.6	62884.2	60343.3	61913.1	65005.9	60222.1	63763.3	59220.6	62950.8	62933.3	60623.9	61724.6	60327	60138.5	60763.9	62341.8	63028.7	61659.5	63451	62073
P13645	P13645;CONT|P13645|K1C10_HUMAN;CONT|O77727|K1C15_SHEEP	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10											7442.27			582.271						365.519
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	5891.07	6519.84	6032.03	5463.39	6299.4	6597.56	6086.89	6640.99	5634.82	5939.68	5989.98	6121.85	6205.38	5722.02	6535.25	6034.48	6494.49	7010.75	6325.93	6429.69
P13674	P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	1174.5	1721.52	1679.61	1711.94	1693.98	2061.76	1793.31	1448.18	1471.36	1895.15	1731.04	1456.15	1688.91	1408.48	1282.44	2046.12	1715.48	1357.84	1699.47	1691.04
P13693	Q9HAU6;P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	2363.15	1786.6	2592.03	1522.97	2058.4	2191.26	2566.38	1621.35	1590.65	1680.87	2321.1	3831.44	2364.23	2914.13	2248.8	2171.69	2406.09	3714.57	3391.9	3753.57
P13797	P13797	PLST_HUMAN	PLS3	Plastin-3	15345.5	15703.7	16779.8	15662.7	15080.2	14230.5	15069.5	14741.7	16612.7	16393.6	14940.9	15823.2	15519.6	15483	14477.9	14591.7	15095.3	14833.9	15710.9	15343.9
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	4242.29	4326.1	4345.12	4037.92	4335.38	4234.84	4677.13	4278.62	4661.06	4167.59	3587.25	4364.35	4541.65	4470.02	3687.15	3843.45	4048.38	4126.15	4340.97	3947.68
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	5261.43	4968.04	4357.72	5221.77	5834.47	3878.91	3931.7	5052.58	5128.76	4141.91	3923.11	4218.56	5533.7	5141.92	5143.93	4849.26	4623.7	4269.53	4598.64	4779.96
P13807	P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle		1500.7	379.063			1387.03		1394.14		857.057		462.551	817.704	1366.14	1277.5	1941.43	1037.4	613.16	608.014	782.638
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	2539.72	2669.32	3208.33	2601.8	3728.48	2421.66	3163.31	3367.11	3654.72	3464.06	3290.4	3328.04	3136.22	2801.33	3414.75	4356.72	3225.93	2877.31	3136.41	3129.87
P13929	P13929	ENOB_HUMAN	ENO3	Beta-enolase	7280.45	8054.08	7590.66	7560.61	6814.19	8395.86	7023.67	7740.44	8102.05	8029.39	8151.54	8266.15	8379.24	7004.47	7816.02	8225.67	7817.26	7929.94	7437.22	8191.45
P13984	P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	993.388	674.081	1208.95				695.336	702.632	2243.7	762.432		1351.05	969.602	1541.45	770.705	841.957	795.505	680.582	1043.92	1293.08
P13987	P13987	CD59_HUMAN	CD59	CD59 glycoprotein	16972.3	15470.8	16340.7	17308.3	17300.5	18027.7	18802.6	18810.2	17699.9	18509.2	17884.9	18201	18140.7	18748	16319.6	18826.6	20214.2	17702.8	17474.6	19390.5
P13995	P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	3087.82	2888.35	2464.63	1838.91	1781.4	1615.27	2157.76	2329.55	2622.11	2401.2	2650.69	3009.76	2924.38	3161.86	2794.71	2384.53	2378.74	2619.39	3109.7	2816.27
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	90590.6	67842.8	80362.4	76375.7	94690.8	61612.8	80325.4	81281.3	78345.6	89972.8	73144.5	71747.2	85240.5	82022.4	74683.3	74974.7	74384.1	77622.7	62366.6	57497.5
P14209	P14209	CD99_HUMAN	CD99	CD99 antigen	2956.42	3174.23	3970.82	3596.21	3520.62	2495.08	2933.48	3288.87	2696.19	3281.03	4003.88	2720.84	3351.94	3449.67	3536.02	3412.97	3135.77	2784.46	4196.65	2610.97
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	6362.21	6271.82	6990.17	6582.81	7352.49	6175.19	6069.38	7320.7	6667.54	7104.4	6953.62	6338.74	6877.97	8023.71	7006.88	6405.79	6726.75	6723.16	7320.38	6784.07
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	9829.62	9229.17	9035.39	10492.2	9701.17	8832.98	9023.77	10166.6	9853.93	8784.12	9105.18	9784.89	9545.91	9511.08	9406.64	9778.58	10950.2	9938.57	10034.1	9582.41
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	5457.09	4360.91	4316.77	5891.46	4188.87	4048.09	5055.56	4717.25	5397.86	4694.67	4760.38	4880.2	5565.69	4807.71	5783.47	5976.81	5641.7	5138.76	4871.66	4367.12
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	3263.48	3590.47	3766.73	3804.97	3500.69	3657.59	3890.04	3651.97	3537.06	3722.31	4258.88	4079.89	3240.4	3615.03	3076.39	3905.11	3791.93	3838.23	3928.34	3908.41
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	110134	106162	111108	111045	112273	107991	115730	110935	116641	113857	107626	112179	116592	112320	114615	114633	116068	112985	114939	113379
P14625	P14625;Q58FF3	ENPL_HUMAN	HSP90B1	Endoplasmin	46524.9	44360.6	43175.6	43014.1	43239.7	43362.7	45147.6	43555.8	43786.1	42007.1	42432.8	45964.7	43303.9	45401.3	43356	46687.7	44086.6	45057.5	45425.2	43773.3
P14635	P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1	1229.42	755.319	919.317		745.005	877.067		938.153			894.244	824.137		921.108	662.506	546.091	390.53	506.538	862.286	1004.93
P14649	P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	1082.91				1146.71	1472.21		494.091			1513.46	926.762	1868.78		1625.24	1026.06	984.919	1613.19	1570.77	1260.57
P14678;P63162	P63162;P14678	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	4098.95	5275.25	4424.43	3902.82	4117.08	5843.33	4399.39	4483.9	4631.51	4252.84	5180.97	5098.63	5190.67	5624.06	5391.79	4844.17	4884.47	3801.98	4963.26	4345.6
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	1546.35	2266.52	2903.91	2333.86	2095.04	2227.1	2683.11	3096.22	2447.71	1871.19	1918.86	2393.53	1988.28	2253.49	2480	2598.71	2759.75	2513.01	2304.98	2794.42
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	2068.42	1882.57	2765.8	2599.07	1993.87	3443.34	3489.67	2664.03	2359.74	2606.59	2153.89	2410.76	2672.54	2492.34	2266.93	2712.41	2937.02	2468.69	2432.7	2469.65
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	10663.4	10893.2	11132.3	11829.5	10931	11816.9	11655.9	10418.8	12363.5	12039.5	11503.3	11664.8	11126.1	10693.7	10176.5	11128	11854.2	11839.6	10973.6	11144.8
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	6015.74	5892.44	5128.38	5905.73	5701.6	6129.21	5547.47	6124.48	4954.01	4680.69	5128.38	5544.33	6047.25	5265.49	5545.96	5325.83	5491.44	5366.87	6046.51	5263.82
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	4914.58	5550.59	5107.09	4669.31	5630.66	4820	5634.17	4783.24	5253.11	4928.31	4981.93	4396.49	5278.94	5409.94	5183.38	4727.96	5460.77	5266.24	5628.34	5076.28
P14927	P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	3456.43	3331.64	2962.68	2241.81	3713.74	3238.16	3751.31	3069.49	3199.89	4355.31	3496.34	3303.97	2559	3941.48	3838.73	3480.46	3538.18	2976.22	3360.69	3347.76
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	9090.62	10633.6	10185.2	10206.3	11002.6	9301.43	10757.4	10214.9	9983.8	9491.96	9639.24	10125.4	8785.44	10056.4	9638.33	9867	10386.5	9918.16	10032.6	9273.42
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	20087.3	20381.8	18731.1	20536.7	19574	20785.9	20000.5	22041.4	20808.6	19865.6	20452.2	21556.6	20664.3	20595.5	20698	19765.6	20653.6	22300.1	19225.8	20296.8
P15151	P15151	PVR_HUMAN	PVR	Poliovirus receptor				3646.43				4307.5			5656.53	4014.27	2882.45	2695.9	4053.61	5515.97	3956.6	3992.42	3981.71	
P15170	P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	7567.46	7616.05	7345.76	7480.9	6776.27	8420.81	5644.65	5976.88	7227.48	7258.76	6407.22	6803.21	6455.31	6935.25	6192.88	6384.58	7122.7	7155.08	7040.32	6800.6
P15289	P15289	ARSA_HUMAN	ARSA	Arylsulfatase A										590.508					527.723				892.591	1109.74
P15291	P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1		1383.88		1213.3	1548.45		1927.14		1197.37			1329.06				909.912	1347.86	2005.27	1691.36	1931.76
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	17861.7	17494.3	18295.7	18824	17044.2	17772.5	18211.2	16634.5	17612.7	17810.2	17151.3	18495.3	17698.6	18555.5	18145.4	18656.4	18260.5	17529.8	17770	17777
P15328	P15328	FOLR1_HUMAN	FOLR1	Folate receptor alpha	6831.13	8018.85	6358.52	7845.04	7983.99	8179.84	8369.06	9648.44	8836.26	7037.83	9056.19	7168.48	6597.65	8307.23	6921.54	9006.57	7552.84	8876.34	8080.31	8268.49
P15374	P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	2008.32	2377.97	2543.63	2493.51		1934.04	1915.46	1640.55	2501.2	1361.7	2376.46	2108.14		1251.46	1881.57	2020.57	2755.54	2024.39	1838.2	1754.9
P15408	P15408	FOSL2_HUMAN	FOSL2	Fos-related antigen 2																			194.597	
P15529	P15529	MCP_HUMAN	CD46	Membrane cofactor protein	1385.16		2176.01			1807.46	2695.91	1417.88		1170.7	1632.51	1559.87	1973.55		1564.3	884.915	1562.98	2006.98	2136.97	1641.09
P15531	O60361;P22392;P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	58642.7	56333.1	53277.8	55566.4	54090.8	54751.7	54460.1	55631.1	60223.3	56418.3	55298.7	60896.6	58413.2	60498.6	55179.1	54298.2	55551.8	59247.4	60905.6	56395.4
P15559	P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	10515.1	11026.2	10897.6	8396.12	11287.1	8604.75	9232.23	10191.2	9568.82	11183.3	8416.71	9524.71	10148.5	11012.4	9990.57	9585.64	10711.3	10817.7	10584	10607
