Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5790.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5791.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5792.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5793.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5794.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5897.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5899.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5900.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5901.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5902.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5903.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5904.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5905.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5906.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5907.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5913.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5914.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5915.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5916.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5917.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_15cm_4-27-2024_Slot2-91_5824.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5825.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5826.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5827.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5828.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5829.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5830.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5831.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5832.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5833.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5860.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5861.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5862.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5863.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5864.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5908.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5909.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5910.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5911.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5912.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5918.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5919.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5920.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5921.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5922.d
P26639	A2RTX5;P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	7849.79	6951.18	7618.38	7455.26	7562.79	7756.48	7577.17	7323.1	7878.18	7835.15	8612.95	7787.04	7880.98	7835.56	7747.56	8042.09	7642.3	7826.53	8127.63	8167.92	7783.09	8000.68	7821.46	7608.66	7032.66	7911.33	8055.22	7418.21	8019.53	7549.64	7767.9					7400.03	7225.52	8073.31	7158.56	7735.24	8111.15	7805.92	7601.6	7887.51	8263.69
P26640	P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	2322.58	2030.99	2248.7	1964.88	2343.64	2094.17	1808.54	1877.17	2315.78	1922.65	1489.17	1618.05	1730.95	1956.44	1508.86	1812.3	1749.49	1891.38	1701.03	1868.29	1793.54	1387.9	1877.66	2149.31	2248.42	1698.98	1836	1719.36	1738.54	2096.23						1840.37	1683.37	1747.61	2006.16	1673.27	1927.74	1866.32	1702.53	1965.65	1743.95
P26641	P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	12186.1	11371.3	11079.5	11737.2	11142.4	11831.8	10955.2	11798.7	12153.5	11200.6	11662.9	11456.6	11688	11779.5	11647.3	11827.2	11467.6	11803.3	11134.5	11269.3	10094.6	11423.2	11685.3	9903.05	10496.9	11412	10999.6	11556.6	10525	11620.3	12049.9					10923	11796	11540.1	11451.4	11437.1	11765	10890.7	11361.1	11201.4	11208.4
P26885	P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	3266.29	4020.68	3453.28	2798.9	3956.34	4673.49	4264.32	4744.68	5066.88	3807.56	4603.17	3995.89	4293.91	3691.28	3963.79	3786.67	3579.76	4049.23	4364.04	4610.86	4107.92	2789.29	4143.05	2650.43	4275.75	3557.68	4121.74	3720.57	4397.39	3932.37	4270.56					4227	3233.94	4258.68	2893.27	2095.74	4579.19	4183.45	3556.95	4512	4857.2
P27105	P27105	STOM_HUMAN	STOM	Stomatin	2063.87	2708.37	2181.42	2608.48	2675.58	2213.16	2651.47	2220.47	2345.12	1919.51	2297.65	2823.39	2364.88	2684.28	2560.63	2113.81	2404.21	2265.55	2591.27	2443.15	2251.74	2641.77	2713.83	2104.04	2725.92	3191.25	2043.69	1418.2	3120.59	2116.41						2092.88	2459.22	2116.98	2204.37	2256.12	1998.95	2529.84	2287.75	2447.52	2300.05
P27144	P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial			2180.16	1644.85	1194.4	1577.55	2142.36	1534.48			1923.18	1493.98	2355.79	2535.65	1154.69	1022.5	1368.64	1449.76		1752.13			1962.54	2722.22	2359.13	1359.08										2110.82	1799.56	1199.66	1587.44	2265.95	1433.99	1951.22	2205.39	1292.64	1750.75
P27348	P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	17616.7	19721.7	20651.8	17877.3	19676.8	19046.8	19844.7	19569.7	22224.9	18553.9	19865.5	19385.1	19090.6	19871	18929.7	20574.4	20887.3	19093.4	19648.6	20044.6	18884.1	21026.8	18588.8	19710.9	18146.8	21615.2	18437.6	19251	23506.7	17718.9	19089.1					20319.2	19577	18972.1	20032.5	20706.2	21127.2	19253.6	20363.5	19174.5	19672.5
P27635	Q96L21;P27635	RL10_HUMAN	RPL10	60S ribosomal protein L10	11815.9	10036.8	11333	7718.1	8995.91	8640.44	8775.23	8559.4	9279.63	9165.41	9841.72	9770.48	9804.08	10798.3	9568.37	10372.7	11543.4	10421.9	11303.2	12313.5	9926.76	10243.6	10731.1	9027.17	10213.3	8285.03	9933.13	10447.9	11997.8	11135.9	8044.8					11511.7	10993.9	10536.1	10701.1	10929.2	11291	12585.1	11000.1	10961.8	11614.3
P27694	P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	1406.63	1717.13	1905.08	2039.41	1416.17	1668.64	1397.73	1587.89	1369.02	1646.7	1496.38	997.737	1262.83	1596.87	1209.5	1295.54	1146.98	1286.56	1125.82	996.527	1037.67	1989.71	1556.66	1628.2	2121.9	1291.31	2111.3	1412.24	1152.98	1102.39	2619.73					1287.47	943.808	1809.36	1132.31	1043.94	1230.44	1325.05	1090.4	1398.79	1103.88
P27695	P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	6051.25	4354.81	3163.79	4991.26	3485.34	4642.23	4629.4	4820.5	4575.19	4581.32	4806.21	4348.6	5001.71	4377.98	4782.05	3999.94	3894.84	4817.65	3988.72	4556.02	5620.37	5059.59	5295.46	5355.42	4649.36	5975.68	4381.31	6193.75	4061.46	4335.74	8512.91					4529.75	3613.92	4345.92	5534.62	4223.75	4128.81	4452.7	4777.46	4246.12	4403.36
P27707	P27707	DCK_HUMAN	DCK	Deoxycytidine kinase							616.815		271.808		696.115		303.865				718.934			234.485							129.741											768.476	482.976	1033.67	421.622		338.499	348.729	473.02
P27708	P27708	PYR1_HUMAN	CAD	CAD protein	2472.76	2272.16	1753.59	2152.71	2550.3	2403.86	2353.92	2460.81	2180.57	2075.29	2078.86	2162.52	1855.54	1974.18	2227.45	2206.21	2040.66	1901.49	1916.43	2010.81	2230.46	2312.85	2136.33	2312.88	2384.99	2153.29	2114.76	2224.67	1909.97	2221.05	3672.06					2019.5	2104.62	1893.9	2625.69	2249.35	2051.38	2023.54	1927.95	2330.91	2077.62
P27797	P27797	CALR_HUMAN	CALR	Calreticulin	10803.7	11880.2	12016.2	11542.5	11677.5	12148.3	11205.3	11935.1	10961.8	11462.8	12885.8	12291.7	11840.8	12111.7	13577.7	12766.8	12362.5	11886.8	12843.1	12437.7	10887.7	12164.6	11252.5	11630	11174.1	12611.5	10584.6	12807.3	11349.3	12758.2	11648.5					12148.5	11995.6	13032.1	12618.4	13104.6	12769.4	12292.3	11804.1	12109.4	12271.7
P27816	P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	4749.62	4337.58	4726.83	4541.35	3946.09	4301.73	4165.46	4220.1	4167.96	4285.22	3873.58	3970.06	3787.88	4013.2	3944.83	3991.68	3983.97	3819.88	3896.15	3832.83	4112.54	3977.51	4157.2	4186.1	4872.92	3850.08	4309.2	4055.88	4297.8	4637.5	3692.15					4071.09	4155.38	3739.77	4431.78	3952.16	3732.04	4148.55	4069.94	4167.55	3860.46
P27824	P27824	CALX_HUMAN	CANX	Calnexin	6768.06	7487.17	7942.05	7817.9	8307.82	9080.59	8260.92	8248.78	7795.08	7519.58	7627.65	8834.77	8600.67	8793.04	8552.83	8909.01	8121.2	8310.85	8997.91	8332.48	6942.54	8266.44	8056.42	7967.94	8521.23	8079.75	8057.26	9054.38	8505.55	7983.38	8462.69					8860.29	9337.96	9274.99	8730.4	8983.62	8067.95	7900.88	8357.76	8227.43	8502.13
P28066	P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	4935.8	4410.42	4334.83	4944.39	5179.27	4093.76	4818.96	6372.57	5361.04	3428.47	4773.37	4351.54	5006.88	4696.12	5544.32	4588.87	4710.41	4861.92	4568.83	5109.52	5650.8	4897.31	5456.38	5268.55	5268.28	4521.5	3975.7	5138.11	5565.67	4086.08						5431.52	4129.19	4475.05	4165.94	4959.78	4179.1	3975.12	5013.84	4700.7	4177.44
P28070	P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	3295.8	2340.54	2757.38		2470.46	2065.39	2223.14	2006.73	2750.12	3096.51	1810.64	1848.48	2178	2062.68	1723.05	2246.63	1850.85	2284.02	2296.75	2144.83	3423.82		3852.79	3527.57	3360.8	1870.6	3076.8	2166.04	2319.69	2400.57						1842.52	1986.12	1735.87	2198.83	2193.94	2351.92	1741.09	2482.46	2178.49	1970.39
P28072	P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	3577.79	4147.64	4082.17	3804.84	5220.67	4511.58	3718.9	3487.29	4540.9	4023.44	4316.6	3894.28	3340.54	4298.47	4244.14	3167.02	3971.96	3453.98	3793.9	4028.9	4224.88	4811.45	4962.18	3616.62	4166.81	4379.26	4103.86	2926.5	3259.02	4118.3	5422.86					3654.01	4174.52	4821.81	4847.33	4506.1	5246.08	4819.83	4319.44	5101.47	4782.49
P28074	P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	1749.09	1676.85	2056.9	2407.26	2267.48	1751.87	1691.18	1815.8	1719.5	2036.5	1457.95	1339.95	1566.51	1393.95	1915.17	1626.51	1478.79	1561.25	1667.79	1856.37	3204.25	2695.77	2085.54			1763.77	1666.3	1952.34	1791.84	1736.95						1855.09	2153.72	1582.34	1563.02	1834.59	1873.75	1863.27	1618.08	1367.16	1115.31
P28288	P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3						512.141		1431.56	1028.49	327.643	536.616	481.699	607.195	709.5	656.262	379.075	588.316		670.894	516.806						707.068		670.635								925.003	680.421	576.593	919.137	1391.84	776.403	915.643	973.12	1017.67	
P28290	P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2							1207.73					476.213	547.808	990.05	670.162	338.512	922.506											286.945													428.79	837.571		575.324	1134.86
P28331	P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	1783.05	2006.11	2069.58	1811.7	1147.8	1300.7	1409.21	1828.45	1402	1363.82	1336.07	1137.14	1137.96	1464.43	1210.48	1212.91	1027.3	1130.64	1310.39	1019.73	1656.38	1925.94	1353.01	1001.39	1729.03	1294.27	928.086	1134.48	1112.5	1390.24	5838.93					1305.65	1306.4	1292.08	913.058	1726.47	1355.81	1291.41	1536.1	1433.39	1217.4
P28340	P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	8305.1	6347.92		8129.3	6810.29	6802.12	6985.27	7389.04	7572.71	7977.71	7557.77	7169	7079.96	2092.76	6883.07	6477.72	6180.57	7253.68	8444.22	6024.78	12106.9		3861.59	6604.9	4974.94	6740.5	5931.73	7639.29	1237.33	5240.71						7249.29	8036.41	8459.75	6360.13	6645.72	7328.7	7299.77	8203.44	6463.87	6661.3
P28347	Q15562;P28347;Q15561;Q99594	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1																				428.949																	1127.86						461.516		423.826
P28370	P28370	SMCA1_HUMAN	SMARCA1	Probable global transcription activator SNF2L1																			888.445											663.232						546.873					726.911		796.057	1201.69	1213.5
P28482	P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1			2536.35		3415.14	2201.68	2175.45	1644.46	1281.65		1531.34	1685	1509.45	1666.55	1826.79	1508.06	1540.38	1288.98	1789.51	1801.2		4447.39	1170.9	3276.3	2106.91		2048.63	1684.56	2095.2	1874.54						1944.21	1254.93	1974.15	2031.45	1915.7	1351.87	1883.71	1562.42	1676.24	1931.25
P28799	P28799	GRN_HUMAN	GRN	Progranulin							968.918		1159.54										1172.85							1418.02			1500.15							641.61					897.555	1068.92	700.014	861.744	
P28838	P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	1607.79	1354.58	1119.46	1423.77	2588.27	1226.47	1430.68	1406.41	1520.76	1160.38	1227.01	1121.1	1169.4	1197.18	1156.8	1225.75	1316.26	1096.32	1094.45	923.652	1298.58	2029.29	1682.81	2126.71	1973.79	1917.28	1578.18	1581.95	1073.56	914.216						864.866	1020.85	1383.06	1412.99	1127.79	1471.88	1209.77	1105.36	1177.52	1142.61
P29034	P29034	S10A2_HUMAN	S100A2	Protein S100-A2	2597.14		2894.98	3199.51	3048.73	2736.43	2317.71	2360.19	3045.68	2044.29	1465.23	1823.41	2241.33	1540.79	1511.4	2426.84	2582.29	2032.57	2273.35	2319.41	4247.74	3223.32	4207.13	2103.4	2278.69	2443.11	2648.74	2927.46	2007.06	2350.41	3989.88					2292.12	3095.97	1016.29	2741.38	2141.05	2061.86	2145.64	1814.88	3010.02	2689.34
P29084	P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta																			697.589	393.875																		81.5476			737.936			376.241	303.931
P29144	P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2		1970.85				1532.94	912.382		1635.59	1082.38	831.223	1109.72	988.775	1144.97	1365.27	1442.56	1246.93	737.946	709.76	1016.84				1661.32	1713.2	1673.47	2033.59	1168.39	870.92	1385.85						991.347	1791.93	1593.36		1300.16	1576.22	1042.23	1024.09	453.701	798.264
P29218	P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1					768.915			1188.91			848.745	1242.64	1030.02	961.458		1020.93	1088.18	475.749	855.917	771.049									2035.35	1984.29						1005.6		956.007	1036.58	837.343	1903.36		849.294	810.289	
P29353	P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1									549.179		378.619	327.674		507.182		494.129																								467.801					
P29372	P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase						618.699		629.791				304.585			642.471	500.037	617.332	597.271	789.969				918.756			772.104	627.986		1217.01	810.936						870.731	478.481		530.392		663.914	864.907		834.342	479.749
P29401	P29401	TKT_HUMAN	TKT	Transketolase	39440.1	39777.9	43045.9	39326.2	40069.6	41949.8	43202.6	40099.9	41459.5	41735	42455.8	42867.3	41855.2	42721.5	44652.5	43233	44838.2	43784.7	45188	45766.4	38380.8	35832.9	39466.9	39103.4	39168.9	41712.1	40569.8	41649.3	44597.8	38741.2	35466.3					44689.4	41871.3	43460.2	44074.8	42603	42888.8	44339.5	43463.8	44306.4	44142.6
P29558	P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	982.146		1312.3	310.261		799.865	392.71	1213.98	394.537		619.596	676.668	565.278	769.752	869.376	992.743	624.066	618.724		823.028		1919.77	814.954	1103.16	783.725		889.074	1723.19	617.442	798.823						901.212	874.103	587.992	548.118		915.119	576.132	706.417	595.924	932.726
P29692	P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	14526.6	11827.6	14307.4	13338.4	11057.1	13529.8	12698.9	13991.2	13578.1	14002.2	13624.4	15377.2	14494.5	13874	14724.4	15106.1	15132.7	14906	14600.7	14452.9	13395.4	13734.7	14127.1	14954.6	11902.7	14235.7	15427.8	14853.6	13035.6	14026.4	11601.6					15109.1	13790	15893.2	15463.9	14670.8	14695.7	14483.4	15610.6	15771.8	14910.5
P29966	P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	3110.42	3010.83	2336.38	2491.64	2642.1	2550.67	2621.29	2405.39	2330.78	2754.69	2492.16	2329.45	2840.11	1925.92	2289.44	2346.99	2666.53	2443.26	2633.68	2727.38	2685.7	2994.87	2684.74	2856.19	2862.84	2730.39	3015.28	2940.23	2910.88	2612	4262.54					2249.03	2839.84	2568.69	2546.49	2403.41	3007.49	2657.28	2496.07	2082.37	2660.7
P29992	O95837;P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11						2471.47				765.523	564.112	974.196	1098.89			510.495	1124.17		530.941	855.948		1767.49		1196.52	2111.79	985.162		771.479	725.245								952.06		666.482			995.403	543.236	919.88	1486.81
P30040	P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	7340.93	7218.69	6511.44	7304.13	5962.81	7072.77	7560.52	6886.97	6497.46	6850.94	7415.86	6875.18	7388.58	6366.59	5870.11	7308.89	6657.72	7112.46	7003.8	6612.35	6895.06	6717.96	6825.98	6959.86	7380.34	6025.79	8557.5	6913.77	7357.83	7256.23	4451.5					5910.63	6816.52	7155.76	6911.48	7331.54	6601.52	6969.57	6378.12	6967.15	6868.24
P30041	P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	26135.5	27428.2	24616.8	25554.8	25903.7	25857.3	24870.3	26848.3	27655.7	25274.3	25585.3	26028.9	25167.3	27908	25256.1	25074.6	25036.8	25226.3	24527.6	26217.5	26498.8	23670.7	24890.4	26405.7	25255	26097.8	23776.3	22619.8	26871.4	25231	25785					25559	25423.3	26789.8	24126	25321.7	26253.7	26309.9	25157.1	26273	23644.8
P30043	P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	2476.72		1051.4		555.622	882.097	995.458	1259.76	987.183	831.556	1040.7	1071.46	1006.54	743.397	1500.4	917.373	1148.07	1233.65	1208.62	1143.72	1419.16	1848.43	1400.37	1204.98	2605.34	808.195	1444.72	692.509	1085.46	645.098						1242.69	948.147	1078.37	1322.13	1211.77	476.405	1380.26	1411.1	1171.38	1563.76
P30044	P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	8229.59	8381.05	8034.8	8051.6	8366.8	8981.37	8846.24	9114.33	9317.97	10722.3	9625.28	9540.15	9092.98	8878.2	9604.41	9909.26	8882.62	10147.7	9149.28	10358.8	9522.53	9570.26	10745.7	9173.41	9984.93	9591.32	9615.29	9288.45	9518.72	9787.28	7387.67					9666.78	10376.1	9507.43	10005.7	9956.46	9667.87	10101.1	10504.6	9678.44	9877.57
P30046	A6NHG4;P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	6359	7108.04	6312.58	4819.6	7069.34	7267.99	6898.96	6984.69	6175.39	6667.19	7337.82	6670.95	6767.28	6475.19	8188.72	6693.59	6785.6	7448.06	6104.32	6869.05	6609.56	7340.49	4909.03	7165.03	7539.26	7644.05	6478.15	5917.47	6300.51	7885.3	5599.46					5982.21	7115.86	6878.08	6561.6	6386.52	6718.69	7513.42	6756.61	6421.87	6733.67
P30048	P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	7880.02	7676.23	8210.07	7171.58	7267.52	7713.57	8798.59	8335.63	7270.32	6914.3	7874.08	7839.56	7798.66	7343.04	8428.5	7935.11	8267.86	7931.23	8142.22	7854.38	7381.18	8731.49	6488.78	8833.85	7939	8467.69	7566.73	9206.29	9187	8540.81	4987.97					7638.68	7070.9	7686.31	7409.33	8171.51	8875.27	8637.49	7730.24	7923.64	7652.21
P30049	P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	4951.07	4483.24	4496.23	3884.09	5147.98	4728.8	4569.11	4111.31	3637.08	4418.27	4555.28	5816.23	3820.91	4779.27	4782.99	4769.62	4566.4	5504.66	4859.59	5094.74	4666.62	4132.17	3863.84	2684.14	4403.57	3141.12	4641.76	5116.07	4653.19	3531.03	6746.65					4158.09	4328.37	3682.45	3200.97	3875.5	4544.04	4586.91	3952.61	4604.98	3959.32
P30050	P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	12124.2	10845.6	11515.7	10661.2	11895.5	12874.6	11300.2	11343.6	10694.1	10799.3	11873.9	9682.27	10319.3	11455.9	11295	12195.5	11406.3	11610	11458.5	12384.9	9804.02	9923.43	10758.1	10007.9	10741.2	11314.3	12326.5	10020.3	11607.9	10979.6	10092.3					10955.9	11855.7	10842.2	10471.8	11095.3	11066.9	10489.7	10488.8	12465.2	11265.4
P30084	P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	3084.61	3259.97	3089.89	2845.23	2812.29	2960.53	2795.36	3224.51	2898.7	2792.79	3102.44	2788.14	2446.15	2796.28	2542.16	2914.58	2394.12	2168	2544.87	2687.88	3052.9	3395.77	3097.32	2451.2	3580.78	3584.19	3422.11	3370.98	3173.13	3317.33	1009.11					2695.6	3586.42	2422.03	3087.5	2529.96	2356.94	3196.26	3199.38	2374.1	2417.37
P30085	P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	4903.21	2444.56	4451.64	3021.34		3264.08	4553.08	2951.39	4383.76	3839.47	4819.47	4567.21	4002.02	3835.26	4077.49	3817.99	3907.99	4270.16	3942.31	3597.1	4296.99	4414.02	3702.93	4782.65	2840.74	5036.74	4291.63	3858.47	3109.91	3625.93	8229.46					4235.5	4088.45	5161.08	4115.16	4176.57	4030.82	4026.69	3491.21	4059.67	4756.69
P30086	P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	10304.2	11293.8	11878.1	10553.8	11369.5	11044.5	12002.8	11503	11477.9	11498.2	12336.7	11735.7	11844	11726.8	11205.6	11460.3	10664.2	11037	11304.2	10646.2	10411.5	11239.6	9598.4	11488.2	10055.4	9581.16	10589.1	10548	11481.8	9754.73	10003.2					11635.8	10657.6	11257.1	9746.81	11259.7	12408.9	10986.5	10693.7	10552.5	11108.6
P30101	P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	14658.5	14483.1	15501.1	13363	12846.2	15234.9	15357.5	14405.7	14859.4	14870.3	15321.9	14676.3	14450.5	14818.5	15537.2	14918.6	15380.4	15471.9	15024.1	15296	14369	14826.9	16023.7	15410.6	13963.8	14888.5	15562	14609.4	14780.3	15754	15856.9					15560.1	15130.8	15815.2	15316.2	15542.3	16104.4	15740.3	14688.8	16275.6	16046.9
