Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
P14209	P14209	CD99_HUMAN	CD99	CD99 antigen	2538.61	1472.29	1247.34	1647.14	2843.38	2381.97
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	6977.79	8931.53	8575.59	8215.79	6916.09	8409.31
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	7628.05	8632.01	6821.29	6639.6	6400.64	6620.92
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	2167.13	3203.3	3106.47	3870.55	3175.69	3900.67
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	2938.79	2859.15	2781.4	2707.61	2535.79	3062.32
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	77697.2	80886.1	83026.7	80376.1	80737.5	77670.8
P14625	P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	25319.1	23185	25265.1	23437.9	24266.4	24539
P14678;P63162	P63162;P14678	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	4083.11	4313.13	4657.11	4494.1	4084.67	4667.64
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	2500.4	2396.64	2386.37	1638.13	1943.41	2542.74
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	2220.92	2102.02	1318.32	1612.01	2072.57	1723.19
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	7260.27	7378.09	8321.59	7845.37	7195.3	7413.78
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	4196.81	3929.8	4418.36	4196.86	4043.59	4287.02
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	2964.59	2722.53	2741.67	3055.52	2960.46	2568.75
P14927	P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	2076.02	2099.34	3158.12	2986.56	2052.41	3056.24
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	5311.35	6148.87	5029.42	5656.61	5651.11	5274.1
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	13448	12754.2	11490.5	13289.1	12303.9	11756.7
P15151	P15151	PVR_HUMAN	PVR	Poliovirus receptor	1031.94	830.41	778.382	1862.99		
P15170	P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	4636.56	5045.77	4518.9	5122.35	3981.6	4522.99
P15291	P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	1002.82	743.246		1731.96	1428.96	1276.81
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	13514.9	13534.6	13925.8	14369.4	13236.2	13421.3
P15328	P15328	FOLR1_HUMAN	FOLR1	Folate receptor alpha	6492.3	6776.96	6943.42	5952.41	6319.93	6397.17
P15374	P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	1313.66	1091.18	1015.92	2024.45	1352.35	922.139
P15529	P15529	MCP_HUMAN	CD46	Membrane cofactor protein	1874.04			1113.54	1346.02	1655.35
P15531	O60361;P22392;P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	47971.8	48262.2	46948.9	48370.2	46782.2	44159.8
P15559	P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	8236.62	7146.22	9971.21	9695.1	8379.78	7758.02
P15586	P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	2364.69	2599.6	2384.69	1847	2850.76	2533.14
P15848	P15848	ARSB_HUMAN	ARSB	Arylsulfatase B					844.137	
P15880	P15880	RS2_HUMAN	RPS2	40S ribosomal protein S2	11786.9	11861.3	11883.3	12222.6	12087.7	12831.4
P15927	P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	2355.85	2327.82	1513.63	2713.41	3172.91	2170.16
P15954	P15954	COX7C_HUMAN	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial	3134.89	2867.57	2922.16	3685.26	3610.28	1925.49
P16070	P16070	CD44_HUMAN	CD44	CD44 antigen	5805.98	5863.01	5898.98	4668.25	5666.92	6545.24
P16083	P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]	1816.26	2737.18	2976.76	2372.55	2759.39	2631.59
P16104	P16104	H2AX_HUMAN	H2AX	Histone H2AX	605094	598256	730281	611213	563688	573641
P16152	P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	6205.15	5910.65	6335.93	6531.73	5891.09	5487.02
P16220	P18846;P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1	1551.52	1886.35	2308.33	1555.73	1779.7	2358.81
P16278	P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	1279.36	1129.42	1654.78	1574.56	1275.97	1500.22
P16333	P16333	NCK1_HUMAN	NCK1	Cytoplasmic protein NCK1	1186.28				949.179	798.411
P16401	P16401	H15_HUMAN	H1-5	Histone H1.5	54338.3	53493.2	57520	52595.1	54388.8	52153.3
P16402	P16402	H13_HUMAN	H1-3	Histone H1.3	2003.95	1791.9	4196.76	3023.92	2681.48	2385.17
P16403	P16402;P10412;P16403	H12_HUMAN	H1-2	Histone H1.2	117005	116329	116600	122492	117654	118183
P16435	P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	2066.08	2489.17	2242.14	2475.98	1773.21	2480.53
P16455	P16455	MGMT_HUMAN	MGMT	Methylated-DNA--protein-cysteine methyltransferase	771.534	513.358		518.068	394.686	332.692
P16615	P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	3289.39	3356.94	2645.8	3329.35	3594.41	3757.99
P16930	P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	607.314	1358.94	579.056	672.562	743.078	
P16949	P16949	STMN1_HUMAN	STMN1	Stathmin	9087.58	9203.38	8825.11	9814.13	9482.55	8793.79
P16989	P67809;P16989;Q9Y2T7	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	5671.29	5854.63	5295.94	6167.27	6088.35	4757.73
P17050	P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase		443.554		698.13	897.502	
P17096	P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	5536.37	8067.33	6207.47	7340.31	6048.59	7689.5
P17152	P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	908.084	710.607				1222.06
P17174	P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	2660.61	2832.03	2705.58	3212.24	2746.12	2668.08
P17252	P17252	KPCA_HUMAN	PRKCA	Protein kinase C alpha type	1421.62	917.879	1563.66	1267.35	1257.14	1402.41
P17275	P17275	JUNB_HUMAN	JUNB	Transcription factor JunB		515.719				
P17405	P17405	ASM_HUMAN	SMPD1	Sphingomyelin phosphodiesterase					287.101	
P17480	P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	1251.7		825.594	517.502	1274.06	1271.77
P17612;P22694	P22694;P17612	KAPCA_HUMAN;KAPCB_HUMAN	PRKACA;PRKACB	cAMP-dependent protein kinase catalytic subunit alpha	1880.63	2239.78	1558.16	2143.94		1390.69
P17655	P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	3020.68	1940.57	2850.55	2832.36	3013.04	2384.14
P17812	Q9NRF8;P17812	PYRG1_HUMAN	CTPS1	CTP synthase 1	3304.71	3010.61	3268.49	2996.61	3420.53	3327.78
P17813	P17813	EGLN_HUMAN	ENG	Endoglin	980.196	1288.68	1196.73	658.861	818.162	828.995
P17844	P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	7142.87	7452.18	6619.16	6578.87	7325.63	7425.38
P17858	P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	750.336	1020.67	677.935		777.661	319.23
P17931	P17931	LEG3_HUMAN	LGALS3	Galectin-3	7103.95	6797.17	6490.6	5986.2	6726.44	7133.44
P17980	P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	6476.42	6739.51	6128.24	6373.73	6762.55	5561.03
P17987	P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	7969.28	7730.3	7506.85	7387.08	7437.48	7828.2
P18054	P18054	LOX12_HUMAN	ALOX12	Polyunsaturated fatty acid lipoxygenase ALOX12					784.088	937.391
P18077	P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a	11518.3	11462.1	11494.5	11084.8	12954.2	12925.8
P18084	P18084	ITB5_HUMAN	ITGB5	Integrin beta-5	374.359	998.023	591.037	763.76	912.898	768.942
P18085	P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	10271.1	10277.4	9858.31	10813.3	10627.6	11299.1
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	18352.5	19907.8	19259.4	19408.9	18064.8	18659.6
P18206	P18206	VINC_HUMAN	VCL	Vinculin	10086.3	9946.73	10345.7	10192.5	10220.9	10154.5
P18564	P18564	ITB6_HUMAN	ITGB6	Integrin beta-6	4998.26	6282.11	5685.71	5569.26	6776	5152.89
P18583	P18583	SON_HUMAN	SON	Protein SON	972.258	1489.03	1119.65	935.291	1297.36	1690.14
P18615	P18615	NELFE_HUMAN	NELFE	Negative elongation factor E	936.748	881.952		881.683	652.287	989.737
P18621	P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	10858.6	12973.4	12862.5	11599.4	11634.1	12592.8
P18669	P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	19656.1	19273	17588.9	21667.1	20242.4	21653.5
P18754	P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	4881.5	5176.22	4737.89	5172.14	5226.8	4977.89
P18859	P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial	1282.48	1787.11	1589.61	1510.71	2306.55	2151.7
P18887	P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	725.951	904.881	981.484	989.94	1685.76	1008.26
P19012	P13646;P19012;CONT|P13646|K1C13_HUMAN;CONT|P19012|K1C15_HUMAN;CONT|O77727|K1C15_SHEEP	K1C15_HUMAN	KRT15	Keratin, type I cytoskeletal 15	1652.34	1329.74	1714.36	1124.17	1141.87	1590.1
P19022	P19022	CADH2_HUMAN	CDH2	Cadherin-2	1141.03	856.529	1337.96	1044.85	1055.78	610.604
P19174	P19174	PLCG1_HUMAN	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	1585.15					
P19256	P19256	LFA3_HUMAN	CD58	Lymphocyte function-associated antigen 3	1153.76	1904.91		735.635	1339.68	1418.06
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	19114.9	18517.9	19370.7	18712.1	19815.9	19502.5
P19367	P19367	HXK1_HUMAN	HK1	Hexokinase-1	2827.49	2509.76	2463.03	2541.11	2722.12	2897.7
P19388	P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	1612.88	1477.26	1379.49	1938.01	2569.43	1591.32
P19404	P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	1405.98	2549.7	1274.27	1449.45	1937.85	1138.66
P19525	P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	1160.89	1039.05	1093.74	1873.3	1080.11	349.29
P19623	P19623	SPEE_HUMAN	SRM	Spermidine synthase	7532.73	8012.51	6681.97	8628.36	7746.77	6341.97
P19784	P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	1637.04		572.479		678.523	
P20020	P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1		776.286	796.897	1006.02	763.194	
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	3190.39	3095.31	4243.63	3902.96	3972.81	3447.09
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7	3508.83	2901.48	2969.51	3025.45	3283.18	3166.49
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	3908.53	3644.38	4144.19	4507.93	4349.45	2967.75
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	1535.91	2039.11	2043.08	1850.3	2106.67	2592.81
P20340	P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	2808.99	2146.79	1435.6	2160.04	1912.74	1628.64
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	4214.42	4853.43	6290.99	5154.47	5686.11	5118.69
P20645	P20645	MPRD_HUMAN	M6PR	Cation-dependent mannose-6-phosphate receptor	3077.88	3196.42	3671.04	2819.38	2806.59	2545.13
P20674	P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	10288.5	11559.8	12996.6	11200.2	11331.3	12890.8
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	9324.83	9459.84	8468.15	8369.43	9601.11	8775.89
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin	4356.48	3744.08	5425.39	4539.23	3845.3	4198.03
P20839	P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	1300.43	1057.16	879.441	958.26	1339.73	1167.75
P20908	P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain	1035.88	1587.91	539.562	786.265	662.543	
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin	19313.6	22001.9	20148.3	17097.1	16620.4	17817.9
P21127;Q9UQ88	Q9UQ88;P21127	CD11A_HUMAN;CD11B_HUMAN	CDK11A;CDK11B	Cyclin-dependent kinase 11B	1465.2	1373.63	1389.42	1741.59	1006.12	1584.77
P21266	P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	7191.54	6931.18	7317.23	7540.89	7196.63	8094.69
P21281	P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	2318.06	2139.56	2766.04	2152.78	2563.24	2178.75
P21283	P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	890.908	856.196			1177.29	
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	13634.8	13495.9	13553.2	12605.4	14096.3	13541.6
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	57075.6	55410.6	57034.5	56859.4	57909.8	57376
P21399	P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	1047.02	1673.32	1050.94	860.13	847.355	1576.71
P21589	P21589	5NTD_HUMAN	NT5E	5'-nucleotidase		2637.54				2674.87
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	9457.18	9797.8	10080.8	10049.2	8804.02	9379.51
P21912	P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	2118.69	2730.43	3004.89	2643.58	2642.77	2863.61
P21926	P21926	CD9_HUMAN	CD9	CD9 antigen	2548.3	2107.46	2746.19	2077.27	2280.7	2110.77
P21953	P21953	ODBB_HUMAN	BCKDHB	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial		940.807	524.982			
P21964	P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	1231.13	1683.36	2014.26	1564.4	1157.25	1291.97
P21980	P21980;P49221	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	2009.94	1652.08	2027.66	2213.05	2535.73	1468.16
P22033	P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	875.57	505.835	1413.46	1299.39	990.875	1319.53
P22059	P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	525.647	949.273	989.955	436.1	755.21	961.538
P22061	P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	4852.28	4929.13	5336.85	5080.69	4926.38	5412.32
P22087	P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	3268.59	2723.26	2719.34	2927.33	2622.57	3229.44
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	3615.32	3451.04	3766.96	4067.99	4086.49	3766.72
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2	7556.44	7486.96	7757.27	8271.18	8001.97	7621.71
P22307	P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	2977.19	2621.35	3217.66	2731.69	3444.61	2617.08
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	7086.42	7307.46	7732.5	7515.79	7634.61	7732.92
P22392	O60361;P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	12063.4	11978.9	10712.8	10910.6	11595.3	12126.2
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	67044.7	62833.4	64775.1	65326.3	63703.1	68877
P22695	P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	1815.75	2224.42	2590.3	2301.22	2487.33	2210.92
P22830	P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial	661.806	366.432		548.404	577.179	
P23142	P23142	FBLN1_HUMAN	FBLN1	Fibulin-1			243.828			552.228
P23193	Q15560;P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	9604.9	9465.04	9044.06	7804.38	9783.52	8508.44
P23229	P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	517.377	806.626	544.587	334.126		1510.36
P23246	P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	19227.5	18921.5	19237.1	19372.3	18750.5	19087.7
P23258;Q9NRH3	P23258;Q9NRH3	TBG1_HUMAN;TBG2_HUMAN	TUBG1;TUBG2	Tubulin gamma-1 chain	2239.23	1713.9	2805.06	2102.99	1738.17	1321.07
P23284	P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	21119	20795.3	22118.1	22021.8	20349.3	21519.9
P23368	P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	1665.05	1122.86	1786.32	1460.59	1970.92	1517.84
P23381	P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	1717.12	1932.81	1452.56	1840.16	2090.09	1916.42
P23396	P23396	RS3_HUMAN	RPS3	40S ribosomal protein S3	13295.4	13577.8	13253	13188.9	12885.6	12914.9
P23434	P23434	GCSH_HUMAN	GCSH	Glycine cleavage system H protein, mitochondrial	847.557	851.935	677.006	1234.75	1055.41	1982.36
P23497;Q9H930	Q9H930;P23497	SP100_HUMAN;SP14L_HUMAN	SP100;SP140L	Nuclear autoantigen Sp-100		402.822			466.7	
P23526	P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	8824.23	9452.5	10017.4	8219.11	8155.54	9036.14
P23528	P23528;Q9Y281	COF1_HUMAN	CFL1	Cofilin-1	26657.4	27421.8	26889.9	26202.8	24693	26612.1
P23588	P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	6437.73	5969.37	5407.66	6229.56	4829.43	5990.89
P23634	P20020;P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	1440.32	1456.7	1118.33	926.736	1541.17	1168.98
P23786	P23786	CPT2_HUMAN	CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial		845.294	666.978		730.864	
P23919	P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	3920.84	4714.53	4433.06	4261.64	4430.96	3917.85
P23921	P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit	3058.33	3592.18	2726.92	2776.01	3243.93	2937.47
P24534	P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	24340.3	23725.1	24404	19162.6	23253	23220.4
P24539	P24539	AT5F1_HUMAN	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	3736.32	3499.78	3450.27	4384.44	4124.18	3973.77
P24666	P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	6225.51	5136.56	5584.9	5343.68	5910.88	6374.47
P24752	P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	5091.81	4506.74	4646.39	4964.32	5620.99	5116.92
P24844	P24844;P19105;O14950	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9	15835.4	13405.3	14596.7	14745.9	14797.2	14350.5
P24928	P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	1071.71		1912.08	523.343	964.307	1118.45
P24941	P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2	1517.86	1197.89	2489.55	2386.55	1014.15	1647.49
P25205	P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	5520.91	5572.77	5774.33	5035.56	4997.78	5706.57
P25325	P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	2215.69	1491.89	1352.58	1454.42	1745.83	1531.29
P25398	P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12	12125	12518.2	12068.7	14080.5	14035.8	13135.8
P25685	P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	3326.77	3264.04	3125.08	3154.09	3080.25	3351.52
P25705	P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	21690.3	20203	20710.1	22052.5	21346.4	21393.7
P25786	P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	6783.08	7102.06	8555.87	8174.77	8109.82	8029.68
P25787	P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	2618.79	2710.77	2466.99	2963.07	2650.99	3115.39
P25788	P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	4402.77	5526.87	4097.63	4825.32	4647.06	3849.98
P25789	P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	5319.79	5782.3	6545.96	6759.43	5056.49	5353.46
P26006	P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	2334.26	2028.41	2003.97	1820.35	1971.87	2078.07
P26038	P26038;P15311;P35241	MOES_HUMAN	MSN	Moesin	40532.9	40213.1	40653.8	43069.9	40617.6	40818.6
P26196	P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	2739.62	3481.7	2700.07	2546.05	2056.59	2409.41
P26232	P26232	CTNA2_HUMAN	CTNNA2	Catenin alpha-2	813.737	685.252	377.278	812.814	643.218	1207.3
P26358	P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	1295.37	1781.98	1148.5	1395.29	1222.94	1221.18
P26368	P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	4111.4	3622.28	3545.46	3476.16	3914.58	3937.43
P26373	P26373	RL13_HUMAN	RPL13	60S ribosomal protein L13	18116.4	18351	16869.7	17423.4	17313.1	17608.2
P26440	P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	1009.18	1102.58	1535.6	1470.76	1986.81	1678.47
P26447	P26447	S10A4_HUMAN	S100A4	Protein S100-A4	36535.8	34344	34794.6	39281.1	36102.6	37544.2
P26583	P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	4916.69	4668.63	5007.9	4627.76	4552.12	4638.29
P26599	P26599;O95758	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	10050.5	9569.88	9963.83	10592	10271	10729
P26639	P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	12315.7	12530	11963.1	12765.4	11415.2	12984.8
P26640	P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	2512.2	2378.72	2700.94	2699.61	2361.3	2453.97
P26641	P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	16576	16872.3	17856.5	16474.8	17453.7	17360.5
P26885	P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	4069.98	3973.29	3717.93	4604.91	4056.98	3574.03
P27105	P27105	STOM_HUMAN	STOM	Stomatin	4180.36	3399.84	2997.02	3809.8	4578.48	4906.22
P27144	P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	1449.35	1244.94	1465.77	1980.19	1793.33	703.202
P27348	P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	23842.4	23405	23241.2	22076.9	22652	22090.8
P27449	P27449	VATL_HUMAN	ATP6V0C	V-type proton ATPase 16 kDa proteolipid subunit c			1483.46	972.017	1082.61	
P27635	Q96L21;P27635	RL10_HUMAN	RPL10	60S ribosomal protein L10	13948.4	13661.7	13878.8	14299.1	13507.8	15190.5
P27694	P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	1649.55	1208.31	1515.67	1273.64	1658.1	1441.66
P27695	P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	4548.07	4373.02	4622.53	5072.7	4871.11	5053.72
P27701	P27701	CD82_HUMAN	CD82	CD82 antigen	475.737			444.461	405.058	
P27707	P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	473.175		401.721		1491.31	726.596
P27708	P27708	PYR1_HUMAN	CAD	CAD protein	2732.43	2789.51	2945.48	3091.26	2963.93	2838.1
P27797	P27797	CALR_HUMAN	CALR	Calreticulin	17310.1	17225.4	16143.3	16978.4	16402.5	17361.8
P27816	P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	6819.74	6700.86	6274.01	6859.39	7193.15	6674.05
P27824	P27824	CALX_HUMAN	CANX	Calnexin	12733	12769.8	14191.9	13308.7	11923.8	13726.1
P28066	P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	5147.39	6468.75	6201.12	5901.19	5907.19	5803.75
P28070	P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	2840.6	3408.55	3952.3	2949.62	3586.08	2924.69
P28072	P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	5093.73	5361.49	5837.79	5245.07	5297.05	6571.22
P28074	P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	2284.91	2065.74	2135.12	2360.93	1822.45	2204.34
P28288	P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	1216.84	972.723	1061.45	1165.21	1056.51	1448.98
