Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_0_25ng_1 Spectral Count	Hela_0_25ng_2 Spectral Count	Hela_0_25ng_3 Spectral Count	Hela_0_25ng_4 Spectral Count	Hela_0_5ng_1 Spectral Count	Hela_0_5ng_2 Spectral Count	Hela_0_5ng_3 Spectral Count	Hela_0_5ng_4 Spectral Count	Hela_10ng_1 Spectral Count	Hela_10ng_2 Spectral Count	Hela_10ng_3 Spectral Count	Hela_10ng_4 Spectral Count	Hela_1ng_1 Spectral Count	Hela_1ng_2 Spectral Count	Hela_1ng_3 Spectral Count	Hela_1ng_4 Spectral Count	Hela_5ng_1 Spectral Count	Hela_5ng_2 Spectral Count	Hela_5ng_3 Spectral Count	Hela_5ng_4 Spectral Count	Hela_0_25ng_1 Unique Spectral Count	Hela_0_25ng_2 Unique Spectral Count	Hela_0_25ng_3 Unique Spectral Count	Hela_0_25ng_4 Unique Spectral Count	Hela_0_5ng_1 Unique Spectral Count	Hela_0_5ng_2 Unique Spectral Count	Hela_0_5ng_3 Unique Spectral Count	Hela_0_5ng_4 Unique Spectral Count	Hela_10ng_1 Unique Spectral Count	Hela_10ng_2 Unique Spectral Count	Hela_10ng_3 Unique Spectral Count	Hela_10ng_4 Unique Spectral Count	Hela_1ng_1 Unique Spectral Count	Hela_1ng_2 Unique Spectral Count	Hela_1ng_3 Unique Spectral Count	Hela_1ng_4 Unique Spectral Count	Hela_5ng_1 Unique Spectral Count	Hela_5ng_2 Unique Spectral Count	Hela_5ng_3 Unique Spectral Count	Hela_5ng_4 Unique Spectral Count	Hela_0_25ng_1 Total Spectral Count	Hela_0_25ng_2 Total Spectral Count	Hela_0_25ng_3 Total Spectral Count	Hela_0_25ng_4 Total Spectral Count	Hela_0_5ng_1 Total Spectral Count	Hela_0_5ng_2 Total Spectral Count	Hela_0_5ng_3 Total Spectral Count	Hela_0_5ng_4 Total Spectral Count	Hela_10ng_1 Total Spectral Count	Hela_10ng_2 Total Spectral Count	Hela_10ng_3 Total Spectral Count	Hela_10ng_4 Total Spectral Count	Hela_1ng_1 Total Spectral Count	Hela_1ng_2 Total Spectral Count	Hela_1ng_3 Total Spectral Count	Hela_1ng_4 Total Spectral Count	Hela_5ng_1 Total Spectral Count	Hela_5ng_2 Total Spectral Count	Hela_5ng_3 Total Spectral Count	Hela_5ng_4 Total Spectral Count	Hela_0_25ng_1 Intensity	Hela_0_25ng_2 Intensity	Hela_0_25ng_3 Intensity	Hela_0_25ng_4 Intensity	Hela_0_5ng_1 Intensity	Hela_0_5ng_2 Intensity	Hela_0_5ng_3 Intensity	Hela_0_5ng_4 Intensity	Hela_10ng_1 Intensity	Hela_10ng_2 Intensity	Hela_10ng_3 Intensity	Hela_10ng_4 Intensity	Hela_1ng_1 Intensity	Hela_1ng_2 Intensity	Hela_1ng_3 Intensity	Hela_1ng_4 Intensity	Hela_5ng_1 Intensity	Hela_5ng_2 Intensity	Hela_5ng_3 Intensity	Hela_5ng_4 Intensity	Hela_0_25ng_1 MaxLFQ Intensity	Hela_0_25ng_2 MaxLFQ Intensity	Hela_0_25ng_3 MaxLFQ Intensity	Hela_0_25ng_4 MaxLFQ Intensity	Hela_0_5ng_1 MaxLFQ Intensity	Hela_0_5ng_2 MaxLFQ Intensity	Hela_0_5ng_3 MaxLFQ Intensity	Hela_0_5ng_4 MaxLFQ Intensity	Hela_10ng_1 MaxLFQ Intensity	Hela_10ng_2 MaxLFQ Intensity	Hela_10ng_3 MaxLFQ Intensity	Hela_10ng_4 MaxLFQ Intensity	Hela_1ng_1 MaxLFQ Intensity	Hela_1ng_2 MaxLFQ Intensity	Hela_1ng_3 MaxLFQ Intensity	Hela_1ng_4 MaxLFQ Intensity	Hela_5ng_1 MaxLFQ Intensity	Hela_5ng_2 MaxLFQ Intensity	Hela_5ng_3 MaxLFQ Intensity	Hela_5ng_4 MaxLFQ Intensity	Indistinguishable Proteins
sp|P05161|ISG15_HUMAN	P05161	ISG15_HUMAN	ISG15	165	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like protein ISG15	1.0	0.999	5	59	59	59	0	0	0	0	0	0	0	0	7	7	7	7	4	3	0	0	6	7	5	6	0	0	0	0	0	0	0	0	7	7	7	7	4	3	0	0	6	7	5	6	0	0	0	0	0	0	0	0	7	7	7	7	4	3	0	0	6	7	5	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159114.42	228136.23	221662.28	225305.31	108658.84	77273.766	0.0	0.0	248703.36	267263.84	211275.73	244966.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48792.875	56550.71	69616.71	58496.12	73553.64	84556.516	0.0	0.0	67142.6	70311.58	67738.68	65185.473	
sp|P05165|PCCA_HUMAN	P05165	PCCA_HUMAN	PCCA	728	Homo sapiens OX=9606	1:Experimental evidence at protein level	Propionyl-CoA carboxylase alpha chain, mitochondrial	1.0	0.999	3	9	9	9	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9489.469	0.0	6484.896	10152.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P05166|PCCB_HUMAN	P05166	PCCB_HUMAN	PCCB	539	Homo sapiens OX=9606	1:Experimental evidence at protein level	Propionyl-CoA carboxylase beta chain, mitochondrial	1.0	0.999	5	14	14	14	0	0	0	0	0	0	0	0	2	1	2	1	2	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	2	1	2	1	2	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	2	1	2	1	2	0	0	0	1	2	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25624.4	25431.14	25390.438	12996.591	0.0	0.0	0.0	0.0	12831.361	23867.436	13431.11	10820.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15732.317	15337.49	13158.914	0.0	0.0	0.0	0.0	0.0	0.0	12581.747	0.0	0.0	
sp|P05186|PPBT_HUMAN	P05186	PPBT_HUMAN	ALPL	524	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkaline phosphatase, tissue-nonspecific isozyme	1.0	0.999	11	109	109	109	3	0	0	0	0	0	0	0	13	13	11	10	9	8	0	5	7	9	9	12	3	0	0	0	0	0	0	0	13	13	11	10	9	8	0	5	7	9	9	12	3	0	0	0	0	0	0	0	13	13	11	10	9	8	0	5	7	9	9	12	265845.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375136.12	372129.97	329200.34	321924.06	401377.38	383231.22	0.0	368338.9	380825.2	377382.44	352623.5	358450.2	109870.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77482.39	81684.19	83596.88	84388.5	115341.86	105510.51	0.0	121474.164	98459.65	98811.57	96802.32	97418.28	
sp|P05198|IF2A_HUMAN	P05198	IF2A_HUMAN	EIF2S1	315	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit 1	1.0	0.999	15	198	198	198	3	0	0	0	0	0	0	0	22	22	21	19	18	13	0	9	20	18	18	15	3	0	0	0	0	0	0	0	22	22	21	19	18	13	0	9	20	18	18	15	3	0	0	0	0	0	0	0	22	22	21	19	18	13	0	9	20	18	18	15	340616.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	642046.9	777013.2	610879.5	617222.75	1043521.4	751554.06	0.0	930224.56	995354.7	649416.0	913758.9	927993.25	267368.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200344.7	180423.6	192142.84	158075.81	275029.53	268776.6	0.0	298995.03	235317.36	221151.14	213830.08	222419.31	
sp|P05204|HMGN2_HUMAN	P05204	HMGN2_HUMAN	HMGN2	90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Non-histone chromosomal protein HMG-17	0.9915	0.999	1	44	44	44	1	0	0	0	0	0	0	0	4	5	6	4	3	3	0	2	3	4	4	5	1	0	0	0	0	0	0	0	4	5	6	4	3	3	0	2	3	4	4	5	1	0	0	0	0	0	0	0	4	5	6	4	3	3	0	2	3	4	4	5	215156.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171648.73	154087.58	213566.64	218591.66	195424.4	223122.92	0.0	221355.27	201308.69	211383.7	214141.31	207507.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P05362|ICAM1_HUMAN	P05362	ICAM1_HUMAN	ICAM1	532	Homo sapiens OX=9606	1:Experimental evidence at protein level	Intercellular adhesion molecule 1	0.9999	0.999	2	7	7	7	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4505.5425	5484.9966	6519.367	4907.1567	0.0	0.0	0.0	0.0	8928.695	11144.806	9360.212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P05387|RLA2_HUMAN	P05387	RLA2_HUMAN	RPLP2	115	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S acidic ribosomal protein P2	1.0	0.999	8	216	216	216	7	0	0	0	0	0	0	0	31	23	32	26	15	10	0	3	14	21	18	16	7	0	0	0	0	0	0	0	31	23	32	26	15	10	0	3	14	21	18	16	7	0	0	0	0	0	0	0	31	23	32	26	15	10	0	3	14	21	18	16	742202.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	972178.0	1176763.2	1155200.6	1154180.8	744761.5	673818.44	0.0	559432.75	824008.56	544840.7	547412.4	895731.8	371386.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	517186.62	476571.9	464040.8	464813.66	347122.9	256034.75	0.0	139511.47	258060.77	293057.22	293021.94	283340.1	
sp|P05388|RLA0_HUMAN	P05388	RLA0_HUMAN	RPLP0	317	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S acidic ribosomal protein P0	1.0	0.999	12	217	45	217	11	0	0	0	0	0	0	0	26	24	19	25	15	14	1	8	20	18	19	17	1	0	0	0	0	0	0	0	4	5	4	6	5	4	1	3	4	4	3	1	11	0	0	0	0	0	0	0	26	24	19	25	15	14	1	8	20	18	19	17	998939.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1278369.9	1335449.2	1377292.1	1268516.2	1168249.2	1171786.8	0.0	958431.1	1345364.2	1284020.0	1303014.9	1322236.4	320244.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	422937.53	423971.97	437904.75	412927.34	326505.3	272707.44	0.0	344102.97	382645.2	372685.7	371540.28	390735.22	
sp|P05423|RPC4_HUMAN	P05423	RPC4_HUMAN	POLR3D	398	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase III subunit RPC4	1.0	0.999	3	7	7	7	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5926.755	5174.9517	0.0	31595.87	0.0	0.0	0.0	0.0	0.0	0.0	8954.577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P05455|LA_HUMAN	P05455	LA_HUMAN	SSB	408	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lupus La protein	1.0	0.999	16	220	220	220	5	0	0	0	0	0	0	0	27	25	23	25	13	12	0	4	19	22	22	23	5	0	0	0	0	0	0	0	27	25	23	25	13	12	0	4	19	22	22	23	5	0	0	0	0	0	0	0	27	25	23	25	13	12	0	4	19	22	22	23	417713.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	874286.2	998482.06	956948.2	964369.5	730429.5	706945.25	0.0	458242.97	885166.75	910066.25	879232.8	925512.2	170055.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174787.86	177482.58	188912.39	189096.28	190007.7	177603.16	0.0	183435.83	188684.53	186837.53	190722.61	187611.52	
sp|P05496|AT5G1_HUMAN	P05496	AT5G1_HUMAN	ATP5MC1	136	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase F(0) complex subunit C1, mitochondrial	0.9395	0.9982	1	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8323.363	0.0	0.0	234979.81	217459.47	0.0	268108.62	48247.805	29228.795	40806.5	37013.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P48201|AT5G3_HUMAN, sp|Q06055|AT5G2_HUMAN
sp|P05556|ITB1_HUMAN	P05556	ITB1_HUMAN	ITGB1	798	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin beta-1	1.0	0.999	21	355	355	355	13	0	0	0	0	0	0	0	29	41	44	42	22	25	0	14	32	33	29	31	13	0	0	0	0	0	0	0	29	41	44	42	22	25	0	14	32	33	29	31	13	0	0	0	0	0	0	0	29	41	44	42	22	25	0	14	32	33	29	31	978320.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1654838.1	1805163.0	1800525.9	1854493.1	1437652.8	1405183.2	0.0	1269836.0	1874362.6	1828662.8	1863251.6	1876469.0	203531.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197796.12	193606.02	198027.19	189871.78	213886.69	218016.44	0.0	231924.28	215074.1	217401.27	223139.58	227338.6	
sp|P05783|K1C18_HUMAN	P05783	K1C18_HUMAN	KRT18	430	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 18	1.0	0.999	28	1211	1080	1263	34	0	0	0	0	0	0	0	141	128	127	138	70	59	1	47	119	116	117	114	30	0	0	0	0	0	0	0	127	117	116	125	59	51	0	42	103	103	104	103	38	0	0	0	1	0	2	0	143	132	130	140	74	63	3	52	124	121	122	118	9199044.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9014181.0	9098655.0	8291029.0	8554888.0	1.052983E7	9353635.0	4521.8843	9020845.0	9782096.0	1.0921442E7	1.0564979E7	1.0482862E7	1119882.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1176604.2	1122398.8	1165452.5	1154866.6	1254378.4	1035974.0	0.0	1160038.4	1206614.0	1266576.5	1287518.1	1242827.8	
sp|P05787|K2C8_HUMAN	P05787	K2C8_HUMAN	KRT8	483	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	1.0	0.999	45	2603	2089	2705	71	5	3	0	3	3	3	0	291	279	269	268	166	131	5	115	247	248	253	243	59	4	2	0	2	1	3	0	242	222	224	227	126	100	4	81	196	195	206	195	77	5	3	0	5	3	5	0	298	287	274	273	177	138	5	123	259	259	263	251	2.086041E7	4271.81	0.0	0.0	2499.4243	2446.4622	3194.164	0.0	1.8631368E7	1.8923928E7	1.8519046E7	1.8592632E7	2.2805766E7	2.1228374E7	25319.338	2.084812E7	2.2245622E7	2.165504E7	2.1532066E7	2.1851926E7	2050696.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1902852.2	1809513.2	1879128.2	1866362.2	2009501.0	1900984.0	7064.9	1889690.2	1936564.1	1950892.0	1947386.4	1919435.6	
sp|P06132|DCUP_HUMAN	P06132	DCUP_HUMAN	UROD	367	Homo sapiens OX=9606	1:Experimental evidence at protein level	Uroporphyrinogen decarboxylase	1.0	0.999	5	56	56	56	0	0	0	0	0	0	0	0	7	9	6	7	3	2	0	3	5	4	4	6	0	0	0	0	0	0	0	0	7	9	6	7	3	2	0	3	5	4	4	6	0	0	0	0	0	0	0	0	7	9	6	7	3	2	0	3	5	4	4	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141620.6	149150.88	130549.086	144932.06	72693.59	39269.438	0.0	39293.18	105294.914	107790.5	109440.52	104244.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59112.215	58743.87	56907.508	54866.246	31478.41	0.0	0.0	0.0	45595.668	46941.227	47789.61	43228.84	
sp|P06280|AGAL_HUMAN	P06280	AGAL_HUMAN	GLA	429	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-galactosidase A	1.0	0.999	4	23	23	23	0	0	0	0	0	0	0	0	2	4	3	4	1	0	0	0	2	2	3	2	0	0	0	0	0	0	0	0	2	4	3	4	1	0	0	0	2	2	3	2	0	0	0	0	0	0	0	0	2	4	3	4	1	0	0	0	2	2	3	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39602.875	75134.99	59596.14	50951.0	0.0	0.0	0.0	0.0	50251.207	50733.223	40377.484	40755.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22653.31	26896.47	22742.865	18876.879	0.0	0.0	0.0	0.0	35656.78	0.0	0.0	28895.0	
sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	1.0	0.999	17	139	139	139	3	0	0	0	0	0	0	0	17	13	17	16	10	6	0	5	13	13	16	10	3	0	0	0	0	0	0	0	17	13	17	16	10	6	0	5	13	13	16	10	3	0	0	0	0	0	0	0	17	13	17	16	10	6	0	5	13	13	16	10	100016.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	396727.28	414321.47	393822.12	414913.4	339741.25	366917.3	0.0	250513.62	467846.3	458234.9	457812.1	431720.47	60890.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78501.62	80167.86	73967.82	83139.016	88597.64	102847.01	0.0	82500.84	91592.94	84981.93	89354.72	88916.97	
sp|P06454|PTMA_HUMAN	P06454	PTMA_HUMAN	PTMA	111	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prothymosin alpha	1.0	0.999	10	371	371	371	4	0	0	0	0	0	0	0	44	66	49	50	18	16	0	7	21	30	34	32	4	0	0	0	0	0	0	0	44	66	49	50	18	16	0	7	21	30	34	32	4	0	0	0	0	0	0	0	44	66	49	50	18	16	0	7	21	30	34	32	1104140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1872409.0	1937819.1	1868151.9	2022293.4	1456996.9	1294743.1	0.0	1344048.2	1765553.8	1815074.8	1886750.5	1871112.9	743495.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1098939.6	1104983.4	1062460.1	1101172.2	935555.25	885647.4	0.0	945128.9	1073496.5	1054995.6	1113897.2	1071600.8	
sp|P06493|CDK1_HUMAN	P06493	CDK1_HUMAN	CDK1	297	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclin-dependent kinase 1	1.0	0.999	10	56	56	89	0	0	0	0	0	0	0	0	6	7	7	5	6	4	0	2	4	5	7	3	0	0	0	0	0	0	0	0	6	7	7	5	6	4	0	2	4	5	7	3	1	0	0	0	0	0	0	0	10	10	11	8	9	7	0	3	7	7	11	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149290.5	318132.66	129916.09	161113.0	208246.8	250070.86	0.0	71624.64	336100.88	190299.03	282448.53	377640.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90263.74	71994.7	84361.32	82616.87	71374.04	60559.3	0.0	62016.324	82336.7	82047.55	81225.18	78091.72	
sp|P06576|ATPB_HUMAN	P06576	ATPB_HUMAN	ATP5F1B	529	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit beta, mitochondrial	1.0	0.999	20	699	699	699	14	1	0	0	0	0	0	0	75	81	80	83	33	28	2	15	72	81	74	60	14	1	0	0	0	0	0	0	75	81	80	83	33	28	2	15	72	81	74	60	14	1	0	0	0	0	0	0	75	81	80	83	33	28	2	15	72	81	74	60	1358323.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2896146.2	3110933.0	2877420.2	2942630.5	2130801.2	1446875.0	0.0	1287424.2	2585507.0	2653614.5	2707620.5	2662530.8	313612.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463472.25	475078.1	470109.53	470359.16	359214.4	271962.56	0.0	247609.61	374947.34	376271.78	374927.97	375558.34	
sp|P06703|S10A6_HUMAN	P06703	S10A6_HUMAN	S100A6	90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A6	1.0	0.999	4	266	266	266	11	1	0	0	1	0	2	0	24	27	23	22	24	20	0	19	23	22	24	23	11	1	0	0	1	0	2	0	24	27	23	22	24	20	0	19	23	22	24	23	11	1	0	0	1	0	2	0	24	27	23	22	24	20	0	19	23	22	24	23	5156515.0	0.0	0.0	0.0	0.0	0.0	4986.765	0.0	1973164.1	2090016.4	1709987.6	1903273.6	4437999.0	4654631.0	0.0	4255631.0	3134343.5	3054235.8	3118439.2	3111330.8	2094616.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	907704.06	778220.56	766043.56	715547.06	1815179.2	1886691.5	0.0	1379131.1	1164517.6	1117343.1	1143950.0	1072961.1	
sp|P06730|IF4E_HUMAN	P06730	IF4E_HUMAN	EIF4E	217	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4E	1.0	0.999	7	70	70	70	1	0	0	0	0	0	0	0	9	7	9	8	3	3	0	1	7	8	6	8	1	0	0	0	0	0	0	0	9	7	9	8	3	3	0	1	7	8	6	8	1	0	0	0	0	0	0	0	9	7	9	8	3	3	0	1	7	8	6	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	481336.4	441019.38	444669.4	430612.88	144440.88	65600.875	0.0	58312.734	404013.25	451541.78	330171.9	411418.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124245.664	107912.1	119840.03	116353.08	60684.836	0.0	0.0	0.0	91068.91	102805.95	100427.086	98513.69	
sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-enolase	1.0	0.999	22	2322	2184	2322	47	2	0	1	1	1	3	0	264	259	268	250	140	126	6	105	211	220	205	213	41	2	0	1	1	1	3	0	249	248	252	237	129	117	5	99	201	208	190	200	47	2	0	1	1	1	3	0	264	259	268	250	140	126	6	105	211	220	205	213	1.4624149E7	3132.3394	0.0	0.0	0.0	4150.2476	11501.449	0.0	1.4414836E7	1.4073616E7	1.4123903E7	1.4023455E7	1.6256063E7	1.5650273E7	8998.083	1.4212346E7	1.5731935E7	1.5518787E7	1.5948622E7	1.5213099E7	2457934.5	0.0	0.0	0.0	0.0	0.0	9906.758	0.0	2387505.8	2333248.8	2330920.0	2347628.0	2201498.8	1968274.8	7640.449	1700569.4	2166279.2	2189590.8	2209002.5	2125963.0	
sp|P06737|PYGL_HUMAN	P06737	PYGL_HUMAN	PYGL	847	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycogen phosphorylase, liver form	1.0	0.999	29	244	208	244	1	0	0	0	0	0	0	0	29	28	34	31	12	9	0	5	25	24	24	22	0	0	0	0	0	0	0	0	25	23	27	26	11	8	0	5	21	21	22	19	1	0	0	0	0	0	0	0	29	28	34	31	12	9	0	5	25	24	24	22	73795.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	860908.8	901010.44	893742.56	940441.2	543875.4	523671.5	0.0	251235.33	890595.3	755057.7	786931.9	916849.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101792.61	99389.58	100698.914	102362.336	111263.89	105878.9	0.0	102481.0	110454.92	110231.63	114069.68	116165.29	
sp|P06744|G6PI_HUMAN	P06744	G6PI_HUMAN	GPI	558	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucose-6-phosphate isomerase	1.0	0.999	20	646	628	646	10	0	0	0	0	0	0	0	77	83	67	74	31	20	0	17	67	67	70	63	9	0	0	0	0	0	0	0	76	82	65	73	29	19	0	16	65	65	68	61	10	0	0	0	0	0	0	0	77	83	67	74	31	20	0	17	67	67	70	63	1698749.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3191993.5	3222036.2	3262964.0	3276970.5	2421561.2	2179369.5	0.0	2056585.4	2784935.0	2782253.2	3061715.2	3097002.8	668757.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	444828.78	401720.75	454803.62	443665.94	344761.5	318303.72	0.0	369305.53	404040.28	410242.8	431401.44	417866.53	
sp|P06746|DPOLB_HUMAN	P06746	DPOLB_HUMAN	POLB	335	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA polymerase beta	0.9346	0.998	1	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97154.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P06748|NPM_HUMAN	P06748	NPM_HUMAN	NPM1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleophosmin	1.0	0.999	12	609	579	609	20	0	0	0	1	0	2	0	57	57	51	63	44	35	0	23	74	67	58	57	18	0	0	0	0	0	2	0	56	55	50	60	41	32	0	21	70	64	57	53	20	0	0	0	1	0	2	0	57	57	51	63	44	35	0	23	74	67	58	57	5158282.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4044512.5	4267403.5	4118199.2	4147900.8	5328374.0	5425661.0	1044.1385	5842543.0	5463518.0	5606665.0	5478474.0	5371998.5	1950572.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	914969.9	920053.9	917633.2	919895.1	1648809.8	1975358.5	0.0	2177304.2	1561506.2	1509186.1	1473848.4	1385524.4	
sp|P06753|TPM3_HUMAN	P06753	TPM3_HUMAN	TPM3	285	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tropomyosin alpha-3 chain	1.0	0.999	27	307	93	781	6	0	0	0	0	0	0	0	37	31	34	31	17	14	0	13	29	33	31	31	2	0	0	0	0	0	0	0	13	9	11	9	3	3	0	3	12	8	9	11	9	0	0	0	0	0	0	0	106	97	92	96	33	32	1	23	72	63	79	78	564313.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1128451.4	1252902.4	1225089.0	1154534.8	834450.1	645267.0	0.0	550881.25	1149193.0	1025001.56	1038755.9	1229072.1	199433.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240484.64	243269.22	251678.58	248057.22	223927.6	179052.58	0.0	205716.1	253387.69	248768.31	247906.47	245673.5	
