Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5563.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5564.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5565.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5566.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5567.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5569.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5570.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5571.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5572.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5573.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5575.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5576.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5577.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5578.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5579.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5581.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5582.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5583.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5584.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5585.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5587.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5588.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5589.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5590.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5591.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5592.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5593.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5594.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5595.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5596.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5597.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5598.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5599.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5600.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5601.d
P19784	P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'							414.306		793.546		453.265	597.343	460.208	296.967	146.802	733.057	453.597		645.95	328.118		470.043	978.275	247.281	370.564	1098.52	525.301	335.877	461.573	868.069		505.285			449.173
P20020	P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1								400.874			580.084			327.007	431.085	394.686			147.047			332.754	445.083			981.195	225.123		614.389	207.492	682.144			421.309	415.717
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2						2711.37	2143.62	2451.89	3074.68	2956.5	2233.26	2399.5	2161.13	1934.67	2332.94	2050.81	2284.37	2239.61	1930.13	2544.85	1742.1	2321.3	1747.74	1657.73	1840.67	2293.55	2540.21	2814.55	2539.53	2227.68	1952.39	2105.05	2044.59	2586.21	2208.68
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7						1585.7	1863.95	1915.44	1959.86	2540.81	1860.7	2293.63	2327.01	2160.08	1991.34	2566.05	2228.33	2025.88	2844.06	2257.92	1931.03	1586.38	2088.64	1806.37	1920.54	2139.04	1858.92	1788.75	1898.6	1932.83	2129.12	1808.83	1989.4	1891.1	1744.09
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3						4722.93	3378.22	3746.4	2611.7	2614.08	3465.35	3267.66	2947.84	3153.94	1996.56	3795.33	3119.15	3352.99	3635	3455.82	2969.67	3591.71	3228.94	3342.95	3521.07	3155.86	2398.33	2630.2	3587.11	2017.15	3141.65	3529.38	3518.61	2212.97	2551.7
P20338	P20338	RAB4A_HUMAN	RAB4A	Ras-related protein Rab-4A															524.965					682.616															
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A						1181.64	862.156		2377.15	1485.27	1364.19	1634.88	1523.13	1172.03	2117.83	1706.47	1321.18	615.654	575.102	1539	1252.36	849.621	1401.6	706.684	1047.65	1090.63	1382.2	1488.22	1973.82	1067.06	1007.81	1381.16	958.781	1262.39	1431.86
P20340	P20340;Q53S08	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A						3740.49	1264.22	1747.69	1828.19	2040.8	869.51	1559.4	1021.75	1366.19	1372.71	1522.88	1390.64	1301.99		1543.03	1736.31	2120.62		806.288	1200.43	1033.44	1302.89	1284.43	1104.82	1320.04	1166.98	1110.4	838.192	886.953	1251.62
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1						3705.85	2812.28	3668.55	4117.92	4288.62	3350.54	3707.64	3837.5	3894.33	3298.11	3589.2	3876.3	3476.03	3417.58	4829.93	3568.54	3557.18	3578.93	4095.08	3454.21	4239.23	4826.9	3819.18	4134.78	4535.59	3638.87	3766.46	3640.22	3356.43	3642.94
P20645	P20645	MPRD_HUMAN	M6PR	Cation-dependent mannose-6-phosphate receptor											503.536										933.972	1259.29	905.855	937.542	839.828	1329.6		1332.15	462.381	1040.23	740.232	1271.32	857.569	1189.19	1641.39
P20674	P20674	COX5A_HUMAN	COX5A	"Cytochrome c oxidase subunit 5A, mitochondrial"						9510.1	9876.86	10740.7	9781.82	9506.82	10391.6	9452.17	8647.43	10009.6	11359.4	9150.69	10710.5	8585.15	10362.1	9176.84	10963.5	10193.6	9031.38	7764.15	9690.47	10125.1	11523.8	11028	11198.5	10833.4	9524.1	12284.7	9959.14	9968.67	10313.6
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	1.10E+06	945331	938725	499942	552827	5498.51	4683.74	4900.53	4358.53	4560.32	5227.39	4690.07	5260.76	4575.77	5291.06	5397.88	5222.49	5406.13	4358.01	5645.34	4842.09	5036.46	4902.48	4803.98	4375.97	4718.56	4343.48	5187.08	4595.25	4386.6	4935.12	4883.06	4873.58	5023.91	4948.01
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin				494524		1263.61	2119.84	2181.11	1285.52	1416.96	1696.17	1749.73	1724.52	1864.6	1796.21	1673.21	1379.26	2247.41	1179.21	1603.04	1566.59	1684.24	1934.46	1396.7	1463.12	1113.74	1359.14	1293.6	1519.25	1377.39	1776.89	1690.67	1255.04	1761.48	1331.6
P20839	P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1						427.065	610.742				559.745	936.957	630.845		379.322	1093.67	734.769	308.155	529.41	594.304	484.221	468.027	577.738	603.922	570.535		612.245		568.902			522.415	394.091	486.055	705.519
P20908	P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain						623.023				563.293	358.436	508.104		706.64	727.482	867.303	343.447	479.607	318.527	1022.34				338.757	492.452	267.996	415.266	565.079	1048.32	905.543	514.216	721.914	784.472	328.023	1906.05
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin								22601			15750.7	15932.3	13778.6	16123.9	13728.4	14051.6	13485.6	13771.8	14107.6	14425.8	14758.4	13955.7	15318.8	14583.5	14595	14439.6	14596	12934.4	14948.7	16026.2	15159.4	14516.2	16081.5	13670.5	15567.3
P21127	Q9UQ88;P21127	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B				305727							1007.59	570.489		1561.17	754.894		498.598	813.61	502.435	749.308	325.123	763.067	1138.42	610.048	556.923	763.546	760.231	696.199	647.35	703.064	734.513	723.435	647.329	944.762	1252.07
P21266	P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	2.98E+06					6378.36	6240.33	5468.02	5983.05	6637.76	6121.33	5950.68	5364.79	5368.02	6314.6	6737.68	5990.22	5730.35	6556.76	6141.49	6997.38	6328.75	6274.48	7909.17	7096.27	6870.35	6308.09	5927.84	6295.71	6548.56	7262.61	6668.56	6496.44	6437	6317.02
P21281	P21281	VATB2_HUMAN	ATP6V1B2	"V-type proton ATPase subunit B, brain isoform"						865.548	964.505	1605.29		750.356	634.986	915.878	570.476	880.917	827.88	704.071	844.096	950.81	1071.93	842.999	781.975	1189.43	546.962	737.266	723.652	767.482	722.552	565.11	845.742	928.561	850.978	873.084	745.389	1043.45	867.838
P21283	P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1								497.026	391.332		643.226	508.775	1114.71	315.605	375.478				597.49	723.206	757.862	767.073	581.249	469.261	831.225	560.208	1024.5	626.988	533.576	930.914		741.296	361.46	684.022	796.672
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	2.19E+06	2.60E+06	1.59E+06	626316	835729	8349.73	11200.8	10585.5	6635.75	7743.88	10397.7	8800.01	9143.72	9381.09	8954.84	10758.4	11427.6	9591.02	10238.4	9090.04	9937.2	10538.5	9325.96	9070.39	9308.96	10186.4	9220.29	9311.63	9474.81	8963.21	8400.49	8398.3	9865	8604.08	9575.58
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	1.24E+07	8.43E+06	7.76E+06	3.66E+06	3.45E+06	43080.6	44522.6	45572.3	43321.2	42276.8	44792.9	43868.8	45117.2	43547.7	45299.3	44981.3	44970.8	43999.4	43333.8	46582.9	43728.9	44162.7	43687.9	42495.8	44111.3	43428.7	42328	43892.5	41592.1	42699.8	42683.5	42922	43225.6	43297.4	42110.4
P21399	P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase						986.051	687.647	1437.31	1282.97	926.5	698.226	838.408	757.787	2345.28	670.494	1398.81	963.957	904.777	807.046	881.029	873.137	735.637	1366.11	916.901		822.479	489.961	865.483	1064.28	1383.27	1373.84	1169.8	1408.89	763.651	858.644
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1						5403.63	4552.69	5982.52	5844.14	5361.56	8287.32	7407.21	6862.87	7111.6	6705.32	7093.41	6892.94	6462.34	6516.64	6625.89	6987.39	7061.94	7229.84	6122.56	7643.39	7300.12	6754.3	6483.41	6202.44	6649.12	5714.68	6232.22	6496.94	7317.93	7272.38
P21912	P21912	SDHB_HUMAN	SDHB	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"						990.899	1210.28	1958.71	1331.19	3469.84	1480.57	1647.31	1792.65	1553.62	1756.2	1923.61	1632.16	2125.91	1663.1	1031.82	1370.75	1565.61	1589.37	1462.03	1472.49	1859.46	1617.79	1287.58	1883.95	1621.64	1524.04	1254.27	1199.55	1514.51	1797.14
P21926	P21926	CD9_HUMAN	CD9	CD9 antigen						639.618	2022.22	1136.9	1486.75	868.02	1404.11	972.564	1398.18	1555	1243.49	1574.33	1102.17	1267.03	1415.84	948.41	684.964	1236.15	1061.64	841.641	1224.75	841.699	1222.46	1076.52	1394.7	463.62	787.126	361.677	658.94		786.856
P21953	P21953	ODBB_HUMAN	BCKDHB	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"								421.876			543.494				188.566				455.323		324.551								499.743	248.369	259.356			282.927	
P21964	P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase												305.316	221.63								138.185	446.01	289.677	291.855		394.467				414.159	393.206	488.904	502.066	320.947	260.183
P21980	P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2			223236			1180.62	1453.06	1808.33	1767.71	1398.42	1159.65	1198.28	956.086	1589.68	736.68	1188.63	1270.72	1440.71	1155.24	1341.09	1234.79	1228.99	1407.61	1449.26	814.245	957.661	923.012	1171.52	1058.27	1320.7	1162.57	1341.72	1080.22	931.466	1115.61
P22033	P22033	MUTA_HUMAN	MMUT	"Methylmalonyl-CoA mutase, mitochondrial"										541.342			520.273		202.503	290.697		235.233	286.808		236.467	602.422	525.516	602.128		472.906	459.999	241.087	736.266	441.641	260.917	354.609	447.63	443.924	208.794
P22059	P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1									472.312	406.788	446.069	759.481	579.08	478.028	427.419		703.546	761.236	583.999	356.937	279.997	567.048	651.874	846.951	698.56	542.688		382.005	615.841	479.891	294.065			258.497	628.422
P22061	P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase						3521.83	4377.32	4714.69	2565.81	3677.45	4420.5	3503.94	4253.66	3447.24	4286.85	4172.29	3375.57	3453.49	4067.01	4065.69	4413.92	3371.33	4007.73	4276.59	4135.55	4959.23	3552.79	4388.25	3927.12	4251.94	4133.81	3537.07	4013.58	4586.82	3183.38
P22087	P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin			1.55E+06			2668.07	2137.24	1478.29	2345.74	2121.26	2088.22	1482.71	1584.55	1711.13	2044.28	2085.83	2268.68	2040.1	1711.06	1760.22	1649.22	1355.92	1286.7	1585.04	2374.94	2011.2	1990.41	1583	2045.17	1765.88	1583.72	1508.82	1871.51	1878	1505.75
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3						2790.17	1821.85	1578.1	3028.33	2432.42	1886.41	2363.2	2329.39	2345.71	2838.43	2713.76	2676.3	2758.59	2106.99	2365.83	2577.4	2398.04	2715.07	2417.43	2545.38	2329.11	2558.58	2390.11	2541.01	1945.96	2216.63	1723.32	2476.79	2226.03	1924.46
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2						6123.53	6201.83	6079.59	5072.34	5044.61	6079.8	6841.05	6255.28	5667.17	4775.64	6733.42	5793.75	5252.13	5790.28	6099.5	6427.45	5573.4	5713.16	6814.48	6125.31	5910.84	5570	5444.95	5718.38	6591.02	5743.46	5553.69	5449.95	5923.8	5607.87
P22307	P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	647009					1651.19	1762.55	2061.34	2316.37	924.323	1991.66	1819.08	2173.79	1901.58	1543.14	1524.97	1963.71	1774.46	1584.92	1051.58	1074.57	1447.94	1750.35	1265.77	1338.24	1532.99	1372.95	2107.67	1197.14	2249.1	1035.75	1311.18	1527.87	1310.95	1203.01
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1				1.44E+06		4536.62	4591.01	4832.9	4375.23	5003.46	5388.08	5155.27	5071.35	4981.81	4785.18	5458.99	5257.13	5277.34	5203.71	5753.76	5307.7	5701.29	5147.85	4776.33	5120.21	5123.19	5515.87	4700.83	5051.52	5950.94	5100.26	5166.26	5860.05	5305.27	5190.41
P22392	O60361;P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	1.64E+06	3.55E+06	1.93E+06		1.43E+06	2839.77	3219.43	5610.19	4951.69	4737.01	11378.2	11184	9827.85	12536.4	9404.29	10795.5	11031.3	10795	9837.12	10070.6	10381	10345.9	10303.8	12102.7	9969.41	9029.23	11026.8	9324.86	11326.6	10170.2	11369.3	13278.1	10568	11910.8	10876
P22570	P22570	ADRO_HUMAN	FDXR	"NADPH:adrenodoxin oxidoreductase, mitochondrial"																							500.527										997.473		
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	9.08E+06	5.80E+06	6.01E+06	2.95E+06	940107	36179.4	35926.3	37749.6	33122.4	37913.5	39395.8	37971.6	38994.4	38209.6	36988.8	36902.4	39064	37149.8	36379.9	36120.7	36877.4	38097.9	35086	38991.1	38099.3	39901.3	40048.4	38445.4	36757.9	38207.7	38963.6	37839.1	37350.5	37766.7	38992.4
P22695	P22695	QCR2_HUMAN	UQCRC2	"Cytochrome b-c1 complex subunit 2, mitochondrial"						1359.23	1646.01	1516.03	1648.67	1283.27	1805.97	1963.11	1867.87	1358.52	1809.22	1283.85	1479.47	1646.97	1544.64	1315.13	1399.11	1706.98	1623.8	2538.91	1596.17	2223.74	1769.97	1433.87	1783.24	1912.98	1544.4	1698.88	1749.67	2122.9	1853.63
P22830	P22830	HEMH_HUMAN	FECH	"Ferrochelatase, mitochondrial"						319.396	479.081					422.69			376.374	788.312				433.147	604.888	477.035	419.985	480.834	392.522	287.194	528.011						183.725	396.297	645.414
P23193	Q15560;P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1		864441			478045	2703.75	2059.26	1395.61	1630.53	2223.25	1254.16	1723.2	1427.8	918.613	2170.58	1364.58	2748.24	1234.38	1912.45	1965.12	1004.61	1631.95	1603.58	2787.66	1654.96	1527.58	809.324	1633.49	1782.71	1693.03	2433.02	2235.03	772.626	1538.76	1950.19
P23229	P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6			138120								540.772	903.796	354.442	693.199				724.215	573.447		393.118		370.758	452.903	641.53		522.648	661.903		538.173	758.591	677.084			
P23246	P23246	SFPQ_HUMAN	SFPQ	"Splicing factor, proline- and glutamine-rich"	2.50E+06	4.99E+06		2.37E+06	856690	16946.6	15076	16496.6	17050.8	18001.3	14694.8	16161.2	15507.9	17904.4	17230	17534.4	17808.1	17302.9	17106.3	16399.6	17726.9	15807.9	15188.8	17388.9	16439.8	16172.2	18338.1	16577.1	17815.9	17077.9	16751.6	16978	16182.2	15590.2	15975.8
P23258	P23258;Q9NRH3	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain								1224.47	2732.58	1813.37	1727.71	1204.88	914.135	820.18		1028.77	888.439	1443.47	1084.71	1064.07	1022.58	1053.76	879.293	809.931	848.607	1154.86	926.695	886.873	1114.85	1438.63	1526.93	535.481	918.052	1024.07	1157.68
P23284	P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B			2.31E+06	2.27E+06		9511.77	3518.42	3159.85	8923.83	6821.46	13474.6	13304.9	11991.3	13019.6	12091.1	16592.7	14408.5	12590.6	14646.1	14113.3	12816.5	12840.5	11518.5	13288.1	13886.2	11452.9	12408.4	10883.3	11740.4	12069.6	12086.9	10796.4	10989.7	11399.9	13057.6
P23368	P23368	MAOM_HUMAN	ME2	"NAD-dependent malic enzyme, mitochondrial"						1073.63	1198.09		1080.77	1391.79	928.353		555.787	830.443	1860.02	759.747	930.236	805.256	893.032	1038.77	457.413	791.939	960.403	1039.25	1058.55	892.833	872.444	1205.95	645.793	569.773	997.488	770.609	747.818	645.03	885.347
P23381	P23381	SYWC_HUMAN	WARS1	"Tryptophan--tRNA ligase, cytoplasmic"						926.895	1087.38	911.253	940.86	1380.33	1084.85	938.566	1086.42	842.735	1101.32	1370.03	1027.87	848.801	483.475	705.479	970.81	1225.38	1332.56	912.616	830.852	1226.09	785.946	1182.41	966.49	1054.5	1167.43	976.909	1033.78	904.128	908.226
P23396	P23396	RS3_HUMAN	RPS3	40S ribosomal protein S3		2.15E+06	1.80E+06	963123	365968	9635.21	9626.63	7943.03	8574.62	8659.4	9350.93	9655.03	8359.95	9373.58	8908.79	8755.71	8774.25	9115.42	9285.94	8720.67	9405.72	9016.41	8524.4	8853.7	9198.11	8655.44	8505.05	8793.57	9759.18	9166.75	8727.4	9256.1	9247.76	8952.78	8727.18
P23434	P23434	GCSH_HUMAN	GCSH	"Glycine cleavage system H protein, mitochondrial"											505.267	899.296	571.78		655.527		755.041	427.598	702.908	732.932		554.106	650.538	730.831	864.829			394.756		1035.96	633.471	562.942	416.828	770.161	
P23443	P23443	KS6B1_HUMAN	RPS6KB1	Ribosomal protein S6 kinase beta-1																				442.421															
P23526	P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	2.07E+06		691720	207382		7192.74	6918.79	7739.58	6927.39	7215.13	7746.53	7002.54	6832.47	8406.61	7321.46	8616.54	7739.8	7494.56	6781.16	7688.42	7562.46	7379.98	7089.06	7393.42	7836.55	8042.79	7748.19	7863.83	8108.69	6601.79	7927.85	7331.24	7206.77	7055.77	8054.15
P23528	P23528;Q9Y281	COF1_HUMAN	CFL1	Cofilin-1	6.61E+06	4.93E+06	5.90E+06	2.14E+06	2.56E+06	19256.2	20592.5	21960.8	20793.6	20857.4	24880.5	23834.8	24186.1	24235.6	25968.2	26572.3	26165.5	24226.1	22011.4	22533.5	25279	24191.9	25468	25462	23481.4	24040.1	24995.4	22961.4	23916.6	25755.6	27745.5	26161.2	25537.4	25347.2	27220.4
P23588	P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B		846810				7042.53	5317.71	4606.46	4683.61	4125.31	5377.57	5399.63	4335.44	5704.09	6839	5889.52	5312.47	5618.97	5790.47	6482.77	4213.48	5406.84	4677.91	5288.72	3999.2	4308.19	5463.05	3678.73	5213.73	5580.84	5686.49	5843.94	4782.17	4347.12	4728.46
P23634	P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4							467.455			465.337			398.779		145.323						166.823		538.069		440.168							477.552		947.837	
P23786	P23786	CPT2_HUMAN	CPT2	"Carnitine O-palmitoyltransferase 2, mitochondrial"										95.9186				1208.05	700.648	980.267	643.115			938.248	474.538		419.409	452.202		585.22	518.822		172.689	454.605	530.37			588.316	289.702
P23919	P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase						3183.66	3863.35	3284.05	3756.91	2759.43	2345.13	2689.82	2147.06	2316.06	2367.9	2186.97	2529.76	2442.99	2582.89	2759.43	2353.98	2517.42	2698.76	2732.77	2434.41	2548.63	2602.11	2879.25	2638.32	2590.55	2567.4	2180.86	2635.46	2695.98	2974.2
P23921	P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit	1.01E+06					1675.69	1824.37	2079.18	2391.55	2238.82	2083.19	1925.99	1601.07	2120.22	1857.65	1945.72	1561.82	2205.46	2032.19	1942.93	1849.92	1786.66	2134.26	1739.55	1990.27	1844.84	1695.56	1562.4	1618.92	1858.17	1692.13	1759.82	1672.26	1837.59	1836.59
P24534	P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta						16726.2	13478.8	15337.6	14725	15989.4	17243.5	17028.5	18845.1	14270.4	16837.2	16361.4	15436.5	17439.2	18899.9	16563.4	16169.1	16325.8	18410.4	16125.8	15129.2	17823.8	19483.6	18181.6	17753	15009.7	17754.3	16650.6	17410.7	19313.4	21434.3
P24539	P24539	AT5F1_HUMAN	ATP5PB	"ATP synthase F(0) complex subunit B1, mitochondrial"						2871.07	2911.13	2662.16	3601.16	2338.07	2680.92	3143.38	2456.51	2884.02	2089.46	2186.51	2489.36	2481.58	2198.65	2571.96	2217.95	1978.83	2392.78	2731.22	2542.86	2441.86	2244.36	2430.89	2215.68	1977.74	2346.88	2718.96	2029.97	2724.21	2149.35
P24666	P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase			2.58E+06			4587.42	5429	5643.19	6443.68	6071.69	5705.96	4953.11	5582.69	4970.61	5591.09	5590.35	5798.03	6472.73	6005.1	5050.97	4812.84	6058.83	5555.93	5591.01	3837.61	5352.47	6037	4704.54	5294.6	5723.17	4814.67	5511.3	5207.3	4977.54	4394.75
P24752	P24752	THIL_HUMAN	ACAT1	"Acetyl-CoA acetyltransferase, mitochondrial"						3111.55	2620.34	3184.3	4228.95	3525.75	3122.74	3194.07	2727.54	2391.93	2945.35	2838.77	3221.04	3834.59	3632.96	3489.3	2785.27	2489.24	2983.55	3038.68	2938.61	3108.38	3856.7	3734.25	3321.52	2696.58	3319.86	3129.3	3077.71	2802.87	3654.31
P24844	P24844	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9		9.17E+06	8.00E+06	2.21E+06	1.31E+06	7987.15	9381.7	5511.23	9005.77	6177.98	8457.38	10153.1	7210.73	9495.74	8637.81	6455.68	9618.26	7734.19	9246.37	8007.52	8292.6	7734.85	10003.8	8170.78	8339.31	8232.37	6815.55	7244.1	9044.08	8124.46	8693.34	8025.98	7629.01	7881.88	8388.11
P24928	P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1														504.418	351.398			370.775				681.643	265.481	393.354		826.304				452.803	715.71	505.217	316.394	216.346	541.517
P24941	P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2						698.629	781.281		1064.63		1233.12	1210.92	1206.14	1118.43	406.654	1137.63	1376.55	1349.71	1133.93	716.819	1248.96	1194.81	726.464	1203.77	1570.74	1251.06	1121.32	1274.04	1082.94	1336.21	1322.31	1244.83	1511.47	866.062	987.089
P25205	P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3						4916.39	4448.78	4651.61	4263.35	4591.92	3998.01	4057.81	4319.57	4434.43	4847.31	4362.98	3920.16	4254.31	4304.58	4534.69	4057.15	3996.06	4333.92	4205.89	4326.55	3914.26	4092.26	4005.17	4320.85	3650.79	3737.88	3413.06	4173.45	4276.59	3557.76
P25208	P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta																		509.84		293.869					220.588				321.03		63.5456				
