Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5765.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5766.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5767.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5768.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5769.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5770.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5771.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5772.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5773.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5774.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5775.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5776.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5777.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5778.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5779.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5780.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5782.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5783.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-26-2024_Slot2-91_5788.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-26-2024_Slot2-91_5789.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5840.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5841.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5842.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5843.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5844.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5796.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5797.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5798.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5799.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5800.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5801.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5802.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5803.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-27-2024_Slot2-91_5804.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-27-2024_Slot2-91_5805.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5806.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5807.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5808.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5809.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5810.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5811.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5812.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5813.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5814.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5815.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5834.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5835.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5836.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5837.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5838.d
Q12841	Q12841	FSTL1_HUMAN	FSTL1	Follistatin-related protein 1						262.955	351.375	186.341						700.433	250.988				122.391	350.047				282.779				789.37						829.107	604.868	467.025					997.58		477.903							
Q12849	Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1	1961.49	2495.77	2389.16	3044.13	2354.55	1963.64	1827.85	1922.67	2160.78	1645.61	2072.8	2379.19	2166.6	2656.7	1945.39	1504.88	1792.52	1972.99	2704.32	2029.29	2630.23	2143.27	1636.37	1695.36	2049.38	2318.05	2558.38	1959.68	1495.08	3178.05	2165.86	2699.63	3547.31	2465.89	1985.01	1812.18	2080.63	2380.4	1335.7	2254.45	2120.57	1647.54	2396.92	1246.48	2256.83	2093.6	2212.51	1887.96	3128.59	2050.23
Q12873	Q12873	CHD3_HUMAN	CHD3	Chromodomain-helicase-DNA-binding protein 3						576.979				525.966				617.253	879.274	708.021																				1200.67														
Q12874	Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3	2754.9	3106.7	2509.2	3146.36	1634.56	2317.73	3070.67	2948.07	2283.06	2478.6	2937.01	3332.56	3355.69	3152.23	3381.38	2854.32	2473.06	3273.32	2771.58	2741.2	2794.97	3647.52	2938.86	3366.93	3671.36	2731.06	2598.48	2475.01	2724.5	2993.61	2826.74	2284.41	2973.37	2087.38	2473.43	2907.35	3205.46	2321.41	2978.37	2528.27	2494.36	2575.04	2607.56	2310.8	2249.09	2487.54	2155.7	2391.52	2347.73	2933.1
Q12882	Q12882	DPYD_HUMAN	DPYD	Dihydropyrimidine dehydrogenase [NADP(+)]																															709.984		1231.36		369.478										737.094					
Q12888	Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1	1802.97	2109.7	2070.68	1349.25	994.349	1535.21	1199.95	1102.56	1654.31	1134.32	1228.17	1081.03	1500.87	1006.75	1341.26	1648.3	1456	1187.05	1783.87	1165.51	1427.34	1592.32	1239.49	959.532	1146.97	1756.38	1161.18	1741.18	935.28	1423.87	990.321	1602.05	1601.2	835.896	1581.48	1181.49	1060.49	1385.48	1870.31	1348.95	1026.04	1757.27	1650.41	1367.92	1812.52	542.695	2461.41	1458.79	1121.31	1820.75
Q12904	Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	2696.4	2684.7	2188.1	2151.58	1812.82	2689.34	2597.87	2844.01	2682.11	2510	2236.64	2478.53	2280.54	2384.97	2364	2240.68	2068.09	2054	2119.03	2241.92	2118.74	3214.21	1782.61	2306.26	2811.38	2172.41	2354.45	2280.09	1937.72	1782.17	2359.39	2005.29	2424.3	2653.78	2453.18	2242.33	2354.09	2274.76	2372.38	2471.57	2507.83	1687	2138.79	2413.6	2338.42	2344.12	2935.96	2886.31	2444.41	2397.11
Q12905	Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	3506.82	3869.35	3437.33	3685.43	4251.26	3405.58	3291.54	3571.26	3737.66	3418.56	3709.14	3443.56	3359.01	3743.58	4364.12	3202.21	3442.09	3491.74	3888.01	3366.45	2863.55	3458.77	3213.27	3429.01	2891.91	3160.36	3176.41	3012.83	2924.1	3013.86	3200.69	3587.3	3982.43	3736.64	3724.27	3302.13	3349.26	4398.52	2919.6	4195.78	3440.92	4160.75	3812.01	3262.34	4410.9	4039.68	3080.56	3660.13	3559.17	3008.28
Q12906	Q12906;Q96SI9	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3	6009.6	6543.73	6140.06	7246.38	6841.31	6771.24	6776.88	6086.22	6749.17	6270.52	6772.48	6743.46	7072.84	7284.01	7342.83	6500.73	7236.2	6872.61	6311.35	6600.43	6830.31	6946.97	6771.53	6686.1	6412.43	6598.85	5933.03	6928.75	5985.07	6532.57	7204.22	6883.18	6551.28	6698.55	6767.71	6590.36	6658.73	7075.7	7041.45	5844.2	6907.78	6366.9	6876.91	6931.56	6691.15	7150.42	7132.07	7100.03	7205.87	6832.68
Q12907	Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	4024.44	4330.7	4071.31	3335.36	3658.35	3863.71	4389.28	3713.72	3957.75	3356.68	3928.88	3669.4	3562.06	3784.62	3613.17	3293.8	3700.48	3403.01	3112.22	3173.49	3813.26	2856.84	3739.95	3695.4	3298.27	3370.28	3563.99	3405.87	3194.11	3441.62	4222.69	2753.58	3257.47	4053.32	4068.1	3059.91	3470.7	3369.22	3810.82	3698.81	3702.87	3395.92	3795.71	3307.74	3944.38	3232.35	3496.77	3318.42	3064.85	3088.19
Q12913	Q12913	PTPRJ_HUMAN	PTPRJ	Receptor-type tyrosine-protein phosphatase eta				1335.17	885.929				328.39		1128.09		560.098				893.987		474.311			766.208							1063.43	1599.84		1744.42		1200.42			629.171			888.157		1027.59		455.557			1075.36	812.164	566.875	740.151
Q12931	Q12931	TRAP1_HUMAN	TRAP1	Heat shock protein 75 kDa, mitochondrial	79721.2	78703.3	82973.8	73519.8	72520.1	77065.8	74620.2	73367.8	75916.3	80410	72432.4	73452	72534.8	74956.6	73949.5	79012	68832.9	72416	76310.6	77844.2	80674.5	76572.2	75526.6	75939.7	80818.1	80910.3	75899.8	74189.3	69728.2	65728.1	71039.2	71463.7	72346.4	77590.4	73632	75486.5	71159	73897.1	74270.2	73117.3	69742.6	74396.1	73837.8	70928.2	73065.5	67472.8	78002.8	75863.2	74503.6	74879
Q12965	Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie	959.413	735.211	1127.75	723.216	907.658	782.284		820.74	890.823	692.975	777.196	854.829	738.405	724.69	651.093	847.94	490.628	1253.14	1005.76	851.874	733.809	584.174	955.245	1104.09	991.381	1669.1	1875.23	880.295		970.615	1182.41	860.474	847.498	679.199	1064.7	733.115	815.587	898.456	932.402	1046.88	1099.29	675.427	986.338	1101.89	506.594	689.919	824.406	1664.95	685.463	735.744
Q12972	Q12972	PP1R8_HUMAN	PPP1R8	Nuclear inhibitor of protein phosphatase 1						382.593	769.386			725.485						468.48	239.526		573.619	486.056	594.238	274.158	425.71		559.238						578.477	755.958	766.155	785.848	399.546		453.252	451.919		580.622	775.243			429.555	473.556	457.686	287.932	475.716	535.964	523.05
Q12979	P11274;Q12979	ABR_HUMAN	ABR	Active breakpoint cluster region-related protein					586.707				531.585		399.237	833.386	707.951							215.056					626.065														375.908											
Q12996	Q12996	CSTF3_HUMAN	CSTF3	Cleavage stimulation factor subunit 3			885.136		710.94				1012.47	643.222	396.257	474.36	149.786	339.863	699.672	810.66				588.82	608.05			299.204		895.784					612.287		563.762					483.098	1445.49	612.84	682.786	535.44	629.42	443.369	576.347	599.262	946.559	619.486		692.878
Q13011	Q13011	ECH1_HUMAN	ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	3377.58	2723.81	3633.39	3011.4	2123.12	2516.05	3403.75	3128.34	2719.02	2538.01	2787.82	3145.88	3019.71	3045.31	2549.11	2760.29	2811.85	3030.32	3010.49	2879.39	2932.61	3269.11	3254.98	3018.95	3127.49	3161.16	3546.2	2399.02	2367.32	2741.93	3329.15	3117.39	3307.29	3204.8	3425.75	2755.04	3096.69	3700.3	3550.64	2486.49	3413.52	3431.07	2175.51	3026.03	2974.06	3053.72	2977.13	2730.26	3132.52	3052.75
Q13045	Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog	1561.33	1239.33	1909.72	1607.21	1296.1	1397.23	1582.48	1271.71	1691.66	1400.35	1094.78	1202.14	1199.11	1165.77	1306.24	1496.61	1327.7	1231.35	1239.4	1406.71	1140.98	1280.01	1365.7	1384.29	1727.4	1448.42	1393.86	1300.61	1186.98	2251.93	1456.44	1088.24	1277.54	1245	1586.78	1377.42	1386.42	994.778	1349.12	1195.33	1272.38	1297.06	1263.98	1230.18	1334.71	1096.51	1469.61	1017.66	1316.21	1364.83
Q13057	Q13057	COASY_HUMAN	COASY	Bifunctional coenzyme A synthase	2251.96	1569.87		1144.82	1364.04	1679.98	1632.23	1678.19	1747.09	1347.07	1936.58	1867.31	1414.72	1377.59	1574.11	1783.65	1819.99	1406.17	1687.06	2050.27	1390.15	1552.02	1344.14	1555.46	1633.82	1748.4	1814.67	2275.51	2786.8	1901.92	1616.71	784.898	1667.96	1643.95	1034.37	1783.4	1956.52	1575.15	1933.89	1857.35	1872.42	1696.43	2198.1	1408.86	1219.31	1271.72	1677.69	1809.29	1509.3	1589.92
Q13085	Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1	1397.77	1689.08	1496.19		1584.02	1542.21	1113.06	1162.09	1538.46	1336.63	1197.91	1325.97	1212.26	1215.24	1303.48	1200.4	1297.84	1533.59	1494.29	1413.65	1336.55	1440.22	1499.48	1493.72	1554.85	1691.69	1251.33	1726.8	1533.26	2306.27	1721.67	1338.82	1453.58	1456.12	1390	1433.25	1315.77	1288.81	1178.63	1416.94	1761.16	1461.25	1362.52	1436.79	1532.87	1568.63	1372.8	1567.07	1453.07	1046.6
Q13098	Q13098	CSN1_HUMAN	GPS1	COP9 signalosome complex subunit 1	2171.76	1475.78	1653.01	1640.05	1570.78	1775.27	1680.2	1504.89	1591.68	1593.07	1561.54	1663.86	1630.03	1507.29	1620.7	1921.71	1564.14	1493.6	1665.88	1545.12	1728.76	1795.38	1707	1905.25	1432.33	1524.6	1940.95	2030.62	2273.42	1680.75	1148.58	1748.24	2052.45	1708.15	1473.94	1580.66	2029.64	1637.43	2363.48	1393.04	1644.92	1609.65	1569.73	1416.16	1312.87	1876.83	1655.98	1348.51	1519.31	2056.16
Q13123	Q13123	RED_HUMAN	IK	Protein Red	834.79	1108.71				1118.26	1006.23	1195.94	1354.26	1415.23	1228.53	1483.66	1221.36	1108.53	1034.35	1367.61	1347.75	1430.73	1648.67	1221.49	1512.3	1343.45	1432.04	1086.21	957.596	622.391		2258.89	1455.93	2077.69	863.723	1643.69	1825.73	1324.45	1998.51	1550.57	1187.72	914.186	2097.21	1508.92	904.805	1364.1	1504.43	1407	844.899	1271.02	786.061	1329.63	1318.93	1648.27
Q13126	Q13126	MTAP_HUMAN	MTAP	S-methyl-5'-thioadenosine phosphorylase	2084.1	2436.78	2528.34	2133.88	2427.39	2361.41	2051.49	2211.37	2168.52	2098.11	1947.46	2003.84	2084.07	2121.62	2543.12	2333.71	1578.72	1838.91	1990.29	1869.12	1893.69	1605.86	2041.48	2074.45	2117.02	2089.19	2024.11	1402.36	1835.15	2193.01	2002.91	1506.54	2328.9	2152.12	2091.79	2180.68	2055.36	2676.25	2177.26	2644.28	2248.4	1257.4	2137.46	1988.93	1941.37	1891.09	2210.43	1943.7	1901.33	2106.93
Q13131	Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1			1006.45			830.415		976.087	1122.26		772.185	727.385		1041.24	836.946		1210.76	1033.75	937.222	1086.92	2034.65	3888.51	833.398		824.188		967.804	824.768		2015.64					1526.68	603.503	1381.4		1509.06	785.492	573.268	787.433	728.03			1105.34	647.02	1164.81	2579.77	1030.88
Q13136	Q13136;O75334;O75335	LIPA1_HUMAN	PPFIA1	Liprin-alpha-1				1063.88	933.997	962.628	1333.45					563.378		1316.44	1062.64	2092.42				1209.58						1206.23								1339.22		833.828	933.063												644.107	1014.58
Q13144	Q13144	EI2BE_HUMAN	EIF2B5	Translation initiation factor eIF-2B subunit epsilon		559.824	1680.58			910.95	1258.28	1092.11		1110.14		643.844	459.203	784.413	545.471	954.009	1142.32	624.802		784.74	868.711			854.03			1559.46				465.113		601.27	1171.07	928.154	811.132		1010.24	768.262	1627.29	1212.91	1200.95	1833.11	685.035		754.909	931.274	1117.94	559.338	1354.77
Q13148	Q13148	TADBP_HUMAN	TARDBP	TAR DNA-binding protein 43	1318.5	1762.95	1524.96	1602.44	1370.94	1298.49	1212.58	1417.28	1239.11	1725.16	1179.18	1503.61	1321.2	1530.87	1185.64	1304.41	1207.57	1197.54	1609.05	1473.21	2035.88	1385.02	1826.36	1415.74	1609.58	2369.5	1747.95	1557.54	1803.5	1183.83	1949.24	1159.15	1678.12	1517.45	1456.13	1474.81	1504.67	1200.47	1446.72	1351.99	1517.5	1588.19	1613.13	1605.1	1753.45	1630.22	1300.31	1330.92	1793.07	1604.64
Q13151	Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	6893.98	6691.24	6009.1	6490.25	6731.44	6624.45	7126.81	6192.21	7057.26	6982.6	6226.73	6591.85	5604.27	6428.45	6792.4	5775.32	4944.06	6024.2	6204.36	6533.74	5929.56	5832.75	6432.58	6238.75	7072.84	6042.41	7068.52	5525.01	5611.95	5394.97	5546.61	7270.15	5542.9	6527.02	6414.04	6057.99	5987.61	5167.25	6918.52	6871.11	5875.82	6901.5	6593.01	6455.96	6561.45	5346.91	6455.39	5488.79	6937.65	5757.65
Q13155	Q13155	AIMP2_HUMAN	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	2728.36	3063.47	2789.75	3035.84	3764.89	2658.32	2374.46	2343.15	2685.29	3010.7	2591.27	2636.15	3118.99	2734.99	3348.33	2671.34	2865.31	2703.41	3179.6	2896.43	2414.76	2920.74	2463.43	2938.44	3127.41	2452.79	3238.23	3027.2	3829.45	3040.88	2411.35	2949.48	2368.59	3099.6	2392.31	2973.05	2396.79	2459.16	2610.78	2375	2534.3	2439.5	2515.04	2762.26	2542.38	2188.44	2385.21	2979.79	2762.9	1977.74
Q13162	Q13162	PRDX4_HUMAN	PRDX4	Peroxiredoxin-4	1708.12	2125.15	2152.8	1850.9	2011.43	2129.24	2887.73	2596.75	2717.77	2306.72	2318.28	2344.48	2341.89	1982.27	2225.54	2069.57	2181.42	2266.59	1990	2362.15	2495.96	2639.23	2443.36	2106.78	2117.61	3106.92	2752.14	2434.99	3010.86	2427.97	2500.1	2788.01	1985.85	2717.33	1978.2	2223.15	2382.17	2334.12	2538.65	2119.39	2699.68	2623.75	2158.69	2034.26	2028.32	2414.17	2633.95	2919.53	1933.91	2328.93
Q13177	Q13177	PAK2_HUMAN	PAK2	Serine/threonine-protein kinase PAK 2	1658.5	2545.12	2029.29	1753.62	8027.31	1627.03	1412.28	2391.31	2294.54	2122.95	2144.78	1829.59	1525.49	1805.91	2022.69	1911.25	1956.89	1878.37	2120.35	1983.99	1571.56	1813.32	2029.16	1808.68	1888.33	2286.24	4272.68	1189.58	2510.79	2116.39	2328.59	1898.23	1635.12	1331.18	2075.41	1889.9	1732.11	1636.78	1804.76	1560.57	1454.67	1799.6	1655.79	1274.76	2002.89	1777.34	1929.66	1669.16	863.564	1539.07
Q13185	Q13185	CBX3_HUMAN	CBX3	Chromobox protein homolog 3	3334.87	3389.46	3247.05	3890.28	3159.55	3409.46	3379.67	3479.94	3670.96	3481.73	3300.04	3522.76	3358.06	3260.42	3436.54	3102.78	3519.58	2821.37	3210.42	3299.03	3364	2534.96	3277.66	3356.44	2727.13	4060.11	3250.88	2525.77	3874.94	4094.89	2399.32	2832.65	2927.04	3389.06	3111.2	3634.51	2196.52	2733.95	2626.91	2950.29	3122.64	2701.73	2672.95	3317.16	2985.22	3547.23	3208.42	3218.99	2834.98	2822.11
Q13200	Q13200	PSMD2_HUMAN	PSMD2	26S proteasome non-ATPase regulatory subunit 2	2501.96	1985.09	2113.56	2387.97	2198.81	1781.29	2284.27	2075.18	1924.89	1845.75	2006.66	2030.65	1946.46	2239	2056.35	2093.86	2042.51	2136.23	2422.49	1883.84	1980.38	2029.48	2114.39	1896.66	2441.65	2242.67	2212.24	2271.32	1884.24	2355.51	2154.84	1936.93	1950.7	2100.24	1911.09	1994.65	2340.71	2328.87	2340.48	2509.55	2253.21	2042.55	2370.26	2219.39	2092.51	1640.2	2497.28	2100.12	2001.35	2285.48
Q13228	Q13228	SBP1_HUMAN	SELENBP1	Methanethiol oxidase	2155.87	1969.49	1792.96	1911.68	2028.66	1974.86	1755.21	2031.76	1555.39	1912.67	1912.62	1659.89	1827.23	1447.16	1720.19	1860.97	1701.36	1838.18	2149.45	2329.59	1673.03	1414.54	2053.83	2054.9	1867.13	1608.35	1818.3	2118.34	2314.48	2300.96	1894.87	1840.17	2116.64	1859.59	1817.5	1975.35	1883.66	2274.19	2172.13	1825.52	1869.37	1819.2	1904.24	1832.44	2012.34	2002.38	2289.7	2039.63	1983.61	2240.32
Q13232	Q13232	NDK3_HUMAN	NME3	Nucleoside diphosphate kinase 3	1104.7					1057.73	908.111				798.108	860.038	706.924	814.708	461.989	527.139	731.302	679.671								1144.73	519.346		1240.88		1082.01		778.571			1073.09		1666.29	285.816	1074.87	1126.84		334.378	946.361	976.104		1054.83	842.985		735.717
Q13242	Q13242	SRSF9_HUMAN	SRSF9	Serine/arginine-rich splicing factor 9	2787.78	3174.91	2821.83	3297.35	2303.36	2738.88	3397.24	2881.16	2975.33	2879.62	2674.47	2009.52	2943.39	3040.51	2085.24	3058.12	3026.1	2268.4	2812.71	2116.79	2519.37	2534.22	3051.38	2534.86	2376.99	2661.8	3713.43	2738.59	3626.87	2838.4	3387.21	2575.32	2603.55	2521.61	2678.27	2649.34	2337.26	2396.66	1958.69	1922.96	2399.7	2488.55	2527.19	3094.31	2771.43	3469.79	2422.14	3609.81	2142.9	2054.3
Q13243	Q13243	SRSF5_HUMAN	SRSF5	Serine/arginine-rich splicing factor 5	1179.83	394.792	748.119		942.469	142.583	600.786	459.979	351.335	516.926	300.469	739.995	626.96	570.509	345.311	508.735	362.019	435.528	731.913	498.864	829.175	671.427	585.273	788.168	428.982	793.397	510.302				725.549	373.62	902.431	933.682	491.075	578.163	1368.16	516.836	651.245	725.362	459.746	1030.93	587.72	574.672	676.097	840.596	221.652	826.207	400.081	227.98
Q13247	Q08170;Q13247	SRSF6_HUMAN	SRSF6	Serine/arginine-rich splicing factor 6	9993.67	8013.65	11417.8	8464.11	9516.71	9897.2	10240.9	9578.57	8354.54	8860.77	8975.34	10171.3	9647.76	8539.45	8990.45	8035.16	8733.79	8638.93	8389.43	9068.26	10690	8918.41	7813.09	8818.25	9156.07	9408.65	10646.8	9277.24	10237.7	7452.15	8286.39	9670.08	10377.3	9259.62	9477.94	10369.3	8391.38	8169.36	8008.14	9298.07	9757.45	8544.89	6940.01	8118.01	8340.84	8315.75	8134.29	9261.74	8058.86	8052.16
Q13257	Q13257	MD2L1_HUMAN	MAD2L1	Mitotic spindle assembly checkpoint protein MAD2A	1444.66					1150.77		690.726					1263.95					873.171		1094.77	1264.89	1362.92			1088.27						1081.26		1513.89		1389.95	1507.54	1404.17	1828.63		951.663		1370.68	1168.92		1975.91	721.039	859.076	1144.99	1147.36	
Q13263	Q13263	TIF1B_HUMAN	TRIM28	Transcription intermediary factor 1-beta	5039.24	5449.32	5177.06	5635.13	5492.71	5440.2	5922.19	5799.92	5481.42	5675.65	5695.6	6105.98	5454.64	5999.74	5935.31	5328.21	5800.65	5626.89	5396.4	5678.1	5512.54	5817.53	5403.74	5636.35	5714.39	6276.39	5568.79	5070.77	5124.73	4831.07	5523.27	5546.24	4580.29	5578.87	5773.57	5479.01	5558.46	5106.04	5165.75	5434.21	5906.01	5507.6	5561.91	5729.87	5295.77	5257.74	6054.48	6233.83	5675.92	5154.66
Q13283	Q13283	G3BP1_HUMAN	G3BP1	Ras GTPase-activating protein-binding protein 1	3887.31	3680.51	3861.68	4222.06	3987.93	4178.24	3677.87	4102.67	3748.88	3836.42	4508.94	4155.86	4526.44	4175.63	4250.53	4054.19	4146.95	4148.29	4083.27	4124.02	3971.5	3940	4455.22	4291.19	4172.16	3426.24	3760.44	4018.57	3481.82	4175.69	3728.56	4500.29	3950.92	3412.52	4629.47	3827.32	3849.51	3626.82	3769.93	3965.57	4242.96	4157.53	4420.76	4616.06	3982.62	4623.86	4259.02	4318.06	3824.1	4183.7
Q13310	Q13310	PABP4_HUMAN	PABPC4	Polyadenylate-binding protein 4	2339.69	2930.61	2096.64	2242.13	1667.22	2315.49	2241.53	2286.74	1913.48	2002.85	2198.36	2238.79	2118.41	1975.36	1776.64	1851.42	1813.31	2110.68	2239.04	1858.52	1921.66	2156.58	2137.75	2540.69	2265.32	1976.41	2169.48	2248.48	2232.42	2222.91	2051.29	1811.69	1975.71	2162.41	2561.79	1725.54	2173.26	2245.28	2219	2142.84	2601.78	2487.76	2104.25	1725.91	2140.94	1753.18	2340.17	2195.34	2554.32	2289.17
