Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score CHIMERYS Identification: CHIMERYS Identification,# Peptides (by Search Engine): CHIMERYS Identification,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Ensembl Gene ID,Gene Symbol,Gene ID,Reactome Pathways,WikiPathways,# Protein Pathway Groups,Abundances (Grouped): Diffrentiated,Abundances (Grouped): Undiffrentiated,Abundances (Grouped) CV [%]: Diffrentiated,Abundances (Grouped) CV [%]: Undiffrentiated,"Abundance: F223: Sample, Diffrentiated","Abundance: F231: Sample, Diffrentiated","Abundance: F233: Sample, Diffrentiated","Abundance: F234: Sample, Diffrentiated","Abundance: F235: Sample, Diffrentiated","Abundance: F201: Sample, Undiffrentiated","Abundance: F215: Sample, Undiffrentiated","Abundance: F216: Sample, Undiffrentiated","Abundance: F217: Sample, Undiffrentiated","Abundance: F218: Sample, Undiffrentiated","Found in Sample: F223: Sample, Diffrentiated","Found in Sample: F231: Sample, Diffrentiated","Found in Sample: F233: Sample, Diffrentiated","Found in Sample: F234: Sample, Diffrentiated","Found in Sample: F235: Sample, Diffrentiated","Found in Sample: F201: Sample, Undiffrentiated","Found in Sample: F215: Sample, Undiffrentiated","Found in Sample: F216: Sample, Undiffrentiated","Found in Sample: F217: Sample, Undiffrentiated","Found in Sample: F218: Sample, Undiffrentiated",# Protein Groups,Modifications
FALSE,High,Master Protein,P34955,Alpha-1-antiproteinase OS=Bos taurus GN=SERPINA1 PE=1 SV=1,0,TRUE,39.484,18,7,75,7,416,46.1,6.52,42.5,7,other biological processes,non-structural extracellular;ER/Golgi,enzyme regulator activity;other molecular function,Pf00079,280699,ENSBTAG00000018843,SERPINA1,bta:280699; P34955; Q3SZS3,Neutrophil degranulation; Platelet degranulation ; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Cargo concentration in the ER; COPII-mediated vesicle transport,Complement and coagulation cascades; NRF2 pathway,8,5927515.797,766346.8125,46.64,57.95,12426789.69,5927515.797,5713215.563,6332982.938,4054261.133,346678.2344,429850.3438,1328198.188,1419143.469,766346.8125,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q66X93,Staphylococcal nuclease domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Snd1 PE=1 SV=1,0,FALSE,39.205,14,11,60,11,909,101.9,7.18,20.37,11,RNA metabolism OR transcription;other metabolic processes;other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf00565, Pf00567",64635,,Snd1,P97693; Q66X93; Q6IN40; rno:64635,,,0,414939.8516,1230433.891,70.93,65.56,131607.6953,414939.8516,816143.4453,145543.8906,470047.7266,3590411.875,1072979.133,1098930.57,1284581.664,1230433.891,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P12763,Alpha-2-HS-glycoprotein OS=Bos taurus GN=AHSG PE=1 SV=2,0,TRUE,39.181,21,5,79,5,359,38.4,5.5,28.01,5,stress response;other biological processes,non-structural extracellular;extracellular matrix;plasma membrane;other membranes;ER/Golgi;other cell component,enzyme regulator activity,Pf00031,280988,ENSBTAG00000000522,AHSG,A6QLF7; bta:280988; P12763,Neutrophil degranulation; Platelet degranulation ; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation,,4,435405.625,13101581.69,101.87,50.18,100863.9844,435405.625,2335980.383,2488076.977,359740.7734,1199294.688,13056262.3,14571996.07,13746388.03,13101581.69,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,D3ZC07,Protein kinase N3 OS=Rattus norvegicus OX=10116 GN=Pkn3 PE=1 SV=3,0,FALSE,38.816,7,5,174,5,958,107.1,7.91,112.71,5,cell organization and biogenesis;protein metabolism;other metabolic processes;signal transduction;other biological processes,ER/Golgi;nucleus;other cell component,kinase activity;other molecular function,"Pf00069, Pf00433, Pf00956, Pf02185",,ENSRNOG00000025892,Pkn3,D3ZC07,,,0,738369.1328,35314157.47,83.56,51.9,323148.3203,1170439.813,2670665.75,633146.8516,738369.1328,2212552.156,32360049.47,35819000.65,36907902.63,35314157.47,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I6AH91,Poly(rC) binding protein 1 OS=Rattus norvegicus OX=10116 GN=Pcbp1 PE=1 SV=1,0,FALSE,38.62,34,8,64,6,356,37.5,7.09,20.29,8,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,,,ENSRNOG00000017708,Pcbp1,A0A8I6AH91,,,0,480763.9416,2905486.469,70.05,38.73,194723.5898,1139889.117,555392.1094,,416163.5781,1079194.469,2447078.227,3881183.922,2905486.469,3209066.375,Peak Found,High,High,n/a,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q6AYU5,Poly(RC) binding protein 2 OS=Rattus norvegicus OX=10116 GN=Pcbp2 PE=1 SV=1,0,FALSE,38.195,28,7,87,4,365,38.6,6.79,30.7,7,protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00013,363005,,Pcbp2,D4ACH3; Q6AYU5; rno:363005,mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA,,2,315386.0547,4893004.656,80.1,31.16,248834.2305,315386.0547,842844.0625,67431.79688,329351.4922,1909034.656,4381719.867,4942880.484,4893004.656,4979049.125,n/a,n/a,Peak Found,n/a,n/a,n/a,High,High,High,High,1,
FALSE,High,Master Protein,A6J0A1,"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide OS=Rattus norvegicus OX=10116 GN=Ywhag PE=4 SV=1",0,FALSE,38.175,23,6,202,2,247,28.3,4.89,132.17,6,,,,,,,Ywhag,A6J0A1,,,0,9817485.824,36539450.69,29.95,21.22,7711882.078,9817485.824,14866295.81,7614132.686,12476690.54,21082567.47,36539450.69,34208006.56,38671329.69,36800815.36,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I6A721,Malate dehydrogenase OS=Rattus norvegicus OX=10116 GN=Mdh1 PE=1 SV=1,0,FALSE,38.078,27,8,88,8,339,37.1,7.43,42.58,8,other metabolic processes,,other molecular function,,,ENSRNOG00000008103,Mdh1,A0A8I6A721,,,0,2004698.547,7337312.156,64.06,49.45,2994841.031,1830222.258,4614941.688,496767.8438,2004698.547,17081164.31,6089094.938,7337312.156,7275077,7734987.531,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8L2R9H0,40S ribosomal protein S8 OS=Rattus norvegicus OX=10116 GN=Rps8 PE=3 SV=1,0,FALSE,37.846,32,6,93,6,209,24.3,10.32,42.63,6,protein metabolism;other metabolic processes,translational apparatus;other cell component,other molecular function,,,ENSRNOG00000054626,Rps8,A0A8L2R9H0,,,0,205615.1563,7909943.969,64.24,31.17,484840.75,205615.1563,398564.8125,51280.82813,203000.6875,3091586.781,7499275.5,7909943.969,8038339.625,8129649.688,High,High,High,Peak Found,High,High,High,High,High,High,1,
FALSE,High,Master Protein,M0R6L4,40S ribosomal protein S3a OS=Rattus norvegicus OX=10116 GN=LOC100365839 PE=3 SV=1,0,FALSE,37.758,34,9,91,9,264,29.9,9.73,34.7,9,protein metabolism;other metabolic processes;other biological processes,cytosol;translational apparatus;nucleus,other molecular function,Pf01015,,ENSRNOG00000048109,LOC100365839,M0R6L4,,,0,798862.8359,6352480.969,59.51,21.09,619863.9883,798862.8359,1614272.43,265232.9375,860489.6875,4202434.547,6569568.129,5582805.824,7653539.656,6352480.969,High,High,High,Peak Found,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q63279,"Keratin, type I cytoskeletal 19 OS=Rattus norvegicus OX=10116 GN=Krt19 PE=1 SV=2",0,TRUE,37.699,20,9,245,1,403,44.6,5.31,152.23,9,cell organization and biogenesis;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytoskeleton;other cell component,other molecular function,Pf00038,360626,ENSRNOG00000003899,Krt19,A0JN08; Q5M7V2; Q63279; Q6S6J4; Q9Z253; rno:360626,Formation of the cornified envelope,,2,11756861.68,23823029.98,8.5,147.81,11294849.93,11756861.68,12622018.84,12214483.45,10070064.86,679015.5469,23823029.98,177437532.6,24414907.75,18677208.87,n/a,n/a,n/a,n/a,n/a,n/a,n/a,High,n/a,n/a,1,
FALSE,High,Master Protein,A0A8I6AII3,Nucleoside diphosphate kinase OS=Rattus norvegicus OX=10116 GN=ENSRNOG00000062879 PE=3 SV=1,0,FALSE,37.677,25,4,228,1,144,16.1,6.89,106.09,4,other metabolic processes,,kinase activity;other molecular function,,,,ENSRNOG00000062879,A0A8I6AII3,,,0,7414133.75,40771733.81,42.74,45.61,4791107.125,7414133.75,12936923.69,5132103.25,7889592,7964711.367,40771733.81,34827215.63,49004008.13,43412650.38,n/a,n/a,n/a,n/a,n/a,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,A6J0A2,Heat shock 27kDa protein 1 OS=Rattus norvegicus OX=10116 GN=Hspb1 PE=4 SV=1,0,FALSE,37.46,49,8,120,8,206,22.8,6.21,60.15,8,,,,,,,Hspb1,A6J0A2,,,0,3853436.188,498017.7188,82.91,92.82,1673500.285,2378171.949,11320563.31,4038019.563,3853436.188,1031118.996,,498017.7188,,53247.73828,High,High,High,High,High,High,n/a,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,P62982,Ubiquitin-ribosomal protein eS31 fusion protein OS=Rattus norvegicus OX=10116 GN=Rps27a PE=1 SV=2,0,FALSE,37.306,42,6,311,1,156,17.9,9.64,189.21,6,protein metabolism;other metabolic processes;other biological processes,cytosol;translational apparatus;nucleus;other cell component,other molecular function,"Pf00240, Pf01599",100912032,ENSRNOG00000004426; ENSRNOG00000034246,Rps27a,P02248; P02249; P02250; P49664; P62982; P62989; Q29120; Q63446; Q91887; Q91888; Q9D2W3; rno:100912032,Downstream TCR signaling; Regulation of RAS by GAPs; Cargo recognition for clathrin-mediated endocytosis; Stimuli-sensing channels; Aggrephagy; Gap-filling DNA repair synthesis and ligation in TC-NER; Endosomal Sorting Complex Required For Transport (ESCRT); Autodegradation of the E3 ubiquitin ligase COP1; Neddylation; Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Autodegradation of Cdh1 by Cdh1:APC/C; SCF-beta-TrCP mediated degradation of Emi1; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; SCF(Skp2)-mediated degradation of p27/p21; Degradation of beta-catenin by the destruction complex; Separation of Sister Chromatids; ABC-family proteins mediated transport; AUF1 (hnRNP D0) binds and destabilizes mRNA; Asymmetric localization of PCP proteins; Degradation of AXIN; Degradation of DVL; Hedgehog ligand biogenesis; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Hedgehog 'on' state; NIK-->noncanonical NF-kB signaling; MAPK6/MAPK4 signaling; UCH proteinases; Ub-specific processing proteases; Assembly of the pre-replicative complex; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; The role of GTSE1 in G2/M progression after G2 checkpoint; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Regulation of RUNX3 expression and activity; Regulation of PTEN stability and activity; KEAP1-NFE2L2 pathway; GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2; Antigen processing: Ubiquitination & Proteasome degradation; FCERI mediated NF-kB activation; Negative regulation of MAPK pathway; Iron uptake and transport; HDR through Homologous Recombination (HRR); Formation of TC-NER Pre-Incision Complex; Dual incision in TC-NER; Deactivation of the beta-catenin transactivating complex; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; Regulation of PLK1 Activity at G2/M Transition; Oxidative Stress Induced Senescence; Oncogene Induced Senescence; Regulation of TP53 Activity through Phosphorylation; Regulation of TP53 Degradation; Regulation of TP53 Activity through Methylation; E3 ubiquitin ligases ubiquitinate target proteins; Negative regulation of FLT3; Fanconi Anemia Pathway; Formation of Incision Complex in GG-NER; Dual Incision in GG-NER; Interferon alpha/beta signaling; RAS processing; SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription; Cyclin D associated events in G1; Senescence-Associated Secretory Phenotype (SASP); Downregulation of SMAD2/3:SMAD4 transcriptional activity; Negative regulation of MET activity; Activated NOTCH1 Transmits Signal to the Nucleus; Regulation of innate immune responses to cytosolic DNA; Regulation of FZD by ubiquitination; DNA Damage Recognition in GG-NER; Synthesis of active ubiquitin: roles of E1 and E2 enzymes; Peroxisomal protein import; Regulation of signaling by CBL; N-glycan trimming in the ER and Calnexin/Calreticulin cycle; Translesion synthesis by POLK; Termination of translesion DNA synthesis; Gap-filling DNA repair synthesis and ligation in GG-NER; Downregulation of ERBB2:ERBB3 signaling; NOD1/2 Signaling Pathway; activated TAK1 mediates p38 MAPK activation; JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1; Ovarian tumor domain proteases; EGFR downregulation; NOTCH3 Activation and Transmission of Signal to the Nucleus; TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition); NRIF signals cell death from the nucleus; TAK1-dependent IKK and NF-kappa-B activation  ; Josephin domain DUBs; Downregulation of ERBB4 signaling; Recognition of DNA damage by PCNA-containing replication complex; TNFR1-induced NF-kappa-B signaling pathway; IRAK2 mediated activation of TAK1 complex; TRAF6-mediated induction of TAK1 complex within TLR4 complex; Alpha-protein kinase 1 signaling pathway; IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation; PINK1-PRKN Mediated Mitophagy; APC/C:Cdc20 mediated degradation of Cyclin B; APC-Cdc20 mediated degradation of Nek2A; Regulation of TNFR1 signaling; Metalloprotease DUBs; IRAK1 recruits IKK complex; IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation; Regulation of necroptotic cell death; p75NTR recruits signalling complexes; NF-kB is activated and signals survival; Translesion synthesis by REV1; Translesion Synthesis by POLH; Translesion synthesis by POLI; Regulation of NF-kappa B signaling; Inactivation of CSF3 (G-CSF) signaling; VLDLR internalisation and degradation; PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1; Pexophagy; Spry regulation of FGF signaling; Downregulation of TGF-beta receptor signaling; Regulation of PTEN localization; ER Quality Control Compartment (ERQC),,135,12943165.08,139773518.2,33,37.07,8426919.023,12943165.08,20648608.21,12047792.8,13377223.22,44708662.2,134966286.2,159740746.4,139773518.2,154523097.1,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A0G2K7F7,Tropomyosin 1 OS=Rattus norvegicus OX=10116 GN=Tpm1 PE=1 SV=2,0,FALSE,36.999,20,8,124,5,300,34.4,4.81,65.99,8,,cytoskeleton,cytoskeletal activity,Pf00261,,ENSRNOG00000018184,Tpm1,A0A0G2K7F7,,,0,1874269.094,6575035.047,46.6,8.58,654555.0586,1452370.047,2914150.828,1874269.094,1880040.484,5591715.719,6386449.281,6774985.75,7064826.258,6575035.047,n/a,n/a,High,n/a,n/a,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,P19945,Large ribosomal subunit protein uL10 OS=Rattus norvegicus OX=10116 GN=Rplp0 PE=1 SV=2,0,FALSE,36.845,30,8,110,8,317,34.2,6.25,48.62,8,cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes,other membranes;cytosol;translational apparatus;nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf00428, Pf00466, Pf17777",64205,ENSRNOG00000001148,Rplp0,P19945; rno:64205,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol,,7,466605.4219,6119557.656,57.58,43.31,700217.8281,466605.4219,881371.2813,124651.8555,371904.6172,1433241.969,6119557.656,7159389.703,7560117.969,6063794.906,High,High,High,Peak Found,High,High,High,High,High,High,1,
FALSE,High,Master Protein,F7F2F3,Heat shock protein family A (Hsp70) member 4 like OS=Rattus norvegicus OX=10116 GN=Hspa4l PE=1 SV=1,0,FALSE,36.799,10,8,46,7,1017,114.2,5.83,14,8,protein metabolism;other metabolic processes,cytosol,other molecular function,Pf00012,,ENSRNOG00000010819,Hspa4l,F7F2F3,,,0,312566.25,1908515.289,35.3,25.05,501913.8242,312566.25,595214.625,275034.9961,312119.9141,2034901.234,1112392.141,1908515.289,1404637.492,2080323.953,Peak Found,High,High,Peak Found,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I6AK10,Fascin OS=Rattus norvegicus OX=10116 GN=Fscn1 PE=3 SV=1,0,FALSE,36.592,19,7,87,7,493,54.5,6.89,31.06,7,cell organization and biogenesis,cytoskeleton;other cell component,cytoskeletal activity;other molecular function,,,ENSRNOG00000056585,Fscn1,A0A8I6AK10,,,0,1008403.031,15419823.04,105.66,17.93,408406.1016,5954026.234,1008403.031,508448.4453,3572400.496,11818474.63,13647172.58,19116907.81,15699391.57,15419823.04,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A0G2K8S2,Similar to glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) OS=Rattus norvegicus OX=10116 GN=RGD1564958 PE=3 SV=1,0,FALSE,36.382,21,6,185,1,335,35.9,7.97,114.59,6,other metabolic processes,cytosol,other molecular function,"Pf00044, Pf02800",,ENSRNOG00000028958,RGD1564958,A0A0G2K8S2,,,0,20248114.81,12658080.09,33.63,74.62,20248114.81,13661601.63,24544711.02,9722657.328,20930909.77,41288919.06,8077307.25,12490390.8,14760788.56,12658080.09,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,
FALSE,High,Master Protein,D3ZXR5,High mobility group box 1 OS=Rattus norvegicus OX=10116 GN=Hmgb1 PE=3 SV=1,0,FALSE,36.01,25,6,49,1,214,24.7,5.91,14.56,6,cell organization and biogenesis;stress response,nucleus;other cell component,nucleic acid binding activity,"Pf00505, Pf09011",,ENSRNOG00000058908,Hmgb1,D3ZXR5,,,0,99109.01563,8507533.266,134.65,38.68,99109.01563,71526.58594,977924.0391,,,2450469.969,7737026.297,9594839.234,8507533.266,9060931.77,n/a,n/a,n/a,n/a,n/a,n/a,n/a,High,n/a,n/a,1,
FALSE,High,Master Protein,A0A8I6A1X7,Glyceraldehyde-3-phosphate dehydrogenase-like OS=Rattus norvegicus OX=10116 GN=AABR07038881.1 PE=3 SV=1,0,FALSE,35.999,34,4,42,1,200,22,7.46,20.51,4,,,other molecular function,,,ENSRNOG00000038181,AABR07038881.1,A0A8I6A1X7,,,0,1980972.953,744470.75,63.94,95.56,3964412.531,1221447.109,2523679.063,543177.6875,1980972.953,3003125.313,177299.4219,744470.75,1344332.93,547951.2344,n/a,n/a,n/a,n/a,n/a,n/a,n/a,High,High,High,1,
FALSE,High,Master Protein,Q6P6V0,Glucose-6-phosphate isomerase OS=Rattus norvegicus OX=10116 GN=Gpi PE=1 SV=1,0,FALSE,35.976,20,9,95,9,558,62.8,7.77,36.52,9,other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;other cell component,signal transduction activity or receptor binding;other molecular function,Pf00342,292804,ENSRNOG00000023150,Gpi,Q6P6V0; rno:292804,Gluconeogenesis; Glycolysis; Neutrophil degranulation; TP53 Regulates Metabolic Genes,Hexoses metabolism in proximal tubules,5,525788.9688,8725220.672,54.74,42.21,525788.9688,280550.5977,774746.2344,141576.1094,630609.2695,1891212.844,8623808.844,8725220.672,9241529.859,9445483.973,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P60901,Proteasome subunit alpha type-6 OS=Rattus norvegicus OX=10116 GN=Psma6 PE=1 SV=1,0,FALSE,35.939,29,6,63,6,246,27.4,6.76,30.04,6,protein metabolism;other metabolic processes;other biological processes,cytoskeleton;nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf00227, Pf10584",29673,ENSRNOG00000007114,Psma6,P34062; P60901; rno:29673,Regulation of RAS by GAPs; Autodegradation of the E3 ubiquitin ligase COP1; Neddylation; Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Cross-presentation of soluble exogenous antigens (endosomes); Autodegradation of Cdh1 by Cdh1:APC/C; SCF-beta-TrCP mediated degradation of Emi1; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; SCF(Skp2)-mediated degradation of p27/p21; Degradation of beta-catenin by the destruction complex; Separation of Sister Chromatids; Regulation of ornithine decarboxylase (ODC); ABC-family proteins mediated transport; AUF1 (hnRNP D0) binds and destabilizes mRNA; Asymmetric localization of PCP proteins; Degradation of AXIN; Degradation of DVL; Hedgehog ligand biogenesis; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Hedgehog 'on' state; NIK-->noncanonical NF-kB signaling; MAPK6/MAPK4 signaling; UCH proteinases; Ub-specific processing proteases; Assembly of the pre-replicative complex; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; The role of GTSE1 in G2/M progression after G2 checkpoint; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Regulation of RUNX3 expression and activity; Regulation of PTEN stability and activity; KEAP1-NFE2L2 pathway; GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2; Antigen processing: Ubiquitination & Proteasome degradation,,44,166379.7304,7166305.906,116.74,35.31,238340.5078,112258.7734,116145.6563,,1008924.383,2742800.859,6402228.781,8553458.719,8299829.891,7166305.906,High,Peak Found,High,n/a,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,M0R735,"Synaptotagmin binding, cytoplasmic RNA interacting protein OS=Rattus norvegicus OX=10116 GN=Syncrip PE=1 SV=3",0,FALSE,35.849,16,8,49,5,602,67.7,8.53,22.18,8,stress response;other biological processes,other membranes;cytosol;nucleus;other cell component,nucleic acid binding activity,"Pf00076, Pf18360",,ENSRNOG00000000204,Syncrip,M0R735,,,0,94268.04688,7434107.93,56.79,46.08,93591.21875,148490.418,266862.1563,79286.42969,94268.04688,1177336.883,6784803.438,7573562.984,8221183.906,7434107.93,n/a,n/a,n/a,n/a,n/a,n/a,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I6GF99,"Phosphate carrier protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Tmpo PE=1 SV=1",0,FALSE,35.811,13,7,79,4,716,79.4,9.33,36.42,7,transport,other membranes;mitochondrion;nucleus,transporter activity;nucleic acid binding activity,,,ENSRNOG00000008797,Tmpo,A0A8I6GF99,,,0,515894.4531,3147081.469,38.16,7.85,480610.7891,515894.4531,931335.9688,544718.4609,358512.2754,2912680.547,3147081.469,2768072.188,3379837.516,3198585.375,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P19527,Neurofilament light polypeptide OS=Rattus norvegicus OX=10116 GN=Nefl PE=1 SV=3,0,FALSE,35.515,14,8,64,7,542,61.3,4.65,31.92,8,cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes,cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,"Pf00038, Pf04732",83613,ENSRNOG00000013658,Nefl,P19527; Q63367; rno:83613,"RAF/MAP kinase cascade; Unblocking of NMDA receptors, glutamate binding and activation",,2,1098118.25,1803590.688,95.76,54.41,405925.4883,1494062.984,4581256.25,1098118.25,1017739.594,213961.9219,1885198.195,1803590.688,1651903,2687655.281,Peak Found,High,High,High,High,Peak Found,High,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,A0A8L2QEN5,Sodium/potassium-transporting ATPase subunit alpha OS=Rattus norvegicus OX=10116 GN=Atp1a3 PE=3 SV=1,0,FALSE,35.283,10,7,53,1,1026,112.9,5.41,19.69,7,transport,plasma membrane;other membranes,transporter activity;other molecular function,,24213,ENSRNOG00000020263,Atp1a3,A0A8L2QEN5,,,0,1223305.359,892558.4766,68.97,123.53,361778.3594,877575.0781,2858243.484,1223305.359,2594638.109,5253633,915904.5469,589166.1484,552054.9141,892558.4766,n/a,n/a,n/a,n/a,n/a,n/a,High,Peak Found,High,High,1,
FALSE,High,Master Protein,A0A8I5Y4R7,Ezrin OS=Rattus norvegicus OX=10116 GN=Ezr PE=1 SV=1,0,FALSE,35.277,12,8,91,3,592,70,5.92,48.15,8,,plasma membrane;other membranes;cytoskeleton;other cell component,cytoskeletal activity,,,ENSRNOG00000018524,Ezr,A0A8I5Y4R7,,Intracellular trafficking of CFTR,1,3041052.898,9019862.375,39.07,33.29,3041052.898,1448056.504,3487202.688,1742717.734,3822027.766,3239633.813,8890262.969,9368164.906,9019862.375,9347551.969,High,Peak Found,High,Peak Found,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P24368,Peptidyl-prolyl cis-trans isomerase B OS=Rattus norvegicus OX=10116 GN=Ppib PE=1 SV=3,0,FALSE,35.062,33,6,78,6,216,23.8,9.5,36.47,6,protein metabolism;other metabolic processes;transport;developmental processes;other biological processes,ER/Golgi;nucleus;other cell component,other molecular function,Pf00160,64367,ENSRNOG00000016781,Ppib,O88541; P24368; rno:64367,Collagen biosynthesis and modifying enzymes,,1,495339.1563,11122792.06,63.65,49.67,393486.2422,495339.1563,1404284.188,458014.0234,547752.8125,1253199.484,10681947.59,12140023.69,13178262.7,11122792.06,High,High,High,Peak Found,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I6ASH7,phosphopyruvate hydratase OS=Rattus norvegicus OX=10116 GN=ENSRNOG00000065518 PE=3 SV=1,0,FALSE,34.952,24,5,96,1,362,39.4,7.36,41.53,5,other metabolic processes,cytosol,other molecular function,,,,ENSRNOG00000065518,A0A8I6ASH7,,,0,1185687.156,21158746.65,47.34,2.7,1185687.156,847344.0078,1449054.547,243776.8516,1195772.734,,20891158.75,21235016.75,22188076,21082750.5,n/a,n/a,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,1,
FALSE,High,Master Protein,A0A0G2K9Z3,Nucleobindin 1 OS=Rattus norvegicus OX=10116 GN=Nucb1 PE=1 SV=2,0,FALSE,34.533,18,7,29,7,466,54.2,5.14,10.16,7,,ER/Golgi,other molecular function,,84595,ENSRNOG00000020889,Nucb1,A0A0G2K9Z3,,,0,365119.3576,305528.3164,95.75,107.58,,131229.7695,679933.5859,196066.4219,1355231.516,1350268.75,149365.7813,305528.3164,207334.5938,310308.0508,n/a,Peak Found,High,Peak Found,High,High,Peak Found,Peak Found,Peak Found,High,1,
