Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Unique Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Unique Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Unique Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Unique Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Unique Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Unique Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Unique Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Unique Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Total Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Total Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Total Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Total Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Total Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Total Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Total Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Intensity	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 MaxLFQ Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 MaxLFQ Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 MaxLFQ Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 MaxLFQ Intensity	Indistinguishable Proteins
sp|O95983|MBD3_HUMAN	O95983	MBD3_HUMAN	MBD3	291	Homo sapiens OX=9606	1:Experimental evidence at protein level	Methyl-CpG-binding domain protein 3	0.9999	0.999	2	3	3	3	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	24855.307	17107.852	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O95999|BCL10_HUMAN	O95999	BCL10_HUMAN	BCL10	233	Homo sapiens OX=9606	1:Experimental evidence at protein level	B-cell lymphoma/leukemia 10	0.9669	0.9983	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3766.1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O96000|NDUBA_HUMAN	O96000	NDUBA_HUMAN	NDUFB10	172	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	1	0.999	8	27	27	27	5	9	10	3	0	0	0	0	5	9	10	3	0	0	0	0	5	9	10	3	0	0	0	0	91964.95	114731.09	147408.69	32583.785	504739.1	0	0	0	35831.707	27590.268	31625.035	27675.766	0	0	0	0	
sp|O96005|CLPT1_HUMAN	O96005	CLPT1_HUMAN	CLPTM1	669	Homo sapiens OX=9606	1:Experimental evidence at protein level	Putative lipid scramblase CLPTM1	1	0.999	7	17	17	17	2	10	4	1	0	0	0	0	2	10	4	1	0	0	0	0	2	10	4	1	0	0	0	0	25063.17	46714.094	22784.29	0	0	0	0	0	0	14248.561	13911.43	0	0	0	0	0	
sp|O96006|ZBED1_HUMAN	O96006	ZBED1_HUMAN	ZBED1	694	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 SUMO-protein ligase ZBED1	0.9789	0.9989	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5635.3086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O96008|TOM40_HUMAN	O96008	TOM40_HUMAN	TOMM40	361	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM40 homolog	1	0.999	6	20	20	20	1	11	6	1	0	0	1	0	1	11	6	1	0	0	1	0	1	11	6	1	0	0	1	0	31141.57	122147.76	105569.1	38174.953	0	0	41037.938	0	0	32492.205	38296.977	0	0	0	0	0	
sp|O96011|PX11B_HUMAN	O96011	PX11B_HUMAN	PEX11B	259	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxisomal membrane protein 11B	1	0.9985	2	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5945.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O96015|DNAL4_HUMAN	O96015	DNAL4_HUMAN	DNAL4	105	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynein axonemal light chain 4	0.7959	0.9875	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15765.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O96017|CHK2_HUMAN	O96017	CHK2_HUMAN	CHEK2	543	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase Chk2	0.98	0.999	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5286.116	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O96019|ACL6A_HUMAN	O96019	ACL6A_HUMAN	ACTL6A	429	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-like protein 6A	1	0.999	8	29	17	29	8	10	8	3	0	0	0	0	4	7	5	1	0	0	0	0	8	10	8	3	0	0	0	0	80197.19	101655.14	81590.7	56722.117	0	0	0	0	21699.111	28394.467	23520.021	26518.27	0	0	0	0	
sp|O96028|NSD2_HUMAN	O96028	NSD2_HUMAN	NSD2	1365	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone-lysine N-methyltransferase NSD2	0.9801	0.999	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6531.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|O96033|MOC2A_HUMAN	O96033	MOC2A_HUMAN	MOCS2	88	Homo sapiens OX=9606	1:Experimental evidence at protein level	Molybdopterin synthase sulfur carrier subunit	0.9426	0.997	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4381.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	1	0.999	6	18	18	18	2	9	6	1	0	0	0	0	2	9	6	1	0	0	0	0	2	9	6	1	0	0	0	0	7370.0674	95136.08	82475.3	11872.006	0	0	0	0	0	20226.484	19794.48	0	0	0	0	0	
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens OX=9606	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	1	0.999	16	214	214	248	29	67	57	34	8	8	11	0	29	67	57	34	8	8	11	0	36	74	66	38	9	11	14	0	1734903.9	4168423.5	4421324	2631526.8	1238252.8	1506330.6	1588483.1	0	461487.6	821842.8	836151.2	576728.8	1017897.44	450506.1	418740.47	0	
sp|P00367|DHE3_HUMAN	P00367	DHE3_HUMAN	GLUD1	558	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Glutamate dehydrogenase 1, mitochondrial"	1	0.999	18	77	6	77	16	28	23	9	0	0	1	0	0	3	3	0	0	0	0	0	16	28	23	9	0	0	1	0	220302.64	438314.62	408215.38	200552.34	0	0	39407.62	0	41672.33	57559.277	55455.47	44566.33	0	0	0	0	
sp|P00374|DYR_HUMAN	P00374	DYR_HUMAN	DHFR	187	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dihydrofolate reductase	1	0.999	9	26	13	26	6	9	7	3	0	0	1	0	3	5	3	1	0	0	1	0	6	9	7	3	0	0	1	0	119166.586	165239.89	136988.8	71355.25	0	0	34380.32	0	36018.76	31999.918	33559.582	35058.61	0	0	0	0	
sp|P00387|NB5R3_HUMAN	P00387	NB5R3_HUMAN	CYB5R3	301	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH-cytochrome b5 reductase 3	1	0.999	14	49	49	49	7	19	17	6	0	0	0	0	7	19	17	6	0	0	0	0	7	19	17	6	0	0	0	0	122750.61	309554.56	333040.2	116954.75	0	0	0	0	42590.383	95466.77	103966.95	66622.34	0	0	0	0	
sp|P00390|GSHR_HUMAN	P00390	GSHR_HUMAN	GSR	522	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Glutathione reductase, mitochondrial"	1	0.999	12	74	74	74	13	27	21	12	0	0	1	0	13	27	21	12	0	0	1	0	13	27	21	12	0	0	1	0	254469.69	500132.2	496127.72	337436.53	0	66688.54	0	0	47628.098	63054.605	64335.242	61506.44	0	0	0	0	
sp|P00395|COX1_HUMAN	P00395	COX1_HUMAN	MT-CO1	513	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 1	0.9523	0.9975	1	4	4	4	0	1	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	10901.449	7847.258	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	MT-CO2	227	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 2	1	0.999	5	22	22	22	5	6	3	4	0	2	2	0	5	6	3	4	0	2	2	0	5	6	3	4	0	2	2	0	86180.92	215134.16	141809.08	198333.31	0	68714.984	71170.61	0	35727.18	101848.07	116528.336	71594.06	0	0	0	0	
sp|P00414|COX3_HUMAN	P00414	COX3_HUMAN	MT-CO3	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 3	1	0.999	1	6	6	6	1	2	3	0	0	0	0	0	1	2	3	0	0	0	0	0	1	2	3	0	0	0	0	0	3903.0593	20757.027	13547.836	0	0	0	0	0	0	11444.597	7570.672	0	0	0	0	0	
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	1	0.999	3	21	21	21	3	6	9	3	0	0	0	0	3	6	9	3	0	0	0	0	3	6	9	3	0	0	0	0	178131.44	393292.7	431262.97	163488.64	0	0	0	0	134332.67	178951.73	205799.55	124647.89	0	0	0	0	
sp|P00491|PNPH_HUMAN	P00491	PNPH_HUMAN	PNP	289	Homo sapiens OX=9606	1:Experimental evidence at protein level	Purine nucleoside phosphorylase	1	0.999	11	40	40	40	3	17	17	3	0	0	0	0	3	17	17	3	0	0	0	0	3	17	17	3	0	0	0	0	59941.094	222283.67	222728.39	76056.92	0	0	0	0	40948.355	44913.36	45849.082	37434.527	0	0	0	0	
sp|P00492|HPRT_HUMAN	P00492	HPRT_HUMAN	HPRT1	218	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hypoxanthine-guanine phosphoribosyltransferase	1	0.999	9	52	42	52	5	21	16	6	0	1	3	0	4	19	14	4	0	0	1	0	5	21	16	6	0	1	3	0	111942.23	298403.47	297879.88	121747.79	0	0	0	0	35322.246	62594.875	65233.426	51245.465	0	0	0	0	
sp|P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Aspartate aminotransferase, mitochondrial"	1	0.999	17	102	102	102	17	30	36	17	0	1	1	0	17	30	36	17	0	1	1	0	17	30	36	17	0	1	1	0	326158.38	831501.6	801696.9	379392.22	0	109646.53	69158.82	0	53318.016	70971.266	70093.22	70634.33	0	99948.64	0	0	
sp|P00519|ABL1_HUMAN	P00519	ABL1_HUMAN	ABL1	1130	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein kinase ABL1	0.9785	0.9989	1	3	3	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3855.7544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P00533|EGFR_HUMAN	P00533	EGFR_HUMAN	EGFR	1210	Homo sapiens OX=9606	1:Experimental evidence at protein level	Epidermal growth factor receptor	1	0.999	14	30	28	30	7	7	13	3	0	0	0	0	7	6	12	3	0	0	0	0	7	7	13	3	0	0	0	0	115897.79	73874.69	70323.03	40252.46	0	0	0	0	24751.123	25471.17	23194.588	22810.879	0	0	0	0	
sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoglycerate kinase 1	1	0.999	26	358	279	358	54	109	95	54	6	18	22	0	43	85	68	45	3	17	18	0	54	109	95	54	6	18	22	0	2433581.5	4192195.5	3997888.5	2781780.8	468093.66	2083688	2027017.5	0	220776.16	354682.25	375822.22	300722.16	943848.94	346139.66	330559.06	0	
sp|P00568|KAD1_HUMAN	P00568	KAD1_HUMAN	AK1	194	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenylate kinase isoenzyme 1	1	0.999	11	44	42	44	9	15	12	8	0	0	0	0	9	14	11	8	0	0	0	0	9	15	12	8	0	0	0	0	171465.38	238200.39	313829.7	156009.11	0	0	0	0	40555.848	41025.914	51431.13	42350.84	0	0	0	0	
sp|P00846|ATP6_HUMAN	P00846	ATP6_HUMAN	MT-ATP6	226	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit a	0.9801	0.999	1	2	2	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	19504.771	22855.96	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P00918|CAH2_HUMAN	P00918	CAH2_HUMAN	CA2	260	Homo sapiens	1:Experimental evidence at protein level	Carbonic anhydrase 2	1	0.999	5	19	19	19	8	4	6	1	0	0	0	0	8	4	6	1	0	0	0	0	8	4	6	1	0	0	0	0	49300.82	72362.68	83512.984	14105.447	0	0	0	0	11428.453	22379.125	20421.486	0	0	0	0	0	
sp|P01023|A2MG_HUMAN	P01023	A2MG_HUMAN	A2M	1474	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-2-macroglobulin	1	0.999	3	13	10	13	2	4	4	3	0	0	0	0	2	3	2	3	0	0	0	0	2	4	4	3	0	0	0	0	29934.05	50937.633	53840.086	36806.066	0	0	0	0	18223.977	17862.77	19130.215	22454.951	0	0	0	0	
sp|P01111|RASN_HUMAN	P01111	RASN_HUMAN	NRAS	189	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTPase NRas	1	0.999	5	13	4	13	1	5	4	2	0	0	1	0	0	3	1	0	0	0	0	0	1	5	4	2	0	0	1	0	20972.742	61144.92	70904.336	26601.486	0	0	0	0	0	26846.188	28793.34	0	0	0	0	0	
sp|P01116|RASK_HUMAN	P01116	RASK_HUMAN	KRAS	189	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTPase KRas	1	0.999	4	7	7	15	2	2	3	0	0	0	0	0	2	2	3	0	0	0	0	0	3	4	5	2	0	0	1	0	3934.487	27779.537	26062.82	0	0	0	0	0	0	15966.229	14873.953	0	0	0	0	0	
sp|P01130|LDLR_HUMAN	P01130	LDLR_HUMAN	LDLR	860	Homo sapiens OX=9606	1:Experimental evidence at protein level	Low-density lipoprotein receptor	1	0.999	3	5	5	5	0	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	12764.17	14821.408	0	0	0	0	0	0	7841.74	9036.707	0	0	0	0	0	
sp|P01215|GLHA_HUMAN	P01215	GLHA_HUMAN	CGA	116	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycoprotein hormones alpha chain	1	0.999	2	9	9	9	3	1	3	2	0	0	0	0	3	1	3	2	0	0	0	0	3	1	3	2	0	0	0	0	70796.836	55681.535	82941.16	74931.516	0	0	0	0	32621.771	0	41986.074	41197.78	0	0	0	0	
sp|P01889|HLAB_HUMAN	P01889	HLAB_HUMAN	HLA-B	362	Homo sapiens OX=9606	1:Experimental evidence at protein level	"HLA class I histocompatibility antigen, B alpha chain"	1	0.999	8	6	6	22	1	2	3	0	0	0	0	0	1	2	3	0	0	0	0	0	3	7	11	1	0	0	0	0	8821.028	29294.592	26092.793	0	0	0	0	0	0	32170.377	20590.28	0	0	0	0	0	
sp|P02042|HBD_HUMAN	P02042	HBD_HUMAN	HBD	147	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hemoglobin subunit delta	0.9801	0.999	1	3	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2913.7708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|P68871|HBB_HUMAN
sp|P02461|CO3A1_HUMAN	P02461	CO3A1_HUMAN	COL3A1	1466	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-1(III) chain	1	0.999	11	27	27	27	6	9	11	1	0	0	0	0	6	9	11	1	0	0	0	0	6	9	11	1	0	0	0	0	47203.52	114169.66	102382.664	11158.829	0	0	0	0	17204.176	28500.38	26425.086	0	0	0	0	0	
sp|P02462|CO4A1_HUMAN	P02462	CO4A1_HUMAN	COL4A1	1669	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-1(IV) chain	0.8959	0.9943	1	3	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3708.2883	9614.547	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|P29400|CO4A5_HUMAN
sp|P02511|CRYAB_HUMAN	P02511	CRYAB_HUMAN	CRYAB	175	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-crystallin B chain	1	0.999	9	52	52	52	6	16	19	7	0	3	1	0	6	16	19	7	0	3	1	0	6	16	19	7	0	3	1	0	129603.95	346268.22	331715.84	190088.81	0	56628.312	0	0	43927.984	74482.84	72990.06	68191.23	0	0	0	0	
sp|P02538|K2C6A_HUMAN	P02538	K2C6A_HUMAN	KRT6A	564	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Keratin, type II cytoskeletal 6A"	0.9942	0.999	9	2	0	180	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	50	49	25	2	9	17	1	0	19149.617	22047.207	0	0	0	0	0	0	0	0	0	0	0	0	0	"sp|P04259|K2C6B_HUMAN, sp|P48668|K2C6C_HUMAN"
sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prelamin-A/C	1	0.999	55	648	626	648	122	177	170	109	5	30	35	0	119	173	166	104	5	27	32	0	122	177	170	109	5	30	35	0	4688172	8123352	7804225.5	5892692.5	284389.66	3450413.5	3941025	0	303229.97	339990.94	352991.4	326185.44	0	309752.2	316514.72	0	
sp|P02765|FETUA_HUMAN	P02765	FETUA_HUMAN	AHSG	367	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-2-HS-glycoprotein	1	0.999	2	5	5	5	3	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	16207.518	1214.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P02786|TFR1_HUMAN	P02786	TFR1_HUMAN	TFRC	760	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transferrin receptor protein 1	1	0.999	26	130	127	130	27	43	40	16	0	2	2	0	26	41	40	16	0	2	2	0	27	43	40	16	0	2	2	0	463367.25	773183.56	715375.56	310390.88	0	68459.67	116911.914	0	63976.586	89486.46	95814.96	58282.594	0	0	68228.73	0	
sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	Homo sapiens	1:Experimental evidence at protein level	Serotransferrin	0.9621	0.9981	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10077.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P02788|TRFL_HUMAN	P02788	TRFL_HUMAN	LTF	710	Homo sapiens	1:Experimental evidence at protein level	Lactotransferrin	0.9999	0.999	2	2	2	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	20502.156	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P02792|FRIL_HUMAN	P02792	FRIL_HUMAN	FTL	175	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ferritin light chain	1	0.999	5	8	8	8	2	2	4	0	0	0	0	0	2	2	4	0	0	0	0	0	2	2	4	0	0	0	0	0	19007.469	12717.207	21527.336	0	0	0	0	0	0	7508.1978	7808.597	0	0	0	0	0	
sp|P02794|FRIH_HUMAN	P02794	FRIH_HUMAN	FTH1	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ferritin heavy chain	1	0.999	9	64	64	64	12	16	18	13	0	2	3	0	12	16	18	13	0	2	3	0	12	16	18	13	0	2	3	0	220697.7	434361.28	486620.7	362479.1	0	87297.42	91008.32	0	63571.113	111500.82	127217.12	92247.74	0	0	0	0	
sp|P02795|MT2_HUMAN	P02795	MT2_HUMAN	MT2A	61	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metallothionein-2	1	0.999	2	20	2	20	6	4	5	3	0	1	1	0	0	0	2	0	0	0	0	0	6	4	5	3	0	1	1	0	90655.66	62981.117	74906	82978.27	0	54452.438	56532.21	0	0	0	0	0	0	0	0	0	
sp|P03905|NU4M_HUMAN	P03905	NU4M_HUMAN	MT-ND4	459	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH-ubiquinone oxidoreductase chain 4	0.9599	0.9979	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15972.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P03928|ATP8_HUMAN	P03928	ATP8_HUMAN	MT-ATP8	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase protein 8	1	0.999	3	21	21	21	5	7	6	3	0	0	0	0	5	7	6	3	0	0	0	0	5	7	6	3	0	0	0	0	65685.33	124582.8	114188.39	20831.453	0	0	0	0	31184.922	44696.766	53829.24	0	0	0	0	0	
sp|P03973|SLPI_HUMAN	P03973	SLPI_HUMAN	SLPI	132	Homo sapiens OX=9606	1:Experimental evidence at protein level	Antileukoproteinase	0.9205	0.9958	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1	0.999	17	79	79	79	18	24	26	11	0	0	0	0	18	24	26	11	0	0	0	0	18	24	26	11	0	0	0	0	188091.9	279999.8	321077.38	181890.4	0	0	0	0	30644.773	33972.066	34529.656	27669.734	0	0	0	0	
sp|P04062|GBA1_HUMAN	P04062	GBA1_HUMAN	GBA1	536	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal acid glucosylceramidase	1	0.999	7	22	22	22	5	6	7	4	0	0	0	0	5	6	7	4	0	0	0	0	5	6	7	4	0	0	0	0	46934.24	96405.88	102768.375	37191.367	0	0	0	0	26035.39	30670.756	30707.629	26403.354	0	0	0	0	
sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1	0.999	26	350	38	350	62	94	91	64	3	16	20	0	3	16	14	2	1	1	1	0	62	94	91	64	3	16	20	0	3662458.8	5348492	5043265	4300674.5	751021.6	2496990	2551667	0	494675.06	613811	639416.9	520830.97	480645.44	363342.22	398244.56	0	
sp|P04080|CYTB_HUMAN	P04080	CYTB_HUMAN	CSTB	98	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cystatin-B	1	0.999	4	29	29	29	3	9	9	6	0	1	1	0	3	9	9	6	0	1	1	0	3	9	9	6	0	1	1	0	69990.73	334714.97	330932.5	126387.89	0	0	39374.656	0	45654.83	106640.93	110456.56	55540.723	0	0	0	0	
sp|P04083|ANXA1_HUMAN	P04083	ANXA1_HUMAN	ANXA1	346	Homo sapiens OX=9606	1:Experimental evidence at protein level	Annexin A1	1	0.999	21	178	178	178	35	48	49	25	2	8	11	0	35	48	49	25	2	8	11	0	35	48	49	25	2	8	11	0	998358.56	1759158.2	1453955.1	1014547.5	0	574119.8	742096.6	0	208372.12	268744.72	224523.3	214546.9	0	176603.12	180926.97	0	
sp|P04150|GCR_HUMAN	P04150	GCR_HUMAN	NR3C1	777	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucocorticoid receptor	1	0.999	6	17	17	17	6	4	6	1	0	0	0	0	6	4	6	1	0	0	0	0	6	4	6	1	0	0	0	0	34907.156	44993.234	58864.656	0	0	0	0	0	13778.135	14328.113	15404.734	0	0	0	0	0	
sp|P04179|SODM_HUMAN	P04179	SODM_HUMAN	SOD2	222	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Superoxide dismutase [Mn], mitochondrial"	1	0.999	9	30	30	30	3	10	12	5	0	0	0	0	3	10	12	5	0	0	0	0	3	10	12	5	0	0	0	0	66312.97	141656.97	162306.45	86708.695	0	0	0	0	33867.957	34636.895	33280.9	33149.758	0	0	0	0	
sp|P04181|OAT_HUMAN	P04181	OAT_HUMAN	OAT	439	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Ornithine aminotransferase, mitochondrial"	1	0.999	8	28	28	28	4	11	8	5	0	0	0	0	4	11	8	5	0	0	0	0	4	11	8	5	0	0	0	0	48658.65	152646.61	97313.35	47308.492	0	0	0	0	28067.545	29813.355	29335.42	30070.166	0	0	0	0	
