Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d		
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8			7076.33	5700.53	1736.31	4186.89	3875.08	2597.92	2015.2		3565.57				4223.27				6040.67	9620.68	4336.33	2214.63		1963.94					3294.56		3256.54	5021.19			4255.44		
O75940	O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	5266.42			4916.02		4429.91			4371.61									2028.72	3651.64							3612.92	5973.15	3450.48				3047.16					
O75947	O75947	ATP5H_HUMAN	ATP5PD	"ATP synthase subunit d, mitochondrial"	10319	8941.14	13215.5	8869.38	12885.6	14149	18067.9	11016.7	11892.8	10247.5	9198.3	9003.99	12771.9		15356.8	15471.8	12746.3	12778.4	10426.7	9740.81	10500.8	11044.9	16887.4	13420.8	14787.4	13790	10325.8	5240.8	6199	12556.2	19355.6	9759.69	17824.5	25101.8	13171.7		
O75954	O75954	TSN9_HUMAN	TSPAN9	Tetraspanin-9																																		4629.12			
O75955	O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	4764.63	7100.39	6551.4	5687.76	2875.91	6750.88	7830.51		4979.17			3813.26	6990.62	6152.57	3413.09	2373.85			4529.37		3330.48		4637.39	9670.97	2873.61	4169.17	3503.88			2891.34	3512.89	6117.32		882.088	5492		
O75962	O60229;O75962	TRIO_HUMAN	TRIO	Triple functional domain protein	2158.09			66852.7	61373.2			6038.53						105748	6004.86						52147.4						43349.2				146783		67601.3				
O75964	O75964	ATP5L_HUMAN	ATP5MG	"ATP synthase subunit g, mitochondrial"	4232.71	4839.69	5178.26	7738.21	3796.67	5857.33	8577.85	7785.36	6792.62	5453.46	5305.54	7285.46	3733.87	5064.89	9291.44	8189.58	5471.19		8056.99	6977.24	4955.74	7789.32	10800.7	8401.32	9967.59	4548.65	8103.77	8464.9	4585.57	7450.94	5323.34	4461.57	8559.13	11015.1	3641.62		
O75976	O75976	CBPD_HUMAN	CPD	Carboxypeptidase D			3888.68	2276.47	3098.65	10864.1	2573.39	43462.5							2676.92	1912.76	963.446		2914.39	22807.4	2747.57			4686.96	3581.98				37471.2			2473.98	4183.61		18441.5		
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	8868.82			18460.7	6230.45	12249		4894.28	15073.3		4899.2		8088.32	3646.83	3256.43						1491.42	5656.76			5440.84		9145.58		6970.43	6205.86		6461.1	11440				
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	4107.94			5248.96		4484.6	7296.01		6617.72	6131.81	6911.9				4340.04	5539.73	13221.3	10338.8	6957.56	7897.3	3969.01	9138.42	7154.22	10773.1	7474.93			8199.33		3285.48		4102.34	4518.37	5859.97	12811.1		
O76024	O76024	WFS1_HUMAN	WFS1	Wolframin								5861.32														2611.16	12956.9			8855.17				2075.73							
O76031	O76031	CLPX_HUMAN	CLPX	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"	6334.41	14380.9	8204.9	3465.25	3493.1		1975.12	4552.47	4184.56	2408.59	3723.84	9391.43			4167.25	3463.5	14859		1844.86		1327.69		8589.22	7268.19	8272.34	5635.35	2574.95			3730.99	4412.11	2788.34	2985.01	5550.34	5585.75		
O76054	O76054	S14L2_HUMAN	SEC14L2	SEC14-like protein 2	5169.63	9635.5	20948.4	3878.29	7192.89	7024.87		6806.14	2588.41									3545.08			8942.37	24105.1		5282.88		2544.86		2954.73		17800.6	7617.16	3990.03			13072.8		
O76071	O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1				3264.23	3768.46	2052.22	5479.64		3805.75						2100.68									2657.51		3882.02				7709.67		4161.47	3374.56				
O76074	O76074	PDE5A_HUMAN	PDE5A	"cGMP-specific 3',5'-cyclic phosphodiesterase"	7838.66		12725.9	2578.61	7675.19	4123.85									4762.08		4412.78			2874.91	4530.19	10826.7			5840.19	20004.7	8928.27	5349.66	7042.33	3344.52	4119.05	5353.08			6521.68		
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72	6720.62		5234.23	2325.76	6395.82	4032.23	6293.97	6313.1	5459.87	7871.07	4322.62	5888.33	6302.95	11708.7	4322.77		7207.21	9496.08	6621.05	8968.03	3742.46	7777.71		4612.63	8427.37	7480.04	10278.1	3676.35	7663.5	9606.82	6231.58	6889.59	7592.92		5712.12		
O94760	O94760	DDAH1_HUMAN	DDAH1	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"	9864.26	7571.88	8654.31	9961.98	8228.76	8975.74	3494.05	11386.3	6251.52	13141.5		6779.07			10992.7			10844.7	4738.38	5228.32	12269.6	6569.96		4110.94	7189.48		5472.59	5827.81	9379.49	7747.72	7327.21	8485.62	4743.1		8441.29		
O94762	O94762	RECQ5_HUMAN	RECQL5	ATP-dependent DNA helicase Q5			4002.31												2613.89											3014.17				2248.97					5439.61		
O94763	O94763	RMP_HUMAN	URI1	Unconventional prefoldin RPB5 interactor 1						3573.27		4353.81	1843.15																												
O94766	O94766;Q9NPZ5	B3GA3_HUMAN	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3									2384.81			2591.69			1040.92						9922.12	6614.11	4108.41		2246.61	1320.1		3160.08					5064.87				
O94776	O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2	3251.35	5482.42		3765.03	3989.31	3657.63	6698.05	6828.79	4863.89	4681	10395.9	4966.26	5191.08		5496.65	3831.43	4272.12	1732.93	4824.95	7666.65	5829.2	4182.66	3893.97	2953.66	5831.14	4156.59		4264.3	8216.75	7043.29	5013.33	5084.48	4417.08		4406.59		
O94804	O94804	STK10_HUMAN	STK10	Serine/threonine-protein kinase 10					3139.4													18204.1												32369.6							
O94808	O94808	GFPT2_HUMAN	GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	2763.02			1152.45											2425.19		1568.62				3258.55										1193.41		1998.18				
O94813	O94813;O75093	SLIT2_HUMAN	SLIT2	Slit homolog 2 protein	5752.55																																				
O94818;Q96MY1	Q96MY1;O94818	NOL4L_HUMAN;NOL4_HUMAN	NOL4;NOL4L	Nucleolar protein 4																										1845.21											
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70	7582.15	6933.52	5310.14	8265.2	5642.33	7839.65	5428.83	7915.01	8061.08	10516.8	6756.61	3543.15	6095.66	12226.7	6707.86	5794.05	8366.68	7008.91	8553.03	8077.79	6415.43	6480.53	7676.73	6358.4	9153.32	8276.71	6068.45	8012.08	6964.81	9893.92	10616.4	7561.08	6842.73	6469.98	8524.11		
O94829	O94829	IPO13_HUMAN	IPO13	Importin-13						2227.54																					3865.35										
O94842	O94842	TOX4_HUMAN	TOX4	TOX high mobility group box family member 4			3369.65							19854.5	4145.56	2258.37			1051.8					26036.8																	
O94851	O94851	MICA2_HUMAN	MICAL2	[F-actin]-monooxygenase MICAL2	5048.09			4329.95	1355.46	8903.78	1517.32		3830.96				2098.51		2106.49	5865.08	3116.49				2773.89					5247.4	5064.55	3334.08		4095.05		3105.98	2224.95				
O94854	O94854	K0754_HUMAN	KIAA0754	Uncharacterized protein KIAA0754															2652.22																						
O94855	O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D	7994.74	10368.8	5994.59	3508.46		7685.74	4486.41	3170.7	6894.35	3413.64		5180.12	4496.48		6660.39			6173.75	6137.33		10049.8	2451.28		4454.01	5341.27	5821.67	6509.5	6905.7	7176.27	9494.03	10401.1	7629.83			6945.16		
O94856	O94856	NFASC_HUMAN	NFASC	Neurofascin										5798.73																											
O94874	Q92845;O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	9169.89	15309	4434.44	6273.95	7344.83	5297.19	4720.4	9622.14	7549.88	7804.89	9421.77	6879.61		6722.44	8782.62	10360.4	8985.83		9439	8464.54	7158.24	12914.5	7001.39	6993.06	6088.14	8561.88	7212.23	36915		3900.1	5005.08	5863.87	7507.61	7987.1	13562.7		
O94885	O94885	SASH1_HUMAN	SASH1	SAM and SH3 domain-containing protein 1						5147.68																															
O94901	O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1	1003.93			3320	1629.4	1614.42			3205.52		4831.71	3209.79			1478.2	2505.13			3831.88	2081.63		4739.49		2102.71	3637.71		2215.9	3802.09	4860.56	2380.35	2710.99	3176.27		1786.77	2982.66		
O94903	O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein	5939.44				7239.39	4835	6638.34	6445.03	4949.16									10665	4253.19		7770.88	9068.38					7398.01	8103	3216.6	2992.25	6485.32	6942.92			7464.76		
O94905	O94905;O75477	ERLN2_HUMAN	ERLIN2	Erlin-2	14110.8	40549.5	5955.77	13625	15999.7	10887.5	7243.03	15003.2	14511.9	16039.2	16628.2	13259.6	14179	11083.3	6340.96	12812.8	15347.2	4907.94	11440.2	7432.23	9970.45	13282.3	11911.8	11065.7	11798.1	9183.7	8637.42	12330.2	14015.3	8842.79	11115.5	12822.9	17673.7	11828.1	8366.55		
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	7509.61	8256.48	5270.16	10164.7	8404.47	5574.25	14718.9	8057.94	6875.09	8374.9	5444.07	12258.3		5353.35	7103.56	6755.97	8796.07	10981.2	6213.63	7331.46		11835.6	13167.9		8156.37	2647.16	10405.1		6898.73	7776.82	9762.61	3860.7	9198.69	5174.5	8717.4		
O94915	O94915	FRYL_HUMAN	FRYL	Protein furry homolog-like											3153.12				1332.24				4280.07						12249.4							4953.8					
O94919	O94919	ENDD1_HUMAN	ENDOD1	Endonuclease domain-containing 1 protein	3677.2				4334.02			14425.5							4869.65		7983.6		2894.23												13676.6	6650.07					
O94925	O94925	GLSK_HUMAN	GLS	"Glutaminase kidney isoform, mitochondrial"	8897.14		9457.18	9983.59	7816.82	12224.1	16453.8	10977.6	8046.26	15077.5	7707.61	13962	10847.4	16661.7	22324.8	17457.8	13252.8	12543.4	9545.61	20590.7	13555.9	14325	8995.17	15961.4	12701.8	8350.72	17966.9	11302.3	15624.7	15973.9	12153.7	16151.7	4482.25	26441.5	12811.7		
O94927	O94927	HAUS5_HUMAN	HAUS5	HAUS augmin-like complex subunit 5									2800.14												2176.19																
O94964	O94964	SOGA1_HUMAN	SOGA1	Protein SOGA1																		4107.31																			
O94966	O94966	UBP19_HUMAN	USP19	Ubiquitin carboxyl-terminal hydrolase 19		10810.2					2748.2		6857.25						4798.52															4451.08							
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2				5002.93		4377.3			4310.25				6710.42		3201.82	8751.86			11313.2	5209.16	16398.5	5184.66			4757.61	9668.36				6276.61	5347.43	1636.48	5802.71				
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	21080.1	19968.5	13010.5	15839.2	18816.8	18445	17545.3	13957.6	18604.5	17616.1	14407.1	18861.3	18991.4	17958.8	23846.9	9956.4	19011.1	19550.6	13987.2	14825.5	16546.6	20439.6		16782.5	19009.4	19446.2	13874.3	15137.5	12373.6	20348.4	14376.9	19888.3	18324.1		26381.6		
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1		19872.4																																			
O95059	O95059	RPP14_HUMAN	RPP14	Ribonuclease P protein subunit p14																													2228.59				2252.14				
O95070	O95070	YIF1A_HUMAN	YIF1A	Protein YIF1A									2644.61																												
O95071	O95071	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5				6482.92						6359.65			8423.16		5706.01									6515.85			8440.76										
O95104	O95104	SCAF4_HUMAN	SCAF4	SR-related and CTD-associated factor 4																											6794.61										
O95140	O95140	MFN2_HUMAN	MFN2	Mitofusin-2						10457		39709.6		9726.25					1890.47												12745.1										
O95159	O95159	ZFPL1_HUMAN	ZFPL1	Zinc finger protein-like 1	6498.66		4437.72	2579.78		5034.19	4758.86		9166.89	3447.41	1878.86	1539.58	8842.48		2333.91	5026.25	4206.4				5565.97	7106.21			2938.88		5674.46			6138.81	5264.17	3757.02	2513.15	1448.71	3855.28		
O95163	O95163	ELP1_HUMAN	ELP1	Elongator complex protein 1			7388.6					11518.5	4542.76		13302.3	21189.3			3143.75				7605.51	6428.96	1416.21			6452.02	2128.91		4669.88		105339								
O95167	O95167	NDUA3_HUMAN	NDUFA3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3									1216.58																												
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	7051.79		3256.9	6056.17	7316.05	11236.1	12038.4	5527.53	6958.98	5993.69				9051.28	10111.7	8611.16	6012.96	8570.7	10445.1	8868.19	4417	9168.44	5972.18	2618.63	7115.38	3604.45	2975.76		7727.23	7896.04	10249	3526.38	4100.45	7139.84	5907.44		
O95169	O95169	NDUB8_HUMAN	NDUFB8	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"			2992.87	7209.03	3059.29			9540.69	3672.93	4816.04	3490.67	5133.15	7792.55		8099.25		4559.92				7831.07		4418.88	6457.23		4260.42			3869.73	9151.62	4285.23	3761.54		8421.93	5230.88		
O95178	O95178	NDUB2_HUMAN	NDUFB2	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial"	3030														2423.33																						
O95182	O95182	NDUA7_HUMAN	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7					5587.56															4605.38						1690.64											
O95183	O95183	VAMP5_HUMAN	VAMP5	Vesicle-associated membrane protein 5		10608.3				4017.29									18792.8						6363.29				16159.1	5394.81	3186.78			2588.57		2140.38		2240.15			
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	5761.37	4607.66	24162.9	6254.36	9454.53	12487.1	5661.74	7221.25	7366.75	4204.01	7545.97	15738.1			6870.24	6036.26	14920.1	12690.5	7015.35	7718.5	10038.4	10804.2	8943.59	4800.89	8142.81	6084.39	4909.89	5385.38	7583.62	5004.21	5078.04	8833.85	5734.47	10095.5	4350.37		
O95208	O95208	EPN2_HUMAN	EPN2	Epsin-2						12497.3																											8247.78				
O95210	O95210	STBD1_HUMAN	STBD1	Starch-binding domain-containing protein 1					3474.83			5565.75		4761.06													6168.93				1775.59				3825.17		3389.12				
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2											4537.33								1257.02																1646.84		
O95219	O95219	SNX4_HUMAN	SNX4	Sorting nexin-4				17432.7	1769.58			6570.26	2675.31						3097.17		3704.89			3207.45	4513.75											1372.35					
O95229	O95229	ZWINT_HUMAN	ZWINT	ZW10 interactor					890.619										1468.53																						
O95232	O95232	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3															2399.43				5673.4		2648.88							4520.8	1223.77						2132.81		
O95239	Q2VIQ3;O95239	KIF4A_HUMAN	KIF4A	Chromosome-associated kinesin KIF4A		18516.6	2581.53	4717.78	7904.15	3598.95			1650.77		5180.57	5355.85			2571.1		3726.62	11125	3809.91	8620.31	18058.2	2090.65					2414.75			2372.57					1191.89		
O95249	O95249	GOSR1_HUMAN	GOSR1	Golgi SNAP receptor complex member 1															5177.22					2994.4		3467.76					2870.67										
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	15048.5	20039.3	18111.8	9142.98	7922.06	10656.5	7668.89	8973.33	7938.9	13558.4		6562.3		7139.47	8319.72	11740.8	7098.29	4640	6394.41	6882.17	7601.63	9367.07	12971.5		9203.08	7469.78	7032.42	13259.9	11430.5	4502.06	7142.32	5840.14	8822.07	10078.1	8659.31		
O95295	O95295	SNAPN_HUMAN	SNAPIN	SNARE-associated protein Snapin	1867.07			1669.53	1569.45	2915.51	3961.19		2021.23						1135.29				4488.48														1410.82		4508.94		
O95297	O95297	MPZL1_HUMAN	MPZL1	Myelin protein zero-like protein 1							4592.17																					3814.28				4910.67					
O95298	O95298	NDUC2_HUMAN	NDUFC2	NADH dehydrogenase [ubiquinone] 1 subunit C2				13112.8	21192.9		20869.2	10622.4	12612.3								13451.4													7456.65				21055.5	9979.26		
O95299	O95299	NDUAA_HUMAN	NDUFA10	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"	2912.32	3547.64	22994.4	4423.42	981.681	4606.69	4552.38	4812.63	2450.61		7256.66			8499.49	5706.73	4588.9	7920.66	2159.03	4941.92	2694.55	4389.94	2771.66	6106.3	3950.99			6118.45	10073.9	6902.6	6872.52	7607.47	3983.79		5870.96	5818.56		
O95302	O95302	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	21807.3	25636.3	20468.1	14963.7	13706.8	13977.6	30042.9	24145.7	7859.94	6923.61	14112.7	17693.4	9142.27	7721.93	17382.8	30793.2	10696.9	4974.96	35050.4	9680.8	11197.3	10029	13640.8	14080.9	20974.9	26163.3	5166.23	5422.18	14927.1	16400.6	20922.6	9228.44	5283.61	34230.5	13950.1		
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	36614.1	30549.8	28413.6	26492.1	37578.5	28677.5	31250.4	27821.8	34305.9	17746.8	21458	19844.1	23468.9	22482.2	29519.4		2592.64	16111.8	18305.9	21728.1	33277.3	15426.2	3258.33	28789	21356.9	35697.4	26029.8	25560.4	12301.3	29185.9	24336.4	23254	28984.6		22659.7		
O95340	O95340	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2			20333.3								9664.2																31184.9								9438.11		
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2		4982.29	5613.5	5924.92	5887.39	9880.28	3271.15	5561.12	6353.98	5153.77	8632.86	7868	6461.34	8314.98	5974.91		6909.7	16493.5	8299.11	9616.39	3781.42	7908.98		4315.31	5226.21		5957.01		8585.34	8094.23	13012.9	7947.21	6789.18		6655.99		
O95352	O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7			4281.14						405.852						8561.06				9552.73		2955.72																
O95359	O95359	TACC2_HUMAN	TACC2	Transforming acidic coiled-coil-containing protein 2																					3068.79																
O95361	O95361	TRI16_HUMAN	TRIM16	Tripartite motif-containing protein 16	12480.9	4381.7		4355.21	5532.88	5318.36	4859.97		3857.24			2623.09			3794.6				10602.2			3659.04			2293.89	1448.34	3610.82	1458.52		4751.74		5243.84					
O95363	O95363	SYFM_HUMAN	FARS2	"Phenylalanine--tRNA ligase, mitochondrial"															659.365																		1503.28				
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2	4098.29	3257.92	3591.13			3147.43	7329.13		3994.87	7950.49					6742.8				1530.52			5759.54		2659.79			3013		3665.84						7816.54		
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	19092	8671.01	12282.3	17699.7	14018.9	8055.04	10708.9	16683.6	17866.4	14425.6	16616.3	16440.5	11535.9	21996.7	20867.8		13915.9	18426.7	12820.4	16920	32008.7	12347.6		13444.7	18369.2	12901.3	24902.3	21087	18313	18150.9	20201.3	24207.8	18708.6		27169.7		
O95376	O95376	ARI2_HUMAN	ARIH2	E3 ubiquitin-protein ligase ARIH2		2427.48													11510.4				6529.73																		
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	10122.3	13223.7	12113.3	8967.33	7411.22	19823.8	7529.2	6121.61	9633.77	10592.6	6876.38	11356	11707.4	6371.94	7960.3			10289.4	1786.2	6494.38	5521.82	11624.7		11156.7	7293.25	13210.6	7632.96	11393.3	11030.9	8910.84	8004.33	7760.82	9543.7		12321.7		
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2	11219.7	1788.64	4289.24	1674.63	3102.61	2255.39	4442.49		1818.51						2915.92			3522.85	2032.07		6486.39	2732.2				3540.56	2732.94			7111.27	3317.33	1912.71	2000.42				
O95425	O95425	SVIL_HUMAN	SVIL	Supervillin	3151.86																														38334.4						
O95429	O95429	BAG4_HUMAN	BAG4	BAG family molecular chaperone regulator 4						2385.24																															
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	17727.3	5722.51	9644.7	10785.6	8256.27	10967.7	6035.35	14642	8972.13	18336.7	21248.6		8271.95		8712.34				7689.26	9765.86	10264.6	9543.29		6694.09	11345.5	10898.5	9562.43	23280.6	8520.97	12601.7	10699	11105.7	11402.7		9642.64		
O95453	O95453	PARN_HUMAN	PARN	Poly(A)-specific ribonuclease PARN			9072.27																		19729.8																
O95456	O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1				1406.17					3372.72						4293.07						3466.61	3812.21			9289.25	4406.6				4204.37	4371.84	2927.5			4751.3		
O95470	O95470	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1	6639.15		4988.33	5530.61	1199.94	5473.43		15040.8	3747.13		5564.69					10516.4	13136.3		7263.49				11825.4		13496.3		4178.48					4363.87	8952.96	8008.8	1640.29		
O95478	O95478	NSA2_HUMAN	NSA2	Ribosome biogenesis protein NSA2 homolog						16084.8			1219.67												8719.44	16291															
O95479	O95479	G6PE_HUMAN	H6PD	GDH/6PGL endoplasmic bifunctional protein		47257.1			29377												39482.6														11328.8						
O95486	O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A	4151.21		3369.67		4265.72	10594.8	1800.82		4328.69	5326	4786.43			6414.79	6606.32						5251.42	11673.1		4262.37		31489.6	32947.1			5365.47	940.61	5259.26	4355.59		4589.59		
O95487	O95487	SC24B_HUMAN	SEC24B	Protein transport protein Sec24B	9553.05		5250.58				14188.4								5637.21											6128.15									14197.2		
O95490	O95490	AGRL2_HUMAN	ADGRL2	Adhesion G protein-coupled receptor L2				5517.22																																	
O95544	O95544	NADK_HUMAN	NADK	NAD kinase																														1048.71							
O95571	O95571	ETHE1_HUMAN	ETHE1	"Persulfide dioxygenase ETHE1, mitochondrial"	2990.21	3894.36	6581.26	4750.94	6605.93	2992	5428.28	5243.19	3502.56	10345.7	1005.89	5745.69		3677.54	5110.84	1526.61			6327.69	1983.08	5986.96	4422.03	9626.36	8246.21	7299.28	6495.41	3541.69	5331.07	2690.42	12915.9	8690.72	6898.74	5666.67	16245.9	6431.34		
O95573	O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3	2291.44			6084.46	4048.56	4713.58	5409.37	8029.24	6899.62			3306.21	3924.79		4269.06	4485.01	8758.79		2150.74	7032.5	2131.57		3177.15	7672.59		6181.8		6809.61	4200.75		5951.4	4756.74	2948.42	7296.75	2292.43		
O95602	O95602	RPA1_HUMAN	POLR1A	DNA-directed RNA polymerase I subunit RPA1																																			4211.5		
O95630	O95630	STABP_HUMAN	STAMBP	STAM-binding protein					8308.24	6159.95	10387.1		3932.96						5424.82			4694.47										6069.81		1890.33	1293.52	4033.89					
O95639	O95639	CPSF4_HUMAN	CPSF4	Cleavage and polyadenylation specificity factor subunit 4				2672.69																																	
O95671	O95671	ASML_HUMAN	ASMTL	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein	33655.6			5954.68	3641.77	24364.4	252542	1376.65	1849.96						1424.91									9747													
O95684	O95684	CEP43_HUMAN	CEP43	Centrosomal protein 43				3928.85																2676.72										2984.03							
O95696	O95696	BRD1_HUMAN	BRD1	Bromodomain-containing protein 1									1717.55																									5299.13			
