Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-04_3862.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-05_3863.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_10ng_2-23-2024_Slot2-02_3856.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_10ng_2-23-2024_Slot2-02_3859.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_10ng_2-24-2024_Slot2-03_3860.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
O43818	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	21709.4	14086.9	18190.2		15581.4	18874.7		16103.8	13155.4	16157.3	16677.3	15224.8
O43819	O43819	SCO2_HUMAN	SCO2	"Protein SCO2 homolog, mitochondrial"	12911.6	12382.7	11845.2		13308.1	12854.6		14025.7	12216.2	13447.7	16121.8	11955.2
O43822	O43822	CF410_HUMAN	CFAP410	Cilia- and flagella-associated protein 410	2067.97	2059.94	1789.25		2712.19	2897.27		1097.97	1707.39	2824.52	2988.87	2888.25
O43823	O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	5319.33	7174.02	6197.67		6997.52	6771.15		6284.43	6889.69	7216.19	6205.21	7320.89
O43824	O43824	GTPB6_HUMAN	GTPBP6	Putative GTP-binding protein 6	5018.5	4559.24	4592.81		3679.01	5141.96		4558.03	4311.27	5018.04	5606	4937.76
O43826	O43826	G6PT1_HUMAN	SLC37A4	Glucose-6-phosphate exchanger SLC37A4	2692.24	2410.58	2839.08		1879.53	2222.2		3961.59	1385.46	2203.32	3307.19	3623.84
O43837	O43837	IDH3B_HUMAN	IDH3B	"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	19410.4	17365.2	22169.3	69063.9	18324.1	22750.2		26951.8	23901.7	23460.5	28731.5	24089.1
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin	15514.3	15901.1	15726.1	27000.1	14712	14828.8		12450	12725.1	13855.1	13555.1	12932.1
O43852	O43852	CALU_HUMAN	CALU	Calumenin	438287	495846	390933	530084	553813	406905		501087	550199	624201	567067	594594
O43854	O43854	EDIL3_HUMAN	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	17988.2	19074.5	17903.1	110605	19578.9	19760		22117.3	20568.5	22569.7	22494.6	19978.8
O43861	O43861	ATP9B_HUMAN	ATP9B	Probable phospholipid-transporting ATPase IIB	4129.24	4027.35	4205.98		3090.15	3800.29		4835.59	4412.11	3817.22	5564.5	4401.38
O43865	O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	13703.1	11591	10889.8	92619.7	7985.99	6241.92		9258.55	11771.5	6365.67	8292.18	7328.8
O43896	O43896	KIF1C_HUMAN	KIF1C	Kinesin-like protein KIF1C	6722.87	5961.76	8557.35		6899.61	6230.9		8005.83	7074.7	7351.73	7881.02	6176.6
O43909	O43909	EXTL3_HUMAN	EXTL3	Exostosin-like 3	6727.87	3937.69	6552.89		5653.4	7151.24		6445.32	5434.66	5584.81	7174.83	6333.12
O43913	O43913	ORC5_HUMAN	ORC5	Origin recognition complex subunit 5	2323.42		2983.32		2147.84			3139.44	2643.1	2352.56	3120.13	2503.59
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	15218.9	24446.5	16981	23440.6	26006.7	13982.3		20173.9	20765.5	22625.2	25409.1	21173.5
O43924	O43924	PDE6D_HUMAN	PDE6D	"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"	3570.76	7375.3	3762.91		8827.59	6058.06		5188.94	6024.89	8134.19	7044.77	4789.39
O43929	O43929	ORC4_HUMAN	ORC4	Origin recognition complex subunit 4	997.624	703.527	1636.47		1985.18	2957.28		854.648	963.321	1808.01	2380.33	1257.59
O43933	O43933	PEX1_HUMAN	PEX1	Peroxisome biogenesis factor 1	6987.76	4484.12	6589.61		4629.96	5768.42		5504.88	5547.6	5382.6	6759.7	5022.77
O60216	O60216;Q9H4I0	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	4923.14	5188.15	6096.62		5690.22	6303.2		4076.05	4675.77	6174.13	6710.92	5552.85
O60220	O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	9865.86	8000.1	6273.15		13606.5	9210.84		7309.35	8496.36	14110.1	12625.5	12710.8
O60231	O60231	DHX16_HUMAN	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	3604.38	2936.51	3630.93		4226.24	4332.58		4064.6	3132.22	3833.92	3957.29	3695.57
O60232	O60232	ZNRD2_HUMAN	ZNRD2	Protein ZNRD2	23699.1	44593.9	27348.8		32329.1	19487.9		32517.1	37900.2	30650.5	23333.5	26348.8
O60234	O60234	GMFG_HUMAN	GMFG	Glia maturation factor gamma		3977.79	1730.88		2090.79			1902.28	2221.53	1935.09	1902.01	1922.53
O60237	O60237	MYPT2_HUMAN	PPP1R12B	Protein phosphatase 1 regulatory subunit 12B					4189.61	1739.73				1885.32	993.396	1229.9
O60238	O60238	BNI3L_HUMAN	BNIP3L	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	5622.01	7212.33	5799.72		4451.84	5940.89		5000.85	4803.87	2450.28	4734.34	3746.01
O60239	O60239	3BP5_HUMAN	SH3BP5	SH3 domain-binding protein 5	850.805	1018.17	760.566		703.894	2759.28		503.454	993.84	897.858	1074.44	914.477
O60244	O60244	MED14_HUMAN	MED14	Mediator of RNA polymerase II transcription subunit 14	2384.27	1541.76	2538.73		2143.4	1933.96		2637.1	1531.56	2425.79	2421.77	2331.47
O60256	O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	45235.9	35476.7	42167.8	23560.5	32656.7	38662.2		41788.6	39996.9	38039.6	37341.2	33730
O60262	O60262	GBG7_HUMAN	GNG7	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	1646.32	1835.69	679.077		1512.55			785.591	2577.81	2988.45		2453.79
O60264	P28370;O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	26755.2	19953.6	25470.6	25313.9	24778.5	26748.6		28443.4	24600.8	25207.4	32760.9	26243.6
O60268	O60268	K0513_HUMAN	KIAA0513	Uncharacterized protein KIAA0513	3830.67	2498.58	3113.09		3968.8	2925.18		1913.12	3248.98	3871.39	2940.87	4064.42
O60271	O60271	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	35186.6	32966	35869.6	51005.7	35409.3	33390.8		32755.6	36027.6	37299.9	35871	35732.2
O60279	O60279	SUSD5_HUMAN	SUSD5	Sushi domain-containing protein 5	2799.46	3884.07	2847.8		2223.71	2817.9		3852.3	3927.26	2985.83	2895.01	3162.9
O60281	O60281	ZN292_HUMAN	ZNF292	Zinc finger protein 292			604.655		1034.67	782.289			572.328	1263.88	1094.09	1202.85
O60282	O60282	KIF5C_HUMAN	KIF5C	Kinesin heavy chain isoform 5C	21778.4	22392.3	22924.9	82265.6	25687.5	22392.3		19476.9	20516.8	21984.9	20240	21114.8
O60285	O60285	NUAK1_HUMAN	NUAK1	NUAK family SNF1-like kinase 1	1081.12	667.644	1029.54		724.986	1900.27		589.167	1317.52	1993.04	1581.68	1787.3
O60287	O60287	NPA1P_HUMAN	URB1	Nucleolar pre-ribosomal-associated protein 1	5328.88	3764.04	5755.64		3918.85	5141.33		5001.84	4678.3	3941.39	5135.91	4747.6
O60291	O60291	MGRN1_HUMAN	MGRN1	E3 ubiquitin-protein ligase MGRN1	2880.85	2436.35	3675.4		4270.13	3459.99		3256.27	3561.8	4322.4	3935.51	4529.74
O60292	O60292	SI1L3_HUMAN	SIPA1L3	Signal-induced proliferation-associated 1-like protein 3	4281.24	3182.93	3940.82		3985.96	4246.84		2507.7	2240.35	2773	3124.85	2848.25
O60293	O60293	ZC3H1_HUMAN	ZFC3H1	Zinc finger C3H1 domain-containing protein	953.356	1353.08	1449.63		1308.44	1754.5		1535.34	1157.96	1011.18	1455.92	1454.26
O60294	O60294	TYW4_HUMAN	LCMT2	tRNA wybutosine-synthesizing protein 4	1640.62	1367.97	1258.95		1209.1	1681.46		1110.36	1129.8	1001.8	970.169	541.321
O60303	O60303	KATIP_HUMAN	KATNIP	Katanin-interacting protein			383.858		683.419	1602.78				568.412	540.643	886.021
O60306	O60306	AQR_HUMAN	AQR	RNA helicase aquarius	5294.6	4359.04	4887.81		5099.6	6033.45		5484.26	4970.96	4916.3	6107.25	4655.01
O60313	O60313	OPA1_HUMAN	OPA1	"Dynamin-like 120 kDa protein, mitochondrial"	33172.5	28200.8	32504.1	46844.3	30445.7	33054		41531.1	35811.5	39443.7	45369	37936.5
O60315	O60315	ZEB2_HUMAN	ZEB2	Zinc finger E-box-binding homeobox 2	349.947	464.59	533.836		792.677	721.044		1172.37	1029.08	855.442	913.212	1324.14
O60318	O60318	GANP_HUMAN	MCM3AP	Germinal-center associated nuclear protein	2648.74	2911.37	3871.46		3077.4	3229.2		3612.49	2941.87	3045.48	3375.75	2778.17
O60331	O60331	PI51C_HUMAN	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	12705.7	15443.5	14492.2		17291.9	14676.7		13171.8	13933.8	13505.7	14135.4	13824.4
O60333	O60333	KIF1B_HUMAN	KIF1B	Kinesin-like protein KIF1B	6105.21	5548.04	5572.09		5986.76	5453.05		4980.7	5899.19	5698.64	5319.17	4840.24
O60336	O60336	MABP1_HUMAN	MAPKBP1	Mitogen-activated protein kinase-binding protein 1	1125.03	1106.3	1238.91		1665.06	2380.77		1316.41	1194.94	2586.04	2036.24	2493.36
O60337	O60337	MARH6_HUMAN	MARCHF6	E3 ubiquitin-protein ligase MARCHF6	3688.63		2770.93		2495.94	1381.95		4038.32	3395.73	2162.97	2379.39	1410.22
O60341	O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	5866.13	5621.81	5231.96		5339.69	5189.99		6260.35	6061.53	5760.25	6507.34	6497.54
O60343	O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	3649.25	2116.92	4605.87		5874.5	5241.17			1451.72	3771.08	3583.61	2744.66
O60346	O60346	PHLP1_HUMAN	PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1	1317.25	1782.7	1254.19		1758.42	1924.64		1738.39	1022.06	1593.76	1756.86	1807.42
O60347	O60347	TBC12_HUMAN	TBC1D12	TBC1 domain family member 12	1627.61	1374.32	1690.62		1017.5	1463.9		1517.91	1702.16	1730.78	1764.8	1687.46
O60353	O60353	FZD6_HUMAN	FZD6	Frizzled-6	4896.03	3698.11	3755.45		2960.04	4102.81		4152.89	3357.01	2723.92	3465.16	3076.71
O60427	O60427	FADS1_HUMAN	FADS1	Acyl-CoA (8-3)-desaturase	3322.94	2713.83	3016.05		3165.57	2673.69		4512.03	4214.73	3090.69	3972.09	3087.08
O60437	O60437	PEPL_HUMAN	PPL	Periplakin	4692.47	3308.2	4151.52		4396	4240.8		5394.57	4640.75	5298.72	5982.32	4657.78
O60443	O60443	GSDME_HUMAN	GSDME	Gasdermin-E	14424	10722.1	15233.6		10819.3	12846.2		14364.1	12875.8	12744.2	13657	12006.1
O60447	O60447	EVI5_HUMAN	EVI5	Ecotropic viral integration site 5 protein homolog	4840.15	6052.63	3995.29		6558.2	4915.25		6395.03	6632.9	7266.19	6634.26	6846.14
O60462	O60462	NRP2_HUMAN	NRP2	Neuropilin-2	43312.2	37060.1	41942.6	62029.5	36828.3	29137.9		68771.9	66260.8	57173.3	67961.1	60242.4
O60476	O60476	MA1A2_HUMAN	MAN1A2	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"	5099.38	5711.34	4956.48		5054.36	5713.59		6440.83	4650.37	4553.17	6514.2	4970.55
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	6778.92	5874.02	7377.05		7128.85	9058.21		8750.85	8707.43	9035.32	10814.3	10191
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	75461.9	98527.4	81198.9	75048.4	92379.1	60746.6		84495.6	89490.9	77412.6	76557.8	61648.7
O60499	O60499	STX10_HUMAN	STX10	Syntaxin-10	4062.43	3853.28	3302.19		4334.46	4869.12		3800.19	3049.33	4498.63	4523.4	4680.76
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	48351.1	53982.3	51581.9		54505.2	47597.1		49144.8	50175	48451	45082.4	46970.3
O60504	O60504	VINEX_HUMAN	SORBS3	Vinexin	15258.7	15236.2	16825.3	9011.15	19749.8	21115.7		13161.4	12678.2	15345.3	15205.2	13659.6
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	238453	195852	231282	260597	231011	237516		235640	216237	236917	273065	227995
O60507	O60507	TPST1_HUMAN	TPST1	Protein-tyrosine sulfotransferase 1	1039.39	1301.44	983.797		1139.11	727.56		1339.92	1189.66	996.174	1451.61	851.318
O60508	O60508	PRP17_HUMAN	CDC40	Pre-mRNA-processing factor 17	1580.37		955.724		1813.58	1685.19		1458.43	1717.78	1084.86	1426.83	1843.14
O60512	O60512	B4GT3_HUMAN	B4GALT3	"Beta-1,4-galactosyltransferase 3"											875.57	
O60513	O60513	B4GT4_HUMAN	B4GALT4	"Beta-1,4-galactosyltransferase 4"	4409.68	1857.4	3739.04			3358.63			1665.41	2432.12	2694.37	2982.03
O60518	O60518	RNBP6_HUMAN	RANBP6	Ran-binding protein 6	9919.12	10903.7	10759.2	13126.2	9373.05	10982.6		11664.6	10155.4	10413.6	10967.7	10281.6
O60524	O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF	12846.6	11591.7	14087.4	33118.2	11938.5	11964.1		11637.9	11303.4	10377.5	10927.5	10014.4
O60547	O60547	GMDS_HUMAN	GMDS	"GDP-mannose 4,6 dehydratase"	42427.6	32474.4	43419		37667	38318.3		14178.1	16413.6	16009.8	16194	15246.3
O60551	O60551	NMT2_HUMAN	NMT2	Glycylpeptide N-tetradecanoyltransferase 2	4841.64	3868.78	4364.74		3877.17	5714.25		2754.45	4029.97	4239	4218.08	4678.01
O60563	O60563	CCNT1_HUMAN	CCNT1	Cyclin-T1	4773.32	4647.99	4285.26		4676.99	5414.09		3935.05	2941.67	4355.48	4624.74	4273.5
O60566	O60566	BUB1B_HUMAN	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta		371.714	929.613		657.054	1287.42		160.119	793.442	1527.77	1330.63	798.033
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	86647.5	86472.8	93246.6	96663.1	89976.2	85265.5		77792.7	76275.2	78510.7	78301.8	77830.4
O60573	O60573	IF4E2_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2	2336.81	2759.29	2447.67		3212.94	2979.63		3509.21	3608.78	3810.82	4133.94	3414.75
O60583	O60583	CCNT2_HUMAN	CCNT2	Cyclin-T2		851.976	963.41		1083.2	1276.26		1021.81	715.558	523.631	809.753	1166.91
O60610	O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	26671.2	30599	29043.2		32133	27278.3		29653.2	27732.2	27579.8	29237	29636.5
O60613	O60613	SEP15_HUMAN	SELENOF	Selenoprotein F	50650.5	50813.6	52257.5	33237	43478	39910.2		51171	62014.9	44758.6	44975.4	53068.3
O60645	O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	13416.8	11502.8	11919.2	18153.2	13437.5	11900.2		13397.8	13448.4	12755.1	14390.2	12768
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	82230.9	100060	82299.8	169799	117572	88459.7		66220.9	95123.1	102431	81428.9	93602
O60669	O60669	MOT2_HUMAN	SLC16A7	Monocarboxylate transporter 2	1927.84	1734.28	1983.21		2057.91	1820.34		1802.36	1431.64	1688.21	1839.22	1894.32
O60678	O60678	ANM3_HUMAN	PRMT3	Protein arginine N-methyltransferase 3	7894.06	7445.75	8241.2		6099.79	6673.36		7824.87	7773.78	7145.18	6693.53	6008.37
O60683	O60683	PEX10_HUMAN	PEX10	Peroxisome biogenesis factor 10	1377.39		2756.26		1553.54	2504.56		3219.3	2358.59	1909.99	2595.06	2380.78
O60684	O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	12771.7	15783.8	13144.2	45231.6	16789.4	16492.1		12780.3	15127.3	18278.2	15852.3	17809.3
O60687	O60687	SRPX2_HUMAN	SRPX2	Sushi repeat-containing protein SRPX2	1876.61	3011.61	2361.68		1881.62	2460.51		2671.03	3430.01	2019.05	2569.67	2759.24
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	45410.1	43909.6	51134.9	75943.1	50122.1	58069.1		27475.7	35639.7	42880.7	38571.6	39861.8
O60704	O60704	TPST2_HUMAN	TPST2	Protein-tyrosine sulfotransferase 2	3021.84	3382.56	1503.9		3739.85	3341.35		4684.78	5824	4341.55	4970.39	5343.85
O60711	O60711	LPXN_HUMAN	LPXN	Leupaxin					569.985							
O60716	O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	79772.7	80650.2	76952.8	96553.4	88400.9	84633.5		85441.5	87208.3	94692.2	94740.6	94655.4
O60725	O60725	ICMT_HUMAN	ICMT	Protein-S-isoprenylcysteine O-methyltransferase	10575.4	8173.38	13958.4		10962.2	11413.1		11083	11182.6	12668	13930.6	12068.5
O60739;P41567	O60739;P41567	EIF1B_HUMAN;EIF1_HUMAN	EIF1;EIF1B	Eukaryotic translation initiation factor 1b	9443.71	7282.24	7607.97		11403.1	12557.2		4206.82	8780.48	15278.3	11595.6	11803.1
O60749	O60749;Q13596	SNX2_HUMAN	SNX2	Sorting nexin-2	26384.4	28503.4	27231.5	35581.1	31302.5	29666.2		25740.8	26260.7	30850.7	29875.5	29299.6
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	45289.6	37854.6	47406.4	52168.8	44528.7	50809.4		47544	42362.1	50933.2	58135.1	55029.9
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	43422.7	42704.1	42368.8	51033.9	46767.8	41979.9		37960.8	41336.3	42243.3	40546.5	40653.3
O60783	O60783	RT14_HUMAN	MRPS14	"28S ribosomal protein S14, mitochondrial"	10572.5	12858.7	12303.7		14095.8	15957.7		15317.9	14232.7	14596.8	19128.4	16168.3
O60784	O60784	TOM1_HUMAN	TOM1	Target of Myb protein 1	10898.3	12485.3	9821.32		15362.6	12780.4		11690.7	12906.1	14313.7	13351.9	15281.4
O60826	O60826	CCD22_HUMAN	CCDC22	Coiled-coil domain-containing protein 22	10354.6	10023	11149.9	23547.3	13075.3	11021		9904.65	10670.3	11843	11103.9	11278.8
O60828	O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	20142.7	27045.2	22594.5	20763.3	27346	22509.8		25273.1	24878.3	25575.3	21316.9	20620.5
O60830	O60830	TI17B_HUMAN	TIMM17B	Mitochondrial import inner membrane translocase subunit Tim17-B	7403.73	4162.81	8012.88		7753.56	7314.9		7833.33	7494.17	9674.35	11372.4	8488.9
O60831	O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	127772	98280.1	129720	114821	95903.7	93396.2		115221	117507	88522.6	108019	80592.6
O60832	O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	24893.7	21096.6	25971.4	42599.3	21914.4	25509.3		25813.8	23039.3	21617.8	27918.9	22088.9
O60841	O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	27846.9	26119.3	28901.4	45314.2	28768.5	27294.9		23446.3	25184.4	27381.5	27351.4	26249
O60858	O60858	TRI13_HUMAN	TRIM13	E3 ubiquitin-protein ligase TRIM13		622.214	772.299		863.108	1274.78		570.544	1039.73	1560.29	1552.04	1419.28
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	49173.4	55506.3	47886.1	40802.1	50727.7	31278.2		47767.4	56487.4	45757.3	43761.1	38827.3
O60879	O60879	DIAP2_HUMAN	DIAPH2	Protein diaphanous homolog 2	3718.81	3858.79	4838.12		5252.9	4624.49		3726.65	3467.57	3540.04	3387.56	2819.42
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	15704.3	29365.2	22989.2	33790.2	27728.6	20509.9		28120.6	29917.9	27572.2	25162.5	27988.7
O60885	O60885;Q15059	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4	6705.36	7086.54	6960.04		7501.16	6107.52		6196.39	6923.72	7115.89	6979.25	7419.04
O60888	O60888	CUTA_HUMAN	CUTA	Protein CutA	20399.4	7132.87	12393.2	216607	19688.3	24151.5		6210.53	5870.62	17985	16418.5	13574.1
O60890	O60890	OPHN1_HUMAN	OPHN1	Oligophrenin-1	1509.68	1684.16	2174.81		2169.72	2136.88		1509.71	1921.66	1386.24	1762.02	2140.33
O60906	O60906	NSMA_HUMAN	SMPD2	Sphingomyelin phosphodiesterase 2	647.963	511.373	342.229		708.935	945.424			233.417	520.452	327.677	359.439
O60921	O60921	HUS1_HUMAN	HUS1	Checkpoint protein HUS1	404.461		714.416		1126.2	917.188		436.852	186.091	629.092	326.381	795.632
O60925	O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	41739.2	53156.6	37972.1	36626.6	51725.8	24279.1		41906	49402.8	46260.6	37916.8	41602.6
O60927	O60927	PP1RB_HUMAN	PPP1R11	E3 ubiquitin-protein ligase PPP1R11		2405.77	1132.79		3059.32	1059.49		1238.56	2020.85	2306.98	1568.96	2538.06
O60930	O60930	RNH1_HUMAN	RNASEH1	Ribonuclease H1									295.4	189.839	52.9223	
O60934	O60934	NBN_HUMAN	NBN	Nibrin	7007.12	6633.99	7880.47		6594.03	7821.94		5562.28	5699.67	6105.11	6816.69	5900.05
O60936	O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3	6705.64	7319.63	5405.83		6171.51	4613.94		5782.81	7820.54	7204.55	5053.81	7799.71
O60942	O60942	MCE1_HUMAN	RNGTT	mRNA-capping enzyme	2610.62	3154.52	2841.11		3129.96	3302.14		2095.69	2881.59	3061.44	3067.77	3416.48
O71037;P61565;P61570;P61571;P61572;P61573;P61574;P61575;P61576;P61579;Q69383;Q69384;Q902F8;Q902F9;Q9UKH3	P61574;P61576;P61572;P61571;P61573;Q69383;O71037;Q902F9;Q902F8;P61579;P61565;Q9UKH3;P61575;Q69384;P61570	EN113_HUMAN;ENK19_HUMAN;ENK21_HUMAN;ENK25_HUMAN;ENK6_HUMAN;ENK8_HUMAN;ENK9_HUMAN;ERK25_HUMAN;RE113_HUMAN;REC04_HUMAN;REC19_HUMAN;REC21_HUMAN;REC6_HUMAN;REC9_HUMAN;RECK8_HUMAN	ERVK-19;ERVK-21;ERVK-25;ERVK-6;ERVK-8;ERVK-9;HERV-K104;HERVK_113	Endogenous retrovirus group K member 19 Env polyprotein		1261.32			1759.43	3496.38		1556.69		1922.24	2624.28	2300.01
O75027	O75027	ABCB7_HUMAN	ABCB7	"Iron-sulfur clusters transporter ABCB7, mitochondrial"	12013.4	8908.91	13012.5		10123.8	10879.8		15949.1	14359	12346.2	16143.5	12544.3
O75044	Q7Z6B7;O75044	SRGP2_HUMAN	SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2	13839.8	14444.1	15210.4	18226.3	16793.4	14591.3		14606.5	14978.5	16091.5	16085.5	16401.5
O75051	O75051;Q9HCM2	PLXA2_HUMAN	PLXNA2	Plexin-A2	2756.26	2942.16	3090.84		2731.71	4063.84		2028.52	1184.19	2871.14	3120.41	3567.82
O75052	O75052	CAPON_HUMAN	NOS1AP	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	4370.77	4274.56	4292.34		4191.72	4179.44		3412.36	3414.33	3794.19	4508.91	3952.96
O75054	O75054	IGSF3_HUMAN	IGSF3	Immunoglobulin superfamily member 3	934.777	763.227	777.404		1508.82	1013.49		1102.66	1349.72	1132.36	1494.22	1175.77
O75056	O75056	SDC3_HUMAN	SDC3	Syndecan-3						1184.95				417.215		
O75063	O75063	XYLK_HUMAN	FAM20B	Glycosaminoglycan xylosylkinase	8000.13	5999.53	9085.51		6751.96	6784.35		9922.56	8602.44	7397.07	9826.7	7948.83
O75064	O75064	DEN4B_HUMAN	DENND4B	DENN domain-containing protein 4B	8101.07		6092.86			1679.13		1994.32	1870.15	2691.04	3596.89	1738.78
O75071	O75071	EFC14_HUMAN	EFCAB14	EF-hand calcium-binding domain-containing protein 14					2546.81	3538.86			1384.94	2578.78	3288.33	2229.48
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	330367	339565	372385	331680	333664	273433		285876	309071	286224	281125	257018
O75084	O75084	FZD7_HUMAN	FZD7	Frizzled-7	7729.06	4953.9	4977.44		6546.77	6252.06		7845.64	5987.15	5233.78	7735.12	5072.04
O75094	O75094	SLIT3_HUMAN	SLIT3	Slit homolog 3 protein	946.872	1290.8	1160.44		1916.5	1856.06		452.476	1205.99	1452.09	1858.03	1666.56
O75096	O75096	LRP4_HUMAN	LRP4	Low-density lipoprotein receptor-related protein 4	3608.04	2466.22	3477.91		4066.4	3927.89		3243.68	3751.36	3473.54	3623.11	4235.83
O75110	O75110	ATP9A_HUMAN	ATP9A	Probable phospholipid-transporting ATPase IIA	9841.11	8832.55	8749.19	253734	7748.97	7667.49		9491.33	9958.41	7890.07	9702.06	8723.15
O75113	O75113	N4BP1_HUMAN	N4BP1	NEDD4-binding protein 1	1360.41	1288.96	1161.87		1905.86	2798.82		1249.4	1867.18	1934.32	1156.06	2082.29
O75116	O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	12644.1	12699.6	12064.5	78101.6	13886.4	13083		12124.7	12394.6	12825.4	12836.8	13328
O75122	O75122	CLAP2_HUMAN	CLASP2	CLIP-associating protein 2	5885.27	6737.49	6190.34	19979.1	6491.04	6654.64		7322.82	6631.55	8445.11	8593.46	8370.89
O75127	O75127	PTCD1_HUMAN	PTCD1	"Pentatricopeptide repeat-containing protein 1, mitochondrial"	1612.22	1367.93	1672.09			1992.15			1853			1843.73
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3	103860	94000.4	106215	110698	98728.3	102230		92853.6	92332.4	96695.2	100601	91377.8
