Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-53_3748.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-66_3767.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-83_3774.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
P08651	P08651	NFIC_HUMAN	NFIC	Nuclear factor 1 C-type															3342.87																									425.636	355.164	561.948	574.658	532.498	475.507
P08670	Q14533;P78385;Q8N1N4;P13647;P12035;Q01546;O95678;O43790;P48668;Q9NSB2;P02538;P08670;P78386;Q5XKE5;P08729;P05787;P04259;P14136;CONT|Q5XQN5|K2C5_BOVIN;CONT|Q9NSB2|KRT84_HUMAN;CONT|O43790|KRT86_HUMAN;CONT|O95678|K2C75_HUMAN;CONT|P02538|K2C6A_HUMAN;CONT|P04259|K2C6B_HUMAN;CONT|P05787|K2C8_HUMAN;CONT|P08729|K2C7_HUMAN;CONT|P12035|K2C3_HUMAN;CONT|P13647|K2C5_HUMAN;CONT|P48668|K2C6C_HUMAN;CONT|P78385|KRT83_HUMAN;CONT|P78386|KRT85_HUMAN;CONT|Q01546|K22O_HUMAN;CONT|Q14533|KRT81_HUMAN;CONT|Q5XKE5|K2C79_HUMAN;CONT|Q8N1N4|K2C78_HUMAN;CONT|P15241|K2M2_SHEEP;CONT|P25691|K2M3_SHEEP	VIME_HUMAN	VIM	Vimentin	745591	656755	925706	622739	834038	843092	776949	1.64239e+06	705926	712196	870863	702658	532932	792549	533516	43548.1	1.23407e+06	705621	753801	701746	656026	884674	679295	1.21744e+06	917934	829866	771416	724126	31476.5	602407	573671	956250	968170	24853.1	928548	1.18661e+06	988499	1.39635e+06	1.22034e+06	434529	389438	459233	465322	477611	468763
P08708	P08708	RS17_HUMAN	RPS17	40S ribosomal protein S17	8003.17		27101.3	5194.22	22142.2	25188.5	9107.66	5650.57	5524.39	9494.13	14237.2	22520.2	5650.4	11990.6	5830.51					2720.6			7475.73		5212.69	3705.99	3212.67	3471.9											5596.7	5224.16	6541.23	7293.18	3795.25	6289.03	6299.32
P08727	P08727;CONT|P08727|K1C19_HUMAN	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19									1545.55																4868.75															1567.28	2270.3	1943.45	1486.48	1323.22	1536.21
P08729	P08729;CONT|P08729|K2C7_HUMAN	K2C7_HUMAN	KRT7	Keratin, type II cytoskeletal 7	7358.87																					516026													648.456					4020.12	4739.89	5747.92	5301.9	4993.84	5563.9
P08754	P08754	GNAI3_HUMAN	GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	3104.16						1880.76		1690.47				3946.82		1905			3834.11		7462.32	980.469					1599.92	1767.85	7670.66							2525.21		7316.96	1941.6		2597.67	3406.54	5798.8	4163.22	4657.31	4469.05
P08758	P08758	ANXA5_HUMAN	ANXA5	Annexin A5	161069	132281	217169	128199	139989	172403	150517	216329	192682	168907	183768	170481	127967	157767	206530	46787	21292.9	40772.8	146291	222303	159935	271064	212761	24694.7	191083	226365	226441	199288	32844	241152	231242	188206	242003	43016.2	248859	42080	196079	19068.9	294924	170471	218015	175890	118101	125775	126689
P08779	P08779;CONT|P08779|K1C16_HUMAN	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	28963.4	58562.6	38728.1	29628.6	31109.7	36196.6	35227.5	38769.6	20122.3	55712.2	55437.1	58571.6	66726.2	69480	24441.7	45361.3	39473	46471.3	59185	34575	47474.9	37575.1	44425.4	38774	44327.9	39653.1	38020	45905.8	40255.7	46908	40826	36745.6	34256.1	38005.6	20543	43519.4	29189.6	25107	27748.5		2130.19	347.694	1351.68	10708.3	1654.89
P08842	P08842	STS_HUMAN	STS	Steryl-sulfatase																								1883.73																874.495	1368.19	1070	1061.28	1080.16	1129.81
P08865	P08865	RSSA_HUMAN	RPSA	40S ribosomal protein SA	54242.3	55368.5	56424.4	56415.5	50974.5	49181.4	51095.2	49221	57545.8	49017.5	45534.3	42722.4	66842.8	50209.5	48694.5	12451.6	6171.56	27212.6	39787.5	54218.5	42483.7	39776.1	48933.9	10854.7	41880.3	41035.4	39175.6	53773.8	5291.97	54223.9	48899.4	58386.4	51130	8395.83	46152.8	6014.53	55314.3	2736.9	41524.1	32631.6	22575.9	23819.4	20114.7	25272.2	15733.5
P08962	P08962	CD63_HUMAN	CD63	CD63 antigen																																								14415.2	24193.8	19425.3	26902.4	20775.8	26869.8
P09001	P09001	RM03_HUMAN	MRPL3	39S ribosomal protein L3, mitochondrial					4041.71	2815.94	2710.87		2063.93						4587.04			6959.16								2425.54				7038.55			4559.77			8354.37	2807.81			2255.22	1762.68	1608.11	2225.26	2618.21	2534.88
P09012	P09012	SNRPA_HUMAN	SNRPA	U1 small nuclear ribonucleoprotein A	9087.63			4779.3	5533.85	3901.33	5924.93	2669.58	5165.49		7946.78		7552.02		4176.76			4142.16	8131.62	5189.89	9999.65	6568.9			3614.27		3323.51	10364.2			829.876		8049.59		6955.16				7449.73	4314.18	2368.74	2082.51	2286.92	2765.43	2128.56
P09038	P09038	FGF2_HUMAN	FGF2	Fibroblast growth factor 2	18398.8			30706	5775.85	2392.99		3709.65		7450.01		3022.51			2543.18		1890.01	3654.67		1529.01	7110.76	8787.56	8351.12		9130.26	18447.5	5883.67	6134.79			2790.68	4358.93	3439.89		4772.74				5866.2	8643.3	10422.8	10037.4	8684.77	8231.33	8684.36
P09104	P09104	ENOG_HUMAN	ENO2	Gamma-enolase	19301.9	18867.8	21618.3	23976.5	26040.3	12853.9	11577.2	23440.9	24834.2	13811.4	10126.1	13183.7	9892.58	15174.9	7893.92			9760.98	14365.9	5546.28	24206.9	23554.8	12469.1		12783.7	13556.1	15617.6	17413.4		23421.3	16804.5	17344.3	22697.3	4339.27	23164.1		35577.6		15719.1	4756.89	8520.33	7541.89	12337.9	8476.58	11890.4
P09110	P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal							15147		1861.41						1241.22					6888.38							12594.3											3079.77		2958.33	2846.22	4447.26	4305.48	4331.37	4360.18
P09132	P09132	SRP19_HUMAN	SRP19	Signal recognition particle 19 kDa protein	4795.55		3093.95		3059.89				1479.29						4431.09				5330.06				4449.56				2301.1						2165.8		3206.68		2780.97		4882.01	576.844	1107.04	1216.79	1314.8	1201.62	1514.83
P09211	P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	27817.2	45105.6	46929.3	40116.4	33268	43438	44979	35023.9	37859.1	31650.8	32257.4	46001	38719.6	41838.8	45140.8	14257.5	8460.41	9328.74	29898.6	46225.1	31746.4	32106.1	39267.2	8621.23	26607.9	43240.8	47212.9	37708	10806.4	33118.4	45409	30735.4	34470.8	6493.4	21877.8	9390.16	43943.2	6577.29	37447.8	4578.79	3635.08	8443.04	4551.65	5777.63	3578.29
P09234	P09234	RU1C_HUMAN	SNRPC	U1 small nuclear ribonucleoprotein C								2934.63			2642.14															1998.69														2572.3	3080.22	2380.07	3688.62	3267.35	3941.53
P09382	P09382	LEG1_HUMAN	LGALS1	Galectin-1	87168	74176.5	106308	71256.8	83247.2	96052.9	111605	49143.7	76553.6	57690.6	73767.8	59552.2	72230	157403	59243	25507.7	5587.85	20647.4	96544.1	131107	87201.6	89259	96686.5	14009	91429.2	111413	90367	146765	13199.2	117678	143204	154962	126172	18619.1	138862	24141.2	129191	9553.31	126083	127493	115983	168099	167587	112704	180301
P09417	P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	4137.43	8326.93	6391.77	2235.32	3216.27	5317.43	3279	8320.92	3590.8						4427.14								5109.15		4156.48	7206.85	6639.75	1119.2			1339.18		11024.4		5226.04				28763	2953.45	2063.36	2305.83	1149.2	1171.64	2448.99
P09429	P09429;B2RPK0	HMGB1_HUMAN	HMGB1	High mobility group protein B1	21464.2	14706.6	19309.1	23145.9	22637.1	25673.1	35616.7	14537.6	28140.7	26067.6	20298.5	18846.3	19003.6	27457.9	16334.7				10834.8	28034.6	21183.3	22979.1	22011.5		23138.4	31144	16390.1	23398.4	5823.71	25465.6	24600.4	34640.8	23926.4		24616.2		34908.5		22252.4	15882.1	25455.9	25904.2	26137.1	20704.5	29588.9
P09455	P09455	RET1_HUMAN	RBP1	Retinol-binding protein 1																																					1722.22			4837.52	6725.74	5315.73	11910.1	10763.7	11547
P09471	P09471	GNAO_HUMAN	GNAO1	Guanine nucleotide-binding protein G(o) subunit alpha															4395.27					5319.8		2675.13				3249.43	4443.38			3022.3		4906.67			5866.82			7699.19	4317.65	1420.75	1202.68	1623.27	1849.37	1958.09	1886.07
P09486	P09486	SPRC_HUMAN	SPARC	SPARC	2350.51																										29065.8				30353.8							242176		18377.7	16681.5	18112.1	18834.4	16766.7	33806.1
P09488	P09488;P46439	GSTM1_HUMAN	GSTM1	Glutathione S-transferase Mu 1					10261.7				5106.4						3737.05							6034.59				9240.66														2475.8	2706.74	3538.56	4013.15	2679.46	3433.76
P09493	P09493;P06753	TPM1_HUMAN	TPM1	Tropomyosin alpha-1 chain	24896.8	12875.3	23048.8	16738.6	10057.7	12359.2	19699.9	26533.3	6312.61	16578.3	15488.7	7866.81	7288.94	14223.3	10875.8		6408.24	11237.7	13708.5	20339	10621	15388.5	16961	14780	12360.9	16954.8	37322.4	26902.9	4399.2	17755.5	41006.8	17993.7	18566.6		35600.9		21241.1	3527.12	36435.3	34372	43025.6	33819.4	84545.7	79705.4	80037.7
P09496	P09496	CLCA_HUMAN	CLTA	Clathrin light chain A	21130.6	14701.7	26907.4	13881.6	19565.6	21843	18294.8	21738.4	25984.5	18097	16440.1	17406.3	20568.8	22928.1	23543.4		17681.9	20816.1	19020.8	18452.7	21189	29897	20871.7	4915.96	26277	33443.9	23231.9	26171.1		19839.4	20415.5	19202.6	31548.8	1533.45	29266	5933.96	18109.4	4614.82	30610.6	24070	36580.1	21237.3	31917.9	28212	27181.4
P09497	P09497	CLCB_HUMAN	CLTB	Clathrin light chain B	18091.5	4415.07		4066.1	9105.75	18899.5	17976	2751.51	3514.45	3158.06		3692.41		6662.54	6032.77			5916.07				8243.37	4569.06		8363.54	7092.07	5524.37	7048.84		5196.03			4672.43		7316.36		5103.23		7756.75	5441.93	9718.62	6329.52	6667.02	6430.98	5838.67
P09525	P09525	ANXA4_HUMAN	ANXA4	Annexin A4	8401.38	9269.71	10280.5	11117.9	13057.3	12768.3	7558.11	8760.7	13488.4		4777.47	15387.7	13214.5	12548.9	5980.97	9454.76	2597.9	2911.81	10241.2	8460.5	6792.67	10545.1	10212.4		11832.1	12530	10524.6	7794.19		13110.2	7534.99	6013.88	6096.15		8600.08		8693.26	1574.15	11161.4	5696.37	6343.8	7674.7	7771.87	6807.8	7939.58
P09543	P09543	CN37_HUMAN	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	12278.5		5161.61	6186.24	6070.17	4903.33	7757.83	7014.67	6048.93	5539.14	6784.04	11952.1			6196.8		8523.56	20843.5		8620.5		7854.06	4325.2		8995.33	6907.97	5831.36			2774.66		6848.42	5553.64		6975.44		4954.34		8477.11	7069.95	5549.53	6653.31	6172.69	6764.94	6161.45
P09601	P09601	HMOX1_HUMAN	HMOX1	Heme oxygenase 1		4791.21	5511.61	3262.31		4343.15	5551.68		2075.06		6386	6700.84	7893.91		6921.42			38356.3		2817.94	15001.5	10285.7	3585.14		14393.4	5021.9		5704.85		10856.2	12319.2		4830.89		8434.57	553.716	23777.3	6722.68	4494.67	835.178	1565.81	2037.54	2477.27	2614.79	2655.58
P09619	P09619	PGFRB_HUMAN	PDGFRB	Platelet-derived growth factor receptor beta	3433.12																											7749.21							3342.45					1493.51	1657.45	1930.81	1418.46	1115.23	1407.03
P09622	P09622	DLDH_HUMAN	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	11860.2	14429.3	10912.7	12325.9	13532.1	15737.6	11633	14582.3	15500.9	21723.8	18669.1	14382.1	19786.1	17525.5	13715.8		15367	22208.6	12167.6	11875.8	16202.8	15231.2	10418.4	13584.8	15096.6	15991.9	13203	11996.5		11714.2	14268.2	14382.8	13827.8		15304.4	19862.2	11912.6	24681.6	9886.84	10020.1	9549.85	9258.96	10701.3	11728.8	9492.82
P09651	P09651;A0A2R8Y4L2	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	58459.9	28854	36256.1	36003.7	57015.3	41748.8	41821.7	46314	29313.9	41950.1	70758.1	46706.5	26911.7	32578.5	37919.5	2799.46	41875.1	69892.7	60302.3	38283.8	53025.4	41396.1	26813.1	37464.2	43767.9	46760.6	33159.1	58185.3		51629.7	44999.1	52149.5	53341		46749.8	24653.7	46215.2	19836.7	54119.3	26008.6	16656.2	41354	22301.7	31300.1	23983.2
P09661	P09661	RU2A_HUMAN	SNRPA1	U2 small nuclear ribonucleoprotein A'	7137.9	7007.31	7000.48	9054.38	9528.34	8495.74	7401.35	4492.46	5218.92	5622.63	8583.58	8907.89	8400.88	9641.54	7835.22		9351.83	7822.19	10692.6	9338.92	7243.77	11285.4	6195.84	11247.1	3031.65	5600.42		6099.39		7783.71	8954.73	10339.5	5751.27		6986.13		9558.11		8133.15	5321.99	6905.77	6699.93	6386.81	6409.96	6508.78
P09668	P09668	CATH_HUMAN	CTSH	Pro-cathepsin H															1519.71																									269.78	689.779	617.245	672.256	565.869	784.07
P09669	P09669	COX6C_HUMAN	COX6C	Cytochrome c oxidase subunit 6C	13064.5		4752.36	5313.65	7900.03	16875.2	8201.37	6790.56	3564.89	6054.75	9723.81			10022.9	5157.9		4894.99	9985.1	9511.43	6785.01				6969.93	3184.83		5381.61	1730.39		5923.9		2582.18	8046.99		3413.61	5555.07	1384.85	2717.54		5646.55	4855.36	6327.88	4772.63	5087.68	4972.53
P09874	P09874	PARP1_HUMAN	PARP1	Poly [ADP-ribose] polymerase 1	13646.7	12217.3	16286.1	16482.6	14189.6	11308.8	13468.3	5649.69	10786.9	13653	12980.2	17273.2	10822.8	13003.5	10337		2869.05	14528.2	17654.2	21500.7	16012.2	12948.1	15007.5		9603.94	11826.3	10336.6	12246.2		12671.3	11418.8	10308.4	12996.4		10694.7		10561.4		8423.85	9084.04	8105.7	10244.1	6796.06	8065.54	7609.93
P09914	P09914	IFIT1_HUMAN	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1																																								380.783	246.07	524.936	343.774	628.738	521.681
P09936	P09936	UCHL1_HUMAN	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	44801.6		9306.05	80567.2	37806.3	57881.4	86017.3	49393.7	4267.3	39326.5	29619.8	27845	40151.1	7686.69	127446			3298.05	12805.8	138520	16480.8	8540.89	65349.7		13143.9	42327	149021	27406.6			38506	12885.2	70491.1		39008.7		36891.7		32838.3	112630	193508	129460	223037	161095	236007
P09960	P09960	LKHA4_HUMAN	LTA4H	Leukotriene A-4 hydrolase	7107.46	3568.08	3492.79	8832.95	1910.57	5051.13	5437.17	6595.83	2657.89						3592.88			3534.88		1726.56		3057			8602.09	3953.12	8819.22	7029.75		5021.27	4320.73	1308.78	4140.71		7051.3		3240.73		6282.52	3953.71	4297.48	4202.33	4127.86	3886.25	4350.46
P09972	P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	5809.48	8288.58	8426.08	6299.58	4707.55	10506.7	6827.44	7961.35	9687.82		6719.82						12387.4		9588.41		10421.1	8027.45			4951.35	8412.39	6274.41	7799.4		7606.2	3809.89	6546.07	3319.81		10303.5		15444.1		6845.51	2977.09	3699.16	4707.77	3131.45	2732.62	3245.25
P0C0L4;P0C0L5	P0C0L4;P0C0L5	CO4A_HUMAN;CO4B_HUMAN	C4A;C4B	Complement C4-A																																						3093.42		1665.28	1908.35	2261.67	2156.33	2131.95	2350.47
P0C0S5;Q71UI9	P0C0S5;Q71UI9	H2AV_HUMAN;H2AZ_HUMAN	H2AZ1;H2AZ2	Histone H2A.Z	22515.4	14789.8	27553.3	20961.8	37564.9	26977.4	30616.7	3857.4	45429	25213.5	23081.6		20746.9		19721.4		27012.3	28457.3	18276.2	55852.9	22907.5	17018.9	16124.2	26581.6			19856.5	15192.9		16409.2	26693.5	26478.5	37999.6		24957.1	19145.3	19362.8	24860.9	13734.1	14192.3	30128.3	46794.9	36279.5	39514.9	42644.1
P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1	Q93077;Q7L7L0;Q96KK5;Q99878;P0C0S8;Q16777;P04908;P20671;Q6FI13;Q9BTM1	H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2AJ_HUMAN	H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC7;H2AJ	Histone H2A type 1	23967.2	17878.7	47288.2	44153.9	79179.9	41708.9	26904.4	24538.8	58984.9	29103.1	68126.4	43295.1	50420	41101	38561.5	3295.38	64345	76089.6	68729.5	127273	87759.5	71117.6	66258.3	67881.9	40839.5	44189.4	35880.1	100101	4371.75	101362	95551.8	63794	60546.3		71745.3	106291	97656.9	50001.3	35458	91988	87396	93284.8	15486	92718.9	169151
P0C2W1	P0C2W1	FBSP1_HUMAN	FBXO45	F-box/SPRY domain-containing protein 1								5279.82																																272.845	424.128	820.078	737.053	536.094	666.074
P0C7P4;P47985	P0C7P4;P47985	UCRIL_HUMAN;UCRI_HUMAN	UQCRFS1;UQCRFS1P1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1	12134.9	16361.1	10012	13246.7	13364	15141.6	17518.3	13994.6	11539.4	15138.5	18606.5	14872.3	12302.9	9288.77	18034.4		20338.2	22781.1	10278.3	11416.1	12553.5	17873.4	15892	15177.5	11808	13991.9	13476.3	15111.5		9514.46	9937.66	14505.8	16665.9		12851.9	15238.6	10671.2	27619.7	7807.48	21960	21834.3	22012.8	20423.5	24779.2	19845.1
P0C870	P0C870	JMJD7_HUMAN	JMJD7	Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7																																								369.346	502.08	468.685	422.987	304.478	400.688
P0CAP2	P0CAP2	GRL1A_HUMAN	POLR2M	DNA-directed RNA polymerase II subunit GRINL1A																																								489.205	851.086	1047.84	849.834	583.656	784.771
P0CG12	P0CG12	DERPC_HUMAN	DERPC	Decreased expression in renal and prostate cancer protein	1402.97			5297.55	4088.03										3335.19																									805.047	970.229	1482.28	1849.99	1435.29	1554.95
P0CG29;P0CG30	P0CG29;P0CG30	GST2_HUMAN;GSTT2_HUMAN	GSTT2;GSTT2B	Glutathione S-transferase theta-2	6255.1	3459.95	6318.07	2575.37	5341.8	6543.2		4033.85	7265.25					6065.57	1634.38							3671.36				4925.27					5472.91		4111.36		4564.77				5259.86	2673.22	3921.41	2486.4	347.264	407.465	508.41
P0CG34;P0CG35	P0CG34;P0CG35	TB15A_HUMAN;TB15B_HUMAN	TMSB15A;TMSB15B	Thymosin beta-15A																																									463.635	177.241	999.075	629.685	785.588
P0CW19;P0CW20	P0CW19;P0CW20	LIMS3_HUMAN;LIMS4_HUMAN	LIMS3;LIMS4	LIM and senescent cell antigen-like-containing domain protein 3																																								860.818	619.682	540.484	924.928	502.54	1000.93
P0DI81;P0DI82	P0DI81;P0DI82	TPC2A_HUMAN;TPC2B_HUMAN	TRAPPC2;TRAPPC2B	Trafficking protein particle complex subunit 2																																								354.145	570.296	373.214	663.961	442.133	584.088
P0DI83	P0DI83	NARR_HUMAN	RAB34	Ras-related protein Rab-34, isoform NARR																																									114.891	126.202	159.613	127.227	168.6
P0DJ93	P0DJ93	SIM13_HUMAN	SMIM13	Small integral membrane protein 13																																								391.008	535.352	787.457	400.409	484.36	756.385
P0DJD0;P0DJD1	P0DJD1;P0DJD0	RGPD1_HUMAN;RGPD2_HUMAN	RGPD1;RGPD2	RANBP2-like and GRIP domain-containing protein 1										3361.12																														282.366	201.631	376.264	265.938	606.907	421.851
P0DMV8;P0DMV9	P0DMV8;P0DMV9;P34931	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	15250.1	19948.2	18601.5	15882.4	18424.9	18688.8	28652.7	11529.1	27593.4	15149.5	16618.1	17125.6	21753.5	15788.8	15262.2	9306.93	5360.52	17589.2	19289.2	38305.5	26588.7	20646.3	18316.8	8809.53	25085.5	19146.4	13909.3	18842	9544.86	19407.7	21861.5	17393.8	15491.9	4950	14988.3	8489.31	22165.3	3263.81	16520.6	20952.5	19898.8	19118.3	21477.5	19173.1	19863.1
P0DP23;P0DP24;P0DP25	P0DP23;P0DP25;P0DP24	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	48125	99994.5	132860	100825	122682	115481	108855	108083	98164.1	69085.1	102470	77505.5	75458.2	88837.9	92636.4	22614.8	37372.8	78049.2	103021	104600	90683	107110	102711	35183.9	51723.5	115630	99051	103666	14578	88139.9	95745.4	112481	131015	17779	134904	24481.7	87969.2	18856.1	134902	38287.1	31356.5	33362.8	29365.8	37984	27747.3
P0DPB6	P0DPB6	RPAC2_HUMAN	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2	6317.39		6983.89	12574.9		9188.34				13944.9	15748.3	8785.68							5071.96			7547.53	5958.4		6201.48	1483.08				5258.46					5996.99					3206.64	3735.61	1107.34	2363.74	2258.15	2245.41
P10070	P10070	GLI2_HUMAN	GLI2	Zinc finger protein GLI2																																								260.538	274.91	282.266	256.974	308.037	323.16
P10071	P10071	GLI3_HUMAN	GLI3	Transcriptional activator GLI3																																								95.2888	113.445	162.462	133.728	160.335	155.037
P10109	P10109	ADX_HUMAN	FDX1	Adrenodoxin, mitochondrial																																								1257.28	1756.7	870.041	1589.31	1443.96	1576.5
P10114	P10114	RAP2A_HUMAN	RAP2A	Ras-related protein Rap-2a																																								1087.88	889.498	1175.65	2259.71	1936.92	2560.5
P10155	P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	11586.9	12722.9	14639.2	8938.83	9653.81	5320.14	13772.4	8536.94	10706	6888.56	14616.5	10685.3	15669.5	4979.57	8184.43			7818.03	9011.32	11672.6	15104.7	6047.35	9242.35		7712.48	7060.38	7778.73	7332.9		10727.1	11435.5	6404.7	13464.9		8518.38	1498.56	9412.95		8144.48	3467.62	2873.02	5600.68	2771.63	2816.49	2526.96
