Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	female_33_1_1 Spectral Count	female_33_2_2 Spectral Count	female_33_3_3 Spectral Count	female_37_1_1 Spectral Count	female_37_2_2 Spectral Count	female_37_3_3 Spectral Count	male_33_1_1 Spectral Count	male_33_2_2 Spectral Count	male_33_3_3 Spectral Count	male_37_1_1 Spectral Count	male_37_2_2 Spectral Count	male_37_3_3 Spectral Count	female_33_1_1 Unique Spectral Count	female_33_2_2 Unique Spectral Count	female_33_3_3 Unique Spectral Count	female_37_1_1 Unique Spectral Count	female_37_2_2 Unique Spectral Count	female_37_3_3 Unique Spectral Count	male_33_1_1 Unique Spectral Count	male_33_2_2 Unique Spectral Count	male_33_3_3 Unique Spectral Count	male_37_1_1 Unique Spectral Count	male_37_2_2 Unique Spectral Count	male_37_3_3 Unique Spectral Count	female_33_1_1 Total Spectral Count	female_33_2_2 Total Spectral Count	female_33_3_3 Total Spectral Count	female_37_1_1 Total Spectral Count	female_37_2_2 Total Spectral Count	female_37_3_3 Total Spectral Count	male_33_1_1 Total Spectral Count	male_33_2_2 Total Spectral Count	male_33_3_3 Total Spectral Count	male_37_1_1 Total Spectral Count	male_37_2_2 Total Spectral Count	male_37_3_3 Total Spectral Count	female_33_1_1 Intensity	female_33_2_2 Intensity	female_33_3_3 Intensity	female_37_1_1 Intensity	female_37_2_2 Intensity	female_37_3_3 Intensity	male_33_1_1 Intensity	male_33_2_2 Intensity	male_33_3_3 Intensity	male_37_1_1 Intensity	male_37_2_2 Intensity	male_37_3_3 Intensity	female_33_1_1 MaxLFQ Intensity	female_33_2_2 MaxLFQ Intensity	female_33_3_3 MaxLFQ Intensity	female_37_1_1 MaxLFQ Intensity	female_37_2_2 MaxLFQ Intensity	female_37_3_3 MaxLFQ Intensity	male_33_1_1 MaxLFQ Intensity	male_33_2_2 MaxLFQ Intensity	male_33_3_3 MaxLFQ Intensity	male_37_1_1 MaxLFQ Intensity	male_37_2_2 MaxLFQ Intensity	male_37_3_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P41208|CETN2_HUMAN	P41208	CETN2_HUMAN	CETN2	172	Homo sapiens OX=9606	1:Experimental evidence at protein level	Centrin-2	1.0	0.999	7	63	43	63	7	4	8	5	2	5	7	4	4	4	7	6	4	3	6	3	2	4	5	3	3	2	4	4	7	4	8	5	2	5	7	4	4	4	7	6	1.34844096E8	1.0498896E8	2.18887056E8	1.78394448E8	1.92463408E8	1.98671584E8	2.99685056E8	5.6584956E7	1.67654976E8	2.24230224E8	3.31513632E8	3.16605376E8	9.282748E7	1.1118492E8	8.597324E7	6.7483928E7	1.13487736E8	9.2893784E7	9.7870456E7	6.283292E7	9.2877424E7	1.07299808E8	1.08634632E8	1.05069824E8	
sp|P41212|ETV6_HUMAN	P41212	ETV6_HUMAN	ETV6	452	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor ETV6	1.0	0.9984	3	4	4	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65065E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P41221|WNT5A_HUMAN	P41221	WNT5A_HUMAN	WNT5A	380	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein Wnt-5a	1.0	0.999	8	37	24	37	1	2	3	4	4	2	2	1	4	6	4	4	1	2	2	2	3	2	2	1	3	4	1	1	1	2	3	4	4	2	2	1	4	6	4	4	0.0	2.7959378E7	6673606.0	1.901582E7	5.515762E7	3.217712E7	2.364191E7	2.342849E7	6.2442112E7	5.0186192E7	5.81058E7	3.08549E7	0.0	0.0	0.0	1.4467854E7	1.722766E7	0.0	0.0	0.0	1.7136712E7	2.972247E7	2.8409924E7	2.2783142E7	
sp|P41223|BUD31_HUMAN	P41223	BUD31_HUMAN	BUD31	144	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein BUD31 homolog	0.9998	0.9982	2	7	7	7	0	1	1	0	2	0	1	1	1	0	0	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	1	0	2	0	1	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4013272.2	4106963.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P41227|NAA10_HUMAN	P41227	NAA10_HUMAN	NAA10	235	Homo sapiens OX=9606	1:Experimental evidence at protein level	N-alpha-acetyltransferase 10	1.0	0.999	14	125	71	125	11	11	12	7	14	9	7	12	13	4	13	12	6	6	7	5	7	7	4	7	6	1	9	6	11	11	12	7	14	9	7	12	13	4	13	12	4.02841216E8	5.8184896E8	6.0000781E8	2.7911488E8	4.00372064E8	4.43041984E8	3.79991456E8	5.17938304E8	5.5295066E8	1.35845472E8	4.64650432E8	4.32882912E8	1.10281904E8	1.17748664E8	1.422296E8	9.6863832E7	1.00740424E8	1.22333528E8	1.16019304E8	1.18848952E8	1.30181808E8	9.8348544E7	1.09754784E8	1.0552828E8	
sp|P41235|HNF4A_HUMAN	P41235	HNF4A_HUMAN	HNF4A	474	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hepatocyte nuclear factor 4-alpha	0.7301	0.9899	1	11	11	11	2	0	1	0	1	1	1	0	1	1	1	2	2	0	1	0	1	1	1	0	1	1	1	2	2	0	1	0	1	1	1	0	1	1	1	2	7.3291248E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0067088E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P41236|IPP2_HUMAN	P41236	IPP2_HUMAN	PPP1R2	205	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein phosphatase inhibitor 2	1.0	0.999	8	50	10	50	5	4	4	2	4	4	5	4	7	2	4	5	1	0	1	0	1	1	1	1	1	1	1	1	5	4	4	2	4	4	5	4	7	2	4	5	8.1260976E7	8.7662008E7	7.455308E7	5.231762E7	1.26360432E8	6.4666304E7	1.51685312E8	1.18810112E8	1.53789568E8	3.6161272E7	1.34900624E8	6.8555632E7	4.7075356E7	4.5505788E7	5.7243412E7	4.0291624E7	3.346496E7	3.5577332E7	5.2994076E7	5.1150708E7	5.248054E7	3.5528008E7	4.189096E7	3.6798272E7	
sp|P41240|CSK_HUMAN	P41240	CSK_HUMAN	CSK	450	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein kinase CSK	1.0	0.999	14	66	57	66	6	11	5	7	6	5	5	6	6	3	3	3	5	10	5	6	5	4	5	5	5	2	3	2	6	11	5	7	6	5	5	6	6	3	3	3	7.2377808E7	1.20321864E8	5.9640588E7	6.2109836E7	5.9848792E7	3.60213E7	8.3205592E7	9.4874224E7	1.03413008E8	4.1736776E7	2.7645338E7	3.3983112E7	2.2414376E7	2.3848094E7	2.3482128E7	2.6361116E7	3.0267974E7	2.0257248E7	2.0669556E7	2.4501478E7	2.7275562E7	2.3689884E7	2.1125078E7	2.3194818E7	
sp|P41247|PLPL4_HUMAN	P41247	PLPL4_HUMAN	PNPLA4	253	Homo sapiens OX=9606	1:Experimental evidence at protein level	Patatin-like phospholipase domain-containing protein 4	1.0	0.999	3	3	3	3	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	7379378.0	3213399.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P41250|GARS_HUMAN	P41250	GARS_HUMAN	GARS1	739	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycine--tRNA ligase	1.0	0.999	42	344	344	344	34	37	34	20	29	26	28	25	35	23	24	29	34	37	34	20	29	26	28	25	35	23	24	29	34	37	34	20	29	26	28	25	35	23	24	29	2.31602304E9	2.92278886E9	2.81202637E9	1.05422938E9	2.44947277E9	2.06794906E9	2.425984E9	2.01012058E9	2.2066304E9	1.1170313E9	1.98805581E9	1.93999309E9	3.61561664E8	3.64728544E8	3.40894688E8	2.7358544E8	3.22215136E8	3.06403936E8	3.02314112E8	3.55698208E8	3.19432192E8	2.49815632E8	2.76530624E8	2.68106096E8	
sp|P41252|SYIC_HUMAN	P41252	SYIC_HUMAN	IARS1	1262	Homo sapiens OX=9606	1:Experimental evidence at protein level	Isoleucine--tRNA ligase, cytoplasmic	1.0	0.999	50	408	408	408	37	37	38	24	41	31	30	39	41	27	32	31	37	37	38	24	41	31	30	39	41	27	32	31	37	37	38	24	41	31	30	39	41	27	32	31	1.47591514E9	1.86163763E9	1.66064E9	8.9346854E8	1.48918285E9	1.14782733E9	1.3544736E9	1.41409562E9	1.96272819E9	6.441319E8	1.28186048E9	1.31715546E9	1.73933584E8	1.86737664E8	1.77248944E8	1.58968784E8	1.78595856E8	1.55287296E8	1.71723536E8	1.73680192E8	1.78113232E8	1.29476624E8	1.74269216E8	1.61520272E8	
sp|P41567|EIF1_HUMAN	P41567	EIF1_HUMAN	EIF1	113	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 1	1.0	0.999	8	72	10	72	3	11	7	4	6	6	8	7	10	1	4	5	0	1	2	0	0	1	1	1	2	0	1	1	3	11	7	4	6	6	8	7	10	1	4	5	2.46313472E8	3.08575616E8	3.29624864E8	2.07756432E8	1.04708488E8	2.50555056E8	2.43144736E8	1.54683776E8	2.79923488E8	5.3454708E7	1.0805844E8	2.21166752E8	1.32185E8	1.28917528E8	1.436432E8	1.02410912E8	8.4827776E7	1.30151888E8	9.428552E7	1.24863E8	1.24418576E8	0.0	9.703888E7	1.29013256E8	
sp|P41743|KPCI_HUMAN	P41743	KPCI_HUMAN	PRKCI	596	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein kinase C iota type	1.0	0.999	5	18	18	18	0	2	1	1	2	1	2	2	2	1	3	1	0	2	1	1	2	1	2	2	2	1	3	1	0	2	1	1	2	1	2	2	2	1	3	1	0.0	3708109.5	1.1112133E7	0.0	2.0784414E7	1.2384536E7	1.0654069E7	8891667.0	1.5907067E7	1.0492962E7	1.3441015E7	1.5252193E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42025|ACTY_HUMAN	P42025	ACTY_HUMAN	ACTR1B	376	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-centractin	0.999	0.999	10	7	7	105	0	1	0	0	2	0	0	2	2	0	0	0	0	1	0	0	2	0	0	2	2	0	0	0	10	14	8	8	11	8	4	9	11	11	5	6	0.0	0.0	0.0	0.0	4.1742492E7	0.0	0.0	3.0776292E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42126|ECI1_HUMAN	P42126	ECI1_HUMAN	ECI1	302	Homo sapiens OX=9606	1:Experimental evidence at protein level	Enoyl-CoA delta isomerase 1, mitochondrial	1.0	0.999	8	57	57	57	4	6	3	2	7	5	8	5	4	4	4	5	4	6	3	2	7	5	8	5	4	4	4	5	4	6	3	2	7	5	8	5	4	4	4	5	1.33270192E8	2.78724704E8	9.5422256E7	1.31663376E8	2.986216E8	1.60139392E8	3.1278144E8	2.6971376E8	1.91189984E8	2.72340608E8	2.86911936E8	8.433564E7	9.5483592E7	9.6292456E7	8.5127288E7	1.02386832E8	9.659668E7	9.712908E7	1.10924576E8	1.022126E8	1.02158912E8	1.0371204E8	1.21677144E8	9.8133624E7	
sp|P42166|LAP2A_HUMAN	P42166	LAP2A_HUMAN	TMPO	694	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lamina-associated polypeptide 2, isoform alpha	1.0	0.999	27	66	66	195	3	2	7	4	7	4	9	10	6	5	5	4	3	2	7	4	7	4	9	10	6	5	5	4	15	13	19	14	19	12	17	20	18	20	17	11	6.946416E7	3.7716184E7	9.0968672E7	5.06168E7	6.1522172E7	3.3061176E7	8.4875232E7	9.3159424E7	8.1116376E7	4.9355196E7	5.3220104E7	4.6660816E7	2.8407438E7	2.522654E7	2.6171696E7	2.5930768E7	2.1286416E7	2.5414832E7	3.0157394E7	2.662739E7	3.0280012E7	2.3774984E7	1.8722254E7	2.3316866E7	
sp|P42167|LAP2B_HUMAN	P42167	LAP2B_HUMAN	TMPO	454	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lamina-associated polypeptide 2, isoforms beta/gamma	1.0	0.999	22	242	113	242	21	17	24	22	21	16	19	20	21	22	24	15	9	6	12	12	9	8	11	10	9	7	12	8	21	17	24	22	21	16	19	20	21	22	24	15	7.2108371E8	1.07300486E9	9.9204909E8	8.0351584E8	1.08806963E9	8.1466374E8	1.23310029E9	1.15515021E9	1.20893018E9	9.9815981E8	1.06210624E9	9.0094592E8	1.3104212E8	1.53914848E8	1.4388184E8	1.50141984E8	1.94714432E8	1.51654768E8	2.04451856E8	1.9455968E8	1.91008272E8	1.72518288E8	1.86092704E8	2.18398976E8	
sp|P42224|STAT1_HUMAN	P42224	STAT1_HUMAN	STAT1	750	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal transducer and activator of transcription 1-alpha/beta	1.0	0.999	32	240	240	240	16	25	17	17	20	16	18	22	26	17	22	24	16	25	17	17	20	16	18	22	26	17	22	24	16	25	17	17	20	16	18	22	26	17	22	24	6.1624787E8	8.0394784E8	5.5120006E8	5.0289472E8	6.6474406E8	6.780704E8	6.4426368E8	8.5621254E8	9.0087213E8	4.32295648E8	6.5417907E8	7.2424979E8	9.3278496E7	8.9442832E7	1.0270756E8	1.01389184E8	1.04884048E8	1.02963824E8	9.4747528E7	1.09131736E8	1.09034344E8	9.6314792E7	9.655404E7	1.01991056E8	
sp|P42226|STAT6_HUMAN	P42226	STAT6_HUMAN	STAT6	847	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal transducer and activator of transcription 6	0.9999	0.9989	2	7	7	7	0	0	1	0	0	1	0	1	1	0	2	1	0	0	1	0	0	1	0	1	1	0	2	1	0	0	1	0	0	1	0	1	1	0	2	1	0.0	0.0	0.0	0.0	0.0	4614606.0	0.0	0.0	0.0	0.0	9766444.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42285|MTREX_HUMAN	P42285	MTREX_HUMAN	MTREX	1042	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome RNA helicase MTR4	1.0	0.999	18	80	80	80	5	7	5	3	5	7	6	11	11	5	9	6	5	7	5	3	5	7	6	11	11	5	9	6	5	7	5	3	5	7	6	11	11	5	9	6	7.5396112E7	1.01275208E8	8.2308064E7	4.9854272E7	8.105756E7	1.00292448E8	8.3348688E7	9.4460056E7	1.1312196E8	4.279468E7	1.16016296E8	7.5407696E7	2.4161118E7	2.435983E7	2.8359936E7	3.116863E7	2.9570894E7	2.716432E7	2.8321128E7	2.1437782E7	2.625672E7	3.4425196E7	2.956087E7	2.6130258E7	
sp|P42330|AK1C3_HUMAN	P42330	AK1C3_HUMAN	AKR1C3	323	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aldo-keto reductase family 1 member C3	1.0	0.999	6	18	5	18	1	1	3	4	3	2	0	0	0	0	2	2	0	0	1	1	1	1	0	0	0	0	0	1	1	1	3	4	3	2	0	0	0	0	2	2	9092148.0	9732049.0	1.7000492E7	4.9097752E7	2.1264628E7	2.9363638E7	0.0	0.0	0.0	0.0	0.0	8391067.0	0.0	0.0	1.5821378E7	1.9052678E7	1.95698E7	2.5571478E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42345|MTOR_HUMAN	P42345	MTOR_HUMAN	MTOR	2549	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase mTOR	1.0	0.999	16	50	50	50	4	4	5	4	7	4	5	2	3	4	4	4	4	4	5	4	7	4	5	2	3	4	4	4	4	4	5	4	7	4	5	2	3	4	4	4	1.5909619E7	2.57239E7	3.3801632E7	1.3240266E7	4.8708464E7	1.3866742E7	3.1061578E7	1.4772913E7	2.2217004E7	1.2586132E7	2.086444E7	3.0755526E7	0.0	1.356861E7	1.5351993E7	0.0	1.5517951E7	0.0	1.5422825E7	0.0	1.1210991E7	1.333259E7	1.1252048E7	1.2164832E7	
sp|P42356|PI4KA_HUMAN	P42356	PI4KA_HUMAN	PI4KA	2102	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol 4-kinase alpha	1.0	0.999	14	37	28	37	2	3	4	2	3	2	5	3	3	3	2	5	2	3	3	2	3	2	3	3	2	2	1	2	2	3	4	2	3	2	5	3	3	3	2	5	1603078.8	2.0038428E7	3.3953232E7	9520895.0	2.8105296E7	3.2197652E7	4.1807608E7	2.3537882E7	2.4659784E7	2963073.5	4.5693184E7	6.0644432E7	0.0	1.201118E7	2.1664266E7	0.0	2.0188184E7	2.354163E7	2.353361E7	1.4320708E7	1.4589684E7	7266561.0	1.9152752E7	1.8730904E7	
sp|P42566|EPS15_HUMAN	P42566	EPS15_HUMAN	EPS15	896	Homo sapiens OX=9606	1:Experimental evidence at protein level	Epidermal growth factor receptor substrate 15	1.0	0.999	17	76	76	76	2	4	5	5	10	9	6	9	3	7	10	6	2	4	5	5	10	9	6	9	3	7	10	6	2	4	5	5	10	9	6	9	3	7	10	6	1.2183854E7	6.2497168E7	2.9019602E7	7.259448E7	9.4932152E7	1.02414288E8	6.8842752E7	9.0220112E7	5.1206676E7	6.1107524E7	7.1119456E7	7.9255312E7	0.0	2.938558E7	1.989951E7	3.140179E7	2.6832984E7	3.0127588E7	2.9411162E7	2.6453058E7	2.3049946E7	2.4838948E7	2.565371E7	3.1245018E7	
sp|P42574|CASP3_HUMAN	P42574	CASP3_HUMAN	CASP3	277	Homo sapiens OX=9606	1:Experimental evidence at protein level	Caspase-3	1.0	0.999	8	50	38	50	4	4	3	3	6	4	5	6	3	3	4	5	3	3	3	2	5	3	3	5	2	2	3	4	4	4	3	3	6	4	5	6	3	3	4	5	1.51603392E8	1.95594048E8	8.3796768E7	1.45539456E8	1.8737E8	1.82944928E8	1.89529824E8	2.5213576E8	1.14622448E8	4.0097936E7	1.46848704E8	1.32278472E8	7.0718152E7	8.6733056E7	6.5661996E7	7.265684E7	6.9662928E7	8.4494E7	7.6331248E7	8.791236E7	1.00442296E8	4.07206E7	7.4512064E7	5.7624156E7	
sp|P42575|CASP2_HUMAN	P42575	CASP2_HUMAN	CASP2	452	Homo sapiens OX=9606	1:Experimental evidence at protein level	Caspase-2	0.994	0.9986	2	2	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1709645E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42677|RS27_HUMAN	P42677	RS27_HUMAN	RPS27	84	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S27	1.0	0.999	8	115	42	115	9	9	9	13	10	7	10	9	9	13	8	9	3	4	5	4	5	3	4	4	4	1	2	3	9	9	9	13	10	7	10	9	9	13	8	9	1.62940723E9	1.62976666E9	1.17813427E9	2.16394854E9	2.07469274E9	1.51741914E9	2.18329062E9	2.0666825E9	2.31665664E9	1.70595789E9	1.43382144E9	2.07743808E9	7.1917082E8	8.0143981E8	7.4513325E8	7.1720243E8	7.6928256E8	7.8156288E8	8.4419219E8	8.1665562E8	8.756336E8	8.3565824E8	7.7120243E8	8.0249491E8	
sp|P42694|HELZ_HUMAN	P42694	HELZ_HUMAN	HELZ	1942	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable helicase with zinc finger domain	0.9948	0.9944	3	5	5	5	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1372230.8	1539200.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42695|CNDD3_HUMAN	P42695	CNDD3_HUMAN	NCAPD3	1498	Homo sapiens OX=9606	1:Experimental evidence at protein level	Condensin-2 complex subunit D3	0.9142	0.9974	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42696|RBM34_HUMAN	P42696	RBM34_HUMAN	RBM34	430	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 34	1.0	0.999	4	18	18	18	1	1	2	1	2	1	1	2	1	2	1	3	1	1	2	1	2	1	1	2	1	2	1	3	1	1	2	1	2	1	1	2	1	2	1	3	1.1218652E7	1.4346479E7	1.8166578E7	0.0	1.8104194E7	7353093.5	0.0	0.0	0.0	1.9031528E7	4914527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42704|LPPRC_HUMAN	P42704	LPPRC_HUMAN	LRPPRC	1394	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leucine-rich PPR motif-containing protein, mitochondrial	1.0	0.999	71	594	593	594	48	55	45	56	52	53	51	48	47	50	42	47	48	55	45	56	52	53	51	48	46	50	42	47	48	55	45	56	52	53	51	48	47	50	42	47	3.11251763E9	3.63544115E9	3.85371571E9	3.86777344E9	4.105216E9	3.73249869E9	4.13805901E9	3.71077043E9	3.92636595E9	4.77342E9	4.9317048E9	4.5732388E9	1.81503398E9	1.81737882E9	1.9884503E9	2.10174477E9	2.16277197E9	1.9236288E9	1.86222733E9	1.8761207E9	1.78958758E9	2.02147226E9	1.92331648E9	1.87293286E9	
sp|P42765|THIM_HUMAN	P42765	THIM_HUMAN	ACAA2	397	Homo sapiens OX=9606	1:Experimental evidence at protein level	3-ketoacyl-CoA thiolase, mitochondrial	1.0	0.999	21	184	184	184	13	18	16	8	15	15	17	16	15	20	14	17	13	18	16	8	15	15	17	16	15	20	14	17	13	18	16	8	15	15	17	16	15	20	14	17	4.43312992E8	4.23859552E8	6.0422797E8	3.58003328E8	6.9029997E8	5.4263866E8	6.9388896E8	8.4549158E8	8.883287E8	8.3934643E8	6.6740998E8	8.9456922E8	1.13024752E8	9.9207088E7	1.12619928E8	1.02810656E8	1.09634872E8	9.7197784E7	1.31426848E8	1.438588E8	1.34749424E8	1.57766256E8	1.4561472E8	1.44501488E8	
sp|P42766|RL35_HUMAN	P42766	RL35_HUMAN	RPL35	123	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L35	1.0	0.999	7	108	108	108	8	8	9	9	8	9	9	11	10	8	9	10	8	8	9	9	8	9	9	11	10	8	9	10	8	8	9	9	8	9	9	11	10	8	9	10	1.05267731E9	2.0926784E9	1.16973363E9	1.66993446E9	1.68809024E9	1.44535872E9	2.1935872E9	2.12828634E9	2.13517837E9	8.703744E8	1.32463731E9	2.07780339E9	5.705328E8	6.7706515E8	6.2632154E8	6.2596378E8	4.36676704E8	7.3666707E8	6.5262771E8	6.0013894E8	6.5225293E8	3.54407616E8	6.5497901E8	6.0458918E8	
sp|P42768|WASP_HUMAN	P42768	WASP_HUMAN	WAS	502	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin nucleation-promoting factor WAS	0.9897	0.997	2	2	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	6.4761508E7	0.0	0.0	0.0	2.33036352E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42771|CDN2A_HUMAN	P42771	CDN2A_HUMAN	CDKN2A	156	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclin-dependent kinase inhibitor 2A	1.0	0.999	7	78	72	78	7	9	6	5	8	8	8	8	8	3	5	3	7	8	6	5	8	7	7	7	7	3	4	3	7	9	6	5	8	8	8	8	8	3	5	3	2.23326784E8	3.378112E8	3.0735696E8	2.22079552E8	2.62319152E8	2.06260656E8	2.0656216E8	2.81292032E8	2.96216384E8	7.0413056E7	1.02510024E8	1.3341364E8	1.17253352E8	1.0572792E8	1.35162688E8	8.71588E7	9.0219688E7	8.3815E7	8.2714072E7	1.1003568E8	8.9648248E7	5.0572676E7	6.077088E7	6.4120552E7	
sp|P42785|PCP_HUMAN	P42785	PCP_HUMAN	PRCP	496	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal Pro-X carboxypeptidase	1.0	0.999	10	120	120	120	10	8	9	12	11	10	9	6	9	13	13	10	10	8	9	12	11	10	9	6	9	13	13	10	10	8	9	12	11	10	9	6	9	13	13	10	2.33699072E8	3.74117056E8	4.5379392E8	4.06411584E8	4.89600352E8	4.04041344E8	4.98643008E8	2.6572496E8	3.65159552E8	4.74518272E8	6.5478067E8	6.4757978E8	1.11033464E8	1.78952288E8	1.52286208E8	1.61401776E8	1.29977064E8	1.44401104E8	1.3203516E8	1.44128112E8	1.69633792E8	1.35382592E8	1.53657424E8	1.42157408E8	
sp|P42858|HD_HUMAN	P42858	HD_HUMAN	HTT	3142	Homo sapiens OX=9606	1:Experimental evidence at protein level	Huntingtin	1.0	0.999	13	36	36	36	2	3	3	0	6	3	2	4	6	4	2	1	2	3	3	0	6	3	2	4	6	4	2	1	2	3	3	0	6	3	2	4	6	4	2	1	6046132.5	1.693127E7	1.5455915E7	0.0	2.3298542E7	1.0753306E7	1.4722553E7	1.3342221E7	1.3094206E7	0.0	0.0	0.0	0.0	8858019.0	9184732.0	0.0	8477931.0	0.0	6838598.0	9679747.0	4917984.5	0.0	0.0	0.0	
sp|P42892|ECE1_HUMAN	P42892	ECE1_HUMAN	ECE1	770	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endothelin-converting enzyme 1	1.0	0.999	21	138	138	138	7	12	8	12	16	13	11	13	10	7	14	15	7	12	8	12	16	13	11	13	10	7	14	15	7	12	8	12	16	13	11	13	10	7	14	15	2.14886016E8	4.05497888E8	3.32507232E8	3.30539808E8	7.0032422E8	4.37596704E8	2.45349152E8	3.62671296E8	3.36793056E8	2.29368608E8	5.4600672E8	5.4154714E8	9.795716E7	9.580948E7	8.0553864E7	1.30975792E8	1.30776752E8	1.40883104E8	9.317368E7	1.22723592E8	9.4556456E7	1.35239408E8	1.3686528E8	1.46539824E8	
sp|P43003|EAA1_HUMAN	P43003	EAA1_HUMAN	SLC1A3	542	Homo sapiens OX=9606	1:Experimental evidence at protein level	Excitatory amino acid transporter 1	1.0	0.999	6	22	21	22	0	0	1	4	2	5	0	0	0	2	3	5	0	0	1	4	2	4	0	0	0	2	3	5	0	0	1	4	2	5	0	0	0	2	3	5	0.0	0.0	1.40216E7	5.3939524E7	8.4876464E7	1.58399328E8	0.0	0.0	0.0	5852924.0	5.2899852E7	7.2107488E7	0.0	0.0	0.0	5.0866904E7	6.0278704E7	6.6848096E7	0.0	0.0	0.0	0.0	2.8618472E7	3.3911216E7	
