Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Spectral Count	96_Lucy_astrolysis_M_60ng Spectral Count	97_Lucy_astrolysis_F_60ng Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Unique Spectral Count	96_Lucy_astrolysis_M_60ng Unique Spectral Count	97_Lucy_astrolysis_F_60ng Unique Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Total Spectral Count	96_Lucy_astrolysis_M_60ng Total Spectral Count	97_Lucy_astrolysis_F_60ng Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Intensity	96_Lucy_astrolysis_M_60ng Intensity	97_Lucy_astrolysis_F_60ng Intensity	102_Lucy_astrolysis_FT_60ng_reinject Unique Intensity	96_Lucy_astrolysis_M_60ng Unique Intensity	97_Lucy_astrolysis_F_60ng Unique Intensity	102_Lucy_astrolysis_FT_60ng_reinject Total Intensity	96_Lucy_astrolysis_M_60ng Total Intensity	97_Lucy_astrolysis_F_60ng Total Intensity	Indistinguishable Proteins
sp|P10109|ADX_HUMAN	P10109	ADX_HUMAN	FDX1	184	23.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adrenodoxin, mitochondrial	1.0000	0.9990	3	7	7	7	3	1	3	3	1	3	3	1	3	6.247232E7	2.79577E7	4.4641208E7	6.247232E7	2.79577E7	4.4641208E7	6.247232E7	2.79577E7	4.4641208E7	
sp|P10114|RAP2A_HUMAN	P10114	RAP2A_HUMAN	RAP2A	183	25.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rap-2a	1.0000	0.9990	5	2	2	13	0	0	2	0	0	2	3	4	6	0.0	0.0	1.0695174E7	0.0	0.0	1.0695174E7	4.2312444E7	3.4473828E7	5.0458688E7	
sp|P10155|RO60_HUMAN	P10155	RO60_HUMAN	RO60	538	13.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein RO60	1.0000	0.9990	5	13	13	13	5	4	4	5	4	4	5	4	4	1.40300816E8	2.08773616E8	2.02515984E8	1.40300816E8	2.08773616E8	2.02515984E8	1.40300816E8	2.08773616E8	2.02515984E8	
sp|P10253|LYAG_HUMAN	P10253	LYAG_HUMAN	GAA	952	9.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal alpha-glucosidase	1.0000	0.9990	8	14	14	14	6	6	2	6	6	2	6	6	2	7.2779608E7	1.24507728E8	2.6257724E7	7.2779608E7	1.24507728E8	2.6257724E7	7.2779608E7	1.24507728E8	2.6257724E7	
sp|P10301|RRAS_HUMAN	P10301	RRAS_HUMAN	RRAS	218	43.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein R-Ras	1.0000	0.9990	7	22	19	22	7	8	7	6	7	6	7	8	7	1.69810944E8	2.49454928E8	3.69886176E8	1.36743808E8	2.43673296E8	3.4961872E8	1.69810944E8	2.49454928E8	3.69886176E8	
sp|P10515|ODP2_HUMAN	P10515	ODP2_HUMAN	DLAT	647	13.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	1.0000	0.9990	10	23	23	23	8	9	6	8	9	6	8	9	6	2.28049808E8	2.96616736E8	2.20354896E8	2.28049808E8	2.96616736E8	2.20354896E8	2.28049808E8	2.96616736E8	2.20354896E8	
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	52.40	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin	1.0000	0.9990	6	39	39	39	15	11	13	15	11	13	15	11	13	5.7027543E9	4.6827894E9	4.00076774E9	5.7027543E9	4.6827894E9	4.00076774E9	5.7027543E9	4.6827894E9	4.00076774E9	
sp|P10606|COX5B_HUMAN	P10606	COX5B_HUMAN	COX5B	129	51.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 5B, mitochondrial	1.0000	0.9990	9	24	24	24	8	7	9	8	7	9	8	7	9	1.60865843E9	1.60536806E9	1.42175885E9	1.60865843E9	1.60536806E9	1.42175885E9	1.60865843E9	1.60536806E9	1.42175885E9	
sp|P10619|PPGB_HUMAN	P10619	PPGB_HUMAN	CTSA	480	15.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal protective protein	1.0000	0.9990	7	16	16	16	6	6	4	6	6	4	6	6	4	3.77045792E8	2.22948544E8	2.30316512E8	3.77045792E8	2.22948544E8	2.30316512E8	3.77045792E8	2.22948544E8	2.30316512E8	
sp|P10620|MGST1_HUMAN	P10620	MGST1_HUMAN	MGST1	155	9.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microsomal glutathione S-transferase 1	1.0000	0.9990	2	3	3	3	0	0	3	0	0	3	0	0	3	0.0	0.0	1.551294E7	0.0	0.0	1.551294E7	0.0	0.0	1.551294E7	
sp|P10644|KAP0_HUMAN	P10644	KAP0_HUMAN	PRKAR1A	381	20.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	cAMP-dependent protein kinase type I-alpha regulatory subunit	1.0000	0.9990	9	24	17	24	7	7	10	5	5	7	7	7	10	2.56212032E8	1.85546736E8	2.42650272E8	2.4347184E8	1.73402368E8	2.39498592E8	2.56212032E8	1.85546736E8	2.42650272E8	
sp|P10746|HEM4_HUMAN	P10746	HEM4_HUMAN	UROS	265	11.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Uroporphyrinogen-III synthase	1.0000	0.9990	2	4	4	4	3	1	0	3	1	0	3	1	0	0.0	9178708.0	0.0	0.0	9178708.0	0.0	0.0	9178708.0	0.0	
sp|P10768|ESTD_HUMAN	P10768	ESTD_HUMAN	ESD	282	25.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	S-formylglutathione hydrolase	1.0000	0.9990	7	23	23	23	6	7	10	6	7	10	6	7	10	7.402887E8	6.1898016E8	5.8203302E8	7.402887E8	6.1898016E8	5.8203302E8	7.402887E8	6.1898016E8	5.8203302E8	
sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	48.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	60 kDa heat shock protein, mitochondrial	1.0000	0.9990	30	126	126	126	43	50	33	43	50	33	43	50	33	4.18624512E9	4.7944412E9	2.98052096E9	4.18624512E9	4.7944412E9	2.98052096E9	4.18624512E9	4.7944412E9	2.98052096E9	
sp|P10909|CLUS_HUMAN	P10909	CLUS_HUMAN	CLU	449	6.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Clusterin	1.0000	0.9990	2	6	6	6	1	4	1	1	4	1	1	4	1	0.0	9417738.0	0.0	0.0	9417738.0	0.0	0.0	9417738.0	0.0	
sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	HSPA5	654	54.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum chaperone BiP	1.0000	0.9990	43	251	251	262	93	80	78	93	80	78	97	84	81	1.02832056E10	1.18700012E10	9.6553492E9	1.02832056E10	1.18700012E10	9.6553492E9	1.1117697E10	1.2127745E10	1.098739E10	
sp|P11117|PPAL_HUMAN	P11117	PPAL_HUMAN	ACP2	423	20.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal acid phosphatase	1.0000	0.9989	7	21	21	21	6	8	7	6	8	7	6	8	7	1.51758016E8	2.07783376E8	1.55951072E8	1.51758016E8	2.07783376E8	1.55951072E8	1.51758016E8	2.07783376E8	1.55951072E8	
sp|P11137|MTAP2_HUMAN	P11137	MTAP2_HUMAN	MAP2	1827	3.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated protein 2	1.0000	0.9990	3	6	6	6	2	3	1	2	3	1	2	3	1	2.7955688E7	3.8988928E7	2.2060268E7	2.7955688E7	3.8988928E7	2.2060268E7	2.7955688E7	3.8988928E7	2.2060268E7	
sp|P11166|GTR1_HUMAN	P11166	GTR1_HUMAN	SLC2A1	492	10.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Solute carrier family 2, facilitated glucose transporter member 1	1.0000	0.9990	4	22	22	22	10	4	8	10	4	8	10	4	8	4.9173824E8	7.9157216E8	5.09940576E8	4.9173824E8	7.9157216E8	5.09940576E8	4.9173824E8	7.9157216E8	5.09940576E8	
sp|P11172|UMPS_HUMAN	P11172	UMPS_HUMAN	UMPS	480	22.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Uridine 5'-monophosphate synthase	1.0000	0.9990	11	33	33	33	11	11	11	11	11	11	11	11	11	1.2083604E8	1.23149232E8	1.4268608E8	1.2083604E8	1.23149232E8	1.4268608E8	1.2083604E8	1.23149232E8	1.4268608E8	
sp|P11177|ODPB_HUMAN	P11177	ODPB_HUMAN	PDHB	359	25.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	1.0000	0.9990	9	31	31	31	10	10	11	10	10	11	10	10	11	6.2202426E8	6.8555462E8	5.9073869E8	6.2202426E8	6.8555462E8	5.9073869E8	6.2202426E8	6.8555462E8	5.9073869E8	
sp|P11233|RALA_HUMAN	P11233	RALA_HUMAN	RALA	206	32.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Ral-A	1.0000	0.9990	7	14	14	18	4	6	4	4	6	4	6	7	5	1.62960576E8	2.02249536E8	1.09970696E8	1.62960576E8	2.02249536E8	1.09970696E8	1.63644336E8	2.06255888E8	1.38877728E8	
sp|P11234|RALB_HUMAN	P11234	RALB_HUMAN	RALB	206	35.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Ral-B	1.0000	0.9990	7	27	23	27	12	7	8	10	6	7	12	7	8	1.12957848E8	1.28069784E8	1.12307824E8	1.05673016E8	1.16285344E8	8.1765168E7	1.12957848E8	1.28069784E8	1.12307824E8	
sp|P11274|BCR_HUMAN	P11274	BCR_HUMAN	BCR	1271	6.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Breakpoint cluster region protein	1.0000	0.9990	4	3	3	4	1	1	1	1	1	1	2	1	1	0.0	0.0	0.0	0.0	0.0	0.0	1.3594167E7	0.0	0.0	
sp|P11279|LAMP1_HUMAN	P11279	LAMP1_HUMAN	LAMP1	417	12.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosome-associated membrane glycoprotein 1	1.0000	0.9990	3	9	9	9	5	1	3	5	1	3	5	1	3	2.29639168E9	1.61633254E9	2.01527117E9	2.29639168E9	1.61633254E9	2.01527117E9	2.29639168E9	1.61633254E9	2.01527117E9	
sp|P11310|ACADM_HUMAN	P11310	ACADM_HUMAN	ACADM	421	28.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	1.0000	0.9990	13	36	36	36	11	13	12	11	13	12	11	13	12	2.02621648E8	3.15342816E8	1.8610912E8	2.02621648E8	3.15342816E8	1.8610912E8	2.02621648E8	3.15342816E8	1.8610912E8	
sp|P11388|TOP2A_HUMAN	P11388	TOP2A_HUMAN	TOP2A	1531	11.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA topoisomerase 2-alpha	1.0000	0.9990	12	7	7	18	4	1	2	4	1	2	6	6	6	1.5513374E7	1.1484563E7	2.23315E7	1.5513374E7	1.1484563E7	2.23315E7	4.5647904E7	6.5352688E7	1.07213952E8	
sp|P11413|G6PD_HUMAN	P11413	G6PD_HUMAN	G6PD	515	39.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucose-6-phosphate 1-dehydrogenase	1.0000	0.9990	25	84	84	84	26	28	30	26	28	30	26	28	30	7.784617E8	1.07034163E9	1.01407891E9	7.784617E8	1.07034163E9	1.01407891E9	7.784617E8	1.07034163E9	1.01407891E9	
sp|P11441|UBL4A_HUMAN	P11441	UBL4A_HUMAN	UBL4A	157	36.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like protein 4A	1.0000	0.9990	5	16	16	16	4	5	7	4	5	7	4	5	7	1.28803352E8	3.8310428E7	9.4423528E7	1.28803352E8	3.8310428E7	9.4423528E7	1.28803352E8	3.8310428E7	9.4423528E7	
sp|P11498|PYC_HUMAN	P11498	PYC_HUMAN	PC	1178	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate carboxylase, mitochondrial	1.0000	0.9990	12	24	24	24	7	4	13	7	4	13	7	4	13	9.4552544E7	1.8039972E7	8.4530768E7	9.4552544E7	1.8039972E7	8.4530768E7	9.4552544E7	1.8039972E7	8.4530768E7	
sp|P11532|DMD_HUMAN	P11532	DMD_HUMAN	DMD	3685	4.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dystrophin	1.0000	0.9990	7	12	12	15	4	3	5	4	3	5	6	3	6	7.3114792E7	2.2604728E7	6.2724056E7	7.3114792E7	2.2604728E7	6.2724056E7	1.3039332E8	7.7308512E7	1.58502208E8	
sp|P11586|C1TC_HUMAN	P11586	C1TC_HUMAN	MTHFD1	935	37.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	C-1-tetrahydrofolate synthase, cytoplasmic	1.0000	0.9990	39	108	105	108	38	39	31	38	37	30	38	39	31	8.259513E8	9.7745491E8	4.3914016E8	8.259513E8	9.7745491E8	4.3914016E8	8.259513E8	9.7745491E8	4.3914016E8	
sp|P11717|MPRI_HUMAN	P11717	MPRI_HUMAN	IGF2R	2491	16.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cation-independent mannose-6-phosphate receptor	1.0000	0.9990	38	124	124	124	41	44	39	41	44	39	41	44	39	4.13513216E8	4.80057312E8	3.83370592E8	4.13513216E8	4.80057312E8	3.83370592E8	4.13513216E8	4.80057312E8	3.83370592E8	
sp|P11766|ADHX_HUMAN	P11766	ADHX_HUMAN	ADH5	374	26.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alcohol dehydrogenase class-3	1.0000	0.9990	10	21	21	21	7	7	7	7	7	7	7	7	7	7.1445856E8	9.0008506E8	7.6441504E8	7.1445856E8	9.0008506E8	7.6441504E8	7.1445856E8	9.0008506E8	7.6441504E8	
sp|P11908|PRPS2_HUMAN	P11908	PRPS2_HUMAN	PRPS2	318	15.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribose-phosphate pyrophosphokinase 2	1.0000	0.9990	4	4	4	7	3	1	0	3	1	0	5	1	1	2.41472E7	0.0	0.0	2.41472E7	0.0	0.0	4.604482E7	5.5754512E7	4.1970388E7	
sp|P12004|PCNA_HUMAN	P12004	PCNA_HUMAN	PCNA	261	37.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proliferating cell nuclear antigen	1.0000	0.9990	10	37	37	37	13	11	13	13	11	13	13	11	13	5.11356832E8	6.3105344E8	4.93035424E8	5.11356832E8	6.3105344E8	4.93035424E8	5.11356832E8	6.3105344E8	4.93035424E8	
sp|P12081|SYHC_HUMAN	P12081	SYHC_HUMAN	HARS	509	36.50	Homo sapiens	1:Experimental evidence at protein level	Histidine--tRNA ligase, cytoplasmic	1.0000	0.9990	19	50	34	50	20	14	16	14	10	10	20	14	16	6.3240339E8	5.5549229E8	5.7138317E8	5.8717402E8	4.99470464E8	6.2379181E8	6.3240339E8	5.5549229E8	5.7138317E8	
sp|P12107|COBA1_HUMAN	P12107	COBA1_HUMAN	COL11A1	1806	19.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-1(XI) chain	1.0000	0.9990	25	48	48	70	20	8	20	20	8	20	27	22	21	2.94242368E8	1.46189504E8	2.55283152E8	2.94242368E8	1.46189504E8	2.55283152E8	4.73139936E8	3.62905504E8	2.92142656E8	
sp|P12109|CO6A1_HUMAN	P12109	CO6A1_HUMAN	COL6A1	1028	38.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-1(VI) chain	1.0000	0.9990	38	204	204	204	80	61	63	80	61	63	80	61	63	2.92427981E9	1.66647949E9	2.43401498E9	2.92427981E9	1.66647949E9	2.43401498E9	2.92427981E9	1.66647949E9	2.43401498E9	
sp|P12110|CO6A2_HUMAN	P12110	CO6A2_HUMAN	COL6A2	1019	27.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-2(VI) chain	1.0000	0.9990	27	96	96	96	40	28	28	40	28	28	40	28	28	9.949015E8	7.1492179E8	1.05620275E9	9.949015E8	7.1492179E8	1.05620275E9	9.949015E8	7.1492179E8	1.05620275E9	
sp|P12111|CO6A3_HUMAN	P12111	CO6A3_HUMAN	COL6A3	3177	33.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-3(VI) chain	1.0000	0.9990	109	309	309	309	117	88	104	117	88	104	117	88	104	7.0084749E8	4.7138976E8	7.166681E8	7.0084749E8	4.7138976E8	7.166681E8	7.0084749E8	4.7138976E8	7.166681E8	
sp|P12268|IMDH2_HUMAN	P12268	IMDH2_HUMAN	IMPDH2	514	34.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inosine-5'-monophosphate dehydrogenase 2	1.0000	0.9990	18	57	49	57	27	15	15	23	12	14	27	15	15	7.9428582E8	7.3614547E8	7.382743E8	6.3402957E8	6.6673965E8	6.1405331E8	7.9428582E8	7.3614547E8	7.382743E8	
sp|P12270|TPR_HUMAN	P12270	TPR_HUMAN	TPR	2363	30.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoprotein TPR	1.0000	0.9990	72	183	183	183	62	65	56	62	65	56	62	65	56	2.90079168E8	2.66438144E8	2.14673984E8	2.90079168E8	2.66438144E8	2.14673984E8	2.90079168E8	2.66438144E8	2.14673984E8	
sp|P12277|KCRB_HUMAN	P12277	KCRB_HUMAN	CKB	381	35.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Creatine kinase B-type	1.0000	0.9990	12	24	24	24	6	15	3	6	15	3	6	15	3	8.3155504E7	1.05060877E9	6.1840524E7	8.3155504E7	1.05060877E9	6.1840524E7	8.3155504E7	1.05060877E9	6.1840524E7	
sp|P12429|ANXA3_HUMAN	P12429	ANXA3_HUMAN	ANXA3	323	29.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Annexin A3	1.0000	0.9990	9	19	19	19	6	8	5	6	8	5	6	8	5	1.07388624E8	3.2598864E8	9.4120992E7	1.07388624E8	3.2598864E8	9.4120992E7	1.07388624E8	3.2598864E8	9.4120992E7	
sp|P12694|ODBA_HUMAN	P12694	ODBA_HUMAN	BCKDHA	445	22.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	1.0000	0.9990	6	10	10	10	3	4	3	3	4	3	3	4	3	8.1672384E7	8.67284E7	8.0024384E7	8.1672384E7	8.67284E7	8.0024384E7	8.1672384E7	8.67284E7	8.0024384E7	
sp|P12814|ACTN1_HUMAN	P12814	ACTN1_HUMAN	ACTN1	892	50.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-actinin-1	1.0000	0.9990	50	215	207	359	71	78	66	69	74	64	128	124	107	6.7537664E9	7.0292516E9	5.9804846E9	6.7537664E9	7.0292516E9	5.9804846E9	8.8757176E9	8.680832E9	4.7804989E9	
sp|P12955|PEPD_HUMAN	P12955	PEPD_HUMAN	PEPD	493	16.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Xaa-Pro dipeptidase	1.0000	0.9990	7	20	20	20	4	9	7	4	9	7	4	9	7	2.80983456E8	3.22736288E8	3.29337216E8	2.80983456E8	3.22736288E8	3.29337216E8	2.80983456E8	3.22736288E8	3.29337216E8	
sp|P12956|XRCC6_HUMAN	P12956	XRCC6_HUMAN	XRCC6	609	39.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	X-ray repair cross-complementing protein 6	1.0000	0.9990	26	101	101	101	35	36	30	35	36	30	35	36	30	1.49502963E9	1.97270861E9	1.5354583E9	1.49502963E9	1.97270861E9	1.5354583E9	1.49502963E9	1.97270861E9	1.5354583E9	
sp|P13010|XRCC5_HUMAN	P13010	XRCC5_HUMAN	XRCC5	732	23.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	X-ray repair cross-complementing protein 5	1.0000	0.9990	20	67	67	67	23	23	21	23	23	21	23	23	21	9.814249E8	1.22514726E9	1.25568499E9	9.814249E8	1.22514726E9	1.25568499E9	9.814249E8	1.22514726E9	1.25568499E9	
sp|P13073|COX41_HUMAN	P13073	COX41_HUMAN	COX4I1	169	32.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	1.0000	0.9990	7	28	28	28	9	8	11	9	8	11	9	8	11	1.54033446E9	1.75612826E9	1.5093143E9	1.54033446E9	1.75612826E9	1.5093143E9	1.54033446E9	1.75612826E9	1.5093143E9	
sp|P13489|RINI_HUMAN	P13489	RINI_HUMAN	RNH1	461	29.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease inhibitor	1.0000	0.9990	12	44	44	44	16	14	14	16	14	14	16	14	14	8.7434227E8	9.7749056E8	7.4635994E8	8.7434227E8	9.7749056E8	7.4635994E8	8.7434227E8	9.7749056E8	7.4635994E8	
sp|P13591|NCAM1_HUMAN	P13591	NCAM1_HUMAN	NCAM1	858	11.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neural cell adhesion molecule 1	1.0000	0.9990	8	11	11	11	2	8	1	2	8	1	2	8	1	4.2684584E7	1.08454728E8	2.6310748E7	4.2684584E7	1.08454728E8	2.6310748E7	4.2684584E7	1.08454728E8	2.6310748E7	
sp|P13612|ITA4_HUMAN	P13612	ITA4_HUMAN	ITGA4	1032	3.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin alpha-4	1.0000	0.9990	2	3	3	3	1	2	0	1	2	0	1	2	0	0.0	5.511812E7	0.0	0.0	5.511812E7	0.0	0.0	5.511812E7	0.0	
sp|P13639|EF2_HUMAN	P13639	EF2_HUMAN	EEF2	858	46.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 2	1.0000	0.9990	49	212	210	212	79	60	73	79	60	71	79	60	73	6.967554E9	5.6443249E9	6.9728399E9	6.8926029E9	5.178881E9	6.441109E9	6.967554E9	5.6443249E9	6.9728399E9	
sp|P13667|PDIA4_HUMAN	P13667	PDIA4_HUMAN	PDIA4	645	42.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein disulfide-isomerase A4	1.0000	0.9990	34	140	140	140	49	44	47	49	44	47	49	44	47	1.83993011E9	2.11668685E9	1.86590528E9	1.83993011E9	2.11668685E9	1.86590528E9	1.83993011E9	2.11668685E9	1.86590528E9	
sp|P13674|P4HA1_HUMAN	P13674	P4HA1_HUMAN	P4HA1	534	36.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prolyl 4-hydroxylase subunit alpha-1	1.0000	0.9990	19	64	64	64	20	23	21	20	23	21	20	23	21	1.16778163E9	1.02745453E9	9.3375962E8	1.16778163E9	1.02745453E9	9.3375962E8	1.16778163E9	1.02745453E9	9.3375962E8	
sp|P13716|HEM2_HUMAN	P13716	HEM2_HUMAN	ALAD	330	8.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Delta-aminolevulinic acid dehydratase	1.0000	0.9990	2	3	3	3	1	1	1	1	1	1	1	1	1	6.2721664E7	4.0758716E7	8.056932E7	6.2721664E7	4.0758716E7	8.056932E7	6.2721664E7	4.0758716E7	8.056932E7	
sp|P13798|ACPH_HUMAN	P13798	ACPH_HUMAN	APEH	732	13.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acylamino-acid-releasing enzyme	1.0000	0.9990	10	30	30	30	10	13	7	10	13	7	10	13	7	1.87027216E8	2.4936704E8	1.8161832E8	1.87027216E8	2.4936704E8	1.8161832E8	1.87027216E8	2.4936704E8	1.8161832E8	
sp|P13804|ETFA_HUMAN	P13804	ETFA_HUMAN	ETFA	333	36.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Electron transfer flavoprotein subunit alpha, mitochondrial	1.0000	0.9990	10	37	37	37	11	16	10	11	16	10	11	16	10	2.2732344E8	3.23629312E8	2.88019456E8	2.2732344E8	3.23629312E8	2.88019456E8	2.2732344E8	3.23629312E8	2.88019456E8	
sp|P13984|T2FB_HUMAN	P13984	T2FB_HUMAN	GTF2F2	249	46.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor IIF subunit 2	1.0000	0.9990	12	31	31	31	8	12	11	8	12	11	8	12	11	1.53734928E8	1.83372112E8	1.37697888E8	1.53734928E8	1.83372112E8	1.37697888E8	1.53734928E8	1.83372112E8	1.37697888E8	
sp|P13987|CD59_HUMAN	P13987	CD59_HUMAN	CD59	128	25.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD59 glycoprotein	1.0000	0.9990	4	22	22	22	9	7	6	9	7	6	9	7	6	1.3128983E9	1.54236467E9	1.61742925E9	1.3128983E9	1.54236467E9	1.61742925E9	1.3128983E9	1.54236467E9	1.61742925E9	
sp|P13995|MTDC_HUMAN	P13995	MTDC_HUMAN	MTHFD2	350	8.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	1.0000	0.9990	3	6	6	6	2	2	2	2	2	2	2	2	2	3.34446624E8	3.13305216E8	7.8039104E7	3.34446624E8	3.13305216E8	7.8039104E7	3.34446624E8	3.13305216E8	7.8039104E7	
sp|P14174|MIF_HUMAN	P14174	MIF_HUMAN	MIF	115	18.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Macrophage migration inhibitory factor	1.0000	0.9990	3	40	40	40	14	12	14	14	12	14	14	12	14	4.5787617E9	5.4069197E9	2.75118362E9	4.5787617E9	5.4069197E9	2.75118362E9	4.5787617E9	5.4069197E9	2.75118362E9	
sp|P14209|CD99_HUMAN	P14209	CD99_HUMAN	CD99	185	15.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD99 antigen	1.0000	0.9990	3	27	27	27	10	10	7	10	10	7	10	10	7	9.3568301E8	1.13490893E9	6.0954842E8	9.3568301E8	1.13490893E9	6.0954842E8	9.3568301E8	1.13490893E9	6.0954842E8	
sp|P14314|GLU2B_HUMAN	P14314	GLU2B_HUMAN	PRKCSH	528	20.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucosidase 2 subunit beta	1.0000	0.9990	19	87	87	87	31	29	27	31	29	27	31	29	27	2.52233114E9	2.13465856E9	1.96108774E9	2.52233114E9	2.13465856E9	1.96108774E9	2.52233114E9	2.13465856E9	1.96108774E9	
sp|P14324|FPPS_HUMAN	P14324	FPPS_HUMAN	FDPS	419	17.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Farnesyl pyrophosphate synthase	1.0000	0.9990	7	25	25	25	11	6	8	11	6	8	11	6	8	5.1214752E8	7.478055E8	4.74886464E8	5.1214752E8	7.478055E8	4.74886464E8	5.1214752E8	7.478055E8	4.74886464E8	
sp|P14543|NID1_HUMAN	P14543	NID1_HUMAN	NID1	1247	5.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nidogen-1	1.0000	0.9990	5	5	5	6	1	3	1	1	3	1	2	3	1	1.261192E7	4.0838636E7	0.0	1.261192E7	4.0838636E7	0.0	1.261192E7	4.0838636E7	0.0	
