Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-31_4280.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_18ng_3-12-2024_Slot2-32_4281.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_18ng_3-12-2024_Slot2-33_4282.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_18ng_3-12-2024_Slot2-34_4283.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_18ng_3-12-2024_Slot2-35_4284.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_18ng_3-12-2024_Slot2-36_4285.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-25_4274.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_18ng_3-11-2024_Slot2-26_4275.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_18ng_3-11-2024_Slot2-27_4276.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_18ng_3-11-2024_Slot2-28_4277.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_18ng_3-11-2024_Slot2-29_4278.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_18ng_3-11-2024_Slot2-30_4279.d
P16455	P16455	MGMT_HUMAN	MGMT	Methylated-DNA--protein-cysteine methyltransferase	6411.61	3149.05	4213.29	4830.4			6963.48	6499.91	6132.76	11548.8	12887.9	12633.4
P16591	P07332;P16591	FER_HUMAN	FER	Tyrosine-protein kinase Fer	14828	9898.94	11230.9	11062.6	9262.88	10459.4	9097.6	10650	9553.91	9855.51	9570.87	7351.22
P16615	P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	303848	232858	235228	266912	241281	247882	278380	294170	314984	245481	262627	208013
P16870	P16870	CBPE_HUMAN	CPE	Carboxypeptidase E		849.199	1477.32	1154.28	2898.64	2642.58	870.666	1037.72		720.636		1051.32
P16930	P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	9131.88	8517.69	7930.13	162280	271315	270656	7719.68	9180	6218.84	115995	110582	175159
P16949	P16949	STMN1_HUMAN	STMN1	Stathmin	16218	17312.2	13619.4	338911	435078	420560	35843.3	35231.4	35968	476643	425810	1.16188e+06
P16989	P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	33546.4	31491.8	37803.2	197455	289163	311792	34886.7	29957.5	29483.3	190602	260348	372468
P17026	P17026	ZNF22_HUMAN	ZNF22	Zinc finger protein 22	3075.88	3891.19	4312.21	10047.7	7359.86	8575.1	4560.26	5785.16	5558.96	7798.87	9025.47	6042.71
P17028	P17028	ZNF24_HUMAN	ZNF24	Zinc finger protein 24	7700.21	6375.74	6708.54	7996.44	4611.48	5428.93	9145.77	9415.96	8392.38	8828.93	9329.46	8555.75
P17029	P17029	ZKSC1_HUMAN	ZKSCAN1	Zinc finger protein with KRAB and SCAN domains 1	5988.34	7074.61	6645.43	5869.36	5922.67	5690.31	8572.11	7142.79	8523.17	6653.15	9138.48	7490.47
P17050	P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase	15586.4	15907.7	19530.4	94866.4	104555	107938	12219.1	7695.3	9679.61	69274.1	68781.8	89193.5
P17066	P17066;P48741	HSP76_HUMAN	HSPA6	Heat shock 70 kDa protein 6	6492.87			142973	121394	126406			5003.39	22623.2	26090.8	25117
P17096	P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	23505.9	2825.89	2243.17	183428	232764	227759	61985.4		23995	169482	216786	171234
P17098	P17098	ZNF8_HUMAN	ZNF8	Zinc finger protein 8					2869.28				2467.19	2771.86	2930.96	3713.51
P17152	P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	28971.9	24132.7	25352.4	40975.9	36931.5	32259.4	37607.2	36731.4	34899.3	36632	35788.7	23407.6
P17174	P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	66230.8	58498.3	57062.9	178387	167549	164116	71400.9	64064.2	68425.5	164987	155380	233910
P17252	P17252	KPCA_HUMAN	PRKCA	Protein kinase C alpha type	42197.9	42303.5	43418.6	35022.7	24074.1	25351.7	56215.4	51545	54052	41936.9	42668.9	42804.8
P17275	P17275	JUNB_HUMAN	JUNB	Transcription factor JunB	2890.8	2155.1	2934.12	6770.41	6150.62	6973.47	3726.94	3347.09	3001.7	4436.13	4470.5	2315.37
P17301	P17301	ITA2_HUMAN	ITGA2	Integrin alpha-2	148661	143389	148046	129031	180166	185554	155271	149188	152103	31700	29464.5	55881.6
P17302	P17302	CXA1_HUMAN	GJA1	Gap junction alpha-1 protein	42202.4	38643.9	48600.8	26211.5	27304	23772.2	41865.5	41212.8	46123.6	26350.2	31943.1	46149.4
P17342	P17342	ANPRC_HUMAN	NPR3	Atrial natriuretic peptide receptor 3	3056.48	3755.17	4857.88	637.157				975.656				
P17405	P17405	ASM_HUMAN	SMPD1	Sphingomyelin phosphodiesterase	30102	36207.8	31556.5	26056.9	26915.6	27546.5	11421.6	13276.2	12556.6	18736.3	16791.6	25672
P17480	P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	36657.4	34622	31687.7	42229.2	35638.3	39557.4	59928.5	54294.2	57408.4	55986.7	64304.5	45764.1
P17535	P17535	JUND_HUMAN	JUND	Transcription factor JunD	5232	7994.99	8906.37	10446.2	8170.93	6453.48	16777.4	11137	10547.7	9505.66	7347.65	7498.71
P17544	P17544	ATF7_HUMAN	ATF7	Cyclic AMP-dependent transcription factor ATF-7	2784.92	3329.88	2820.22	2475.49	2571.93	1961.27	5280.79	4741.77	3751.24	2230.9	2762.09	3598.99
P17568	P17568	NDUB7_HUMAN	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	9388.54	8934.08	8119.11	11457.2	18450.7	17089.8	9744.42	9859.68	10658.4	13587.5	11586.2	11741.1
P17612	P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	78593.4	84808.3	83716.9	72617	57263.5	61859.9	88192.2	84866	89530.4	64715.6	73185.4	57807
P17655	P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	637306	604314	603558	642436	582612	524246	483877	544980	563418	508792	578818	487347
P17661	P17661	DESM_HUMAN	DES	Desmin	20489.2	26110.6	24331.2	27796.6	41758.9	32566.5	23789.4	22171.4	19693.9	11203.8	9257.5	7326.94
P17676	P17676	CEBPB_HUMAN	CEBPB	CCAAT/enhancer-binding protein beta	3764.19	3226.14	4189.46	6678.36	4580.01	5889.06	5001.52	4463.26	4524.19	4746.82	3943.05	3956.99
P17677	P17677	NEUM_HUMAN	GAP43	Neuromodulin	5904.94	8481.67	7979.44	46987.7	63217.7	62839.6	5090.08	4635.52	5999.86	117739	131969	189785
P17693	P17693	HLAG_HUMAN	HLA-G	HLA class I histocompatibility antigen, alpha chain G				38917.6	78743	90949.7			30838.9	56105	49577.4	
P17706	P17706	PTN2_HUMAN	PTPN2	Tyrosine-protein phosphatase non-receptor type 2	6750.19	7107.84	5967.69	10691	11334.4	11432.1	6497.6	7803.74	8561.87	9340.53	13097.4	8951.56
P17812	Q9NRF8;P17812	PYRG1_HUMAN	CTPS1	CTP synthase 1	29130.4	19028.8	21660.6	107297	94320.2	96103.6	31471.6	29123.5	26707	102859	112729	130968
P17813	P17813	EGLN_HUMAN	ENG	Endoglin	12983.6	13587.8	14145.7	12692.2	17288.5	16023.6	5475.1	6019.88	4985.15	9984.99	4465.89	7806.84
P17844	P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	310557	266124	246045	318203	283357	267962	439523	465160	441597	518248	534978	265410
P17858	P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	135043	135980	145415	120160	83235.4	79543.5	82665.7	82222.6	87598.9	92330.6	87464	78728.5
P17900	P17900	SAP3_HUMAN	GM2A	Ganglioside GM2 activator	14378.2	10242.3	12312.7	89858.7	158547	158358			5785.85	64075.9	57388.5	72493.9
P17931	P17931	LEG3_HUMAN	LGALS3	Galectin-3	63995.9	66285.1	71504.8	570602	355255	392666	38114.8	34621.6	39402.3	304955	303264	470241
P17936	P17936	IBP3_HUMAN	IGFBP3	Insulin-like growth factor-binding protein 3	12067.9	7767.21	11182.5	10773.3	10487	13702.9	4063.32	6277.95	5642.08	5869.94	8770.74	13905
P17980	P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	400415	367408	314627	298410	197564	223331	343777	368366	368954	241735	257219	295158
P17987	P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	503638	403937	398257	407163	406516	399326	487953	505350	500311	387803	389834	352037
P18031	P18031	PTN1_HUMAN	PTPN1	Tyrosine-protein phosphatase non-receptor type 1	144233	110355	122933	136489	118276	122036	91574	94282	99022.7	87384.5	92038.7	105849
P18065	P18065	IBP2_HUMAN	IGFBP2	Insulin-like growth factor-binding protein 2	28657.6	16234.9	21003.1	101800	221834	197550	13749.9	12849.8	12438	41815.7	60028.1	133874
P18074	P18074	ERCC2_HUMAN	ERCC2	General transcription and DNA repair factor IIH helicase subunit XPD	14244.3	14750.9	14736.2	14918.4	11970.8	13166.3	15770.9	15191	15817.6	12870	15856.8	10064.9
P18077	P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a	228921	169542	178009	373398	834667	755568	214424	195020	241641	580444	818598	841377
P18084	P18084	ITB5_HUMAN	ITGB5	Integrin beta-5	87912.7	90190.8	98874.7	62431.2	80631.1	86145.9	51430.6	48041.5	47652.1	37972.4	46572.1	71262.8
P18085	P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	285129	241481	241597	840704	794618	583744	151631	153526	188709	498147	515005	645644
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	355295	290058	289299	554518	920966	933684	365925	370850	345309	597623	675688	877696
P18206	P18206	VINC_HUMAN	VCL	Vinculin	1.67615e+06	1.53032e+06	1.50429e+06	1.53867e+06	1.39212e+06	1.38986e+06	1.05697e+06	1.03733e+06	1.06972e+06	1.27746e+06	1.20794e+06	1.0606e+06
P18433	P18433	PTPRA_HUMAN	PTPRA	Receptor-type tyrosine-protein phosphatase alpha	17725.6	18481.2	19170.2	16924.7	18936.9	16177	18288.4	16622.3	16062.1	13071.8	13911.3	17796.4
P18440	P18440	ARY1_HUMAN	NAT1	Arylamine N-acetyltransferase 1	9185.63	7419.24	8391.46	8590.85	9851.22	10016.7	6167.5	6839.52	7043.85	4341.42	5718.28	7756.85
P18583	P18583	SON_HUMAN	SON	Protein SON	37973	30979	32084.1	53382	42340.6	41934.5	47811.3	49206.9	54538.2	65776.7	66185.3	36151.1
P18615	P18615	NELFE_HUMAN	NELFE	Negative elongation factor E	9088.08	7643.62	9143.63	17819.1	13704.7	13911.3	12946.4	13824.3	14264.2	22938.1	21216.7	19245.5
P18621	P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	331434	354188	242067	396625	482109	584747	345368	319433	312369	359169	402405	569970
P18669	P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	144269	173493	171016	587602	608976	628592	97983.1	89164.2	87807.2	400003	395376	641199
P18754	P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	112842	113219	118817	164661	139659	137932	150495	165515	172898	205493	211241	165604
P18827	P18827	SDC1_HUMAN	SDC1	Syndecan-1	12997.4	16437	16176.2	18792.1	32725.2	33846.8	15242.6	12530.2	13534.6	34546.8	31226.9	49256
P18847	P18847	ATF3_HUMAN	ATF3	Cyclic AMP-dependent transcription factor ATF-3				7371.7	9998.76	9227.78			1066.35		2455.5	
P18850	P18850	ATF6A_HUMAN	ATF6	Cyclic AMP-dependent transcription factor ATF-6 alpha	5146.98	5212.69	6012.57	3934.95	7968.6	10791.7	5069.19	4454.45	4567.25	4495.95	3525.26	4568.15
P18858	P18858	DNLI1_HUMAN	LIG1	DNA ligase 1	5809.81	5984.3	6301.24	6885.45	8530.23	8133.71	14027.9	14119.7	12650	11634.5	11996.9	13783.1
P18859	P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial	2183.22			100133	155689	153441		4076.65		71504.6	71205.5	116317
P18887	P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	26554.3	24351.3	23179.2	26241.1	19731.5	21438.5	39325.2	38055.6	37320.1	27963.7	27117	20863.6
P19013	P19013;CONT|P19013|K2C4_HUMAN	K2C4_HUMAN	KRT4	Keratin, type II cytoskeletal 4				32344.2	12959.7			1926.77				908.393
P19021	P19021	AMD_HUMAN	PAM	Peptidyl-glycine alpha-amidating monooxygenase	13636.5	11847	11579.1	14110.3	19893.5	18459.7	14829.8	12536.1	12948.6	16675.3	18660.9	26225.1
P19022	P19022	CADH2_HUMAN	CDH2	Cadherin-2	133849	143935	144556	141088	204172	245744	79598.3	73872.7	71257.6	159806	168204	294229
P19086	P19086	GNAZ_HUMAN	GNAZ	Guanine nucleotide-binding protein G(z) subunit alpha	5611.31	4525.65	3824.14	6146.05	6293.26		4586.26	3102.56	3240.08	8048	10109.1	7209.25
P19174	P19174	PLCG1_HUMAN	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	43966.2	41027.4	42104.2	38842.2	29991.3	30527.3	47812.5	49182.9	47337.4	48753.8	49088	41135.1
P19256	P19256	LFA3_HUMAN	CD58	Lymphocyte function-associated antigen 3	14359.4	14610	14799.4	32586.6	48255.4	48033.8	5035.14	5336.71	5303.84	18982.7	22415	25739.2
P19320	P19320	VCAM1_HUMAN	VCAM1	Vascular cell adhesion protein 1	3434.36	3925.6	2512.19	11503.1	10576.9	11896.7		1875.49		12002.2	7909.09	9296.52
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	307562	200717	174356	800975	789298	778185	454973	401544	404348	821713	849894	762504
P19367	P19367	HXK1_HUMAN	HK1	Hexokinase-1	304357	241906	222106	312571	244128	244445	184936	198329	197832	313228	312504	207282
P19387	P19387	RPB3_HUMAN	POLR2C	DNA-directed RNA polymerase II subunit RPB3	11839	13413.8	15468.5	17479.6	16250.2	16266.9	14553.8	13609.9	16303.6	19757.5	22798.2	34415
P19388	P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	44300.3	37742	31418.4	37962.9	33651.7	34826	44726.6	53062.8	57942.2	42571.3	42189.4	47816.5
P19404	P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	17958.6	22783.8	21547	151463	129481	114786	21282.9	18927.2	15182.2	92407.7	74797.1	129111
P19419	P19419	ELK1_HUMAN	ELK1	ETS domain-containing protein Elk-1		2234.76	2433.37	2490.43		3688.39	3390.61	3577.64	3344.56	2573.26	1771.34	
P19438	P19438	TNR1A_HUMAN	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A	4681.63	2577.95	3077.49				2363.71	5380	4112.89		2561.03	
P19440	B5MD39;Q14390;P19440;P36268;A6NGU5	GGT1_HUMAN	GGT1	Glutathione hydrolase 1 proenzyme	17809.1	14278.9	16738.7	15397.3	25674.6	26680			3594.19	15173.7	16388.7	20607.3
P19447	P19447	ERCC3_HUMAN	ERCC3	General transcription and DNA repair factor IIH helicase subunit XPB	11434.3	8611.29	8678.21	13152.2	12059.8	10427.7	11105.7	12760.2	12128.6	13623.1	14453.7	8739.7
P19474	P19474	RO52_HUMAN	TRIM21	E3 ubiquitin-protein ligase TRIM21	25144.7	23629.4	23725.9	41059.7	41001.1	39932.6	22559.2	25827.3	25904.6	35037.1	31326.4	43769.6
P19525	P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	34364	33728.1	34008.3	65913.1	57923.3	55032.9	35606	39221.5	35396.9	112060	104549	83312.5
P19532	P19532	TFE3_HUMAN	TFE3	Transcription factor E3	8860.8	11570.3	7994.35	17904.8	15246.3	15734.6	11605.7	9660.3	9049.97	14057.2	14695.9	15359.8
P19623	P19623	SPEE_HUMAN	SRM	Spermidine synthase	606994	439246	488724	555142	542525	508660	403077	458100	441220	301199	345662	398598
P19634	P19634	SL9A1_HUMAN	SLC9A1	Sodium/hydrogen exchanger 1	10081.2	7363.76	7937.3	7890.23	8678.77	8046.98	7530.76	7104.53	7204.01	3838.55	4760.69	6489.05
P19784	P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	60463.3	65504.2	60678.7	55646.5	40834.9	48403	59861.9	56969	51879.4	40295.9	46982	45462.4
P19823	P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	193178	176201	206578	211532	500045	494575	198044	170264	177288	56537.3	71017	151810
P19838	P19838	NFKB1_HUMAN	NFKB1	Nuclear factor NF-kappa-B p105 subunit	19508	18478	18597.1	18602.1	16782.1	19222.1	21422.4	20196.8	19199.5	17896.4	15860.9	18651.7
P19971	P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	7629.1	8578.63	8570.33	11908.1	9980.55	8959.43	4488.52	4726.09	4063.49	5016.55	6181.33	8135.51
P20020	P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1	44728.2	43661.2	43568.8	43041	44089.8	44114.3	30671.8	30620	30780	27257.9	33164.6	40678.9
P20036	P20036	DPA1_HUMAN	HLA-DPA1	HLA class II histocompatibility antigen, DP alpha 1 chain	3281.02	3348.38	4314.53	11695.3	13448.6	11313.2	1197.11	1539.7	2915.29	14892.4	24118.8	35683.4
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	83936.7	82210.4	67991.9	126301	112775	126573	84047.6	77894.3	81369.8	96679.7	94777.1	88066.5
P20062	P20062	TCO2_HUMAN	TCN2	Transcobalamin-2		1289.15						3267.89	2242.37	3152.24	3823.79	3199.58
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7	173660	167050	170730	206377	195094	197428	123464	134539	133850	159811	155600	223978
P20248	P20248	CCNA2_HUMAN	CCNA2	Cyclin-A2				593.565	628.798	1275.29				612.008		1145.3
P20264	P20264;P49335	PO3F3_HUMAN	POU3F3	POU domain, class 3, transcription factor 3	1340.71	1998.4	1981.92	4576.42			662.813			2026.47	2048.21	3002.98
P20265	P20265	PO3F2_HUMAN	POU3F2	POU domain, class 3, transcription factor 2	10930.8	10133.6	9102.21	7167.05	7335.45	6629.65	4296.27	2806.2	2829.56	11367	13786.6	15809.4
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	18008.5	17900.8	15597.1	62057.7	86557.6	87070	17242.5	13901.6	11764.2	72648.4	72807.4	100998
P20336	P20336	RAB3A_HUMAN	RAB3A	Ras-related protein Rab-3A	3089.45	2763.19	3390.91	4371.98	2521.79	2697.86		822.367	662.26	3353.68	4645.25	3607
P20337	P20337;Q96E17;O95716	RAB3B_HUMAN	RAB3B	Ras-related protein Rab-3B	24065.9	19402.4	21047.5	8339.9	7275.48	8245.71	61237.3	42546.1	52367.5	11053.1	12939.8	14179
P20338	P20338	RAB4A_HUMAN	RAB4A	Ras-related protein Rab-4A	18425.7	19242.3	19162.5	37005.4	34745.7	34249.8	12480.7	12761	11718.2	34492.1	30377	32017.4
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	136008	156734	130701	256846	195135	193813	102651	112492	92177.6	213231	193533	232564
P20340	P20340;Q9NRW1;Q9H0N0	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	92025.2	58072.2	67482.2	136878	124097	118801	43612.6	54587.2	49415.5	118259	120262	159387
P20585	P20585	MSH3_HUMAN	MSH3	DNA mismatch repair protein Msh3	8298.99	7322.03	6935.18	8568.21	8420.41	7061.35	10826.1	10431	9668.39	9964.76	9984.4	5689.79
P20591	P20591	MX1_HUMAN	MX1	Interferon-induced GTP-binding protein Mx1	15134.7	17706.9	16445	403139	345518	321530	5233.5	8110.74	4787.28	1.01e+06	855674	883954
P20592	P20592	MX2_HUMAN	MX2	Interferon-induced GTP-binding protein Mx2				8056.94	6288.16	6540.1		4030.32		21236.2	14207.3	11037.5
P20594	P20594	ANPRB_HUMAN	NPR2	Atrial natriuretic peptide receptor 2	3184.79	3897.08	2960.94	2205.44	3326.55	4221.58	2712.08	2549.8	2686.34	2692.76	2279.21	3387.65
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	60807.7	75491.7	54357.5	327955	222504	252071	55414	49312.6	53067.6	286522	272132	282309
P20645	P20645	MPRD_HUMAN	M6PR	Cation-dependent mannose-6-phosphate receptor	18783	26619.9	23307.2	14606.7	14007.2	17713.4	24010.2	24320.3	21448.6	16473.7	13536.8	18847.7
P20674	P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	56298.4	51194.5	43773.8	451718	592469	602326	54335.7	55434.6	54160.6	469296	440719	596416
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	154584	137891	139632	286912	233400	227302	241185	215976	232151	422500	410161	366669
P20742	P20742	PZP_HUMAN	PZP	Pregnancy zone protein	1820.37	2097.78	4389.45			4558.36	1295.99	1784.06	1236.7		4464.23	7044.29
P20749	P20749	BCL3_HUMAN	BCL3	B-cell lymphoma 3 protein	1208.72	1458.36	1506.76	1422.35		1233.17	1658.85	1198.49	1284.88	1094.38		
P20774	P20774	MIME_HUMAN	OGN	Mimecan	29172	5564.88	6368.54	8182.49	13233.1	12978.8	14779.9	27888.9	31116.4	3602.12		4500.97
P20809	P20809	IL11_HUMAN	IL11	Interleukin-11										3241.55	2453.55	4221.83
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin	28411.7	34057.3	40936.7	148177	142253	145038	22505	22457.3	27273.4	93332.5	154516	245440
P20839	P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	19060	15993.7	14633.3	17152.2	16185.8	18304.5	18341.5	16766.7	18151.9	13200.6	11810.4	13006.5
P20908	P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain	81682.5	73305.9	69947.8	29514.7	36234.8	36832.1	42126.4	35652.2	38481.7	23586.7	26428.6	37799.7
P20930	P20930;CONT|P20930|FILA_HUMAN	FILA_HUMAN	FLG	Filaggrin	44776.9	41527.5	38903.5	63408.5	59278.7	58505.8	9318.03	10773.2	9982.08	13402.4	17820.4	16872.5
P20933	P20933	ASPG_HUMAN	AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase				107763	268701	288733			5689.06	59086.8	74221.2	78307.7
P20936	P20936	RASA1_HUMAN	RASA1	Ras GTPase-activating protein 1	48743.3	42744	46359.2	47066.3	41660.3	41452.5	35708.6	38243.2	40489.9	25311.2	26315.3	16870.6
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin	3374.01		3265.82	542065	1.44737e+06	1.22682e+06	2662.43	3497.4	2748.99	1.53065e+06	1.58931e+06	1.36397e+06
P21127	Q9UQ88;Q13882;P21127	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B	41044.8	36043.7	36708.1	36976.1	27354.2	28392.9	51408.1	52327	51235.7	43368.9	47304.1	37312.3
P21266	P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	48941.7	60007.5	47463.9	34034.8	28117.8	32030.9	61793.3	52055.5	47967.8	44356.9	50237.7	83085.7
P21281	P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	139761	154438	156358	166565	169512	159003	129096	127081	126865	139169	133209	147620
P21283	P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	88174.1	76359.9	77433.5	90311.1	70653.4	72090.1	69702.4	71273.6	72190.5	82608.5	79083.2	65084.5
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	27622.6	25608.9	29743.1	382024	898023	884403	16880.5	16374.8	15546.1	400552	630145	853366
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	2.94564e+06	2.69491e+06	2.59352e+06	2.26919e+06	2.01802e+06	2.03312e+06	2.10661e+06	2.03948e+06	2.00454e+06	1.64633e+06	1.51589e+06	1.79072e+06
P21359	P21359	NF1_HUMAN	NF1	Neurofibromin	28412.9	27264.3	29138.8	24544.2	20291.1	21249.6	26121.9	24756.6	26322.4	24707.3	24809.5	22230.9
P21397	P21397	AOFA_HUMAN	MAOA	Amine oxidase [flavin-containing] A	19519.7	15940.2	21852.9	20864.3	14714.2	18065.7	9205.39	12179.3	9926.53	13336.5	12208	10816.8
P21399	P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	63538.2	62352.9	63107.8	29801.4	24662.3	24108.3	84728.2	84253.6	87046.1	21108.3	22152.7	25966.6
P21579	P21579	SYT1_HUMAN	SYT1	Synaptotagmin-1	8389.83	10095.7	9426.68	7691.48	12474.4	12168.7	14422.1	12570.5	13912.3	8453.87	7424.95	10945.9
P21580	P21580	TNAP3_HUMAN	TNFAIP3	Tumor necrosis factor alpha-induced protein 3	5138.92	4402.5	4797.84	11158.1	9748.84	10420.5	2724.64		1898.56	5155.15	4621.39	5409.02
P21589	P21589	5NTD_HUMAN	NT5E	5'-nucleotidase	207102	192957	206146	254830	304915	278343	549517	512799	503039	521885	507037	873610
P21675	Q8IZX4;P21675	TAF1_HUMAN	TAF1	Transcription initiation factor TFIID subunit 1	2701.73	2525.18	2491.38	2759.23			4027.36	4527.3	4612.57	4180.75	4405.42	2658.63
P21741	P21741	MK_HUMAN	MDK	Midkine										3306.67	14024.4	19023.3
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	286982	283178	263744	328716	319557	300072	246112	239104	233859	275337	237266	257855
P21810	P21810	PGS1_HUMAN	BGN	Biglycan	10009	8637.97	9903.8	7144.03		8946.16	5071.45	4313.54	4052.03			
P21912	P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	61773.1	52431.6	59175.6	120506	123388	132275	64469.9	60364.2	64138.4	125641	122615	167678
P21926	P21926	CD9_HUMAN	CD9	CD9 antigen	40902	26911.8	22747.9	43146	70700.4	64575.2	30881.1	33915.9	34312	19217.4	18611.4	24330
P21953	P21953	ODBB_HUMAN	BCKDHB	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial											5620.58	10395.7
P21964	P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	132310	60997.8	56307.4	96665.9	68801.8	72350.2	74527.6	84207.1	91158.2	92630.7	109443	130320
P21980	P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	594747	531100	607320	299850	319531	314568	159341	165891	185636	46671.9	52261.4	51845.7
