Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	f_10ug_polyIC_1 Spectral Count	f_10ug_polyIC_2 Spectral Count	f_10ug_polyIC_3 Spectral Count	f_1ug_polyIC_1 Spectral Count	f_1ug_polyIC_2 Spectral Count	f_1ug_polyIC_3 Spectral Count	f_control_1 Spectral Count	f_control_2 Spectral Count	f_control_3 Spectral Count	f_lipo_1 Spectral Count	f_lipo_2 Spectral Count	f_lipo_3 Spectral Count	m_10ug_polyIC_1 Spectral Count	m_10ug_polyIC_2 Spectral Count	m_10ug_polyIC_3 Spectral Count	m_1ug_polyIC_1 Spectral Count	m_1ug_polyIC_2 Spectral Count	m_1ug_polyIC_3 Spectral Count	m_control_1 Spectral Count	m_control_2 Spectral Count	m_control_3 Spectral Count	m_lipo_1 Spectral Count	m_lipo_2 Spectral Count	m_lipo_3 Spectral Count	f_10ug_polyIC_1 Unique Spectral Count	f_10ug_polyIC_2 Unique Spectral Count	f_10ug_polyIC_3 Unique Spectral Count	f_1ug_polyIC_1 Unique Spectral Count	f_1ug_polyIC_2 Unique Spectral Count	f_1ug_polyIC_3 Unique Spectral Count	f_control_1 Unique Spectral Count	f_control_2 Unique Spectral Count	f_control_3 Unique Spectral Count	f_lipo_1 Unique Spectral Count	f_lipo_2 Unique Spectral Count	f_lipo_3 Unique Spectral Count	m_10ug_polyIC_1 Unique Spectral Count	m_10ug_polyIC_2 Unique Spectral Count	m_10ug_polyIC_3 Unique Spectral Count	m_1ug_polyIC_1 Unique Spectral Count	m_1ug_polyIC_2 Unique Spectral Count	m_1ug_polyIC_3 Unique Spectral Count	m_control_1 Unique Spectral Count	m_control_2 Unique Spectral Count	m_control_3 Unique Spectral Count	m_lipo_1 Unique Spectral Count	m_lipo_2 Unique Spectral Count	m_lipo_3 Unique Spectral Count	f_10ug_polyIC_1 Total Spectral Count	f_10ug_polyIC_2 Total Spectral Count	f_10ug_polyIC_3 Total Spectral Count	f_1ug_polyIC_1 Total Spectral Count	f_1ug_polyIC_2 Total Spectral Count	f_1ug_polyIC_3 Total Spectral Count	f_control_1 Total Spectral Count	f_control_2 Total Spectral Count	f_control_3 Total Spectral Count	f_lipo_1 Total Spectral Count	f_lipo_2 Total Spectral Count	f_lipo_3 Total Spectral Count	m_10ug_polyIC_1 Total Spectral Count	m_10ug_polyIC_2 Total Spectral Count	m_10ug_polyIC_3 Total Spectral Count	m_1ug_polyIC_1 Total Spectral Count	m_1ug_polyIC_2 Total Spectral Count	m_1ug_polyIC_3 Total Spectral Count	m_control_1 Total Spectral Count	m_control_2 Total Spectral Count	m_control_3 Total Spectral Count	m_lipo_1 Total Spectral Count	m_lipo_2 Total Spectral Count	m_lipo_3 Total Spectral Count	f_10ug_polyIC_1 Intensity	f_10ug_polyIC_2 Intensity	f_10ug_polyIC_3 Intensity	f_1ug_polyIC_1 Intensity	f_1ug_polyIC_2 Intensity	f_1ug_polyIC_3 Intensity	f_control_1 Intensity	f_control_2 Intensity	f_control_3 Intensity	f_lipo_1 Intensity	f_lipo_2 Intensity	f_lipo_3 Intensity	m_10ug_polyIC_1 Intensity	m_10ug_polyIC_2 Intensity	m_10ug_polyIC_3 Intensity	m_1ug_polyIC_1 Intensity	m_1ug_polyIC_2 Intensity	m_1ug_polyIC_3 Intensity	m_control_1 Intensity	m_control_2 Intensity	m_control_3 Intensity	m_lipo_1 Intensity	m_lipo_2 Intensity	m_lipo_3 Intensity	f_10ug_polyIC_1 MaxLFQ Intensity	f_10ug_polyIC_2 MaxLFQ Intensity	f_10ug_polyIC_3 MaxLFQ Intensity	f_1ug_polyIC_1 MaxLFQ Intensity	f_1ug_polyIC_2 MaxLFQ Intensity	f_1ug_polyIC_3 MaxLFQ Intensity	f_control_1 MaxLFQ Intensity	f_control_2 MaxLFQ Intensity	f_control_3 MaxLFQ Intensity	f_lipo_1 MaxLFQ Intensity	f_lipo_2 MaxLFQ Intensity	f_lipo_3 MaxLFQ Intensity	m_10ug_polyIC_1 MaxLFQ Intensity	m_10ug_polyIC_2 MaxLFQ Intensity	m_10ug_polyIC_3 MaxLFQ Intensity	m_1ug_polyIC_1 MaxLFQ Intensity	m_1ug_polyIC_2 MaxLFQ Intensity	m_1ug_polyIC_3 MaxLFQ Intensity	m_control_1 MaxLFQ Intensity	m_control_2 MaxLFQ Intensity	m_control_3 MaxLFQ Intensity	m_lipo_1 MaxLFQ Intensity	m_lipo_2 MaxLFQ Intensity	m_lipo_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P48060|GLIP1_HUMAN	P48060	GLIP1_HUMAN	GLIPR1	266	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glioma pathogenesis-related protein 1	1	0.999	3	26	26	26	1	2	3	1	0	2	0	2	1	1	1	0	1	2	1	0	1	2	1	1	0	1	1	1	1	2	3	1	0	2	0	2	1	1	1	0	1	2	1	0	1	2	1	1	0	1	1	1	1	2	3	1	0	2	0	2	1	1	1	0	1	2	1	0	1	2	1	1	0	1	1	1	1.59E+07	1.40E+07	2.90E+07	1.69E+07	0	9875517	1.08E+07	9798578	1.34E+07	1.36E+07	9144046	0	0	0	7646859.5	0	4728579.5	2850917.5	0	0	0	2291300.8	4431298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P48147|PPCE_HUMAN	P48147	PPCE_HUMAN	PREP	710	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prolyl endopeptidase	1	0.999	28	306	306	306	9	16	10	16	9	14	14	13	8	13	10	10	11	12	7	14	17	18	10	12	15	17	17	14	9	16	10	16	9	14	14	13	8	13	10	10	11	12	7	14	17	18	10	12	15	17	17	14	9	16	10	16	9	14	14	13	8	13	10	10	11	12	7	14	17	18	10	12	15	17	17	14	2.98E+08	6.00E+07	7.96E+07	3.17E+08	1.24E+10	3.40E+08	2.12E+10	2.73E+10	1.88E+08	1.68E+10	1.07E+08	9.65E+07	2.90E+10	1.87E+08	1.44E+08	2.86E+10	3.20E+08	3.13E+10	3.15E+08	3.62E+10	3.26E+10	3.64E+08	3.60E+08	3.12E+10	8.16E+08	7.37E+08	6.65E+08	8.52E+08	8.43E+08	1.17E+09	8.05E+08	7.33E+08	7.10E+08	7.82E+08	8.25E+08	7.59E+08	8.68E+08	7.91E+08	6.66E+08	1.24E+09	8.67E+08	9.30E+08	7.20E+08	1.09E+09	7.49E+08	1.03E+09	9.81E+08	8.43E+08	
sp|P48163|MAOX_HUMAN	P48163	MAOX_HUMAN	ME1	572	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADP-dependent malic enzyme	1	0.999	9	115	115	115	1	4	3	4	5	5	4	4	5	3	2	2	7	4	4	6	7	6	9	5	8	5	5	7	1	4	3	4	5	5	4	4	5	3	2	2	7	4	4	6	7	6	9	5	8	5	5	7	1	4	3	4	5	5	4	4	5	3	2	2	7	4	4	6	7	6	9	5	8	5	5	7	1.12E+07	2.75E+07	3.20E+07	8.15E+07	3.87E+07	4.88E+07	6.43E+07	5.81E+07	8.57E+07	7.41E+07	4.48E+07	2.59E+07	1.73E+08	7.05E+07	5.85E+07	1.91E+08	1.62E+08	1.36E+08	1.69E+08	1.29E+08	1.39E+08	1.18E+08	1.61E+08	1.29E+08	0	1.53E+07	1.33E+07	2.39E+07	2.56E+07	2.00E+07	1.91E+07	2.29E+07	2.54E+07	2.24E+07	2.52E+07	1.82E+07	4.24E+07	5.02E+07	2.18E+07	4.84E+07	4.76E+07	4.05E+07	3.99E+07	3.92E+07	4.21E+07	4.37E+07	4.69E+07	4.31E+07	
sp|P48382|RFX5_HUMAN	P48382	RFX5_HUMAN	RFX5	616	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-binding protein RFX5	0.9988	0.999	4	4	4	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1.46E+07	0	0	0	0	0	0	0	0	0	0	0	0	3321155.5	0	5184536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P48426|PI42A_HUMAN	P48426	PI42A_HUMAN	PIP4K2A	406	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	1	0.999	13	120	57	120	8	6	7	9	6	8	4	5	3	4	3	3	3	4	7	4	5	3	5	6	4	5	3	5	5	2	2	7	3	4	2	3	2	2	1	1	1	2	2	2	3	1	3	3	3	2	0	1	8	6	7	9	6	8	4	5	3	4	3	3	3	4	7	4	5	3	5	6	4	5	3	5	9.57E+07	5.51E+07	8.07E+07	7.94E+07	7.62E+07	7.15E+07	6.81E+07	8.72E+07	4.08E+07	6.05E+07	2.40E+07	3.87E+07	3.68E+07	7.63E+07	7.74E+07	5.16E+07	3.02E+07	1.39E+07	3.47E+07	5.61E+07	5.32E+07	4.65E+07	4.04E+07	6.18E+07	3.73E+07	3.43E+07	3.59E+07	3.85E+07	3.31E+07	2.90E+07	3.50E+07	3.01E+07	0	2.66E+07	2.77E+07	0	2.18E+07	3.05E+07	2.51E+07	2.20E+07	3.35E+07	0	1.91E+07	2.14E+07	2.04E+07	1.67E+07	1.70E+07	2.24E+07	
sp|P48431|SOX2_HUMAN	P48431	SOX2_HUMAN	SOX2	317	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor SOX-2	1	0.999	5	43	41	43	1	0	1	1	0	2	2	1	1	2	2	2	4	1	1	2	2	2	4	3	4	2	2	1	1	0	1	1	0	2	2	1	1	2	2	2	3	1	1	2	2	2	3	3	4	2	2	1	1	0	1	1	0	2	2	1	1	2	2	2	4	1	1	2	2	2	4	3	4	2	2	1	1.17E+07	1.11E+07	2935067	1.35E+07	0	1.03E+07	1.49E+07	2.16E+07	1.38E+07	9803886	1.10E+07	2.24E+07	1.55E+07	8320613	7902861.5	2.65E+07	1.62E+07	1.37E+07	4.26E+07	3.11E+07	2.47E+07	1.09E+07	9129722	7824134	4959162.5	0	0	0	0	0	0	1.19E+07	0	0	0	1.34E+07	1.16E+07	0	0	1.46E+07	1.12E+07	1.12E+07	1.98E+07	1.54E+07	1.26E+07	8622963	0	0	
sp|P48436|SOX9_HUMAN	P48436	SOX9_HUMAN	SOX9	509	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor SOX-9	1	0.999	2	25	25	25	0	2	1	1	0	2	1	1	2	0	1	0	2	1	1	0	2	1	1	1	1	1	2	1	0	2	1	1	0	2	1	1	2	0	1	0	2	1	1	0	2	1	1	1	1	1	2	1	0	2	1	1	0	2	1	1	2	0	1	0	2	1	1	0	2	1	1	1	1	1	2	1	0	224418.64	311942.03	444190.16	0	126253.51	8162338	0	0	0	162541.42	0	7612542.5	588620.1	392883.12	0	5330475.5	601052.2	0	419285.6	311118.25	350970.38	327663.1	474543.6	0	0	0	0	0	0	0	0	0	0	0	0	7335473.5	0	0	0	5264316	0	0	0	0	0	0	0	
sp|P48444|COPD_HUMAN	P48444	COPD_HUMAN	ARCN1	511	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coatomer subunit delta	1	0.999	30	621	621	621	23	30	28	33	30	27	24	25	28	19	22	31	23	28	25	28	22	24	22	26	27	24	23	29	23	30	28	33	30	27	24	25	28	19	22	31	23	28	25	28	22	24	22	26	27	24	23	29	23	30	28	33	30	27	24	25	28	19	22	31	23	28	25	28	22	24	22	26	27	24	23	29	2.13E+09	1.79E+09	1.78E+09	2.25E+09	2.02E+09	1.89E+09	2.02E+09	1.98E+09	2.05E+09	1.82E+09	2.06E+09	1.88E+09	1.63E+09	1.53E+09	1.76E+09	1.45E+09	1.61E+09	1.64E+09	1.30E+09	1.42E+09	1.54E+09	1.45E+09	1.52E+09	1.84E+09	3.16E+08	3.19E+08	3.28E+08	3.51E+08	3.26E+08	3.12E+08	3.24E+08	3.19E+08	3.20E+08	3.10E+08	3.15E+08	3.01E+08	2.94E+08	2.81E+08	2.97E+08	3.02E+08	2.77E+08	2.97E+08	2.57E+08	2.68E+08	2.88E+08	2.86E+08	2.92E+08	2.94E+08	
sp|P48449|LSS_HUMAN	P48449	LSS_HUMAN	LSS	732	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lanosterol synthase	1	0.999	21	294	294	294	8	11	13	13	12	12	10	12	16	16	13	11	11	11	16	11	13	17	11	11	14	9	13	10	8	11	13	13	12	12	10	12	16	16	13	11	11	11	16	11	13	17	11	11	14	9	13	10	8	11	13	13	12	12	10	12	16	16	13	11	11	11	16	11	13	17	11	11	14	9	13	10	3.63E+08	4.18E+08	4.43E+08	4.23E+08	3.67E+08	4.04E+08	2.38E+08	4.26E+08	4.23E+08	3.53E+08	3.31E+08	3.82E+08	3.15E+08	2.31E+08	4.30E+08	2.26E+08	4.04E+08	4.02E+08	2.98E+08	3.32E+08	3.89E+08	2.96E+08	2.79E+08	3.42E+08	8.46E+07	9.39E+07	9.21E+07	9.02E+07	8.26E+07	8.22E+07	9.48E+07	8.34E+07	9.17E+07	8.41E+07	8.48E+07	7.83E+07	7.99E+07	6.87E+07	8.19E+07	6.62E+07	7.79E+07	8.22E+07	7.62E+07	7.76E+07	7.85E+07	6.75E+07	7.09E+07	7.96E+07	
sp|P48506|GSH1_HUMAN	P48506	GSH1_HUMAN	GCLC	637	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamate--cysteine ligase catalytic subunit	1	0.999	16	247	247	247	10	10	9	12	10	12	14	11	15	10	11	8	10	12	8	11	9	13	9	11	10	8	5	9	10	10	9	12	10	12	14	11	15	10	11	8	10	12	8	11	9	13	9	11	10	8	5	9	10	10	9	12	10	12	14	11	15	10	11	8	10	12	8	11	9	13	9	11	10	8	5	9	2.46E+08	2.90E+08	2.39E+08	3.30E+08	1.79E+08	3.25E+08	3.78E+08	3.21E+08	3.51E+08	3.13E+08	2.53E+08	2.77E+08	2.87E+08	2.92E+08	2.13E+08	2.49E+08	2.46E+08	2.86E+08	2.77E+08	2.83E+08	2.41E+08	1.83E+08	7.03E+07	1.72E+08	7.33E+07	7.27E+07	7.59E+07	7.47E+07	8.55E+07	6.31E+07	7.85E+07	6.40E+07	8.00E+07	6.93E+07	6.27E+07	7.57E+07	5.38E+07	5.72E+07	6.47E+07	6.10E+07	6.07E+07	5.47E+07	5.76E+07	5.84E+07	5.22E+07	4.77E+07	4.32E+07	5.13E+07	
sp|P48507|GSH0_HUMAN	P48507	GSH0_HUMAN	GCLM	274	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamate--cysteine ligase regulatory subunit	1	0.999	5	70	70	70	1	1	2	4	2	4	4	2	2	4	2	2	2	3	4	3	5	3	3	3	4	3	4	3	1	1	2	4	2	4	4	2	2	4	2	2	2	3	4	3	5	3	3	3	4	3	4	3	1	1	2	4	2	4	4	2	2	4	2	2	2	3	4	3	5	3	3	3	4	3	4	3	1.78E+07	1.66E+07	3.62E+07	3.59E+07	3.11E+07	5.35E+07	3.84E+07	3.77E+07	4.07E+07	2.00E+07	2.21E+07	3.52E+07	1.14E+08	8.36E+07	6.07E+07	9.32E+07	9.62E+07	8.25E+07	1.16E+08	1.18E+08	9.72E+07	1.07E+08	1.28E+08	7.85E+07	0	0	2.38E+07	2.03E+07	1.70E+07	2.11E+07	2.24E+07	2.14E+07	2.37E+07	0	0	2.06E+07	3.73E+07	3.49E+07	2.34E+07	3.96E+07	3.14E+07	3.43E+07	3.59E+07	3.13E+07	3.24E+07	3.11E+07	3.88E+07	3.27E+07	
sp|P48509|CD151_HUMAN	P48509	CD151_HUMAN	CD151	253	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD151 antigen	1	0.999	6	60	60	60	3	2	3	2	0	3	4	3	2	3	2	1	4	1	1	3	3	2	1	4	4	3	3	3	3	2	3	2	0	3	4	3	2	3	2	1	4	1	1	3	3	2	1	4	4	3	3	3	3	2	3	2	0	3	4	3	2	3	2	1	4	1	1	3	3	2	1	4	4	3	3	3	1.79E+07	8387133	1.92E+07	1.52E+07	0	1.80E+08	2.04E+07	1.56E+08	1.80E+07	1.05E+08	1.90E+07	1.43E+07	1.08E+08	1.22E+07	0	9.33E+07	2.13E+07	0	3.75E+07	6.45E+07	1.87E+08	3.32E+07	2.93E+07	3.82E+07	3.13E+07	0	3.54E+07	0	0	6.34E+07	3.03E+07	4.75E+07	0	3.61E+07	0	0	4.69E+07	0	0	9.30E+07	0	0	5.49E+07	2.88E+07	6.91E+07	0	0	7.27E+07	
sp|P48556|PSMD8_HUMAN	P48556	PSMD8_HUMAN	PSMD8	350	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 8	1	0.999	15	226	226	226	7	9	13	10	11	10	7	10	12	11	10	10	10	8	7	6	7	9	8	9	11	13	6	12	7	9	13	10	11	10	7	10	12	11	10	10	10	8	7	6	7	9	8	9	11	13	6	12	7	9	13	10	11	10	7	10	12	11	10	10	10	8	7	6	7	9	8	9	11	13	6	12	6.89E+08	6.52E+08	5.12E+08	8.44E+08	7.92E+08	6.75E+08	6.98E+08	8.56E+08	9.21E+08	8.34E+08	7.10E+08	5.74E+08	7.79E+08	8.49E+08	5.11E+08	5.79E+08	7.84E+08	9.51E+08	3.98E+08	9.23E+08	7.17E+08	1.03E+09	7.58E+08	7.89E+08	1.49E+08	1.46E+08	1.23E+08	1.69E+08	1.73E+08	1.70E+08	1.71E+08	1.63E+08	1.67E+08	1.65E+08	1.65E+08	1.47E+08	1.63E+08	1.69E+08	1.32E+08	1.67E+08	1.73E+08	1.83E+08	1.29E+08	1.42E+08	1.63E+08	1.79E+08	1.87E+08	1.67E+08	
sp|P48594|SPB4_HUMAN	P48594	SPB4_HUMAN	SERPINB4	390	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serpin B4	1	0.999	18	23	23	68	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	10	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	10	0	4	1	1	2	5	1	0	0	0	2	3	0	1	0	0	0	5	1	0	0	0	21	21	0	1.13E+07	0	0	1.54E+07	1.58E+07	0	0	0	0	0	0	0	0	0	0	0	1.12E+08	0	0	0	0	6.66E+08	4.14E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50E+07	0	0	0	0	2.52E+08	2.83E+08	0	
sp|P48634|PRC2A_HUMAN	P48634	PRC2A_HUMAN	PRRC2A	2157	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PRRC2A	1	0.999	46	391	391	415	17	16	21	14	12	14	16	19	16	20	13	16	17	20	21	12	15	13	19	13	15	20	17	15	17	16	21	14	12	14	16	19	16	20	13	16	17	20	21	12	15	13	19	13	15	20	17	15	19	16	23	14	12	14	18	20	16	21	14	20	18	20	21	13	16	14	21	14	16	20	18	17	2.56E+08	1.47E+08	1.29E+08	1.73E+08	1.68E+08	9.06E+07	1.97E+08	1.90E+08	1.26E+08	1.66E+08	1.89E+08	2.03E+08	1.89E+08	2.47E+08	1.76E+08	1.28E+08	1.65E+08	2.09E+08	1.97E+08	1.21E+08	1.69E+08	2.30E+08	8.88E+07	1.16E+08	3.69E+07	2.85E+07	3.21E+07	3.35E+07	3.89E+07	2.54E+07	3.47E+07	3.11E+07	3.39E+07	3.13E+07	3.43E+07	3.63E+07	3.07E+07	3.89E+07	3.34E+07	2.92E+07	3.46E+07	2.83E+07	3.25E+07	2.80E+07	3.09E+07	2.63E+07	2.80E+07	2.32E+07	
sp|P48637|GSHB_HUMAN	P48637	GSHB_HUMAN	GSS	474	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione synthetase	1	0.999	24	374	374	374	12	19	19	21	17	14	13	17	22	17	14	18	10	14	13	15	19	17	13	14	12	15	15	14	12	19	19	21	17	14	13	17	22	17	14	18	10	14	13	15	19	17	13	14	12	15	15	14	12	19	19	21	17	14	13	17	22	17	14	18	10	14	13	15	19	17	13	14	12	15	15	14	4.93E+08	7.56E+08	7.02E+08	1.04E+09	6.91E+08	7.27E+08	5.71E+08	6.24E+08	7.91E+08	7.32E+08	7.88E+08	8.24E+08	2.76E+08	4.28E+08	5.48E+08	4.01E+08	2.56E+08	5.15E+08	3.63E+08	3.63E+08	4.58E+08	4.08E+08	3.06E+08	3.72E+08	1.39E+08	1.54E+08	1.58E+08	1.84E+08	1.63E+08	1.70E+08	1.76E+08	1.78E+08	1.72E+08	1.69E+08	1.76E+08	1.86E+08	1.08E+08	1.16E+08	1.01E+08	1.10E+08	1.06E+08	1.01E+08	9.22E+07	1.01E+08	9.59E+07	1.04E+08	9.55E+07	9.93E+07	
sp|P48643|TCPE_HUMAN	P48643	TCPE_HUMAN	CCT5	541	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit epsilon	1	0.999	42	755	748	755	30	32	27	33	36	36	27	30	31	31	33	28	29	32	27	28	33	35	29	31	34	39	37	27	30	31	26	33	36	35	27	30	31	31	32	28	29	32	27	28	32	34	29	31	33	39	37	27	30	32	27	33	36	36	27	30	31	31	33	28	29	32	27	28	33	35	29	31	34	39	37	27	2.61E+09	2.57E+09	1.96E+09	2.71E+09	2.44E+09	2.71E+09	3.19E+09	3.52E+09	3.10E+09	3.04E+09	2.45E+09	2.50E+09	3.17E+09	2.96E+09	2.18E+09	2.31E+09	3.42E+09	3.58E+09	3.37E+09	3.22E+09	3.46E+09	3.17E+09	2.53E+09	3.08E+09	4.13E+08	4.11E+08	3.97E+08	4.46E+08	4.72E+08	4.76E+08	4.26E+08	4.40E+08	4.37E+08	4.06E+08	3.98E+08	4.01E+08	4.32E+08	4.06E+08	3.48E+08	4.28E+08	4.48E+08	4.42E+08	4.04E+08	3.83E+08	4.38E+08	4.20E+08	4.13E+08	4.25E+08	
sp|P48651|PTSS1_HUMAN	P48651	PTSS1_HUMAN	PTDSS1	473	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylserine synthase 1	1	0.999	4	18	18	18	1	2	2	0	2	1	1	0	0	1	1	2	1	0	0	2	0	0	1	0	1	0	0	0	1	2	2	0	2	1	1	0	0	1	1	2	1	0	0	2	0	0	1	0	1	0	0	0	1	2	2	0	2	1	1	0	0	1	1	2	1	0	0	2	0	0	1	0	1	0	0	0	0	7328037	4531470.5	0	1.10E+07	7437694	2975555	0	0	0	5198627.5	4564040.5	0	0	0	3733945.8	0	0	1.53E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P48681|NEST_HUMAN	P48681	NEST_HUMAN	NES	1621	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nestin	1	0.999	111	2239	2239	2239	85	76	77	88	79	83	77	91	81	92	89	84	103	104	102	99	88	105	88	105	106	112	109	116	85	76	77	88	79	83	77	91	81	92	89	84	103	104	102	99	88	105	88	105	106	112	109	116	85	76	77	88	79	83	77	91	81	92	89	84	103	104	102	99	88	105	88	105	106	112	109	116	8.45E+09	8.58E+09	7.20E+09	8.64E+09	7.82E+09	8.79E+09	8.64E+09	9.41E+09	1.06E+10	1.15E+10	1.16E+10	1.05E+10	1.80E+10	1.62E+10	1.44E+10	1.50E+10	1.50E+10	1.75E+10	2.00E+10	1.91E+10	2.05E+10	1.84E+10	1.90E+10	1.79E+10	3.84E+08	4.61E+08	4.01E+08	4.66E+08	4.44E+08	4.33E+08	4.42E+08	4.80E+08	5.38E+08	5.52E+08	5.59E+08	5.30E+08	8.62E+08	8.38E+08	7.35E+08	8.50E+08	8.01E+08	8.44E+08	9.26E+08	9.36E+08	9.38E+08	9.59E+08	1.01E+09	8.89E+08	
sp|P48723|HSP13_HUMAN	P48723	HSP13_HUMAN	HSPA13	471	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock 70 kDa protein 13	1	0.999	9	104	104	104	3	4	4	3	3	5	3	4	3	4	3	4	3	6	4	5	6	5	5	5	5	6	7	4	3	4	4	3	3	5	3	4	3	4	3	4	3	6	4	5	6	5	5	5	5	6	7	4	3	4	4	3	3	5	3	4	3	4	3	4	3	6	4	5	6	5	5	5	5	6	7	4	2.86E+07	2.31E+07	2.13E+07	5.72E+07	5.48E+07	8.15E+07	2.70E+07	4.75E+07	5.96E+07	8.96E+07	9.25E+07	8.43E+07	4.99E+07	1.15E+08	3.85E+07	5.19E+07	7.98E+07	9.73E+07	1.21E+08	8.13E+07	1.28E+08	9.42E+07	1.25E+08	7.73E+07	2.44E+07	1.83E+07	0	2.62E+07	2.50E+07	3.15E+07	0	2.95E+07	2.86E+07	2.88E+07	3.21E+07	3.08E+07	3.48E+07	3.63E+07	2.83E+07	2.76E+07	3.19E+07	3.70E+07	4.19E+07	3.21E+07	4.29E+07	3.74E+07	4.11E+07	4.04E+07	
sp|P48729|KC1A_HUMAN	P48729	KC1A_HUMAN	CSNK1A1	337	Homo sapiens OX=9606	1:Experimental evidence at protein level	Casein kinase I isoform alpha	1	0.999	10	121	80	121	8	4	4	6	4	8	6	5	2	3	2	5	7	3	6	7	6	6	6	4	5	4	5	5	4	3	3	3	3	4	4	3	2	2	2	4	4	2	2	6	5	4	4	2	4	3	4	3	8	4	4	6	4	8	6	5	2	3	2	5	7	3	6	7	6	6	6	4	5	4	5	5	8.18E+07	9.31E+07	8.16E+07	5.17E+07	5.30E+07	8.06E+07	6.24E+07	5.64E+07	4.65E+07	2.84E+07	3.11E+07	4.31E+07	5.95E+07	4.40E+07	5.55E+07	6.50E+07	5.60E+07	4.98E+07	7.87E+07	3.70E+07	7.49E+07	5.80E+07	1.80E+07	5.51E+07	4.05E+07	4.28E+07	4.56E+07	2.91E+07	3.15E+07	3.64E+07	3.12E+07	2.89E+07	3.43E+07	0	0	2.92E+07	2.82E+07	2.67E+07	3.20E+07	2.89E+07	3.14E+07	3.02E+07	3.96E+07	3.53E+07	3.04E+07	2.74E+07	2.16E+07	3.20E+07	
sp|P48730|KC1D_HUMAN	P48730	KC1D_HUMAN	CSNK1D	415	Homo sapiens OX=9606	1:Experimental evidence at protein level	Casein kinase I isoform delta	0.9999	0.999	5	2	2	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	1	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
