Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	female_1 Spectral Count	female_2 Spectral Count	female_3 Spectral Count	male_1 Spectral Count	male_2 Spectral Count	male_3 Spectral Count	female_1 Unique Spectral Count	female_2 Unique Spectral Count	female_3 Unique Spectral Count	male_1 Unique Spectral Count	male_2 Unique Spectral Count	male_3 Unique Spectral Count	female_1 Total Spectral Count	female_2 Total Spectral Count	female_3 Total Spectral Count	male_1 Total Spectral Count	male_2 Total Spectral Count	male_3 Total Spectral Count	female_1 Intensity	female_2 Intensity	female_3 Intensity	male_1 Intensity	male_2 Intensity	male_3 Intensity	female_1 MaxLFQ Intensity	female_2 MaxLFQ Intensity	female_3 MaxLFQ Intensity	male_1 MaxLFQ Intensity	male_2 MaxLFQ Intensity	male_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 1B	1.0	0.999	17	96	96	96	15	16	17	15	17	16	15	16	17	15	17	16	15	16	17	15	17	16	8.5556038E8	7.6698957E8	7.6826694E8	7.203001E8	8.9794374E8	8.0621837E8	2.8418784E8	2.48548768E8	2.51683136E8	2.75747744E8	2.81969056E8	2.84342336E8	
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 2	1.0	0.999	17	87	87	87	17	13	15	11	13	18	17	13	15	11	13	18	17	13	15	11	13	18	1.21408448E9	1.06013088E9	1.06462195E9	1.03065754E9	1.19621018E9	1.17525158E9	1.92267088E8	1.93588608E8	1.91233616E8	1.82564224E8	2.07540272E8	1.99916464E8	
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 3	1.0	0.999	10	68	68	68	11	10	10	11	15	11	11	10	10	11	15	11	11	10	10	11	15	11	1.70082816E9	1.84397222E9	1.89511974E9	1.69195994E9	1.79152973E9	1.66054182E9	4.99276256E8	5.33190304E8	5.27438848E8	5.05606208E8	5.0578736E8	5.23619392E8	
sp|O15155|BET1_HUMAN	O15155	BET1_HUMAN	BET1	118	Homo sapiens OX=9606	1:Experimental evidence at protein level	BET1 homolog	0.9752	0.999	1	7	7	7	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	4.7464476E7	4.7896876E7	4.6790984E7	4.4901044E7	3.9974052E7	4.6139544E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerases I and III subunit RPAC1	1.0	0.999	4	10	10	10	3	1	2	2	1	1	3	1	2	2	1	1	3	1	2	2	1	1	2.583353E7	2.8688512E7	4.2197296E7	2.4425024E7	2.0714228E7	2.6615666E7	1.8302952E7	1.8737446E7	1.9571936E7	1.9966576E7	0.0	2.1320946E7	
sp|O15162|PLS1_HUMAN	O15162	PLS1_HUMAN	PLSCR1	318	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phospholipid scramblase 1	0.8138	0.9911	1	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	1.0679718E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 2	1.0	0.999	12	73	72	73	12	11	14	14	13	9	12	11	13	14	13	9	12	11	14	14	13	9	2.88746368E9	2.78667622E9	3.05893197E9	3.09049139E9	3.03106918E9	2.81764224E9	1.02291443E9	9.7172781E8	1.10735411E9	1.12491213E9	1.11333709E9	9.7704352E8	
sp|O15194|CTDSL_HUMAN	O15194	CTDSL_HUMAN	CTDSPL	276	Homo sapiens OX=9606	1:Experimental evidence at protein level	CTD small phosphatase-like protein	0.9079	0.996	2	1	1	3	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prefoldin subunit 6	1.0	0.999	6	30	30	30	3	2	6	5	8	6	3	2	6	5	8	6	3	2	6	5	8	6	7.424848E7	7.6541096E7	1.54920016E8	1.609008E8	1.6556936E8	1.0965836E8	3.6720312E7	3.9868248E7	4.9310712E7	5.9270812E7	5.1660768E7	4.0085728E7	
sp|O15213|WDR46_HUMAN	O15213	WDR46_HUMAN	WDR46	610	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 46	1.0	0.999	2	6	6	6	1	0	0	2	1	2	1	0	0	2	1	2	1	0	0	2	1	2	0.0	0.0	1.0995693E7	0.0	1.5871748E7	1.900253E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15226|NKRF_HUMAN	O15226	NKRF_HUMAN	NKRF	690	Homo sapiens OX=9606	1:Experimental evidence at protein level	NF-kappa-B-repressing factor	1.0	0.999	2	9	9	9	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	1.037766E7	2.9108044E7	9077339.0	7361153.0	1.7002056E7	1.2177472E7	0.0	1.7065566E7	0.0	0.0	1.0400039E7	0.0	
sp|O15228|GNPAT_HUMAN	O15228	GNPAT_HUMAN	GNPAT	680	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dihydroxyacetone phosphate acyltransferase	0.9999	0.999	2	4	4	4	2	0	1	0	0	1	2	0	1	0	0	1	2	0	1	0	0	1	0.0	0.0	1.2513958E7	1.2985322E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15230|LAMA5_HUMAN	O15230	LAMA5_HUMAN	LAMA5	3695	Homo sapiens OX=9606	1:Experimental evidence at protein level	Laminin subunit alpha-5	1.0	0.999	39	107	105	107	32	26	27	7	5	10	31	26	26	7	5	10	32	26	27	7	5	10	6.1205722E8	3.65359008E8	3.44836192E8	3.1311624E7	4.1380056E7	3.7303056E7	5.7219568E7	4.5479184E7	5.204428E7	1.7317436E7	2.1859126E7	1.7995142E7	
sp|O15231|ZN185_HUMAN	O15231	ZN185_HUMAN	ZNF185	689	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 185	1.0	0.999	23	98	98	98	13	16	12	19	18	20	13	16	12	19	18	20	13	16	12	19	18	20	1.83538944E8	2.7244848E8	2.675812E8	4.90789088E8	4.25220096E8	4.2128976E8	4.0222676E7	4.1455864E7	4.4391296E7	6.2733744E7	6.2791556E7	5.1881892E7	
sp|O15235|RT12_HUMAN	O15235	RT12_HUMAN	MRPS12	138	Homo sapiens OX=9606	1:Experimental evidence at protein level	28S ribosomal protein S12, mitochondrial	1.0	0.999	2	11	11	11	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	6.3669564E7	5.34386E7	2.877769E7	4.8251156E7	6.56604E7	6.2329352E7	3.4092788E7	2.871703E7	0.0	2.5946054E7	3.5054988E7	3.3451328E7	
sp|O15239|NDUA1_HUMAN	O15239	NDUA1_HUMAN	NDUFA1	70	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	0.9732	0.9989	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	1.1865679E7	5430101.5	0.0	1.314531E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15243|OBRG_HUMAN	O15243	OBRG_HUMAN	LEPROT	131	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leptin receptor gene-related protein	0.9752	0.999	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15254|ACOX3_HUMAN	O15254	ACOX3_HUMAN	ACOX3	700	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxisomal acyl-coenzyme A oxidase 3	1.0	0.999	23	95	95	95	23	16	18	16	11	11	23	16	18	16	11	11	23	16	18	16	11	11	6.4685677E8	3.73527904E8	4.15215552E8	1.93843664E8	2.5051152E8	3.25596992E8	9.5142608E7	6.845848E7	6.9389856E7	3.6259292E7	4.5269272E7	6.0378612E7	
sp|O15258|RER1_HUMAN	O15258	RER1_HUMAN	RER1	196	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein RER1	1.0	0.999	4	35	35	35	6	5	5	6	7	6	6	5	5	6	7	6	6	5	5	6	7	6	3.87216544E8	3.50546528E8	3.43584E8	3.88838464E8	4.40932896E8	4.47186272E8	1.81008432E8	1.62093408E8	1.5476872E8	1.776432E8	1.809392E8	1.70446896E8	
sp|O15260|SURF4_HUMAN	O15260	SURF4_HUMAN	SURF4	269	Homo sapiens OX=9606	1:Experimental evidence at protein level	Surfeit locus protein 4	1.0	0.999	5	24	24	24	2	5	4	6	4	3	2	5	4	6	4	3	2	5	4	6	4	3	7.4067392E8	6.3446035E8	6.0287514E8	5.9265459E8	6.2711661E8	1.55817136E8	4.28101984E8	3.51598912E8	3.63622752E8	3.2794224E8	3.85194784E8	4.0846912E8	
sp|O15269|SPTC1_HUMAN	O15269	SPTC1_HUMAN	SPTLC1	473	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine palmitoyltransferase 1	1.0	0.999	9	46	46	46	8	8	8	7	8	7	8	8	8	7	8	7	8	8	8	7	8	7	1.82903856E8	1.16019608E8	7.5652976E7	1.23558768E8	8.1571568E7	1.40474992E8	4.5708176E7	3.4678984E7	3.8485512E7	3.2991412E7	3.7555672E7	3.1374852E7	
sp|O15270|SPTC2_HUMAN	O15270	SPTC2_HUMAN	SPTLC2	562	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine palmitoyltransferase 2	1.0	0.999	4	9	9	9	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	7038550.0	1.4523746E7	3474969.2	9170401.0	1.0361957E7	4115906.2	0.0	1.0219273E7	0.0	0.0	6533616.0	0.0	
sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	1046	Homo sapiens OX=9606	1:Experimental evidence at protein level	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.0	0.999	9	18	18	18	3	3	4	2	2	4	3	3	4	2	2	4	3	3	4	2	2	4	1.7844604E7	0.0	4047538.0	0.0	0.0	5844668.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	246	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphomannomutase 2	1.0	0.999	4	16	14	16	3	3	2	2	4	2	2	3	2	1	4	2	3	3	2	2	4	2	1.092886E7	4.9634136E7	1.792356E7	2.329351E7	1.0560039E7	3.4350032E7	0.0	2.2125806E7	1.7512056E7	1.838674E7	0.0	1.8624432E7	
sp|O15321|TM9S1_HUMAN	O15321	TM9S1_HUMAN	TM9SF1	606	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Transmembrane 9 superfamily member 1	1.0	0.999	3	9	9	9	2	1	0	3	1	2	2	1	0	3	1	2	2	1	0	3	1	2	1.2248623E7	0.0	8246262.5	2.6406136E7	1.0879383E7	2.326078E7	0.0	0.0	0.0	1.4415209E7	0.0	1.6478801E7	
sp|O15344|TRI18_HUMAN	O15344	TRI18_HUMAN	MID1	667	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase Midline-1	1.0	0.9989	3	5	5	5	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	0.0	0.0	0.0	8765642.0	0.0	1.4608779E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	200	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group protein B3	1.0	0.999	5	11	11	11	1	2	1	1	4	2	1	2	1	1	4	2	1	2	1	1	4	2	2.3900376E7	7091015.0	7830508.5	1.568916E7	1.9966228E7	1.4509666E7	1.7244124E7	0.0	0.0	1.3760967E7	1.539563E7	0.0	
sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein phosphatase 1G	1.0	0.999	9	38	38	38	6	5	5	6	8	8	6	5	5	6	8	8	6	5	5	6	8	8	6.9530368E7	8.0926576E7	7.9327296E7	9.015208E7	8.215156E7	7.6388248E7	2.0372066E7	2.0134752E7	2.6118604E7	2.73714E7	2.0187542E7	2.1559856E7	
sp|O15357|SHIP2_HUMAN	O15357	SHIP2_HUMAN	INPPL1	1258	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	1.0	0.999	5	12	12	12	2	1	1	2	3	3	2	1	1	2	3	3	2	1	1	2	3	3	7253160.0	6763546.5	6563611.0	1.5659228E7	1.8829656E7	1.7647148E7	0.0	0.0	0.0	9274137.0	1.08273E7	9870219.0	
sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	548	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit D	1.0	0.999	11	52	52	52	6	11	10	8	7	10	6	11	10	8	7	10	6	11	10	8	7	10	1.40471792E8	2.22565472E8	1.79844944E8	1.1739832E8	1.57772048E8	1.07842128E8	6.2887932E7	7.2972416E7	5.8735128E7	5.6712064E7	5.7139584E7	6.7408808E7	
sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	352	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit H	1.0	0.999	11	44	44	44	5	10	9	6	6	8	5	10	9	6	6	8	5	10	9	6	6	8	2.46082368E8	2.60919568E8	3.77100512E8	3.14207616E8	2.0549168E8	2.03925856E8	1.04233728E8	1.02848592E8	9.9711176E7	9.1769072E7	9.8636992E7	8.2754808E7	
sp|O15382|BCAT2_HUMAN	O15382	BCAT2_HUMAN	BCAT2	392	Homo sapiens OX=9606	1:Experimental evidence at protein level	Branched-chain-amino-acid aminotransferase, mitochondrial	1.0	0.999	11	74	74	74	11	14	13	13	11	12	11	14	13	13	11	12	11	14	13	13	11	12	8.4940288E8	9.5318342E8	9.9015206E8	8.599801E8	6.6792064E8	8.0558694E8	1.4678664E8	1.59754016E8	1.68946464E8	1.52677504E8	1.471188E8	1.39940688E8	
sp|O15397|IPO8_HUMAN	O15397	IPO8_HUMAN	IPO8	1037	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin-8	1.0	0.999	2	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-7	1.0	0.999	13	57	57	57	7	12	10	10	10	8	7	12	10	10	10	8	7	12	10	10	10	8	6.0373338E8	6.8506803E8	7.2286131E8	7.2081818E8	7.2767443E8	6.001568E8	1.67608656E8	1.79887072E8	1.83948064E8	2.00510912E8	1.8795136E8	1.48411344E8	
sp|O15427|MOT4_HUMAN	O15427	MOT4_HUMAN	SLC16A3	465	Homo sapiens OX=9606	1:Experimental evidence at protein level	Monocarboxylate transporter 4	1.0	0.999	8	44	44	44	6	9	7	7	7	8	6	9	7	7	7	8	6	9	7	7	7	8	1.07102406E9	1.18561229E9	1.23511142E9	8.0380582E8	8.3712979E8	8.2943219E8	5.4252864E8	5.8571917E8	5.6929843E8	3.90327392E8	4.14542976E8	4.02567744E8	
sp|O15431|COPT1_HUMAN	O15431	COPT1_HUMAN	SLC31A1	190	Homo sapiens OX=9606	1:Experimental evidence at protein level	High affinity copper uptake protein 1	0.991	0.999	2	17	17	17	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3.2230536E7	3.286666E7	3.428678E7	3.8896364E7	3.8764972E7	3.4285964E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15439|MRP4_HUMAN	O15439	MRP4_HUMAN	ABCC4	1325	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-binding cassette sub-family C member 4	1.0	0.999	8	17	17	17	5	4	2	1	3	2	5	4	2	1	3	2	5	4	2	1	3	2	1.5827932E7	1.4536271E7	1.5459183E7	4547591.5	7701384.0	5146927.0	1.0369798E7	0.0	7762179.0	0.0	0.0	0.0	
sp|O15446|RPA34_HUMAN	O15446	RPA34_HUMAN	POLR1G	510	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase I subunit RPA34	1.0	0.999	2	6	6	6	1	1	3	1	0	0	1	1	3	1	0	0	1	1	3	1	0	0	6200186.5	7033382.0	1.5290767E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15455|TLR3_HUMAN	O15455	TLR3_HUMAN	TLR3	904	Homo sapiens OX=9606	1:Experimental evidence at protein level	Toll-like receptor 3	1.0	0.9988	2	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15460|P4HA2_HUMAN	O15460	P4HA2_HUMAN	P4HA2	535	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prolyl 4-hydroxylase subunit alpha-2	1.0	0.999	26	160	160	160	20	27	31	25	27	30	20	27	31	25	27	30	20	27	31	25	27	30	3.47683712E9	3.4186304E9	3.86750362E9	3.04412109E9	2.7825687E9	2.90820326E9	4.50919424E8	4.93573408E8	5.17617856E8	3.8271296E8	3.77618784E8	3.710048E8	
sp|O15484|CAN5_HUMAN	O15484	CAN5_HUMAN	CAPN5	640	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calpain-5	0.9752	0.999	1	5	5	5	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0.0	5887230.5	5005246.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15498|YKT6_HUMAN	O15498	YKT6_HUMAN	YKT6	198	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptobrevin homolog YKT6	1.0	0.999	5	16	16	16	3	2	2	3	2	4	3	2	2	3	2	4	3	2	2	3	2	4	1.21128672E8	1.20194192E8	1.210502E8	6.5769264E7	5.9497476E7	1.343696E8	4.79615E7	4.687808E7	4.7007656E7	4.8866452E7	4.4132892E7	4.6636396E7	
sp|O15504|NUP42_HUMAN	O15504	NUP42_HUMAN	NUP42	423	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoporin NUP42	0.9599	0.9984	1	4	4	4	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	2578328.5	0.0	2534301.8	1467681.1	2214198.0	2105187.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15511|ARPC5_HUMAN	O15511	ARPC5_HUMAN	ARPC5	151	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 5	1.0	0.999	8	42	38	42	5	8	6	8	8	7	5	7	6	7	7	6	5	8	6	8	8	7	9.7082995E8	1.10518989E9	1.09136947E9	1.0538985E9	9.6616237E8	8.8590605E8	3.85950912E8	4.2065616E8	4.2366912E8	4.08718592E8	3.95974144E8	3.3537456E8	
sp|O15523|DDX3Y_HUMAN	O15523	DDX3Y_HUMAN	DDX3Y	660	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3Y	1.0	0.999	24	7	7	118	0	0	0	2	2	3	0	0	0	2	2	3	21	18	15	20	22	22	0.0	0.0	0.0	4.944292E7	3.9100436E7	5.6550248E7	0.0	0.0	0.0	3.3993688E7	3.227868E7	4.4379712E7	
sp|O15530|PDPK1_HUMAN	O15530	PDPK1_HUMAN	PDPK1	556	Homo sapiens OX=9606	1:Experimental evidence at protein level	3-phosphoinositide-dependent protein kinase 1	1.0	0.9988	5	10	6	10	2	3	1	3	0	1	1	0	1	3	0	1	2	3	1	3	0	1	6912647.0	5222174.5	6274706.5	3808694.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15533|TPSN_HUMAN	O15533	TPSN_HUMAN	TAPBP	448	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tapasin	1.0	0.999	5	25	25	25	3	5	3	4	5	5	3	5	3	4	5	5	3	5	3	4	5	5	2.16040016E8	1.4383392E8	1.44635344E8	1.5696728E8	2.28649856E8	2.01237184E8	1.06392E8	1.04409984E8	1.0826148E8	1.127582E8	1.06124808E8	9.3027136E7	
sp|O15540|FABP7_HUMAN	O15540	FABP7_HUMAN	FABP7	132	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fatty acid-binding protein, brain	0.9605	0.9984	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DHX15	1.0	0.999	15	72	65	72	13	11	11	12	12	13	12	10	10	11	10	12	13	11	11	12	12	13	5.21800096E8	2.98774464E8	2.53659376E8	3.51558784E8	3.79332704E8	5.5834125E8	1.54613488E8	1.19481008E8	1.1940972E8	1.17339608E8	1.42527024E8	1.93476592E8	
sp|O43148|MCES_HUMAN	O43148	MCES_HUMAN	RNMT	476	Homo sapiens OX=9606	1:Experimental evidence at protein level	mRNA cap guanine-N7 methyltransferase	1.0	0.999	6	12	12	12	3	0	1	2	3	3	3	0	1	2	3	3	3	0	1	2	3	3	3708594.0	0.0	4761199.0	1055177.9	1.1164229E7	1.3412383E7	0.0	0.0	0.0	0.0	6958471.5	8753186.0	
sp|O43149|ZZEF1_HUMAN	O43149	ZZEF1_HUMAN	ZZEF1	2961	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger ZZ-type and EF-hand domain-containing protein 1	1.0	0.9989	4	5	5	5	2	0	0	1	0	2	2	0	0	1	0	2	2	0	0	1	0	2	0.0	0.0	0.0	7112464.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43150|ASAP2_HUMAN	O43150	ASAP2_HUMAN	ASAP2	1006	Homo sapiens OX=9606	1:Experimental evidence at protein level	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	0.9321	0.9971	2	2	2	5	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	2	0	0	0.0	0.0	0.0	3097035.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43157|PLXB1_HUMAN	O43157	PLXB1_HUMAN	PLXNB1	2135	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plexin-B1	1.0	0.999	14	30	29	31	8	4	9	5	3	1	8	4	8	5	3	1	8	4	9	5	4	1	7.4818024E7	3.8123936E7	1.4161384E8	1.7905738E7	2.1124966E7	0.0	2.338767E7	3.0417626E7	2.0593448E7	1.135678E7	1.1857397E7	0.0	
sp|O43159|RRP8_HUMAN	O43159	RRP8_HUMAN	RRP8	456	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribosomal RNA-processing protein 8	1.0	0.999	4	9	9	9	1	1	1	1	3	2	1	1	1	1	3	2	1	1	1	1	3	2	7566467.5	0.0	0.0	1.3124488E7	1.9868924E7	4.457202E7	0.0	0.0	0.0	1.1586243E7	1.3875767E7	1.3564024E7	
sp|O43166|SI1L1_HUMAN	O43166	SI1L1_HUMAN	SIPA1L1	1804	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal-induced proliferation-associated 1-like protein 1	1.0	0.999	12	20	19	20	6	2	5	2	2	3	6	2	5	1	2	3	6	2	5	2	2	3	6.4133036E7	4616190.5	6316427.0	2605515.2	0.0	4.2026192E7	3.3202208E7	0.0	0.0	0.0	0.0	2.727302E7	
sp|O43169|CYB5B_HUMAN	O43169	CYB5B_HUMAN	CYB5B	150	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome b5 type B	1.0	0.999	4	27	27	27	3	5	5	4	5	5	3	5	5	4	5	5	3	5	5	4	5	5	1.87163392E8	2.047216E8	1.87837024E8	2.34986016E8	2.34244864E8	1.91526576E8	1.44090384E8	1.43004736E8	1.2710792E8	1.76909408E8	1.47347872E8	1.11438304E8	
sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	522	Homo sapiens OX=9606	1:Experimental evidence at protein level	U4/U6 small nuclear ribonucleoprotein Prp4	1.0	0.999	9	28	28	28	5	4	4	4	3	8	5	4	4	4	3	8	5	4	4	4	3	8	6.1505176E7	3.5561184E7	6.3011656E7	6.7957344E7	3.6986752E7	7.7640824E7	2.3106394E7	1.7092732E7	2.1387882E7	1.6632098E7	3.0449178E7	2.1822584E7	
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens OX=9606	1:Experimental evidence at protein level	D-3-phosphoglycerate dehydrogenase	1.0	0.999	15	79	79	79	9	14	12	15	15	14	9	14	12	15	15	14	9	14	12	15	15	14	4.04625824E8	3.9020048E8	4.57222528E8	5.7319648E8	6.0868512E8	5.4927622E8	8.361928E7	8.691068E7	9.115252E7	1.2331588E8	1.30281864E8	1.44109472E8	
sp|O43181|NDUS4_HUMAN	O43181	NDUS4_HUMAN	NDUFS4	175	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.0	0.999	3	7	7	7	1	3	0	1	1	1	1	3	0	1	1	1	1	3	0	1	1	1	4.3421208E7	4.0541148E7	4.3665232E7	3.3822576E7	3.4930828E7	3.2873714E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43184|ADA12_HUMAN	O43184	ADA12_HUMAN	ADAM12	909	Homo sapiens OX=9606	1:Experimental evidence at protein level	Disintegrin and metalloproteinase domain-containing protein 12	0.8744	0.9944	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	1.0465464E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43237|DC1L2_HUMAN	O43237	DC1L2_HUMAN	DYNC1LI2	492	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytoplasmic dynein 1 light intermediate chain 2	1.0	0.999	17	93	92	93	12	11	21	16	16	17	12	11	20	16	16	17	12	11	21	16	16	17	3.2508544E8	2.84035008E8	5.4575226E8	4.0297344E8	4.36006432E8	3.48005184E8	8.366464E7	9.0587632E7	9.8091512E7	9.0484056E7	9.0709272E7	8.8164824E7	
sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 3	1.0	0.999	29	136	136	136	24	20	17	23	25	27	24	20	17	23	25	27	24	20	17	23	25	27	8.6100352E8	6.6156826E8	6.9785094E8	5.9434298E8	8.6599712E8	8.410039E8	1.04953208E8	1.0977908E8	1.07463928E8	9.7882648E7	1.02208336E8	1.100714E8	
