Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-2-2023_Slot1-13_2475.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2477.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2478.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2479.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2480.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2481.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2482.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2483.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2484.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2485.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2486.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-4-2023_Slot1-14_2487.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_12-1-2023_Slot1-9_2456.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_12-1-2023_Slot1-9_2457.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2488.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2489.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2491.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2492.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2493.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-10_2462.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2463.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2464.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2465.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2466.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2467.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-2-2023_Slot1-11_2468.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2469.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2470.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2471.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2472.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2473.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2474.d
B8ZZU8	P13994;A0A7I2V2U6;B8ZZU8;B9A061	B8ZZU8_HUMAN	ELOB	Elongin B							1616.13	1740.17		2049.26	1432.71	1430.07	1739.66		1551.65	1482.31	1344.64	1450.2	1633.39													
B9A041	B9A041	B9A041_HUMAN	MDH1	Malate dehydrogenase 1												134.742	672.25				266.504	15.7019	213.799													
C4AMC7;Q6VEQ5	A8K0Z3;C4AMC7;Q6VEQ5;A8MWX3;Q9NQA3;A0A7I2YQU3	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	7747.64	8215.72	9812.53		7783.9	7372.21	7309.8	6697.01	7639.96	6906.21	6658.12	6821.39	6592.8		6645.73	6669.71	6572.59	6363.5	6558.33		12089.7		13763.4		9604.64	10333.5	6566.9	8743.72	7999.39	8569.77	7425.1	4350.9
C9J126	P54278;A0A2R8Y6S1;A0A8V8TNP6;A0A8V8TNX3;A0A8V8TP52;A0A8V8TP56;A0A8V8TP65;A0A8V8TP88;A0A8V8TPJ8;A0A8V8TQ39;A0A8V8TQ87;A0A8V8TQG7;A0A8V8TQH5;A0A8V8TQI0;A0A8V8TQM1;C9J126;A0A8V8TNZ7;A0A8V8TPE6;A0A8V8TQS9	C9J126_HUMAN	CDH2	Cadherin 2	8518.79	4955.53			6067.87	9514.99	6181.17	5155.1	6513.02	6288.18	6823.32	5520.08	6296.42		5737.77	6028.16	5637.47	6639.24	6138.53		8664.73							9021.76	7499.81			7757.35
C9J2Z7	E7EUU4;E7EX73;E9PGM1;C9J2Z7;C9K073	C9J2Z7_HUMAN	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	9960.98	12665.3	11758.7		14739.6	11537.6	14446.7	13398.7	13735.4	14498.9	14219.1	13678.3	12031.1		14133.4	13962.1	12728.1	13081	13458.5			15232.8	14103.6	12035.3	12880.5	7602.1	9422.17	8762.98	11900.3	11760.4	10500.2	10143.3
C9J5C8	Q9GZZ1;A0A0D9SF30;B0AZS6;C9J5C8;C9J5J2;E7EQ68	C9J5C8_HUMAN	LPP	LIM domain containing preferred translocation partner in lipoma (Fragment)	10521.7	12509.2	10178		10647.3	10037.7	9355.21	9302.46	9240.88	9875.1	9608.01	9380.69	10611.5		10910.6	10356.8	10819	10499.5	10677.2		9124.39	10160.2	12961.4	9510.35	4795.74	14012.9	11328.2	10646.5	11834.9	13440.2	12735.1	11682.8
C9J6L4	Q7Z2W4;C9J6L4;A0A7P0T8C5;H7C5K0	C9J6L4_HUMAN	CPVL	Carboxypeptidase (Fragment)	13310.8	13890.9	13678.8		11885.4	14776	14973.7	14646.5	15019.1	13800.1	14710.1	14770.2	15176.2		14893.6	14668.9	14526.7	14946	14356.2		11484.8	13578.9	10743.7	9350.16	16084	13422.8	15089	13677.2	13446.3	14077.1	12072.8	13092.4
C9J8S9	P57772;C9J8S9	C9J8S9_HUMAN	EFEMP1	EGF containing fibulin extracellular matrix protein 1 (Fragment)	3449.93	3902.24	4702.42		3153.05	2358.3	2757.1	2813.76	2868.58	2735.55	2764.68	2616.01	3049.92		2536.54	2428.46	2539.34	2286.64	2146.21			4944.69				4398.03	2634.69	4243.7			4339.51	4448.94
C9JEV8	Q13614;A0A6Q8PGR9;A0A6Q8PHK0;A0A6Q8PHP7;C9JEV8	C9JEV8_HUMAN	TUBA4A	Tubulin alpha chain (Fragment)	11619.6	12043.6	9440.79		10869.1	10531.9	9006.71	8760.17	9140.42	9447.95	8867.4	9620.99	9667.11		9427.16	9532.5	9835.82	8419.72	9371.23			13396.1	16126.9	11481.1	20327.8		10002.6	11119.4	13092.1	18109.1	11462.5	9740.76
C9JFV2	Q8IZL2;C9JFV2;E7EV53;I3L443;I3L4P0	C9JFV2_HUMAN	ATG9A	Autophagy-related protein 9 (Fragment)	5844.9	3361.73	3799.1		4549	3389.54	4406.93	4790.15	4788.02	4798.62	4607.63	4910.25	5704.8		5856	5653.68	5859.54	6338.27	5844.99		5973.19	3421.04				5124.27	3314.8	4160.08	7459.9	6214.83	5881.75	2659.1
C9JG84	Q9BYW2;A0A1W2PPX9;A0A8I5KPP9;A0A8I5KSB8;A0A8I5KV15;A0A8I5KW81;A0A8I5KNQ5;A0A8I5KQR7;A0A8I5KWC9;A0A8I5KYR0;C9JG84;H7BXT2;H7BZ92;H7C3H3	C9JG84_HUMAN	SORBS2	Sorbin and SH3 domain containing 2 (Fragment)	1750.83	2314.73	1185.54				2029.06	2215.94	2143.86	2484.01	1904.4	2500.87	2003.64		2148.18	2042.01	2374.28	2297.12	2420.35											3657.01	2214.8	
C9JGI3	Q9NZW5;B8ZZF7;C9J4Q0;C9JGI3	C9JGI3_HUMAN	TYMP	Thymidine phosphorylase (Fragment)	5975.89	6286.99			6209.61	5634.7	5539.11	3950.27	3892.19	4716.86	4189.82	4309.2	3835.3		4858.71	4283.08	4821.42	4559.69	4072.23			10231.1									4894.72	
C9JRP1	C9JRP1	C9JRP1_HUMAN	SLC4A7	Anion exchange protein (Fragment)							486.569		408.916	582.38	421.802	403.449	367.067		278.787	315.728	216.142	445.964	375.35													
C9JWQ8	Q14699;C9JHG1;C9JRM9;C9JWQ8;F8WAR0	C9JWQ8_HUMAN	GCA	Grancalcin (Fragment)							1619.66	1736.21	2402.9	2066.98	2281.76	2108.21	2287.96		2321.15	1870.56	2333.38	2239.23	2514.22													
C9JY20	Q9BZG1;C9JY20	C9JY20_HUMAN	FXR1	FMR1 autosomal homolog 1 (Fragment)	3487.07	2707.27	3024.19		2549.29	1927.03	2819.17	2520.95	2137.5	2725.74	2375.04	2295.2	2502.2		2147.72	2327.05	2574.09	2699.51	2636.3								2043.3	2800.75	3577.61			
C9JYK5	O75817;C9JYK5	C9JYK5_HUMAN	BAG1	BAG cochaperone 1 (Fragment)							3016.03	2113.11	2379.14	1541.98	2054.88	2288.73	2813.55		2131.89	2642.94	3472.37	3214.28	3595.34													
C9K0R9	Q04828;C9K0R9;E7EUW2;A0A0G2JLD7	C9K0R9_HUMAN	IMPDH1	IMP dehydrogenase (Fragment)	95540.4	98420.6	88975		95762.2	92786.7	101724	100675	104574	103991	99940.4	100912	105671		104314	104240	102834	104084	103862		90650.3	68350.7	81369.6	78145.6	70149.4	70725.2	70542.6	93055.7	91700.3	85611	79483.6	90251.9
D3YTB5	Q9NZE8;D3YTB5	D3YTB5_HUMAN	IRAK1	Interleukin 1 receptor associated kinase 1							2664.69	2085.62	2226.32	2044.55	2489.8	2302.99	2749.69		1716.02	1676.48	1686.4	1948.94	1720.66													
D6R9P3;D6RBZ0;D6RD18	D6R9P3;D6RBZ0;D6RD18	D6R9P3_HUMAN;D6RBZ0_HUMAN;D6RD18_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	16557.7	12754.1	17097.4		12691	14396.6	20671.8	21459	20048	18983.3	21746.1	21642.6	25784.5		22032.2	22051.7	24204.4	24009.9	25634		17125.1	19203	11036.2	12455.2	17095.4	7798.45	8163.23	19333.2	13846.4	16610.9	15988.4	14617.8
D6R9Z1	P15941;D6R9Z1	D6R9Z1_HUMAN	RACK1	Receptor for activated C kinase 1 (Fragment)	21536.3	25322.7	21616.4		25894.7	24949.7	16902.7	24457.4	19118.3	19273.5	20021.6	20247.9	16871.7		22079	25871.2	25148.5	25852.6	25469.3		20051.9	30367.1	16558.9	15939.3	24126.5	26048.5	33476.8	22090.6	26206	20512.5	26685.4	25771.6
D6RBE9;D6RBL5	D6RBE9;D6RBL5	D6RBE9_HUMAN;D6RBL5_HUMAN	ANXA5	Annexin													1184.31		426.64	456.924	537.565	579.565	559.089													
D6RBQ9	D6RBQ9	D6RBQ9_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D							862.9		1737.61	1446.59	1635.24	1703.56	1268.21		2688.43	2436.42	2162.17	2561.47	2590.57													
D6RER5	O94979;D6RER5;D6RHY9;H0YAA8;H7BXF5;H0Y8V5;H0Y9K0	D6RER5_HUMAN	SEPTIN11	Septin	29519.1	29771.3	27246.8		29166.8	28350.5	28997.5	30228.8	29561.2	29066	30164.9	28540.3	29721.9		29102.6	29225.8	29228.5	29264.5	29098.2		31085.1	34605.1	28779.9	28887.1	37390.4	29848.7	30174.8	26748	27633.8	26747	29492.4	30004.6
D6RIW1	D6RIW1	D6RIW1_HUMAN	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (Fragment)									470.471	638.076			750.87		398.056	380.238	527.872	448.421	517.883													
E2RYF7	E2RYF7;A0A2R8YE54	PBMU2_HUMAN	HCG22	Protein PBMUCL2							1272.69	1100.23	865.156	961.361	1196.38	1196.27	1059.82		1115.06	1379.81	1352.43	1333.32	1522.2													
E5RHV4	Q11128;Q16832;E5RGL3;E5RHV4	E5RHV4_HUMAN	ZNF706	Zinc finger protein 706	20224.2	10918.2	21344.8		15711.4	22971.7	21686.9	20325.3	19360.4	17168.8	19446.9	18738	20170.9		19200.6	19700.8	23242.8	20329.5	22714.8								15451.2					
E7ENC7	P62820;Q9H0U4;E7ENC7;E9PLC9	E7ENC7_HUMAN	NELFE	Negative elongation factor E	45672.1	44709.9	43443.6		42747.3	46457.4	48741.2	54719	54840.6	52366.1	52447.2	54537.4	56006.3		52738.2	56725.6	55278.4	55761.8	55647.4		49860.4	47677.3	52368.8	46721.4	43837.1	49474.6	53293.7	44656.5	48668	52058.7	46371	52270.3
E7EPS8	P19397;E7EPS8	E7EPS8_HUMAN	PTPRM	protein-tyrosine-phosphatase	10238.3	10407.2	10203.1		9511.54	10991.8	9558.29	9627.44	8463.08	10698.4	9165.08	8883.51	10381.5		9412.17	9511.33	9941.8	9614.03	9223.54		10498.3	11718.9		12226.2	12075.2		11476.6	10173.3	8344.49	11740.8	8341.97	11342.4
E7EUU8	Q13765;E7EUU8;A0A7I2V2K5;A0A7I2V473;F8VNW4;F8VZJ2;F8W0W4;H0YHX9	E7EUU8_HUMAN	COMT	Catechol O-methyltransferase	15348.7	12502.7	10001.4		12872.8	14140.6	16396.4	16164.1	17378.9	15336.5	15991.8	15977.5	26178.6		19943.9	19344.3	20354.7	18355.3	20426.9		15764.3	20638	24079.3	15059.9	20463.4	15007.1	14994.7	17991.9	14555.6	15231.9	19654.2	15394.1
E9PB61	E9PB61	E9PB61_HUMAN	ALYREF	Aly/REF export factor			2678.28			3250.92	3354.14	4041.73	3003.04	4211.97	3696.19	4485.72			3688.68	4479.7	3914.77	4243.96	4212.09									6702.5		5803.1		
E9PC49	Q16576;E9PC49;Q5JNW7	E9PC49_HUMAN	SIRT1	Sirtuin 1	5181.82		5009.59		4549.74		9868.29	11044.4	13929.7	13855.8	15661.4	21549.6	51018.2		24279.3	27534.8	22944.1	24838.5	29133.9						11440.5	7547.97	8702.17			5945.62		6784.17
E9PDG3	Q9Y2I7;C9JKZ2;E9PDG3;F8WEY9	E9PDG3_HUMAN	WDR81	WD repeat domain 81			7638.27		6345.4								8810.54		3855.23	2784.32	2127.48	2530.13	2875.23								7801.91					
E9PDP5;H3BLS9	E9PDP5;H3BLS9	E9PDP5_HUMAN;H3BLS9_HUMAN	ANKHD1	Ankyrin repeat and KH domain containing 1 (Fragment)			2806.5		1681.86	3554.89	1535.19	1901.77	2223.17	1860.73	1542.13	2379.18	1955.91		1722.08	2044.53	1648.77	1936.81	1857.48										4507.83			
E9PGC5;H0Y6P5;Q5TG12	E9PGC5;Q5TG12;H0Y6P5	E9PGC5_HUMAN;H0Y6P5_HUMAN;Q5TG12_HUMAN	PTPRK	protein-tyrosine-phosphatase							628.436	607.36	513.15	720.744	773.831	1361.76	852.892		679.31	757.782	767.996	801.474	745.115													
E9PGZ1	C9J813;E9PGZ1	E9PGZ1_HUMAN	CALD1	Caldesmon 1	11458.3	15515.8	13519		13142.5	10766.6	10849.8	10388.5	9630.85	10750.8	10828.8	10641.5	9942.93		14475.8	12778.6	13165	13705.4	12699.5			18856.1	6309.99	11103.3	12442.5	11164.8	14052.9	14348.7	12305.8	13813.8	16441.7	11867.7
E9PI68	Q13405;E9PI68;E9PNE4	E9PI68_HUMAN	SPCS2	Signal peptidase complex subunit 2							70.5676				197.551		450.331		358.001	195.826	163.908	105.541	190.724													
E9PIE4	E9PIE4	E9PIE4_HUMAN	MTCH2	Mitochondrial carrier 2 (Fragment)	3134.58	2858.52	4963.6		4145.88	2284.95	3204.59	3759.25	3709.76	3965.06	4135.99	4616.71	3641.63		4881.88	4498.73	5494.12	5936.61	6601.3								3656.82	2141.88	3162.8	4021.53	6407.45	4964.11
E9PK54	E9PK54	E9PK54_HUMAN	HSPA8	Heat shock protein family A (Hsp70) member 8 (Fragment)								749.233	545.087		603.648	827.453	1474.16		1239.12	815.005	1184.71	961.562	1003.95													
E9PKU7	E9PKU7;E9PNH1	E9PKU7_HUMAN	GANAB	Glucosidase II alpha subunit	11292.3	9361.43	10666.3		9106.68	10442.7	9242.98	9862.91	10119.6	10867	11074.4	9758.47	10882.5		10935	11965.4	11034.2	11024.3	11462.3		4633.27		9437.83			6470.04	5335.58	10583	9797.44	7076.94	9914.46	9321.5
E9PL71;E9PN91	E9PL71;E9PN91	E9PL71_HUMAN;E9PN91_HUMAN	EEF1D	Elongation factor 1-delta (Fragment)							725.11			872.429		834.303	889.844		1650.12	1523.86	1902.45	1213.59	1182.29													
E9PLC9	Q9H0U4;E9PLC9	E9PLC9_HUMAN	CAPN1	Calpain 1 (Fragment)	32237.7				2770.02	18178	4308.39	6294.58	6750.57	4771.37	5025.21	6178.14	6314.88		7026.94	7613.03	8866.55	7742.09	8115.02					70929.1	43945.6							
E9PMC6	Q7Z589;E9PMC6;H0YCS2	E9PMC6_HUMAN	CAPN1	Calpain 1 (Fragment)	2797.5	3316.99			2598.3		2283.99	2279.47	2271.47	2067.96	2228.43	2376.21	2051.58		2350.32	2163.81	2066.35	2221.62	2083.23							6340.44	4847.65		3343.79	1824	6639.54	4281.39
E9PMJ5	E9PMJ5	E9PMJ5_HUMAN	VAV3	Vav guanine nucleotide exchange factor 3		31316.3	27419		30725.2	30000.4				36008.8	37902.9				40125.4								10385.6			20108.9			27929.8			21055.7
E9PNV3	Q04206;A0A087X0W6;E9PI35;E9PJR0;E9PJZ7;E9PKH4;E9PKV3;E9PM45;E9PMD3;E9PNK2;E9PNV3;E9PQS4;E9PRX1;Q2TAM5	E9PNV3_HUMAN	RDX	Radixin (Fragment)	9300.62	10321.8	9569.72		8703.2	9353.96	9701.68	9277.71	9023.26	8989.04	9942.59	10091.2	9567.02		9883.66	9723.55	9696.06	9433.33	9152.94				16397.2		6388.32	8658.1	8122.65			13561.2		
E9PPP6	Q13613;F8W9R5;H0YDW7;E9PPP6;Q8NEC6	E9PPP6_HUMAN	RRP8	Ribosomal RNA-processing protein 8		2744.35			1530.92	2897.44	1577.38	1486.92	1028.3	1594.35	1503	1282.13	1700.65		1000.49	1137.43	1067.71	1013.7	857.469													1002.57
E9PRC8	Q96Q83;E9PS99;E9PN34;E9PRC8;E9PRJ1	E9PRC8_HUMAN	CCT3	Chaperonin containing TCP1 subunit 3 (Fragment)	773.284		1816.61		2189.2	1658.29	1279.21	1436.6	1336.79	1167.15	1543.07	1650.95	1591.01		1813.04	1456.69	1882.32	1848.67	1754.29										2681.57		1985.29	
E9PRG8	A0A494BXY3;E9PLD3;E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	13224.8	12329.5	11378.9		9188.67	7699.81	7873.96	8701.96	8967.97	9111.3	8559.53	9272.18	10682.1		9755.38	9765.88	9661.46	9542.07	9520.68							8005.59		13454.3	11004.5	16269.7	12678.2	10673.9
F5H199;F5H7C4	F5H199;F5H7C4	F5H199_HUMAN;F5H7C4_HUMAN	MSRB3	Peptide-methionine (R)-S-oxide reductase (Fragment)						5568	3499.61	3566.13	3294.17	3550.95	3797.27	3366.51	2748.31		3035.48	3138.29	3099.15	3085.44	3512.99													4830.17
F5H6P5	P61326;Q96A72;F5H6P5	F5H6P5_HUMAN	CPSF7	Cleavage and polyadenylation specific factor 7	20317	25041.2	20460.3		20184.9	22088.8	20042.9	18623.1	19396.9	18368.3	18143.4	19420.3	19649.9		17458.2	17942.7	16780.1	16441.2	16282.7		21469.6	24112.2	15655	22309.9	23706.4	16176.6	20549.9	20275.7	20884.4	20032	20685.8	16199.6
F5H815	P61224;A6NIZ1;E7ESV4;F5H7Y6;B7ZB24;F5GX58;F5GZF7;F5GZZ5;F5H6R3;F5H815	F5H815_HUMAN	IPO8	Importin 8			1537.32				2575.67	3824.84	3987.94	3716.9	3605.39	4745.64	5993.7		4666.32	6218.96	5544.01	6353.22	6262.11										3100.92		4199.68	
F5H867	F5H867	F5H867_HUMAN	SLC3A2	4F2 cell-surface antigen heavy chain (Fragment)							1726.2	1338.61		1422.36	1652.19		1754.17		1360.83	1321.11	1354.79	1180.44	1373.21													
F6U1F2	P63098;D3K2X1;F6U1F2;H7BYZ3	F6U1F2_HUMAN	BAG6	BAG cochaperone 6 (Fragment)	8664.3	6555.48	8063.01		6854.52	6484.96	7177.18	6904.79	7471.52	7642.6	7909.04	7099.06	7133.61		8280.45	9258.75	9209.09	8371.59	8441.7		7370.01	3906.03	5415.2	9199.89	2748.13			10482.9		11588.4		
F6YB23	P11309;Q5T4T6;A0A7P0T8G6;A0A7P0T8J9;A0A7P0T932;A0A7P0TA63;A0A7P0TAB2;A0A7P0TB51;A0A7P0TB55;A0A7P0TBD1;F6YB23	F6YB23_HUMAN	ACADM	Acyl-CoA dehydrogenase medium chain									1303.52	917.544	880.921				1589.07	1528.34	1804.26	1742.41	1861.82													
F8VRH0	P57721;E9PFP8;F8VRH0	F8VRH0_HUMAN	PCBP2	Poly(rC) binding protein 2 (Fragment)	2097.8	1109.51	1354.04		2546.37	2856.25		2756.03	2312.21	2821.23	2618.8	2596.98	4199.24		3039.45	2855.19	3240.44	3313.65	2787.8			1543.56	6781.15			3607.22	2754.07			1726.35	4883.1	3703.43
F8VWV8;F8VXD5	F8VWV8;F8VXD5	F8VWV8_HUMAN;F8VXD5_HUMAN	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2							1561.85	2015.45	1561.58	2308.75	1756.87	1608.66	1552.31		1538.09	1558.24	1595.82	1517.88	1312.18													
F8VZ52	A0A994J3M8;A0A994J402;A0A994J6L8;F8VZ52	F8VZ52_HUMAN	DNM1L	Dynamin 1 like								1040.92		1168.02			1815.76		1168.97	820.807	1293.36	1106.13	1021.38													
F8VZX2;H3BRU6	F8VZX2;H3BRU6	F8VZX2_HUMAN;H3BRU6_HUMAN	PCBP2	Poly(rC) binding protein 2	1023.19	1293.11	731.37		1936.64	2198.2	1246.97	1611.55	854.186	1253.59	1031.52	1288.21	1335.1		939.058	1561.22	1057.61	1483.28	1316.89								1698.36			2574.41		2243.46
F8WE29	Q92681;H7C0X0;F8WE29;F8WF92;H7BZZ1	F8WE29_HUMAN	TOM1	Target of myb1 membrane trafficking protein	1998.39	2029.73	3025.42		1891.82	3450.2	1835.01	1913.02	2012.49	1542.89	1955.53	1209.91	1628.95		2113.44	2126.5	1425.51	1576.19	1633.39									1033.77			1602.64	2111.57
F8WFB8	Q9NR46;B7ZC35;F8WFB8	F8WFB8_HUMAN	PDLIM2	PDZ and LIM domain 2	4665.35		3172.42		4581.94	4783.16	3985.37	3645.74	4243.77	4416.79	4320.72	4069.85	4143.65		4068.71	3999.65	3963.12	4108.94	4165.75								2514.61				3980.66	
G3V1A0	P57764;G3V1A0;E9PIB2	G3V1A0_HUMAN	TRAPPC4	Trafficking protein particle complex subunit								963.461	760.043	878.54	1000.5		805.737		803.247	519.354	805.947	748.24	832.232												529.288	
G3V1D1	Q9NUP9;G3V1D1	G3V1D1_HUMAN	FTH1	Ferritin	12151.3	10712	11407.4		13733.6	10450.4	14194.6	14322.7	13658.1	14431.9	14931.2	15130.3	15828.1		15291.7	15551.7	14407.3	14117.7	14074.9		18191	24129.3	11479.7	15450.9	13594.6		14709.1	9787.14	14278.7	12059.9	15899.2	12186.2
G3V1P3	Q9Y324;G3V1P3;G3V5S9	G3V1P3_HUMAN	BORCS5	BLOC-1-related complex subunit 5	4317.18	3568.24	3340.29		2801.51	2846.86	5505.93	4908.56	6000.67	4950.97	5135.23	5733.76	6108.95		5058.03	4732.98	5774.61	5086.51	4425.46				10167.7	10915.6								7323.5
G3V1V0	Q8TBF4;F8VXY6;G3V1V0	G3V1V0_HUMAN	MYL6	Myosin light chain 6			6947.65		5610.89	4211.2	4163.88	5111.92	4161.14	4918.03		4424.72	4278.92		3910.84	3684.1	3498.06	3622.45	2564.89				7134.47									
G3V4K3	Q13572;G3V4K3	G3V4K3_HUMAN	VIPAS39	Spermatogenesis-defective protein 39 homolog						2639.35			1508.7	1691.77	1506.84	1609.3			4797.56	5542.06	4419.4	4725.19	4297.99		5923.7											2915.69
G3XAJ4	Q14699;G3XAJ4	G3XAJ4_HUMAN	TXNDC9	Thioredoxin domain containing 9	9263.77	8441.51	6557.33		8461.66	8752.79	8626.78	8210.26	8617.8	7831.91	7863.84	7819.69	8483.92		8382.35	8880.37	8961.72	8680.8	8672.49			7933.25	6785.02			9914.93	7955.9	5788.3	6829.87	6233.93	4564.25	8130.23
G5E948	G5E948	G5E948_HUMAN	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	664.765		551.869		792.687	726.684	572.53	547.584	729.533	305.954	656.852	442.565	486.958		480.8	549.076	755.596	587.25	364.736													
G5E972	G5E972	G5E972_HUMAN	TMPO	Thymopoietin	10426.2	7193.86	8834.95		4652.38	6227.43	8954.17	7729.31	7965.73	7586	9433.14	7652.16	10556.3		9648.61	8882.42	9843.83	9806.91	9958.39		10787.5	9390.49	8717.33	4698.79	3087.43	5795.36	6268.51	5366.93	9401.3	6981.41	6990.45	6841.31
G5E9J0	Q8N568;A0A0U1RR70;G5E9J0	G5E9J0_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2							2467.24	2594.92	2343.53	1922.8	2580.28	2573.68	2218.29		2372.57	2392.47	2226.38	2377.64	2155.26								6311.17					
G5E9Q6	P51532;E7EQB5;E9PF55;G5E9Q6;H7C1W2	G5E9Q6_HUMAN	PFN2	Profilin	12551	9935.05	12460.5		11175.7	14173.2	12484.1	10946.3	11054.3	11340	12075.9	10740.4	12234.9		10609.9	10642.3	11875.7	10885	10738.7			27883.5	13695.4				14786.6	12864.6	11666.8	16995.3	10263.9	12984.1
G5EA09	G5EA09	G5EA09_HUMAN	SDCBP	Syndecan binding protein			582.053					199.858		140.222		237.566	212.14		217.367	166.459	137.324	211.679	112.88													1231.19
H0Y2W2	Q5T9A4;H0Y2W2	H0Y2W2_HUMAN	ATAD3A	ATPase family AAA domain containing 3A (Fragment)		6484.8	4010.2			5952.34	4100.97	4169.33	5238.14	4335.24	4250.66	3738.9	4480.9		5010.16	4969.25	5193.87	5090.27	5490.08		9667.39								2914.45	4983.84		
