Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Unique Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Unique Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Unique Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Unique Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Unique Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Unique Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Total Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Total Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Total Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Total Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Total Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Total Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Intensity	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Unique Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Unique Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Unique Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Unique Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Unique Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Unique Intensity	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Total Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Total Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Total Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Total Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Total Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Total Intensity	Indistinguishable Proteins
sp|Q9HD42|CHM1A_HUMAN	Q9HD42	CHM1A_HUMAN	CHMP1A	196	12.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Charged multivesicular body protein 1a	1	0.9987	3	3	3	3	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	46254.2	3442.2883	24491.809	0	35728.99	0	46254.2	3442.2883	24491.809	0	35728.99	0	46254.2	3442.2883	24491.809	0	35728.99	0	
sp|Q9HD45|TM9S3_HUMAN	Q9HD45	TM9S3_HUMAN	TM9SF3	589	3.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane 9 superfamily member 3	1	0.9987	2	4	4	4	2	0	1	0	1	0	2	0	1	0	1	0	2	0	1	0	1	0	19345.848	5576.6597	7505.4336	0	6698.8423	0	19345.848	5576.6597	7505.4336	0	6698.8423	0	19345.848	5576.6597	7505.4336	0	6698.8423	0	
sp|Q9NP58|ABCB6_HUMAN	Q9NP58	ABCB6_HUMAN	ABCB6	842	3	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-binding cassette sub-family B member 6	1	0.999	2	3	3	3	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	32745.637	0	0	0	0	0	32745.637	0	0	0	0	0	32745.637	0	0	0	0	0	
sp|Q9NP61|ARFG3_HUMAN	Q9NP61	ARFG3_HUMAN	ARFGAP3	516	7.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor GTPase-activating protein 3	1	0.9982	4	5	5	5	2	0	1	0	2	0	2	0	1	0	2	0	2	0	1	0	2	0	29760.322	3570.2266	12281.422	0	6365.943	0	29760.322	3570.2266	12281.422	0	6365.943	0	29760.322	3570.2266	12281.422	0	6365.943	0	
sp|Q9NP72|RAB18_HUMAN	Q9NP72	RAB18_HUMAN	RAB18	206	18	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-18	1	0.999	3	13	13	13	7	2	2	0	2	0	7	2	2	0	2	0	7	2	2	0	2	0	68314.55	7500.3574	18625.588	0	9883.912	0	68314.55	7500.3574	18625.588	0	9883.912	0	68314.55	7500.3574	18625.588	0	9883.912	0	
sp|Q9NP74|PALMD_HUMAN	Q9NP74	PALMD_HUMAN	PALMD	551	8.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Palmdelphin	1	0.9989	5	9	9	9	5	1	2	0	1	0	5	1	2	0	1	0	5	1	2	0	1	0	71042.16	17766.41	32127.674	0	39678.492	3351.2236	71042.16	17766.41	32127.674	0	39678.492	3351.2236	71042.16	17766.41	32127.674	0	39678.492	3351.2236	
sp|Q9NP81|SYSM_HUMAN	Q9NP81	SYSM_HUMAN	SARS2	518	6.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Serine--tRNA ligase, mitochondrial"	1	0.999	2	4	4	4	2	0	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	14305.004	0	3894.98	0	0	0	14305.004	0	3894.98	0	0	0	14305.004	0	3894.98	0	0	0	
sp|Q9NPA0|EMC7_HUMAN	Q9NPA0	EMC7_HUMAN	EMC7	242	7.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	ER membrane protein complex subunit 7	1	0.9987	2	4	4	4	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	2	0	42145.504	2946.379	13307.344	0	5547.832	0	42145.504	2946.379	13307.344	0	5547.832	0	42145.504	2946.379	13307.344	0	5547.832	0	
sp|Q9NPD3|EXOS4_HUMAN	Q9NPD3	EXOS4_HUMAN	EXOSC4	245	15.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome complex component RRP41	1	0.999	3	7	7	7	3	2	2	0	0	0	3	2	2	0	0	0	3	2	2	0	0	0	30667.385	7064.596	10945.262	0	8380.916	3916.53	30667.385	7064.596	10945.262	0	8380.916	3916.53	30667.385	7064.596	10945.262	0	8380.916	3916.53	
sp|Q9NPD8|UBE2T_HUMAN	Q9NPD8	UBE2T_HUMAN	UBE2T	197	27.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 T	1	0.9989	5	12	12	12	5	1	4	0	2	0	5	1	4	0	2	0	5	1	4	0	2	0	65212.06	7514.8457	22880.98	0	37084.75	0	65212.06	7514.8457	22880.98	0	37084.75	0	65212.06	7514.8457	22880.98	0	37084.75	0	
sp|Q9NPF4|OSGEP_HUMAN	Q9NPF4	OSGEP_HUMAN	OSGEP	335	16.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	tRNA N6-adenosine threonylcarbamoyltransferase	1	0.999	4	12	12	12	8	0	3	0	1	0	8	0	3	0	1	0	8	0	3	0	1	0	67488.12	5578.311	21532.436	0	18934.197	0	67488.12	5578.311	21532.436	0	18934.197	0	67488.12	5578.311	21532.436	0	18934.197	0	
sp|Q9NPJ3|ACO13_HUMAN	Q9NPJ3	ACO13_HUMAN	ACOT13	140	22.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A thioesterase 13	1	0.999	2	10	10	10	3	2	3	0	2	0	3	2	3	0	2	0	3	2	3	0	2	0	64523.293	13737.045	21081.125	0	17897.578	6498.5996	64523.293	13737.045	21081.125	0	17897.578	6498.5996	64523.293	13737.045	21081.125	0	17897.578	6498.5996	
sp|Q9NQ48|LZTL1_HUMAN	Q9NQ48	LZTL1_HUMAN	LZTFL1	299	24.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leucine zipper transcription factor-like protein 1	1	0.999	4	11	11	11	3	1	4	0	3	0	3	1	4	0	3	0	3	1	4	0	3	0	93619.84	14982.175	34804.79	0	22068.395	3421.961	93619.84	14982.175	34804.79	0	22068.395	3421.961	93619.84	14982.175	34804.79	0	22068.395	3421.961	
sp|Q9NQ88|TIGAR_HUMAN	Q9NQ88	TIGAR_HUMAN	TIGAR	270	20.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Fructose-2,6-bisphosphatase TIGAR"	1	0.999	3	6	6	6	3	0	2	0	1	0	3	0	2	0	1	0	3	0	2	0	1	0	73803.67	0	3756.972	0	0	0	73803.67	0	3756.972	0	0	0	73803.67	0	3756.972	0	0	0	
sp|Q9NQG5|RPR1B_HUMAN	Q9NQG5	RPR1B_HUMAN	RPRD1B	326	9.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Regulation of nuclear pre-mRNA domain-containing protein 1B	1	0.999	3	9	9	9	3	1	3	0	2	0	3	1	3	0	2	0	3	1	3	0	2	0	63822.61	6854.2695	12754.279	0	8689.185	0	63822.61	6854.2695	12754.279	0	8689.185	0	63822.61	6854.2695	12754.279	0	8689.185	0	
sp|Q9NQR4|NIT2_HUMAN	Q9NQR4	NIT2_HUMAN	NIT2	276	41.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Omega-amidase NIT2	1	0.999	10	27	27	27	14	3	6	0	4	0	14	3	6	0	4	0	14	3	6	0	4	0	81216.984	14014.334	26740.127	0	15392.865	0	81216.984	14014.334	26740.127	0	15392.865	0	81216.984	14014.334	26740.127	0	15392.865	0	
sp|Q9NQS7|INCE_HUMAN	Q9NQS7	INCE_HUMAN	INCENP	918	2.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inner centromere protein	1	0.9984	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NQT4|EXOS5_HUMAN	Q9NQT4	EXOS5_HUMAN	EXOSC5	235	9.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome complex component RRP46	1	0.999	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	25620.785	6350.8022	7671.973	0	0	0	25620.785	6350.8022	7671.973	0	0	0	25620.785	6350.8022	7671.973	0	0	0	
sp|Q9NQW6|ANLN_HUMAN	Q9NQW6	ANLN_HUMAN	ANLN	1124	11.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Anillin	1	0.999	9	11	11	11	9	0	0	0	2	0	9	0	0	0	2	0	9	0	0	0	2	0	65130.336	6284.209	13882.553	0	13258.281	0	65130.336	6284.209	13882.553	0	13258.281	0	65130.336	6284.209	13882.553	0	13258.281	0	
sp|Q9NQX3|GEPH_HUMAN	Q9NQX3	GEPH_HUMAN	GPHN	736	4.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gephyrin	1	0.999	3	6	6	6	3	0	1	0	2	0	3	0	1	0	2	0	3	0	1	0	2	0	11816.816	0	3323.2363	0	3527.6265	0	11816.816	0	3323.2363	0	3527.6265	0	11816.816	0	3323.2363	0	3527.6265	0	
sp|Q9NR28|DBLOH_HUMAN	Q9NR28	DBLOH_HUMAN	DIABLO	239	17.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Diablo IAP-binding mitochondrial protein	1	0.999	4	6	6	6	2	0	3	0	1	0	2	0	3	0	1	0	2	0	3	0	1	0	10555.364	0	40654.03	0	21338.172	0	10555.364	0	40654.03	0	21338.172	0	10555.364	0	40654.03	0	21338.172	0	
sp|Q9NR46|SHLB2_HUMAN	Q9NR46	SHLB2_HUMAN	SH3GLB2	395	10.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endophilin-B2	1	0.999	4	8	8	8	4	1	1	0	2	0	4	1	1	0	2	0	4	1	1	0	2	0	51201.96	2034.7313	22988.396	0	22626.324	0	51201.96	2034.7313	22988.396	0	22626.324	0	51201.96	2034.7313	22988.396	0	22626.324	0	
sp|Q9NRG0|CHRC1_HUMAN	Q9NRG0	CHRC1_HUMAN	CHRAC1	131	19.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromatin accessibility complex protein 1	1	0.999	2	7	7	7	4	1	2	0	0	0	4	1	2	0	0	0	4	1	2	0	0	0	60953.25	7280.934	19589.016	0	9664.425	0	60953.25	7280.934	19589.016	0	9664.425	0	60953.25	7280.934	19589.016	0	9664.425	0	
sp|Q9NRX1|PNO1_HUMAN	Q9NRX1	PNO1_HUMAN	PNO1	252	19	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein PNO1	1	0.999	4	4	4	4	3	1	0	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	13547.203	5352.3994	0	0	6815.2026	3015.2444	13547.203	5352.3994	0	0	6815.2026	3015.2444	13547.203	5352.3994	0	0	6815.2026	3015.2444	
sp|Q9NRZ9|HELLS_HUMAN	Q9NRZ9	HELLS_HUMAN	HELLS	838	5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lymphoid-specific helicase	1	0.999	4	6	6	6	1	2	1	0	2	0	1	2	1	0	2	0	1	2	1	0	2	0	51492.19	8611.741	17094.28	0	21451.295	2817.7114	51492.19	8611.741	17094.28	0	21451.295	2817.7114	51492.19	8611.741	17094.28	0	21451.295	2817.7114	
sp|Q9NS87|KIF15_HUMAN	Q9NS87	KIF15_HUMAN	KIF15	1388	3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinesin-like protein KIF15	1	0.9986	2	3	3	3	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	34790.02	0	5980.5317	0	0	0	34790.02	0	5980.5317	0	0	0	34790.02	0	5980.5317	0	0	0	
sp|Q9NSE4|SYIM_HUMAN	Q9NSE4	SYIM_HUMAN	IARS2	1012	14.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Isoleucine--tRNA ligase, mitochondrial"	1	0.999	12	33	33	33	13	4	8	0	8	0	13	4	8	0	8	0	13	4	8	0	8	0	115653.4	17422.379	27900.404	0	38638.883	4017.6392	115653.4	17422.379	27900.404	0	38638.883	4017.6392	115653.4	17422.379	27900.404	0	38638.883	4017.6392	
sp|Q9NTI5|PDS5B_HUMAN	Q9NTI5	PDS5B_HUMAN	PDS5B	1447	6.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sister chromatid cohesion protein PDS5 homolog B	1	0.999	7	10	10	15	6	1	3	0	0	0	6	1	3	0	0	0	7	2	5	0	1	0	24644.12	3423.5767	6811.072	0	0	0	24644.12	3423.5767	6811.072	0	0	0	51523.266	9407.085	15080.186	0	7649.7466	0	
sp|Q9NTJ5|SAC1_HUMAN	Q9NTJ5	SAC1_HUMAN	SACM1L	587	11.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol-3-phosphatase SAC1	1	0.999	7	8	8	8	5	0	1	0	2	0	5	0	1	0	2	0	5	0	1	0	2	0	63449.516	9296.441	22376.408	0	8939.3955	0	63449.516	9296.441	22376.408	0	8939.3955	0	63449.516	9296.441	22376.408	0	8939.3955	0	
sp|Q9NTX5|ECHD1_HUMAN	Q9NTX5	ECHD1_HUMAN	ECHDC1	307	26.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ethylmalonyl-CoA decarboxylase	1	0.999	7	7	7	7	6	0	0	0	1	0	6	0	0	0	1	0	6	0	0	0	1	0	13359.895	7079.253	4947.9995	4593.522	7814.5684	0	13359.895	7079.253	4947.9995	4593.522	7814.5684	0	13359.895	7079.253	4947.9995	4593.522	7814.5684	0	
sp|Q9NU22|MDN1_HUMAN	Q9NU22	MDN1_HUMAN	MDN1	5596	0.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Midasin	1	0.999	4	5	5	5	4	0	0	0	1	0	4	0	0	0	1	0	4	0	0	0	1	0	19459.934	3556.8098	5223.767	0	4293.955	0	19459.934	3556.8098	5223.767	0	4293.955	0	19459.934	3556.8098	5223.767	0	4293.955	0	
sp|Q9NUJ1|ABHDA_HUMAN	Q9NUJ1	ABHDA_HUMAN	ABHD10	306	12.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Palmitoyl-protein thioesterase ABHD10, mitochondrial"	1	0.999	3	7	7	7	2	1	2	0	2	0	2	1	2	0	2	0	2	1	2	0	2	0	68753.016	6563.623	0	0	0	0	68753.016	6563.623	0	0	0	0	68753.016	6563.623	0	0	0	0	
sp|Q9NUQ3|TXLNG_HUMAN	Q9NUQ3	TXLNG_HUMAN	TXLNG	528	8.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gamma-taxilin	1	0.9979	3	4	4	4	3	0	0	0	1	0	3	0	0	0	1	0	3	0	0	0	1	0	22298.004	0	11133.068	0	7284.586	0	22298.004	0	11133.068	0	7284.586	0	22298.004	0	11133.068	0	7284.586	0	
sp|Q9NUQ8|ABCF3_HUMAN	Q9NUQ8	ABCF3_HUMAN	ABCF3	709	9.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-binding cassette sub-family F member 3	1	0.999	2	4	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	44145.066	0	0	0	0	0	44145.066	0	0	0	0	0	44145.066	0	0	0	0	0	
sp|Q9NUU6|OTULL_HUMAN	Q9NUU6	OTULL_HUMAN	OTULINL	356	4.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inactive ubiquitin thioesterase OTULINL	1	0.9987	2	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	17547.066	4967.159	8492.502	0	11763.922	0	17547.066	4967.159	8492.502	0	11763.922	0	17547.066	4967.159	8492.502	0	11763.922	0	
sp|Q9NV96|CC50A_HUMAN	Q9NV96	CC50A_HUMAN	TMEM30A	361	9.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cell cycle control protein 50A	1	0.999	2	5	5	5	2	0	2	0	1	0	2	0	2	0	1	0	2	0	2	0	1	0	8248.41	0	0	0	0	0	8248.41	0	0	0	0	0	8248.41	0	0	0	0	0	
sp|Q9NVG8|TBC13_HUMAN	Q9NVG8	TBC13_HUMAN	TBC1D13	400	11.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 13	1	0.999	3	4	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	42868.37	0	2608.107	0	0	0	42868.37	0	2608.107	0	0	0	42868.37	0	2608.107	0	0	0	
sp|Q9NVH1|DJC11_HUMAN	Q9NVH1	DJC11_HUMAN	DNAJC11	559	4.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 11	1	0.9989	2	3	3	3	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	21110.154	0	30105.79	0	0	0	21110.154	0	30105.79	0	0	0	21110.154	0	30105.79	0	
sp|Q9NVI1|FANCI_HUMAN	Q9NVI1	FANCI_HUMAN	FANCI	1328	5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fanconi anemia group I protein	1	0.999	6	7	7	7	6	1	0	0	0	0	6	1	0	0	0	0	6	1	0	0	0	0	77124.56	13798.685	10294.848	0	4770.989	0	77124.56	13798.685	10294.848	0	4770.989	0	77124.56	13798.685	10294.848	0	4770.989	0	
sp|Q9NVM9|INT13_HUMAN	Q9NVM9	INT13_HUMAN	INTS13	706	6.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrator complex subunit 13	1	0.9989	4	9	9	9	7	0	1	0	1	0	7	0	1	0	1	0	7	0	1	0	1	0	20275.033	0	5541.176	0	5434.1846	0	20275.033	0	5541.176	0	5434.1846	0	20275.033	0	5541.176	0	5434.1846	0	
sp|Q9NVS2|RT18A_HUMAN	Q9NVS2	RT18A_HUMAN	MRPS18A	196	16.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	"39S ribosomal protein S18a, mitochondrial"	1	0.999	3	7	7	7	5	0	1	0	1	0	5	0	1	0	1	0	5	0	1	0	1	0	39108.473	4405.138	8778.427	0	21606.14	0	39108.473	4405.138	8778.427	0	21606.14	0	39108.473	4405.138	8778.427	0	21606.14	0	
sp|Q9NVS9|PNPO_HUMAN	Q9NVS9	PNPO_HUMAN	PNPO	261	9.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyridoxine-5'-phosphate oxidase	1	0.999	2	5	5	5	2	1	1	0	1	0	2	1	1	0	1	0	2	1	1	0	1	0	25454.273	7480.423	7693.444	0	7142.356	4117.413	25454.273	7480.423	7693.444	0	7142.356	4117.413	25454.273	7480.423	7693.444	0	7142.356	4117.413	
sp|Q9NVV4|PAPD1_HUMAN	Q9NVV4	PAPD1_HUMAN	MTPAP	582	2.9	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Poly(A) RNA polymerase, mitochondrial"	1	0.9978	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	50818.86	0	7886.681	0	12063.389	0	50818.86	0	7886.681	0	12063.389	0	50818.86	0	7886.681	0	12063.389	0	
sp|Q9NVZ3|NECP2_HUMAN	Q9NVZ3	NECP2_HUMAN	NECAP2	263	14.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adaptin ear-binding coat-associated protein 2	1	0.999	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	21164.52	0	8035.1323	0	4920.4507	0	21164.52	0	8035.1323	0	4920.4507	0	21164.52	0	8035.1323	0	4920.4507	0	
sp|Q9NW13|RBM28_HUMAN	Q9NW13	RBM28_HUMAN	RBM28	759	12.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 28	1	0.999	8	10	10	10	4	2	3	0	1	0	4	2	3	0	1	0	4	2	3	0	1	0	87918.17	22432.717	48407.21	0	48063.09	0	87918.17	22432.717	48407.21	0	48063.09	0	87918.17	22432.717	48407.21	0	48063.09	0	
sp|Q9NW64|RBM22_HUMAN	Q9NW64	RBM22_HUMAN	RBM22	420	7.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-splicing factor RBM22	1	0.999	3	5	5	5	1	0	1	0	3	0	1	0	1	0	3	0	1	0	1	0	3	0	72819.5	6909.339	28570.805	0	31005.406	0	72819.5	6909.339	28570.805	0	31005.406	0	72819.5	6909.339	28570.805	0	31005.406	0	
sp|Q9NW82|WDR70_HUMAN	Q9NW82	WDR70_HUMAN	WDR70	654	11.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 70	1	0.999	6	16	16	16	9	1	3	0	3	0	9	1	3	0	3	0	9	1	3	0	3	0	61478.117	5406.8906	18423.477	0	10780.1	0	61478.117	5406.8906	18423.477	0	10780.1	0	61478.117	5406.8906	18423.477	0	10780.1	0	
sp|Q9NWU5|RM22_HUMAN	Q9NWU5	RM22_HUMAN	MRPL22	206	12.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	"39S ribosomal protein L22, mitochondrial"	1	0.9988	2	5	5	5	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	50986.38	0	3937.9517	0	0	0	50986.38	0	3937.9517	0	0	0	50986.38	0	3937.9517	0	0	0	
sp|Q9NX20|RM16_HUMAN	Q9NX20	RM16_HUMAN	MRPL16	251	15.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	"39S ribosomal protein L16, mitochondrial"	1	0.999	4	6	6	6	3	0	2	0	1	0	3	0	2	0	1	0	3	0	2	0	1	0	49162.32	0	11745.926	0	11500.482	0	49162.32	0	11745.926	0	11500.482	0	49162.32	0	11745.926	0	11500.482	0	
sp|Q9NX40|OCAD1_HUMAN	Q9NX40	OCAD1_HUMAN	OCIAD1	245	16.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	OCIA domain-containing protein 1	1	0.9989	4	12	12	12	3	2	3	0	4	0	3	2	3	0	4	0	3	2	3	0	4	0	79660.89	29619.117	57808.51	0	56686.926	10388.501	79660.89	29619.117	57808.51	0	56686.926	10388.501	79660.89	29619.117	57808.51	0	56686.926	10388.501	
sp|Q9NX46|ADPRS_HUMAN	Q9NX46	ADPRS_HUMAN	ADPRS	363	10.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylhydrolase ARH3	1	0.999	3	7	7	7	3	0	3	0	1	0	3	0	3	0	1	0	3	0	3	0	1	0	18362.547	6060.213	8417.439	0	10038.462	0	18362.547	6060.213	8417.439	0	10038.462	0	18362.547	6060.213	8417.439	0	10038.462	0	
sp|Q9NXF1|TEX10_HUMAN	Q9NXF1	TEX10_HUMAN	TEX10	929	3.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Testis-expressed protein 10	1	0.999	3	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	30982.602	0	3784.4211	0	2810.2349	0	30982.602	0	3784.4211	0	2810.2349	0	30982.602	0	3784.4211	0	2810.2349	0	
sp|Q9NXG2|THUM1_HUMAN	Q9NXG2	THUM1_HUMAN	THUMPD1	353	14.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	THUMP domain-containing protein 1	1	0.999	4	13	13	13	3	2	6	0	2	0	3	2	6	0	2	0	3	2	6	0	2	0	77448.484	8253.229	26374.877	0	7334.0215	0	77448.484	8253.229	26374.877	0	7334.0215	0	77448.484	8253.229	26374.877	0	7334.0215	0	
sp|Q9NXH9|TRM1_HUMAN	Q9NXH9	TRM1_HUMAN	TRMT1	659	3.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	tRNA (guanine(26)-N(2))-dimethyltransferase	1	0.999	2	3	3	3	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	26842.314	0	10831.189	0	16193.877	0	26842.314	0	10831.189	0	16193.877	0	26842.314	0	10831.189	0	16193.877	0	
sp|Q9NXR7|BABA2_HUMAN	Q9NXR7	BABA2_HUMAN	BABAM2	383	6.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	BRISC and BRCA1-A complex member 2	1	0.999	2	9	9	9	4	2	1	0	2	0	4	2	1	0	2	0	4	2	1	0	2	0	44935.168	6489.155	16601.668	0	17237.074	3711.4814	44935.168	6489.155	16601.668	0	17237.074	3711.4814	44935.168	6489.155	16601.668	0	17237.074	3711.4814	
sp|Q9NXW2|DJB12_HUMAN	Q9NXW2	DJB12_HUMAN	DNAJB12	375	6.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily B member 12	1	0.999	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	21572.906	0	0	0	5995.6875	0	21572.906	0	0	0	5995.6875	0	21572.906	0	0	0	5995.6875	0	
sp|Q9NY27|PP4R2_HUMAN	Q9NY27	PP4R2_HUMAN	PPP4R2	417	7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 4 regulatory subunit 2	1	0.9985	2	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	8868.578	0	0	0	0	0	8868.578	0	0	0	0	0	8868.578	0	0	0	0	0	
sp|Q9NY33|DPP3_HUMAN	Q9NY33	DPP3_HUMAN	DPP3	737	11.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dipeptidyl peptidase 3	1	0.999	6	15	15	15	7	2	5	0	1	0	7	2	5	0	1	0	7	2	5	0	1	0	89724.66	15177.402	26338.043	0	17298.578	0	89724.66	15177.402	26338.043	0	17298.578	0	89724.66	15177.402	26338.043	0	17298.578	0	
