Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-07_4449.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-07_4462.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-07_4475.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-08_4450.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-08_4463.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_30ng_15min_3-19-2024_Slot2-08_4476.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_10ng_15min_3-18-2024_Slot2-09_4451.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_20ng_15min_3-19-2024_Slot2-09_4464.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_30ng_15min_3-19-2024_Slot2-09_4477.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_10ng_15min_3-18-2024_Slot2-10_4452.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_20ng_15min_3-19-2024_Slot2-10_4465.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_30ng_15min_3-19-2024_Slot2-10_4478.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4453.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4466.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4479.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4454.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4467.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4480.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-01_4443.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-01_4456.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-01_4469.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-02_4444.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-02_4457.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_30ng_15min_3-19-2024_Slot2-02_4470.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_10ng_15min_3-18-2024_Slot2-03_4445.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_20ng_15min_3-19-2024_Slot2-03_4458.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_30ng_15min_3-19-2024_Slot2-03_4471.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_10ng_15min_3-18-2024_Slot2-04_4446.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_20ng_15min_3-19-2024_Slot2-04_4459.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_30ng_15min_3-19-2024_Slot2-04_4472.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_10ng_15min_3-18-2024_Slot2-05_4447.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_20ng_15min_3-19-2024_Slot2-05_4460.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_30ng_15min_3-19-2024_Slot2-05_4473.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_10ng_15min_3-18-2024_Slot2-06_4448.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_20ng_15min_3-19-2024_Slot2-06_4461.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_30ng_15min_3-19-2024_Slot2-06_4474.d
O95716	O95716	RAB3D_HUMAN	RAB3D	Ras-related protein Rab-3D	17866.5	6049.59	3248.7	17238.3	4835.69		20708	7002.12		6037.94	3907.06		6452.28	5255.06		6402.81	5271.66	6836.06	59921.9	15381.8	5222.33	53447.8	11697.4	3396.63	49628.3	12277.2	5592.02	6372.66	4938.8	5991.18	7931.72	9197.07	6624.14	9752.75	7326.42	5153.94
O95721	O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29	16510.4	16288.5	18145.4	17973.7	16076.3	17236.3	15536.5	15710	18139.4	24000.7	29493.6	29051.7	26106.7	27366.4	30116.7	26297.2	29554.8	29620.3	17868.7	18450.5	19935.1	16941.5	16373.9	18906.6	19377.7	20306.9	20524.2	26455.7	24894.1	25948.6	27470.6	25012.1	28098.4	30211.6	33035.4	34856
O95747	O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1	123940	120367	106381	123877	123564	118042	123086	128399	124078	149577	155983	153323	145494	143647	132428	142354	144608	132332	113357	105304	100544	105510	103806	101845	116251	117672	117323	154712	152170	142864	146047	135579	133075	168380	163811	161762
O95749	O95749	GGPPS_HUMAN	GGPS1	Geranylgeranyl pyrophosphate synthase	15612.6	13897.3	9181.36	18344	11874.3	8347.94	18214.4	12017.6	7972.02	15693.7	14342.7	15129.8	21908.6	17632.5	18777.1	17018.7	19837.1	18986.9	14235.2	11263.8	9686.69	12552.8	9213.28	12281.8	11811.5	11115.5	9607.44	16983.9	16186.6	17318.1	16221.5	17568.9	12527.9	23645.4	21915.1	15961.7
O95757	O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L	20905.4	21761	17946.2	21497.7	21507.9	18474.4	20736.3	21469.4	16194.7	26669	25688.5	25721.8	29721.9	25754	25687.3	24569.2	29233.6	26285.3	16415.7	15561.5	12574.6	16518.3	16648.4	12914.6	18211.6	16860.2	14635.3	23046.9	24564.5	25699.5	22648.6	24888.8	23987.8	24331	24700.5	26560.1
O95758	O95758	PTBP3_HUMAN	PTBP3	Polypyrimidine tract-binding protein 3	15538.1	14561	15386.7	16405.1	15553.6	16006.5	14040.8	13751.3	18218.6	8119.49	8559.31	8412.31	9229.94	6241.59	7923.07	8867.76	9624.28	8915.28	13390.5	14241.9	12908.8	15636.7	14639.2	12345.6	13286	12700.6	11550.2	14264.6	12463.7	11988.9	11084.3	13468.7	13590.1	13746.9	11202.8	9140.03
O95759	O95759	TBCD8_HUMAN	TBC1D8	TBC1 domain family member 8								1152.64											3358.93	2687.03	2778.34	2437.36	2428.06	3168.11	2557.78	2497	2764.19		2216.41							1909.54
O95772	O95772	STR3N_HUMAN	STARD3NL	STARD3 N-terminal-like protein	23460.4	31995.4	21374.3	22849.1	25764.8	18827.9	28821.5	30498	21795.3	21511.7	27727.5	26820.1	21982.9	28442.1	29930.6	24278.2	28344.1	30203.7	16984.1	22763.8	15661.6	18799	17388.1	15343.6	21148.7	24057.4	19072.4	20014.2	25911.1	21888.5	21953.6	22763.8	24861.7	17957.7	25128.7	29421.2
O95777	O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8		9105.35			8040.91					59586.7	67051.9	59568.7	111780	101734	64462.4	115216	139152	71531.8										128508	114486	70504.3	106684	92667.8	59883.6	90603.2	89900.5	50619.4
O95782	O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1	114490	112416	105117	113749	114661	106437	121370	123352	113660	83514.3	87544.3	89830.9	68250.4	74066.7	63861	68378	74835.4	69427.3	98880.6	99021.1	89255.6	97501.4	100633	89392.5	98575.4	99556.9	92957.9	77327	79147.2	68385.9	79851.6	82151.8	77619.5	61058.4	69571.7	68435
O95785	O95785	WIZ_HUMAN	WIZ	Protein Wiz		3314.56		3258.34	3424.35			3367.36	1947.89	3469.71	4516.32	3087.54	2707.77	2982.87	5950.96	4756.49	3268.94	3335.66	4021.3	3094.86	3588.05	3797.15	4235.57	2784.3	4055.77	3347.11	2880.68	6062.54	6189.48	5124.22	5364.8	6309.59	5965.42	3598.85	3740.32	3512.19
O95786	O95786	DDX58_HUMAN	DDX58	Antiviral innate immune response receptor RIG-I	150337	161990	152562	152423	168320	171324	149956	167544	161790	403407	456413	460965	342297	375256	392160	321423	363567	378624	102583	95271	103239	102877	101014	104439	98666	99465.6	99090.7	451023	502920	469074	402682	453967	455038	288383	329953	327818
O95793	O95793	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1	22895.5	21077.6	17977.3	20680.7	21168.3	18904.6	22459.7	22019.4	18529.3	19520.2	21272.1	21706.8	19840.6	18823.4	19070.4	20994.7	20689.2	20528.6	27350.9	26716.8	23632.8	25390.8	25734.7	22506	25064.1	25048.2	24024	22918	25988.9	24303.5	24654.4	24090.5	21995.8	22824.5	23241.6	24533.9
O95801	O95801	TTC4_HUMAN	TTC4	Tetratricopeptide repeat protein 4	14421	12956.9	11204.6	14421	13507.4	9468.64	14792	14770.4	10077.9	10095.5	11049.2	11862.2	12399.5	10422.3	11097.5	12699.4	10566.4	10811.4	21121.7	20723.5	14408.7	20415.6	17723.4	12961.2	19296.2	17868.3	12809.6	11626.1	11213.6	8274.15	10960	10660.8	9885.02	10330.6	10273.2	9782.73
O95810	O95810	CAVN2_HUMAN	CAVIN2	Caveolae-associated protein 2	24822.3	32050.7	32271	28591.5	32443.3	33665.6	25484.3	29060.4	29580.5	16186.7	20536.3	28632.4	17465.3	26677	23926.2	17124.7	22817.1	26395.3	20938.4	23790.4	26087	22707.6	23925.8	23460.7	21464.3	24541.1	26513.8	6643.3	7068.97	8885.72	7584.17	7858.59	10017.4	10568.7	9724.16	12562.1
O95816	O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2	23076.2	20028.1	20979.3	27510.4	19844.4	18384.5	22195.6	25230.9	17281.9	31881.4	33153.2	25947.9	24471.5	30866.9	23347.2	28643.2	23835.7	21892.5	40734.5	28978	23265.3	36141.3	22874.1	22320.6	36148	31328.4	26596.5	47941.5	44258.1	32731.7	43307.1	48292.3	37511.9	49781.6	59329.7	39450
O95817	O95817	BAG3_HUMAN	BAG3	BAG family molecular chaperone regulator 3	13953.2	15441.2	16769.6	15970.9	15808.2	16825.4	13109.2	13905.5	14480.7	51574.8	60606.9	60714.6	52579.4	56914.5	58600.8	53219.4	59087.5	54487.2	11374.7	11646.9	11871.1	9816.73	11559	10921.8	10019.4	11706.6	10647.3	34757	36701.7	38661.7	41794.5	47514.5	49030.8	69954.3	78699.4	82918.5
O95819	Q9UKE5;Q8N4C8;O95819	M4K4_HUMAN	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	66967.7	68096.8	73239	70322.4	67321.4	73308.7	69293.4	72713.4	74621.9	61843.7	75326.1	81466.6	57931.1	66332.1	72625.8	55013.8	65602.4	69965.1	52982.5	54744	55841.1	54517.4	55654.3	52491.3	52179.2	53489	57190.6	58037.1	62669.7	63574.6	58936.4	59553.7	65674.1	50584.7	52320.9	56188
O95822	O95822	DCMC_HUMAN	MLYCD	"Malonyl-CoA decarboxylase, mitochondrial"	4934.85	6722.6	5138.82	5346.1	4920.44	4598.14	5220.42	5437.4	6404.12	5930.05	4566.75	5756.67	6195.2	5560.88	6088.78		4842.67	4636.12	4026.79	5308.67	7268.79	4848.78	5570.16	5643.33	3882.2	5291.56	5178.84	2577.1	5187.22	6127.17	3244.42	5260.97	4277.07	7272.29	3441.77	5041.01
O95825	O95825	QORL1_HUMAN	CRYZL1	Quinone oxidoreductase-like protein 1	9787.02	9583.96	8522.74	8230.62	9248.89	9734.49	8474.98	10071.8	7725.6	9842.26	10519.7	9601.81		5825.54	9192.9	14507.7	7969.77	10402.1	8606.31	8558.9	7114.29	9153.14	8149.86	9416.61	9685.87	8024.97	7079.3	8725.39	10060.7	8488.85	9130	7857.65	7897.88	7860.73	8890.46	7683.72
O95831	O95831	AIFM1_HUMAN	AIFM1	"Apoptosis-inducing factor 1, mitochondrial"	29157.4	26399	26888.2	26551.2	27311.6	27633.5	28976.8	28028.7	27295.2	35535.4	35707.8	35375.5	32797.7	32523.8	31649.4	30305.3	35333.8	32430.9	27431.2	26739.4	25853.1	25389.7	26925.1	24858.3	27447.6	28710.9	26181.5	35626.3	36441.8	38543.6	37916.5	35841.8	34466	27439.4	29171.5	30915.7
O95832	O95832	CLD1_HUMAN	CLDN1	Claudin-1	2498.81	3353.52	3275.07	3778.6	3588.9	3878.33	5261.3	2945.03	3815.44	4787.58	6281.66	6057.05		5940.95				5594.56	2042.53		3511.4	1825.92	3829.82	4354.62	2491.67	3923.21	3080.27		4174.51			3718.07				
O95834	O95834	EMAL2_HUMAN	EML2	Echinoderm microtubule-associated protein-like 2	17703.4	15995	12881.6	16456.7	17268.7	11976.7	18278.4	15466	14636.6	12733.2	12068.2	11689.8	10459	11543.1	11223.4	10547.2	10860.9	13238.9	12894.1	11859.5	8896.77	13106.5	11485.4	8649.71	13284.6	11646.8	8017.16	11493.2	11488.3	10867.2	11876	10434.6	9474.38	10462.8	12447.8	10042.3
O95835	O95835	LATS1_HUMAN	LATS1	Serine/threonine-protein kinase LATS1		5006.33	4152.96	5611.07	2859.59	3770.82	3178.58	2984.29	3197.51	4795.61		3302.55			5785.32				2655.98	5032.32	3617.69	3126.64	3906.47	4393.65	3673.04	4536.14	5856.15	4675.39	4320.51	5852.14	6963.24	5093.1	5050.38	4486.87	7000.12	5230.86
O95837	O95837	GNA14_HUMAN	GNA14	Guanine nucleotide-binding protein subunit alpha-14	5124.98	2091.57	1975.84		4069.34	3038.93	1190.89	5091.89	2499.33	6295.38	2937.37	3604.78	5109.74	4181.79	5334.83		4175.94			4019.18	3601.36	3523.36					3585.5		3080.79	2651.55			1535.22	2397.43	1841.36	2974.57
O95848	O95848	NUD14_HUMAN	NUDT14	Uridine diphosphate glucose pyrophosphatase NUDT14				5753.23						6077.7	5624.9	6721.35		5465.6	6163.23		5786.69	5879.54		4064.25								8817.2	11520.3	12938.1	12966	12143.7	11566.2	12606	13474.9	16028.5
O95861	O95861	BPNT1_HUMAN	BPNT1	"3'(2'),5'-bisphosphate nucleotidase 1"	18574.7	20313.9	21719.2	17201.2	19009.9	20432.9	16971.7	19858.5	15263.7	23349.1	21113.2	23051.8	17523.1	21665.3	24298.1	23069.5	22455.1	20883.7	12898.4	13033.5	14435.7	14528	11672.5	13825.4	12064.1	11079.7	14075.1	18425.7	16252.5	21919.4	19821.7	19677.2	23616.2	23255	19186.9	22957.9
O95864	O95864	FADS2_HUMAN	FADS2	Acyl-CoA 6-desaturase	18415.6	17706.4	20145.3	17962.1	17328.6	20076.1	18773.1	17510.3	20253	11123.3	12540.7	13290.9	7219.76	44991.6	11594.6	22183.3	22540.9	19861.1	81454.1	77635	79975.3	83359.9	83490.7	87277.7	75399.8	87733.2	83824	34672.9	38285.8	41961.1	32357.1	41429.3	39486.6	28775	27312.9	33137.5
O95865	O95865	DDAH2_HUMAN	DDAH2	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"	51285.2	54116.4	54890.4	55570.5	52477.3	59259	49759.6	49042.1	54144.6	62948.9	63294.6	70301.2	53286.2	60545.8	59519.3	49988.8	62046.9	55669.5	44175	44781.1	50100.2	44841	48316.7	50462.4	48174	48028	46456.6	57510	62849.4	63262.9	59077.2	53495.5	55488.6	62860.6	71686.6	65454
O95870	O95870	ABHGA_HUMAN	ABHD16A	Phosphatidylserine lipase ABHD16A	19316.9	19571.5	19069.7	19642.9	20318.3	20792.3	17732.9	19223.2	19954.2	17459.9	19757.7	20162.1	14184	16020.5	15761.1	16523.8	14577.5	17339.8	13322.9	12791	14137.1	12357.2	12546.3	13011.8	11548.7	13042.6	12617.3	11962.2	13726.7	13616.7	11815.4	14184.7	14138.2	7432.2	8847.17	9602.42
O95873	O95873	CF047_HUMAN	C6orf47	Uncharacterized protein C6orf47	1980.11	2929.61	2492.51	2209.99	1817.94	2617.11	2207.36	1740.27	3572.76	2208.45	1975.78	2264.54			3032.45	1939.13	4944.36	3288.42	1291.35	2540.31	3217.25	2802.88	2479.16	3996.48	2783.89	3249.11	3621.45	2049.08	3403.96	3041.56	2412.37	2906.27	3990.73	2473.53	3052.43	4607.35
O95881	O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12	78555.7	77731	81984.4	80156.3	83825.4	85080.9	79333.2	86091	81235.4	157505	164183	167191	211585	261139	275398	198297	226089	245591	69745.6	74888.5	72453.6	85208.8	72308.6	72256.8	77029	75809.6	73073.6	160803	150422	145093	189791	191167	178814	257842	260111	272408
O95897	O95897	NOE2_HUMAN	OLFM2	Noelin-2	3626.51	4858.15	2371.24	3232.9	3681.14	3167.25	3317.73	5752.9	2887.34	2555.11	1147.29																			2346.01						
O95900	O95900	TRUB2_HUMAN	TRUB2	Mitochondrial mRNA pseudouridine synthase TRUB2	2146.9	1965.59	2579.16		3126.1	2997.05		2119.15							2673.1				2410.16	2633.66	2136.04	2500.05	2774.42	2175.47		2838.32	2906.32		2577.76		2612.04	2891.85	3659.81			
O95905	O95905	ECD_HUMAN	ECD	Protein ecdysoneless homolog	15159.3	17400.4	13964.9	18151.7	16778.5	14732.2	18987.3	16747.4	14486.2	9217.28	12441.2	12272.7	7776.45	11034.9	11161.5	9880.69	9561.51	11847.1	17147.6	15949.6	14187.7	17716.3	16546.3	13239.6	16673.5	17045.9	12226.8	11886.3	12273.8	11284.7	12368.1	14780.1	11006.2	12555.8	14311	11033.6
O95967	O95967	FBLN4_HUMAN	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	3578.91		3920.34	4372.4	3518.91	3788.91		3207.64	3180.62	4948.03	5102.28	5320.46	4731.33	7105.48	6363.82	6283.04	6528.17	6602.71	3051.97	4065.79	2892.53	4447.78	2967.01	2777.19	2511.84	2507.14	3333.93		2825.63	2122.87	2353.36	2459.86		4321.7	3196.64	2860.25
O95980	O95980	RECK_HUMAN	RECK	Reversion-inducing cysteine-rich protein with Kazal motifs	4688.7	2217.39	2348.37	3883.82	3104.71	2446.6	4874.02	2232.83	2720.57	2998.87	1720.23	1958.66	3148.26	3252.37	3195.53	3197.16	3168.41	2637.93	2294.59	1382.89	1349.21	3226.81	929.681	1826.28	2611.25	1465.95	848.024	1587.8			3014.68		2389.73	2555.09	2523.93	2342.33
O95983	O95983	MBD3_HUMAN	MBD3	Methyl-CpG-binding domain protein 3	8731.67	8316.81	7402.61	6795.51	6717.09	7750.49	7775.06	8676.5	6875.06	6587.8	4610.14	4319.23		9080.03				5056.83	12355.2	10040	13768.4	11774.8	13207.4	11078.7	10243.6	11365.9	11972.3	6187.8	8788.73	6625.92	6937.1	6873.26	6521.9	8810.81	9146.83	8031.51
O95985	O95985	TOP3B_HUMAN	TOP3B	DNA topoisomerase 3-beta-1	4727.8	5094.88	4713.97	4499.82	5808.79	5227.92	4233	5241.02	4849.8	4850.88	6202.54	5114.42	5931.48	5081.44	5877.73	4672.46	5416.01	5517.44	5729.84	6885.8	6247.05	5982.16	6017.88	5711.23	5515.07	6014.08	5670.56	6726.44	6398.68	6351.83	5018.16	6911	6646.24	3694.43	6256.56	5714.06
O95989	O95989	NUDT3_HUMAN	NUDT3	Diphosphoinositol polyphosphate phosphohydrolase 1	10295.5	8601.48	9913.31	10665.2	10490.2	9617.41	8216.58	9264.3	8852.99	10686	12173.8	15530.6	13215.5	12896.9	10045.1	15611.9	11453.3	10927	7950.73	7675.62	8435.75	9948.61	8287.49	7861.03	10193.2	8222.53	8564.48	15088.3	14698.4	13546.6	12401	14415.7	13294.4	13724.5	15329.6	11386.5
O95999	O95999	BCL10_HUMAN	BCL10	B-cell lymphoma/leukemia 10	16516.9	16353.4	11313.3	17273.1	17551	11145.4	18120.3	18077.9	13121	25438.8	23683.2	19420.5	15402.6	19887.1	18466.1	17971.5	23093.5	16869.8	13388.8	13287.9	8960.63	13133.2	13782.1	8801	13501.3	12510.6	9341.59	18292.6	15154.5	11992.1	17515.5	15270.5	14548.7	20717.2	21579.6	18542.2
O96000	O96000	NDUBA_HUMAN	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	34564	33739.9	32534.3	29736.5	35242.6	31105.5	33377.7	33759.6	37603.9	30770.7	36080.5	32835.3	24251.2	28677.5	31844.4	27974.7	27961.1	30837.7	32904.9	37591.7	37649.8	36049.1	39184.5	35020.3	38229.1	42464.3	41103.9	34097.3	32523.7	32702.4	30819.2	34669.7	37386.2	35714.7	37663.6	36688.4
O96005	O96005	CLPT1_HUMAN	CLPTM1	Cleft lip and palate transmembrane protein 1	28768.5	24819.6	20796.4	27333.3	25349.1	22045.8	26078	25582.8	20661.9	23988.2	25252.4	24700.2	19444.1	20551.7	22482.5	25593	21470.4	20167.2	28342.1	25035.9	21199.1	26649.6	27057.6	21392.9	26204.1	23349.1	19193.6	23229.8	22457.4	19931.1	23467.2	28537.8	21501.4	26695	27549.9	27528.5
O96006	O96006	ZBED1_HUMAN	ZBED1	E3 SUMO-protein ligase ZBED1	851.984	2908.93			2692.19	1696.4	1802.52		1935.63							894.546			4357.45	3493.31	2825.58	3446.28	3007.6	3265.4	3665.51	3506.2	3850.43	3097.85	3042.21	2490.3	2367.62	1985.17	1698.17	2988.99	1658.39	1665.91
O96007	O96007	MOC2B_HUMAN	MOCS2	Molybdopterin synthase catalytic subunit	4969.94	4668.91	5942.69	4927.26	5902.35	5713.97	4844.06	4720.28	5044.3	6871.76	6899.23	6471.5	4140.2	5893.82	6048.74	6424.49	7442.67	4793.99	6800.39	3799.41	4454.57	4399.73	4262.13	4335.26	4420.56	4046.58	4909.99	6406.82	6405.75	4894.76	6362.25	6345.25	4863.75	5172.23	6869.76	7368.41
O96008	O96008	TOM40_HUMAN	TOMM40	Mitochondrial import receptor subunit TOM40 homolog	38657.5	40774.7	44288.5	33817.2	39849.1	38926.6	27758	35880.8	35329.4	31958.9	37993.3	37631.2	17841.4	23661.5	21877.6	21657.4	19434.2	25701.7	40096.7	46552.8	50720.8	39756.6	46881.1	46119.5	43585.7	46577.6	49184.7	36225.2	41042.8	36328	33941.5	29824	35970.5	32168.8	40824.6	36450.3
O96011	O96011	PX11B_HUMAN	PEX11B	Peroxisomal membrane protein 11B	22597.1	21204.1	19681.9	23053.2	20239.8	20563.1	20396.9	22811.1	21077.1	20013.9	24247.8	25013.1	21395.3	23230.4	20863.4	19702.4	21371.7	21064.5	16871	19351.7	16868.8	16762.5	17746.4	17074.8	17690.4	18815.8	16917.9	15956.1	15988.8	17243.2	15390.3	16275.1	16001.8	12636.8	13121.8	13298.2
O96013	O96013	PAK4_HUMAN	PAK4	Serine/threonine-protein kinase PAK 4	12783.4	13226.6	12232.3	14135.5	13462.5	13417.2	14901.9	12910.8	14776.1	10680.6	12659.3	12529.2	11789.4	10192.4	13170.9	8863.33	10749.6	11359.1	18714.3	20121.9	17845.9	19327.6	19702.9	17974.6	19521.9	19881.8	18078.3	15375.4	15880.3	14049	14269.8	14331.4	13580.2	12611.6	13542.4	13367.9
O96018	O96018	APBA3_HUMAN	APBA3	Amyloid-beta A4 precursor protein-binding family A member 3	4280.17	3706.93	5250.18		5248.63	4826.61	5064.95	4820.14	4930.47		4064.43	5386.61		5008.83	5553.66			5800.21	4140.06	4128.95	4405.31	3552.32	4088.28	4766.28	3238.9	4822.65	4503.46			3038.62		4562.28	5721.81			
O96019	O96019	ACL6A_HUMAN	ACTL6A	Actin-like protein 6A	23704.9	25916.3	26291.2	23933.6	26863	28909.5	24601.6	25160.8	31327.9	23807.9	20829.6	26072.1	21993.8	25888.8	23595.1	22444.6	24105.5	28852.6	30390.8	29833.4	32603.3	28898.2	28836	33622.9	30008.3	32479.8	34982.3	26282.4	30022	32693.9	27598.6	29741.1	27203	31849.3	33028.6	39603.6
O96028	O96028	NSD2_HUMAN	NSD2	Histone-lysine N-methyltransferase NSD2	4560.43	5119.37	3501.34	3309.79	5532.74			3910.28										6209.81	5405.71	7630.64	6889.99	5948.34	6359.87	6456.38	5648.33	6419.83	6589.91	5512.47	7022.56	6905.42	6661.62	7769.1	7169.63	5035.79		6228.47
O96033	O96033	MOC2A_HUMAN	MOCS2	Molybdopterin synthase sulfur carrier subunit	7251.48	4564.82		5569.64	2723.02	2063.02	7327.23	5157.57		16311.8	11440	10416.9	26624.4	21687.4	26306.3	28760.7	21682.4	21302.6	7408.84	4738.05		6917.42	4178.98		4725.79	3672.75		13022.6	6528.04	4581.22	15146	12967.7	6605.19	19647.6	22664.9	13057.4
P00156	P00156	CYB_HUMAN	MT-CYB	Cytochrome b	11502.4	10695.5	11846.2	12623.4	11634	13687.1	13894.9	13296.6	13848.6	9069.6	8735.22	8991.6	7040.88	5765.48	5818.75		7471.01		11791	12434.1	11853.8	14621.5	12092.4	12228.2	9250.99	12042.2	13622.8		4433.15	4381.46	3523.23	4807.74				4647.31
P00167	P00167	CYB5_HUMAN	CYB5A	Cytochrome b5	14257.6	15492	21324	13152.4	16254.8	18870.5	14736.7	16679.1	15910.9	31479.4	40561.9	38544.3	31017.4	37282.2	40815.9	34079.7	39162	44346.5	14793.1	18269.9	17040.1	13230.5	17954.5	16947.3	15689.9	18701.1	20423.5	26217.9	32051.8	29428.2	27448.9	32173.1	32547.4	35800.9	46206	52629.1
P00338	P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	1.10E+06	1.10E+06	1.03E+06	1.09E+06	1.06E+06	946260	1.03E+06	1.01E+06	987683	614794	624875	586095	510179	502461	428818	507763	505218	377532	694939	654488	575708	664957	680021	635880	743516	687187	657365	593534	623250	541806	538984	611373	606538	508216	521768	551708
