Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-99_3554.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-100_3555.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-101_3557.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-102_3558.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-103_3559.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-113_3560.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-11-2024_Slot1-114_3562.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-11-2024_Slot1-115_3563.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-53_3542.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-54_3543.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-57_3545.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-58_3546.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-59_3549.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-60_3550.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-61_3567.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-62_3568.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-63_3569.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-64_3570.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-47_3534.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-50_3535.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-51_3537.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-10-2024_Slot1-52_3538.d
O60543	O60543	CIDEA_HUMAN	CIDEA	Lipid transferase CIDEA				95.3128		136.002					264.491		255.776	221.078					118.035			
Q9BSJ8	Q9BSJ8	ESYT1_HUMAN	ESYT1	Extended synaptotagmin-1		102.844		538.486		178.061			95.6636	506.648	179.173	253.131	255.787	180.744					229.107	203.475		477.016
P13674	P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1		383.064		111.797		327.698			147.305		270.635	209.096	258.248	27.5639					238.316			202.027
Q8NBP7	Q8NBP7;A0A669KBG0	PCSK9_HUMAN	PCSK9	Proprotein convertase subtilisin/kexin type 9													258.945	25.8825								
P30566	P30566;A0A096LNY6;A0A0A6YY92;A0A1B0GTJ7;A0A1B0GWJ0;A0A7P0T8E4;A0A7P0Z472;A0A1B0GTG9;A0A1B0GWF8;A0A7P0T9A7;A0A096LNY4;A0A096LNY5;A0A096LP72;A0A096LP92;B4DEP1	PUR8_HUMAN	ADSL	Adenylosuccinate lyase		369.036		443.208								380.766	259.041	159.908					101.77	296.097		
Q92520	Q92520;C9JMN4;C9JP35	FAM3C_HUMAN	FAM3C	Protein FAM3C		391.815		35.9204		181.339			119.848	224.998	185.788	182.264	259.268	133.075					265.259			185.425
Q8TC12	Q8TC12;G3V234;G3V2G6	RDH11_HUMAN	RDH11	Retinol dehydrogenase 11			371.766	288.517					212.021	312.255	151.364	159.261	259.343	236.605					92.9122	217.695		439.803
Q14139	Q14139;B7Z7P0	UBE4A_HUMAN	UBE4A	Ubiquitin conjugation factor E4 A		203.14											259.486	42.059					123.038			
Q9NZB2	Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1		453.803		394.817	1518.9	481.207			291.191	563.93	465.104	191.408	259.875	163.621					281.164	436.843		
O15075	O15075;Q5VZY9	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1				191.449					220.641	252.861	164.109	110.086	260.549	316.31					314.604	227.901		
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase				143.22					236.918		270.81	216.024	260.59	162.973					298.983			
D6RFZ9	Q13404;Q15819;I3L0A0;D6RFZ9;E5RIF1;G3V113;G3V2F7;H0YBX6	D6RFZ9_HUMAN	RACK1	Receptor for activated C kinase 1 (Fragment)		526.53	1267.42	338.398	1149.68	369.32			417.714	960.02	193.239	525.755	260.61	588.647					645.378	375.712	607.308	
Q96PK6	Q96PK6	RBM14_HUMAN	RBM14	RNA-binding protein 14		270.211	830.052	419.916	749.758	639.913			229.21	327.13	317.63	386.154	260.673	191.231					351			612.492
Q14008	Q14008;H0YDX5	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5		237.138	193.539	353.053		740.32			260.712	398.128	257.052	353.375	261.263	525.015					199.512	312.251		621.731
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1199.21	438.666		1065					297.339	462.16	506.2	656.435	261.422	618.65		469.595			246.629	182.479	301.151	
Q32MK0	Q32MK0	MYLK3_HUMAN	MYLK3	Myosin light chain kinase 3									98.0551	582.024	220.842		261.584			905.915			412.181		402.478	
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin					369.046				230.949	258.581	6646.03	227.047	261.74	172.552	878.504	558.188	929.374	590.442	186.198	228.629	308.433	487.336
Q9UL25	Q9UL25	RAB21_HUMAN	RAB21	Ras-related protein Rab-21		544.546	524.95	269.658					365.399	199.101	632.84	322.775	262.14	217.592					166.722			
Q13045	Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog		225.9		347.347					387.707	376.949	305.146	417.811	262.825	190.718					352.503	531.753		385.184
P17900	P17900	SAP3_HUMAN	GM2A	Ganglioside GM2 activator									366.192	521.963	352.621	461.689	263.333	140.983				1218.57	266.312	1086.32	970.733	571.194
P78347	P78347;A0A494C1K3;A0A8I5KVB5	GTF2I_HUMAN	GTF2I	General transcription factor II-I		446.193	805.657	301.14		519.757			389.933	293.267	201.315	418.298	263.448	426.001					307.114	154.505		572.459
Q92905	Q92905;E5RHF2;E5RHH5	CSN5_HUMAN	COPS5	COP9 signalosome complex subunit 5		432.215	173.915			290.311			157.267	152.307	138.533	154.023	263.601	145.421					206.581	270.453		
O96008	O96008;K7EKG4	TOM40_HUMAN	TOMM40	Mitochondrial import receptor subunit TOM40 homolog		133.647	528.307	453.451					294.941	177.603	264.536	243.14	264.555	396.635					257.195	182.004		676.826
Q12765	Q12765;B8ZZP4;C9J7U9;C9K052	SCRN1_HUMAN	SCRN1	Secernin-1		675.522	406.65	287.404		702.039			180.839			305.558	264.693	107.006					428.701			
Q9BXJ8	Q9BXJ8;A0A0B4J1V8;A0A8V8TPI6;A0A8V8TQ31;A0A8V8TQT6	TACAN_HUMAN	TMEM120A	Ion channel TACAN		401.951	1858.03	809.228					311.815	244.091	252.491	151.006	264.936	240.59					216.383	258.872		
O60749	O60749;Q13596;H0YK42	SNX2_HUMAN	SNX2	Sorting nexin-2		211.043	339.467	115.248		365.733			274.713	225.613	255.564	197.81	265.365	322.744	968.195				417.371	277.255		
Q9UNZ2	Q9UNZ2;F2Z2K0	NSF1C_HUMAN	NSFL1C	NSFL1 cofactor p47		803.732	854.984	657.192	3209.65	309.401			396.182	687.666	225.583	482.679	265.422	349.096		1878.98			298.573	414.47		
Q9UM22	Q9UM22	EPDR1_HUMAN	EPDR1	Mammalian ependymin-related protein 1		136.815	571.539		828.899	1717.27			470.298	552.065	163.884	518.046	265.525	389.714					720.48			285.176
P09429	P09429;Q5T7C4	HMGB1_HUMAN	HMGB1	High mobility group protein B1		449.368	431.717	120.522	206.597				286.508	340.98	223.641	475.128	265.844	391.785					214.612		209.488	
P42285	P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4			367.955	197.219					179.505		158.129		266.777	111.453					147.211			
Q13242	Q13242;H0YIB4;S4R3G0	SRSF9_HUMAN	SRSF9	Serine/arginine-rich splicing factor 9		724.747		447.82		790.976			566.87	733.612	394.26	1063.19	267.078	484.665				310.811	785.229			565.17
O15400	O15400	STX7_HUMAN	STX7	Syntaxin-7													267.295									
P48507	P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit		388.015	393.516	1228.46	447.383	1013.53			681.461	522.588	944.15	567.712	267.751	537.39	446.399	490.756			448.501	246.679	101.262	240.277
Q8N1F7	Q8N1F7;H3BM93;H3BNN5;H3BRI8;H3BV11;H3BVG0	NUP93_HUMAN	NUP93	Nuclear pore complex protein Nup93		337.947	240.359	211.206		106.068			164.094	308.716	279.789	261.696	269.342	207.161					215.909	136.891		566.691
Q9Y3B3	Q9Y3B3;A0A0A6YYA0	TMED7_HUMAN	TMED7	Transmembrane emp24 domain-containing protein 7				149.187					255.209	333.782	582.283	315.639	269.393	277.022					382.694			187.395
O60841	O60841;A0A087WUT6	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B		83.2129		176.501	706.975	462.073			281.001		288.175	329.584	269.897	200.189					276.665		260.169	
Q92890	Q92890;C9IZG3;C9J6N9	UFD1_HUMAN	UFD1	Ubiquitin recognition factor in ER-associated degradation protein 1									177.642		86.7702	96.3781	270.699	207.674					355.596	256.658		
O95721	O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29		336.311		67.1743		538.924			191.272	293.535		526.206	271.247	144.715					27.5855	145.676		
contam_sp|P02662|CASA1_BOVIN	contam_sp|P02662|CASA1_BOVIN	Alpha-S1-casein	Alpha-S1-casein						754.691				365.964	471.214	395.725	536.434	272.078	132.598	2670.75	1425.25	1358.55	654.421	64.7962	410.344	1320.08	509.662
Q92973	Q92973;A0A7P0Z4D3;S4R398	TNPO1_HUMAN	TNPO1	Transportin-1		427.711		127.082		304.614			199.528	343.086	150.467	465.475	272.211	436.708	569.024				205.18	199.729		
Q99816	Q99816;F5H442	TS101_HUMAN	TSG101	Tumor susceptibility gene 101 protein		314.022	277.611	254.263					62.6062	86.5421	159.434		272.663	116.223					173.091			
Q9P2J3	Q9P2J3;A0A6I8PIP7;A0A6I8PIT3;A0A6I8PIV1;A0A6I8PL42;A0A6I8PLB3;A0A6I8PLB8;A0A6I8PRS0;A0A6I8PRU9;A0A6I8PS05;A0A6I8PTV8;B4DER1	KLHL9_HUMAN	KLHL9	Kelch-like protein 9		485.694	624.206	522.807		450.815			140.189	335.455	393.715	171.384	273.424	281.337					287.81	263.914		
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61													273.666		501.403			241.77		281.802		
Q9Y6K0	Q9Y6K0;A0A8V8TQ23;A0A8V8TRF3;A0A8V8TQL1	CEPT1_HUMAN	CEPT1	Choline/ethanolaminephosphotransferase 1										81.0894	135.179		273.688	219.64					259.832	219.806		
P32321	P32321;D6RBJ9	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase			163.135						294.971	286.827	159.282	151.991	274.21	207.998					382.727			
Q9Y6G9	Q9Y6G9	DC1L1_HUMAN	DYNC1LI1	Cytoplasmic dynein 1 light intermediate chain 1		547.849	375.98	351.257		783.659				490.618	336.757	285.17	274.317	271.04					392.327	381.142		
P54105	P54105;E9PJF4;E9PMI6;J3KN38	ICLN_HUMAN	CLNS1A	Methylosome subunit pICln		211.972	412.618						55.1515		82.6741		275.01	134.495					119.818			
P01042	P01042	KNG1_HUMAN	KNG1	Kininogen-1										313.303			275.066						136.663	517.071	117.46	
P30043	P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)		783.95	864.741	732.618	168.884	1392.18			939.128	791.289	957.335	698.11	275.145	653.027	1254.81				667.753	698.066		1088.9
P08709	P08709	FA7_HUMAN	F7	Coagulation factor VII									403.811	358.754	249.29	635.132	275.161	69.2981		961.514	2079.5	1511.76	366.088	262.778	1249.25	363.251
Q8NBJ5	Q8NBJ5;A0A8I5QKL8;A0A8I5QL08;M0QX72	GT251_HUMAN	COLGALT1	Procollagen galactosyltransferase 1		438.747	487.899	529.181		271.927			267.379	686.693	351.444	321.936	275.554	384.062					244.222	90.4439		722.515
Q9H2G2	O94804;Q9H2G2	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase		183.805							121.68	265.9	108.394	193.74	275.717	100.907					366.297	318.612	517.867	
P61769	P61769;F5H6I0;H0YLF3	B2MG_HUMAN	B2M	Beta-2-microglobulin		111.605		286.748					214.428		411.237		276.231	171.833					531.952	1323.28	544.299	
O95302	O95302;Q75LS8	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9		1713.47	1353.19	929.755		967.167			336.79	523.179	509.257	776.604	276.401	683.14					971.237	926.234		2588.87
H0YJS6	P62333;A0A087X2H0;H0YJB8;H0YJS6	H0YJS6_HUMAN	SCFD1	Sec1 family domain containing 1 (Fragment)				91.6448					183.652	257.503	119.823	380.121	276.661	321.145					136.609	61.7655		
Q96HR9	Q96HR9;A0A994J4Y4	REEP6_HUMAN	REEP6	Receptor expression-enhancing protein 6		261.767		247.493	366.771	275.544			144.428		543.734	233.026	277.591	364.693					210.52			751.204
O14745	O14745;J3QRP6	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1											379.957	164.85	278.268							99.8031		
Q92688	Q92688	AN32B_HUMAN	ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B									281.078		79.9235	217.836	278.587	104.966					135.745			
Q13177	Q13177	PAK2_HUMAN	PAK2	Serine/threonine-protein kinase PAK 2		617.41		215.294		581.587			242.386	563.636	429.471	341.28	278.731	391.063					244.268	276.785	265.011	
P06734	P06734;E9PK46	FCER2_HUMAN	FCER2	Low affinity immunoglobulin epsilon Fc receptor		166.745							298.819	1239.69	447.366	252.797	279.065	59.89		558.294			244.838	523.481	728.509	
Q8NBS9	Q8NBS9	TXND5_HUMAN	TXNDC5	Thioredoxin domain-containing protein 5		567.531	801.351	440.675	816.701	564.751			453.54	490.185	393.844	417.672	279.172	631.877			614.047		354.217	326.521	341.047	677.85
P11172	P11172;C9J634;F8WF02	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase		178.278		462.09					99.7835				280.26	151.097					114.852			
P51571	P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta		535.393	1862.66	396.438	305.18	517.748			361.923	393.568	493.928	321.818	280.681	505.597					375.473	112.196		390.514
Q14839	Q14839;Q8TDI0;A0A0C4DGG9;A0A2R8Y212;A0A2R8Y425;A0A2R8Y521;A0A2R8Y5J0;A0A2R8Y8C1;A0A2R8YFD8;A0A2R8YFK9;A0A2U3TZM0;F5GWX5;A0A2R8Y445;A0A2R8YD40;A0A2R8YDJ9;A0A2R8YDW2;A0A2R8YER1;K7EMY3;A0A2R8Y4X2;A0A2R8Y5M9;A0A2R8Y7I0;A0A2R8Y7M9;A0A2R8YE38	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4		196.913	436.017	161.208					237.794	203.575	262.142	238.523	280.831	305.484					325.605			
Q13510	Q13510;A0A1B0GTM3;A0A1B0GTZ5;A0A1B0GUA4;A0A1B0GUE3;A0A1B0GUG1;A0A1B0GUH5;A0A1B0GW68;E7EMM4;A0A1B0GTP7;A0A1B0GUW4;A0A1B0GV06	ASAH1_HUMAN	ASAH1	Acid ceramidase		202.453		193.504	371.568	648.686			140.148	316.883	393.635	310.196	281.189	151.421			866.918	605.566	678.105	190.799	395.248	726.053
Q7L2H7	Q7L2H7;E9PRY0;H0YCQ8;J3KNJ2	EIF3M_HUMAN	EIF3M	Eukaryotic translation initiation factor 3 subunit M		250.707							116.323	380.786	67.2049	209.953	281.203	150.424					94.9253			
Q9Y277	Q9Y277	VDAC3_HUMAN	VDAC3	Voltage-dependent anion-selective channel protein 3		205.252	407.909	686.46		440.565			284.985	424.384	291.476	325.281	282.822	424.517				793.602	472.265	48.7284		909.441
P69849;Q15155;Q5JPE7	P69849;Q15155;Q5JPE7;A0A0G2JN29;A0A0G2JP90;A0A7I2V2Z5;A0A7I2V3P4;A0A7I2V4D7;A0A7I2V4T6;A0A7I2V6B0;H3BPS9;J3KN36	NOMO1_HUMAN;NOMO2_HUMAN;NOMO3_HUMAN	NOMO1;NOMO2;NOMO3	BOS complex subunit NOMO3		324.58	1400.79	186.946	1730.43	305.337			154.603	359.814	125.111	144.415	282.898	205.729					228.862	256.069		506.64
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2		118.771	604.607						355.416	93.5145		315.648	283.3	152.594					237.867	160.444		
P25685	P25685;M0QXK0	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1		388.406	238.324	399.282	1050.32	88.4784			373.025	444.222	222.09		283.71	356.935			375.095		88.0974			
P12110	P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain		205.427		266.716		414.79				446.381	205.395		285.52	163.354		602.279			152.891			457.416
O00410	O00410;H0Y8C6	IPO5_HUMAN	IPO5	Importin-5		230.407				252.695			88.908	483.966	201.938	193.776	285.613	213.691	277.892				154.289	132.991		
O43491	O43491;E9PHY5;Q6R5J7;A0A994J5B1;E9PN54;Q6ZSX4	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2				229.447		580.527			109.254	272.626	816.135	385.675	285.678	402.082					476.448	161.708		426.119
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4		567.117	652.592	304.889	584.925	448.958			188.259	666.202	313.277	406.576	285.687	251.226					551.212			373.541
P25205	P25205;A0A499FHX9;J3KQ69	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3		183.653	164.192	798.257					208.955	574.568	140.574	437.201	285.767	608.653					332.272			
Q16891	Q16891;B9A067;C9J406;H7C463	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60		463.608	257.913	277.591		369.707			418.695	364.574	213.426	245.683	287.633	435.017					213.851			740.296
P18564	P18564;A0A087WXP3;E9PEE8	ITB6_HUMAN	ITGB6	Integrin beta-6		1183.07		575.894		551.653			341.016	285.334	265.585	580.729	288.144	197.71					179.556			1274.91
P84095	P84095	RHOG_HUMAN	RHOG	Rho-related GTP-binding protein RhoG									135.682	276.042	144.647	133.057	288.18	30.9151					194.729	175.272		294.644
P05386	P05386	RLA1_HUMAN	RPLP1	Large ribosomal subunit protein P1		73.6754		187.426					542.554	619.242	353.736	440.006	288.383	904.443					207.944	156.164		
P20810	P20810;A0A0C4DGB5;A0A6Q8PFE5;A0A6Q8PFF6;A0A6Q8PG72;A0A6Q8PGG5;A0A6Q8PGN6;A0A6Q8PH20;B7Z574;D6RAA8;D6RC54;E7EQ12;E7ES10;E7EVY3;E9PCH5;E9PDE4;F8W7E0;H0Y7F0;H0Y9H6	ICAL_HUMAN	CAST	Calpastatin		347.778		307.324		433.192			170.582		352.557	472.552	288.775	148.098					465.087	570.843		
O95834	O95834;A0A0C4DGQ7;K7EIK7;C9JRL6;K7EII6;K7EKG3	EMAL2_HUMAN	EML2	Echinoderm microtubule-associated protein-like 2		182.074	454.727	327.967					123.542	206.572	107.888		289.725	159.997					134.126	96.0693		
P08579	P08579	RU2B_HUMAN	SNRPB2	U2 small nuclear ribonucleoprotein B''		352.93		560.251		833.602					261.459	483.031	290.14	242.839						95.0673		
P61006	P61006	RAB8A_HUMAN	RAB8A	Ras-related protein Rab-8A		333.012	212.664	205.281					236.478	140.136	172.589	260.902	290.219	174.876					261.908	235.125		839.922
Q9UPY5	Q9UPY5	XCT_HUMAN	SLC7A11	Cystine/glutamate transporter		51.7818		390.706					120.643	348.841			290.703	682.259					161.498			189.373
A0A5F9ZHP2;F8VZG5	P54803;F8W0W8;A0A5F9ZHP2;A0A5K1VW67;F8VY04;F8VZG5;G3V213	A0A5F9ZHP2_HUMAN;F8VZG5_HUMAN	AK2	nucleoside-diphosphate kinase		944.004	891.056	297.579	500.805	309.79			394.028		451.484	398.882	291.235	248.828		1141.68	168.409		407.999	637.437	362.526	467.092
Q9BW83	Q9BW83;B1AH58;F5GZ09	IFT27_HUMAN	IFT27	Intraflagellar transport protein 27 homolog				192.755									291.495	103.887								
Q8WVM8	Q8WVM8;A0A7I2V2U5;A0A7I2V320;A0A7I2V321;A0A7I2V362;A0A7I2V3B4;A0A7I2V3C9;A0A7I2V3G4;A0A7I2V448;A0A7I2V4B8;A0A7I2V4R0;A0A7I2V4U2;A0A7I2V534;A0A7I2V590;A0A7I2V5H5;A0A7I2V5I2;A0A7I2V5Z4;A0A7I2YQR2;B7Z5N7;G3V5E2;H0YIZ7	SCFD1_HUMAN	SCFD1	Sec1 family domain-containing protein 1		255.284		416.944		437.228			240.777	722.482	306.535	337.637	291.638	236.965					190.496	267.42		
Q9Y3A5	Q9Y3A5;A0A8V8TLR8;A0A8V8TLS5;A0A8V8TMR6;A0A8V8TN15;F8WE72	SBDS_HUMAN	SBDS	Ribosome maturation protein SBDS		1035.84	607.186	941.227	1095.11	344.922			968.925	407.408	305.714	471.949	291.963	268.973				412.089	490.894	608.86		
Q92820	Q92820;A0A7I2V5P2;A0A7I2V5X9;A0A7I2YQQ3	GGH_HUMAN	GGH	Gamma-glutamyl hydrolase	1210.53								218.05	665.151	198.373	322.518	292.154	168.053				225.559	765.156	755.425	1488.27	309.476
P36508	P36508	ZNF76_HUMAN	ZNF76	Zinc finger protein 76		833.28	403.68	454.195		557.841			581.118	385.256	356.258	570.531	292.301	366.428					450.915			696.47
Q6UN15	Q6UN15;A0A0B4J203;H0Y8P7;A0A994J3I9;A0A994J3J1;A0A994J3J6;A0A994J3K1;A0A994J3K5;A0A994J3L0;A0A994J3L5;A0A994J3M0;A0A994J3P6;A0A994J3Q0;A0A994J3Q5;A0A994J3R0;A0A994J3R5;A0A994J3S0;A0A994J3S6;A0A994J3T0;A0A994J3T5;A0A994J438;A0A994J442;A0A994J448;A0A994J453;A0A994J458;A0A994J464;A0A994J469;A0A994J474;A0A994J6B4;A0A994J6B8;A0A994J6C2;A0A994J6C6;A0A994J6C9;A0A994J6D3;A0A994J6D6;A0A994J6E0;A0A994J6E2;A0A994J6N5;A0A994J6P0;A0A994J6P3;A0A994J6P8;A0A994J6Q2;A0A994J6Q5;A0A994J6R0;A0A994J6R4	FIP1_HUMAN	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1		373.659	494.733	463.595	828.938				234.477	229.206	167.007	125.77	292.896	282.408					167.331			136.194
P13489	P13489;E9PIK5;E9PIM9;E9PLZ3;E9PMJ3;E9PMA9	RINI_HUMAN	RNH1	Ribonuclease inhibitor		1094.73		1059.93					680.669	986.916	1856.74	876.311	293.554	815.412	1498.72		271.714		613.441	679.882	333.259	1238.64
Q15436	Q15436;F5H365	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A		248.413	471.745	249.694		351.989			274.176	498.109	372.253	289.323	294.241	386.232					385.794			
P52789	P52789;E9PB90	HXK2_HUMAN	HK2	Hexokinase-2		356.898	182.001			1157.54			117.661	68.4272	258.99		294.296	175.006					68.1777	345.835		
Q8NEV1	P68400;Q8NEV1;A0A2R8Y5A0;A0A2R8YDP2;A0A2R8YFU2;A0A2R8Y3W6;A0A2R8Y4D6;A0A2R8Y4H0;A0A2R8Y797;A0A2R8Y7T1;A0A2R8YCK2;A0A2R8YD58;A0A2R8YDY7;A0A2R8YEL7;A0A2R8YEW1;A0A2R8YF43;A0A2R8YF47;E7EU96;V9GY80;V9GYA2	CSK23_HUMAN	CSNK2A3	Casein kinase II subunit alpha 3				424.064		483.523			169.8		135.698	322.249	294.35	185.083					86.1547			
Q9BUJ2	Q9BUJ2;A0A0A0MRA5;B7Z4B8;M0QYZ0;M0R3F1	HNRL1_HUMAN	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1		179.22		417.589		411.861			133.909	55.3038	318.072	160.923	295.23	187.433					93.4814			
Q86Y33	Q86Y33	CD20B_HUMAN	CDC20B	Cell division cycle protein 20 homolog B		483.897						11394.1	2647.76	1748.03			295.577	111.266	1495.1	6686.74	4776.5	3471.05		1276.99		2772.75
P80303	P80303;A0A2R8Y6G7;E9PJP3;E9PKG6;E9PLE9;E9PLR0;E9PM22	NUCB2_HUMAN	NUCB2	Nucleobindin-2		55.6528		269.457	640.437				119.905	261.156	373.822	246.815	296.98	328.67		474.728			236.384	79.3612		395.716
O60218	O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10				439.076					112.434	304.326	135.603		297.299	336.858					109.051	221.088		
P16402	P16402	H13_HUMAN	H1-3	Histone H1.3			771.961	536.359	335.826	301.832			478.838	467.761	580.022	717.794	297.42	206.966					472.816			
Q9UNH7	Q9UNH7;A0A0A0MRI2	SNX6_HUMAN	SNX6	Sorting nexin-6		166.398		353.715					234.799	191.556	160.315	409.016	297.59	187.954					221.188	278.594		
O00625	O00625	PIR_HUMAN	PIR	Pirin		154.444	447.01	166.44					206.797		223.382		297.638	240.082					278.755			
O94759	O94759;B4DYP1	TRPM2_HUMAN	TRPM2	Transient receptor potential cation channel subfamily M member 2		288.894	474.059	140.874		230.633	1454.27		396.674	516.294	419.568	776.978	298.425	215.641					426.608	204.001		
O75116	O75116;A0A8V8TL82;A0A8V8TL90;E9PF63	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2		231.147	444.477						143.235	54.5179	126.981	101.793	298.949	132.929					172.512	273.791		
P98179	P98179	RBM3_HUMAN	RBM3	RNA-binding protein 3									531.891			135.024	299.511	315.835					257.587			
O75494	O75494;Q8WXF0;Q5JRI1	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10		47.9152		324.109									299.56	147.786					164.1			
P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR		92.0054	61.8507	578.461	1395.03				279.316	526.436	214.532	579.701	300.095	180.925					139.084			85.8621
Q7L014	Q7L014;A0A0C4DG89	DDX46_HUMAN	DDX46	Probable ATP-dependent RNA helicase DDX46		203.993		186.383					351.486	272.162	187.887	416.382	300.176	225.615					196.245	179.649		
P38398	P38398;Q5YLB2	BRCA1_HUMAN	BRCA1	Breast cancer type 1 susceptibility protein										182.451			300.615	110.179					214.703			
Q8N163	Q8N163;E5RHJ4;H0YB24	CCAR2_HUMAN	CCAR2	Cell cycle and apoptosis regulator protein 2		292.389	942.778	552.158		496.574			82.8156		425.75	280.643	302.303	276.26					350.41			442.064
Q9UHX1	Q9UHX1;A0A0J9YVP6;A0A0J9YXJ8;A0A0J9YXX5;A0A0J9YYL3;A0A994J6L7;E9PL19;E9PQ56;H0YEM1;A0A0J9YVR6;A0A0J9YWM1;A0A0J9YXC6;E9PMU7;E9PN18	PUF60_HUMAN	PUF60	Poly(U)-binding-splicing factor PUF60		578.585	701.876	305.731	599.963	260.899			453.385	160.642	366.579	473.397	302.493	218.683					275.845			
