Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-07_9785.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-08_9786.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-09_9787.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-10_9788.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-11_9789.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-12_9790.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-13_9795.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-14_9796.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-15_9797.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-16_9798.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-17_9799.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-18_9800.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-19_9805.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-20_9806.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-21_9807.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-22_9808.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-23_9809.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-24_9810.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-25_9815.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-26_9816.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-27_9817.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-28_9818.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-29_9819.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-30_9820.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-01_9780.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-02_9775.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-03_9776.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-04_9777.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-05_9778.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-06_9779.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-31_9825.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-32_9826.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-33_9827.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-34_9828.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-35_9829.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-36_9830.d
B0K020	B0K020	CISD1_RAT	Cisd1	CDGSH iron-sulfur domain-containing protein 1	23183	22871.8	23048.9	22019.4	24893.9	21430.9	14793.5	14368.5	14527.5	13235.6	12506.5	13917.4	22051.9	23174.5	23205.5	24463.2	23212.5	22688.9	19826.6	19862	19649.7	20352.2	20597.1	19568.9	11421.8	12243.6	10884.5	12753.7	11815.8	12502.6	33032.3	25793	28377.1	28917.3	26892.3	31829.9
B0K025	B0K025	OSTC_RAT	Ostc	Oligosaccharyltransferase complex subunit OSTC	9626.04	10294.4	8414.99	7752.15	8438.23	8081.72	7825.33	8067.84	8456.84	12484.6	11522.2	14310.2	11212.6	13253.5	12887.3	14923	10328.8	9777.56	16440.6	15878.3	16958	16676.1	17888.6	15435.9	5553.91	7577.95	8534.04	6857.86	8118.9	5566.74	14770.4	13903.9	12776.6	13023.6	12923	13680.7
B0K035	B0K035	MTFR2_RAT	Mtfr2	Mitochondrial fission regulator 2	1390.54	1602.77	1801.93	1775.36	1525.12	1343.33	1983.95	1660.36	1703.81	1903.61	1809.46	1410.57	1065.27	1284.94	1234.42	1406.32	1109.86	760.216	1090.64	1418.4	1520.96	906.612	1643.92	1283.47	1737.43	1455.48	1649.41	2233.28	1938.98	1758.67						
B0LPN4	B0LPN4	RYR2_RAT	Ryr2	Ryanodine receptor 2	1313.63	1155.97	690.535	574.51	708.923	870.246	965.993		932.963	723.875	824.539		935.962	1067.33	803.574	947.289		746.097	663.833	1192.48	655.734	1202.02		459.706	871.253	689.46	1069.86	471.03	757.88	935.668	768.604	606.558		1390.9		
B0LT89	B0LT89	STK24_RAT	Stk24	Serine/threonine-protein kinase 24	9159.89	9382.85	9042.16	9460.96	8669.72	8564.81	11442.8	10204.2	9399.57	9753.39	11226.9	12906.5	10584.6	10611.4	9459.95	9607.61	10661.2	10188	8304.66	8167.44	8954.09	7609.29	8233.17	8165.28	8874.74	8790.91	7801.75	8255.62	7759.98	8721.96	8361.07	7481.38	7712.86	7527.72	7744.92	7204.02
B1H219	B1H219	B1H219_RAT	Dkk3	Dickkopf WNT signaling pathway inhibitor 3	3876.85	4006.56	3685.16	4145.07	3603.92	3775.01		4129.88	5193.36	2408.84	2331.38	769.3	2531.72	2807.71	2594.2	2965.12	2619.29	2296.76	2665.15	2863.47	2926.57	2444.32	2934.23	2451.18	2782.26	5360.08	3832.31	2942.64	4892.11	4739.73	2044.29	2409.07	2242.36	2186.33	2607.19	2286.23
B1H222	B1H222	GORAB_RAT	Gorab	RAB6-interacting golgin	1280.23	1470.65	925.79	1229.9	1458.05	1494.93	1820.31	1380.41	816.035	1688.81		1095.07	1850.52	1544.86	1440.69	1644.26	1416.47	784.071	1300.91	1456.11	1631.45	1298.02	1427.95	1212.56	1520.79	1003.22	1396.59	1197.21	897.5	913.874	640.451	982.557	862.442	1083.31	907.923	668.333
B1H224	B1H224	PWP3A_RAT	Pwwp3a	PWWP domain-containing DNA repair factor 3A		196.482	174.133		186.005	98.1863	127.506	232.324	300.422	293.826	243.656	107.815	89.0046			222.187	320.186	239.597	113.138							69.1104	224.968		251.416							
B1H227	B1H227	B1H227_RAT	Rcc1	Regulator of chromosome condensation 1	5613.01	6076.61	5568.26	5767.21	5730.04	5184.14	2161.01	2489.04	2476.56	2307.31	2458.12	2344.31	2999.63	3173.15	2879.28	2982.21	3059.55	2676.72	3893.98	4245.47	3938.71	4407.85	4333.31	4721.72	6436.35	6272.85	5419.53	5221.69	5714.43	5225.09	7037.93	7622.76	6548.85	6964.7	6799.51	7000.56
B1H245	B1H245;A0A0G2K1R2;D3ZUL4	B1H245_RAT	Bcl7b	BAF chromatin remodeling complex subunit BCL7B	5517.84	4867.37	5323.72	4415.42	4069.53	3987.54	3667.22	3183.19	3396.3	3165.82	3595.28	3467.33	3838.85	3897.99	5840.47	3859.96	4388.78	3595.71	4974.61	3680.46	4808.24	3306.15	4511.71	3513.12	4893.93	3681.61	4560.86	4322.02	3859.39	4122.35	3511.13	3900.49	3353.2	4002.57	3614.84	3407.32
B1H257	B1H257	B1H257_RAT	Borcs5	BLOC-1-related complex subunit 5	97979.7	94699.4	111339	103868	108338	117015	102501	107998	99129.1	94426.6	91849.8	99473.5	112518	107325	112653	123911	115720	130101	95536	102296	95802.4	98540.9	98875.7	92873.1	82169.9	93661.4	93764	98295.2	95110.7	87425.4	136577	115750	114584	120963	130251	145896
B1H261	B1H261	B1H261_RAT	Tysnd1	Peroxisomal leader peptide-processing protease	2287.32	2615.64	2581.85	2505.38	2092.08	2195.71	3286.23	3651.22	3569.75	3514.67	2957.21	3437.88	2669.36	3147.65	2825.55	3014.67	2796.8	3062.51	2087.69	2575.53	2442.76	2645.51	2449.93	2376.46	2263.03	2110.36	2741.17	1879.91	2733.82	2130.53	1935.27	1969.5	2266.52	1951.11	1908.23	1968.58
B1H267	B1H267	SNX5_RAT	Snx5	Sorting nexin-5	4707.02	4757.61	5245.21	4500.76	5177.01	5061.97	4028.82	4670.83	4348.91	4526.81	5294.91	4202.76	4068.18	3828.63	4314.93	4019.29	3829.99	3882.33	4668.56	4379.32	4868.62	4480.47	4838.25	4314.37	5496.16	5826.56	5928.25	6191.84	5240.01	6622.68	4114.85	4203.33	4153.82	4541.64	4360.57	4465.57
B1H268	B1H268	MCMBP_RAT	Mcmbp	Mini-chromosome maintenance complex-binding protein	12980	13113.9	13369.5	12398.3	11974.9	12370.8	10036.2	10056	10348.2	9009.4	9740.51	9821.95	9095.21	9737.9	9394.76	9583.36	9692.92	9766.06	8229.15	7875.27	8387.93	8992.73	8145.44	8267.03	10199.7	11891.5	11051	11119.9	11302.1	11414.2	4339.47	4710.68	5265.03	4989.17	4016.68	5252.8
B1H269	B1H269	B1H269_RAT	Ddx27	RNA helicase	11486.2	11566.6	12773.4	11011.5	10646.3	11175.5	12335.9	11738.4	10962.8	11098.7	11416.6	11754.1	10029.9	9831.06	9666.62	9409.82	10183.9	9645.17	10255.7	11010.5	10101.2	10734.4	9414.5	9837.35	16284.9	15800.9	15890.6	15359.4	15541.2	15426.3	14678.3	14878	15798.6	15591.1	15373.2	14375.1
B1H2A2	B1H2A2	B1H2A2_RAT	Fsd1	Fibronectin type 3 and SPRY domain-containing protein	856.679	1496.16	1815.04	1719.24	990.64	1129.21	1488.22	1796.39	1368.65	1517.74	1736.17	1762.62	1860.14	1823.92	2212.77	1812.24	1834.56	1543.98	1792.7	1798.64	1830.17	1715.56	1534.59	1833.71	1167.83	1070.75	1327.19	1156.76	913.478	1407.23	1523.4	1274.51	2113.07	1086.25	1506.74	1902.65
B1WBP0	D4A120;B1WBP0	MPPD2_RAT	Mpped2	Metallophosphoesterase MPPED2	1720.56	1772.62		1640.61	2127.65	1498.54	1818.15	1649.04	2287.15	1897.77	1994.17	1276.37	2784.53	2292.05	2243.87	2015.26	1969.94	1725.06	2850.05	3001.78	3402.26	2401.53	2549.28	2858.41	1622.5		2259.78		2121.02	2346.34						
B1WBR8	B1WBR8	B1WBR8_RAT	Fbxl4	F-box and leucine-rich repeat protein 4					885.86		1447.11	992.761	1380.36	636.918		1012.7	1264.72		1198.39	1157.01			2041.92	1324.73	1331.73	1739.35	1407.26	2287.22		1872.57					2081.23	2307.71	2054.29	2252.36	2401.19	2251.24
B1WBS4	B1WBS4	B1WBS4_RAT	Vps26b	VPS26 retromer complex component B	10614.8	10424.5	10659.2	9776.38	10355.2	10342.8	5912.25	5373.1	5094.28	5793.12	6105.94	7022.82	7265.61	7506.73	6456.1	7518.85	8776.85	7605.66	7484.72	7800.24	7670.31	8493.36	7418.83	8790.34	7446.79	7718.04	7504.29	8433.53	7337.71	8588.52	6862.29	6737.03	7497.31	7325.69	7027.36	7120.71
B1WBT4	B1WBT4	B1WBT4_RAT	Srpk2	SRSF protein kinase 2	5865.65	5771.82	5379.93	5172.84	5670.99	5451.25	4892.68	4410.91	5378.02	5321.71	5900.4	4824.89	4520.08	4738.32	5047.03	3837.86	4908.6	4225.03	4718.27	4873.97	4468.6	5061.78	4394.98	4295.75	4291.35	3996.89	4310.7	4513.87	4768.22	4689.72	4684.74	4887.68	4901.36	4362.92	4836.82	4206.17
B1WBV0	B1WBV0	CTU1_RAT	Ctu1	Cytoplasmic tRNA 2-thiolation protein 1	2647.92	3304.11	3305.92	2726.71	2715.08	2201.27	2469.13	2132.25	2193.4	2475.51	2105.97	1909.73	3039.7	2768.98	3419.97	2520.35	2696.7	2343.19	3984.63	4122.14	3651.51	3538.77	3784.91	3788.42	3302.15	2542.68	3459.26	3800.3	3440.3	2854.21	3180.48	3081.32	2680.42	3186.28	3212.06	2748.22
B1WBV3	B1WBV3	B1WBV3_RAT	Gfod2	Glucose-fructose oxidoreductase domain containing 2	1956.79	1926.73	2297.06	1363.3	1329.16	1231.36	1690.04	2132.64	1682.21	1779.08	1912.65	1310.36	1486.19	1550.22	1567.19	2025.39	1780.03	1780.99	1669.81	2024.94	2345.72	1553.29	1651.6	1775.27	1547.98	1560.79		1327.41	1939.09	1364.6	3110.57	1972.58	2490.83	2290.88	2286.56	2377.36
B1WBV4	B1WBV4	B1WBV4_RAT	Plekhf2	Pleckstrin homology and FYVE domain containing 2	1688.01	2473.54	1765.67	2566.07	1578.05	538.639					1206.65		1334.13	1264.94		819.532	1295.82		773.689	1145.43	872.078		1130.13	765.299	1159.91	1191.43		1207.87	1130.82	1520.69						
B1WBW4	B1WBW4	ARM10_RAT	Armc10	Armadillo repeat-containing protein 10	5753.39	6511.8	5813.61	5824.96	6742.42	7243.9	10050.3	8693.4	7967.71	10650.8	9017.5	10620.5	7733.13	7266.47	7537.84	7799.54	6866.56	7423.29	11829.1	10683.8	11022.6	9227.18	9529.36	11048.1	5793.59	6088.12	5923.64	6405.7	5868.93	7441.22	10000.3	9455.71	9030.59	9183.04	9758.15	8819.32
B1WBX2	B1WBX2	B1WBX2_RAT	Tmem69	Transmembrane protein 69	1855.36	2763.42	2372.69	2993.03	2345.52	2929.64						3135.89	2849.52	2952.36		2941.34	3231.39	2787.89	2530.18	2447.8	2157.08	2193.8	2332.05	2353.75	3865.47	2251.05	2603.14	2847.15	2577.35	3071.26	10992	12723.1	10923.4	12814.6	11577.3	13364.4
B1WBY7	B1WBY7	B1WBY7_RAT	Erlin1	Erlin	10934.8	11557	10766.2	11657.2	12382.1	11863.9	8901.1	10064.2	10657.9	10440.4	11082.9	9532.4	9651.74	9435.67	11527.4	10390.7	10408.3	10994.4	11865.7	12244.3	12907.6	11937.8	10194.1	10631	11751	11037	11198.2	10917.7	10878.5	12496.8	14262.3	14712.7	13860.8	13644.5	13590	14530.8
B1WBZ6	B1WBZ6	B1WBZ6_RAT	RGD1565685	RGD1565685 protein	2286.89	2956.7	2243.38	2326.24	2070.12	2459.8	2818.2	2962.41	3371.74	2940.59	2939.54	3318.62	3019.17	2351.14	3205.76	3091.84	2881.57	2085.76	2916.15	2458.92	1769.15	2502.9	2385.35	1858.12	2126.08	2346.74	2498.67		2386.4	2219.14	3973.98	3170.81	3332.46	3164.06	4861.98	5406.84
B1WBZ9	B1WBZ9	B1WBZ9_RAT	Katnbl1	Katanin regulatory subunit B1 like 1	4019.67	2951.18	2652.63	3149.88	2974.73	3110.95	4139.68	3212.58	2859.09	2696.46	3144.9	3667.63	3291.65	3020.74	3391.03	3847.66	3694.57	2668.05	2819.58	3130.81	2605.26	3069.75	2647.17	2919.47	2087.65	3174.36	3257.03	3027.96	2665.85	2555.54	6475.34	5954.78	6089.31	5822.95	5116.45	5788.36
B1WC06	B1WC06	B1WC06_RAT	Mon1a	Vacuolar fusion protein MON1 homolog	937.262	877.619	699.211	1271.83	902.12	879.659	979.165	729.534	1112.6	954.005	935.317	854.623	1180.84	1574.36	1268.51	1307.47	1510.65	1008.64	1597.1	1405.86	1511.26	1393.72	1411.18	1656.13	1473.25	1358.88	1764.13	1515.71	1373.8	1864.28	1838.44	1941.85	1632.8	1621.95	1949.49	1847.4
B1WC09	B1WC09	B1WC09_RAT	Ddr2	receptor protein-tyrosine kinase						665.513	664.664		778.633			833.656	696.682				659.925	699.917	368.409		477.601	319.334	373.387	483.515		612.65		400.68		420.825		390.994	445.825		608.816	473.942
B1WC10	B1WC10	FRITZ_RAT	Wdpcp	WD repeat-containing and planar cell polarity effector protein fritz homolog	1828.98	1407.37	1589.58	1724.32	1638.71	1601.42	1960.79	2087.51	1882.29	1716.73	1911.86	2263.41	1904.97	1609.06	2117.84	2016.37	1693.07	1716.89	2449.39	2118.64	2028.09	2061.01	2380.81	2081.63	2147.55	2226.56	1853.89	2213.81	2054.52	2149.69	1388.76	1418.21	1384.73	1594.19	1674.76	1472.95
B1WC12	B1WC12	B1WC12_RAT	Mfsd5	Molybdate-anion transporter							805.244				1297.55			1238.13	704.717				2559.23	2440.56	3452.25	2498.84	2126.71	3614.43	2490.78	2220.26	2441.34	3788.08	1943.54	2443.29	4180.74	3517.64	3723.7	3059.06	2850.13	1924.85
B1WC15	B1WC15	ZCHC7_RAT	Zcchc7	Zinc finger CCHC domain-containing protein 7	369.47	197.209	463.994	598.539	388.221	406.033	321.97			223.301			434.857		538.39	671.721		493.565	282.587	228.483	434.323	230.695	435.17	333.683		355.025	519.179		287.541							
B1WC22	B1WC22	B1WC22_RAT	Zfp131	Zinc finger protein 131				104.841	79.768	148.406								151.908						142.452	28.9279				78.7362			142.937	221.164	144.593	118.637	175.632				106.071
B1WC24	B1WC24	B1WC24_RAT	Ctdsp1	protein-serine/threonine phosphatase	1537.85	1709.04	2075.24	1374.65	1596.9	1388.04	2304.61	2494.37	2240.46	2202.66	2141.71	1523.01	2519.22	2558.67	3051.58	4546.45	2986.09	2337.14	2088.78	1426.65	1612.91	1746.74	1635.45	1428.24	1268.2	1541.61	3115.77	1856.28	1313.19	2032.82	1815.26	1117.88	1751.71	1078.76	1383.9	1157.44
B1WC26	B1WC26	B1WC26_RAT	Nans	N-acetylneuraminate synthase	25846.9	25449.6	24440.5	24927.9	25096.1	27744.4	19389.6	18642.9	18213.2	17734.7	16173.4	21442.9	21032.7	20972.2	18566.3	19175.3	21216.8	20449.6	20704.3	21533.7	21569	18348.1	22041	20841.6	22283.4	24284.6	26022.9	24496.9	24168.4	20596.9	15279.2	17384.8	12346.9	14436.2	15150	19218.9
B1WC28	B1WC28	B1WC28_RAT	Macroh2a2	Core histone macro-H2A	42881.5	39972.6	37215.2	42481.4	40516.5	40543.5	28997.6	39705.2	31643.8	32835.7	33493.7	34518.4	40915.5	38791.8	38417.8	37374.4	37783.7	39647	34579.5	37598.5	34923.9	34724.4	34077.9	32837.3	35800.9	39661.8	37547.9	43369.3	38359.2	38318.4	48275.3	47052.3	48713.3	49577.6	51123.8	49465
B1WC33	B1WC33	B1WC33_RAT	Cdc42ep4	CDC42 effector protein 4	2990.94	3930.91	4392.71	4079.75	4238.81	3960.89	4305.67	4480.7	3770.01	4165.31	4034.9	4352.08	3477.91	3659.03	3779.64	3726.72	4341.29	3400.26	3292.61	3257.85	3367.1	2915.03	2840.77	2975.12	4235.38	4650.51	4330.2	4223.5	4364.33	4431.4	1275.04	1808.73	1670.99	2002.67	1508.87	1694.61
B1WC34	B1WC34	B1WC34_RAT	Prkcsh	Protein kinase C substrate 80K-H	52388.4	52336.9	53774.8	54563.1	49836.7	51973	69208.2	63671.5	66176	65291.1	64789.1	63894	61783.4	58793.9	62154.4	59737.2	54489.2	58405.8	55246.5	61185.4	57130.3	56401.8	55820.6	54302.3	63062.6	64202.6	60773.4	63833.7	58950.7	62437.5	87163.1	81195	79783	78660.2	81903.1	77411.7
B1WC37	B1WC37	MTU1_RAT	Trmu	Mitochondrial tRNA-specific 2-thiouridylase 1	2593.41	2626.22	2524.83	2753.9	2859.76	2541.78	3465.56	4424.41	2795.98	5638.5	2859.38	2963.98	2552.12	2392.22	1842.29	2174.61	2206.02	2527.86	2934.45	2487.27	2565.22	2839.15	2300.22	2347.09	2473.48	2097.51	3818.89	2993.27		2862.61	3311.93	3319.97	3268.62	3366.14	3495.76	3424.03
B1WC40	B1WC40	NCBP2_RAT	Ncbp2	Nuclear cap-binding protein subunit 2	3483.97	3654.57	4157.26	5139.48	4646.83	4298.15	3785.61	4763.47	6543.48	5024.74	5762.76	5580.2	3648.67	2791.43	2944.45	3317.08	4549.32	3344.36	2854.02	3406.81	2901.4	3596.28	3289.15	3056.08	4896.65	5116.34	3690.67	3399.17	4162.05	5933.41	3179.83	3182.02	3623.06	3002.58	3021.93	3479.8
B1WC43	B1WC43	B1WC43_RAT	Tmem41a	Transmembrane protein 41a				2631.72	2307.59	2664.39							2270	3032.04		3041.15		2955.82	4558.39	3099.63	4191.71	3456.79	3325.11	3748.48	2054.6					1899.67	4232.02	4478.16	3965.87	3638.35	3428.42	3748.67
B1WC44	B1WC44	B1WC44_RAT	Nmd3	60S ribosomal export protein NMD3	22205.4	21542.4	21233.1	22460.5	21610.4	21881.7	15369.2	15191.2	14963.2	13659	14001.5	15681.6	17571.2	15816.9	17540.4	17044.9	16506.2	15456	15191.1	15013.4	16350.4	15304.7	15768.1	16227.3	14622.7	15885.7	17172.7	14447.2	14087.4	16445.3	12849.5	12938.7	12843.8	12066.1	11718.4	12315.5
B1WC45	B1WC45	B1WC45_RAT	Vps72	Vacuolar protein sorting-associated protein 72 homolog	1938.23	1930.86	2040.53	1914.08	2186.46	1675.1	3011.21	2835.57	2108.36	2219.02	1997.69	3051.02	2164.12	2032.16	2457.78	2032.73	2354.24	2037.77	1683.13	1791.23	1671.19	1849.8	2022.75	1771.72	2372.97	2076.35	2375.8	1978.58	3060.43	1800.13	2296.6	1593.82	1722.36	2578.43	2062.6	2499.01
B1WC48	B1WC48	B1WC48_RAT	Zc4h2	Zc4h2 protein	666.678	643.232	532.524		804.423	634.844	1344.59		570.358		484.668						484.712												620.766							
B1WC49	B1WC49	B1WC49_RAT	Api5	Apoptosis inhibitor 5	34505.1	32343.9	32886.1	31993.6	31927.7	29261.5	25831.1	23156.4	23932	22846.5	26358.3	22965	25587.1	24853.7	26751.4	24002.9	25010.5	22742.6	25389.3	25690.1	24130.7	22690.9	24561.6	23592.6	37524.2	38775.3	38261.7	37363.6	38624.1	40407.8	25482.9	25665	25611.2	25950.7	25957.6	27493.4
B1WC50	B1WC50	B1WC50_RAT	Ewsr1	EWS RNA-binding protein 1	110846	122053	131138	128635	137951	135296	83683.1	96040.1	101489	111096	112183	97693	89869.8	88264.9	97739.8	108549	114507	101254	80260.8	90274.9	88916.8	85746.2	90386.4	78481.5	143428	126705	137000	135644	142598	150470	85688.2	91953.8	91542.4	96058.5	96652.1	106474
B1WC66	B1WC66	B1WC66_RAT	Nt5dc1	5'-nucleotidase domain containing 1	2448.39	2536.3	2166.37	2370.41	2742.84	2556.13	2235.79	2242.07	2187.86	2258.19	2060.87	2206.28	3318.25	2197.73	1496.41	1701.54	1551.54	1606.83	1699.52	1538.34	1664.64	1647.19	1551.81	1956.91	1911.98	1744.6	1575.78	1647.9	1688.78	1100.3	623.614	784.436	624.208	1058.25	1208.48	934.163
B1WC68	B1WC68	HDAC8_RAT	Hdac8	Histone deacetylase 8	1698.43	1628.36	1549.68	1614.5	1779.99	1431.33	1126.12			1299.3		1433.51	1933.04	1758.59	1244.44	1164.56	1612.11	1181.7	1329.03	1340.21	1059.81	937.061	1633.38	1233.71		1546.8	1118.68		1144.1	954.151			979.182	1177.55	669.624	1285.28
B1WC69	B1WC69	B1WC69_RAT	Nsun6	NOP2/Sun RNA methyltransferase 6	1188.7	1073.54	862.737	1303.08	1543.37	1085.1	1698.44		2454.77		1363.87	1499.44	1551.06	1245.59	1317.47	1258.8	1434.23	1273.08	1088.04	1132.76	1110.61	1045.01	1293.46	1418.08	1227.21	1066.71	1036.87	1293.31	1882.88	1436.93						
B1WC73	B1WC73	B1WC73_RAT	Arl6	ADP-ribosylation factor-like protein 6	2087.97	2656.36	2145.53	2124.85	2317.84	2319.48	2232.84	1999.52	1828.94	998.425	2101.97	1592.46	2192.28	2141.9	1867.86	2050.61	2028.87	1680.24	1601.2	1457.05	1761.16	1354.86	1183.53	1099.43	1191.62	1091.41	1171.51	1596.3	1828.94	1984.33	3145.69	3159.52	2646.32	2993.05	2561.65	2652.67
B1WC75	B1WC75	B1WC75_RAT	Dlgap5	DLG associated protein 5	4822.03	4794.7	4752.97	5340.13	3828.97	5303.03	6148.39	5685.76	5636.17	6782.69	5794.68	5451.04	5399.79	5079.06	4695.45	5314.7	5615.25	5061.8	4234.35	3454.01	4047.24	3199.46	4020.84	4300.76	3472.65	3633.55	3967.27	4132.61	3142.66	4557.68	8922.9	6606.1	3162.23	6239.27		6293.49
B2DD29	B2DD29	BRSK1_RAT	Brsk1	Serine/threonine-protein kinase BRSK1	1039.96	1038.38	994.127	996.853	901.187	1305.85	1679.64	1160.45	1201.95	1210.21	1400.19	1639.25	2346.23	2497.57	2096.15	2423.8	2142.23	2010.29	2464.2	2004.61	2232.97	2277.77	2130.59	2530.62	1142.73	664.181	852.15	1112.81	1045.91	836.076		868.767	840.091	706.483	606.147	973.167
B2GUU0	B2GUU0	B2GUU0_RAT	Cactin	Splicing factor Cactin	1024.24	1237.17	1152.69	901.024	1028.76	1148.57		432.403				465.741	1415.44	607.899	1077.92	992.581		554	1666.25		1765.83	365.178	918.752	1597.44		1997.66	343.461	2174.22		1854.3	1957.03	2049.04	2212.4	1627.98	2038.1	2147.53
B2GUV6	B2GUV6	B2GUV6_RAT	Sesn2	Sestrin 2	390.971	297.683	469.498	412.977	514.455	570.369									296.224		448.488	502.796	430.361		184.638					800.531	367.766			492.202						296.548
B2GUV7	B2GUV7	IF2P_RAT	Eif5b	Eukaryotic translation initiation factor 5B	24008.7	24408.6	23356.4	23629.6	24601.9	23275.7	20123.8	18738.7	20004.1	20715.3	19923.5	20657.3	21909.1	21916.1	22132.9	23025.2	22168.5	21792.1	20918.4	21001.2	19332	20898.6	20789.4	20921.8	26859.4	27181.3	24330.5	25771.4	26614.4	25350.9	19337.2	18261.6	18390.5	20220.4	20166.7	20089
B2GUW2	B2GUW2	B2GUW2_RAT	Arhgef16	LOC687105 protein	1000.13	1362.59	1357.17	1231.87	1304.08	1465.49		1784.21	256.65	915.867		645.058	1248.84	798.744	874.503		596.261	915.096	694.512	805.093	554.596	796.47	1093.55	604.671	995.327	1052.44	1195.31	1214.93	982.259	610.828	1347.66	1477.33	1042.09	1627.12	1407.75	1182.33
