Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-316_3846.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-317_3847.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-318_3848.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-196_3784.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-197_3785.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-198_3786.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-200_3788.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-201_3789.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-202_3791.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-203_3792.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-204_3793.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-205_3794.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-206_3795.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-207_3796.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-219_3805.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-220_3806.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-221_3807.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-222_3808.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-223_3809.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-224_3810.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-226_3816.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-227_3817.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-228_3818.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-229_3819.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-230_3820.d
A0A8I6AIE9	A0A8I6AIE9	A0A8I6AIE9_RAT	Zfp511	Zinc finger protein 511																																							
A0A8I6AIG5	A0A8I6AIG5	A0A8I6AIG5_RAT	Suz12	SUZ12 polycomb repressive complex 2 subunit																											910.745										6687.46		
A0A8I6AIG8	A0A8I6AIG8	A0A8I6AIG8_RAT	ENSRNOG00000068938	Receptor-binding cancer antigen expressed on SiSo cells																																							
A0A8I6AIT8	A0A8I6AIT8	A0A8I6AIT8_RAT	Msto1	Misato mitochondrial distribution and morphology regulator 1								3778.04																													5957.45		
A0A8I6AIV4	A0A8I5YB95;A0A8I6AIV4	A0A8I6AIV4_RAT	Dctn3l1	Dynactin 3-like 1	1651.78	3140.57			5910.43																1608.47		6607.85							1374.98				5157.69	3562.64	1609.66		3117.52	
A0A8I6AJ04	A0A8I6AJ04	A0A8I6AJ04_RAT	Pithd1	PITH domain containing 1	554.905				3687.56													817.799				5496.92					2672.75			2949.5	2098	3182.63				1088.18	3060.56		
A0A8I6AJ06	A0A8I6AJ06	A0A8I6AJ06_RAT	Ubl7	Ubiquitin-like 7																											239.174												
A0A8I6AJ21	A0A8I6AJ21	A0A8I6AJ21_RAT	ENSRNOG00000063117	Nucleic acid binding protein																							2606.46				2706.53												
A0A8I6AJ64	A0A8I6AJ64	A0A8I6AJ64_RAT	Rfxap	Regulatory factor X-associated protein																						2244.22									1509.49								
A0A8I6AJ74	A0A8I6AF39;A0A8I5ZKF5;A0A8I6AJ74	A0A8I6AJ74_RAT	Znf235	Zinc finger protein 235	1930.81		11103.4	5383.13	9067.83				1421.2	2982.64	2276	8355.79	3988.26		5305.61		3843.49		865.853	4159.62	11030.1		5955.62		7206.72		9227			5372.02	9195.68	2496.7		4274.02		9295.19		6504.26	
A0A8I6AJD9	A0A8I6AJD9	A0A8I6AJD9_RAT	Zfp512b	Zinc finger protein 512B																											1100.09												
A0A8I6AJF7	A0A8I6AJF7	A0A8I6AJF7_RAT	Kansl1	KAT8 regulatory NSL complex subunit 1																																							
A0A8I6AJM0	A0A8I6AJM0	A0A8I6AJM0_RAT	Gprin1	G protein-regulated inducer of neurite outgrowth 1		26233.5					2581.71						1908.62				2431.15	795.111			4487.08																	34490.8	
A0A8I6AJP4	A0A8I6AJP4	A0A8I6AJP4_RAT	Phactr4	Phosphatase and actin regulator 4																																							
A0A8I6AJV7	A0A8I6AJV7	A0A8I6AJV7_RAT	Safb2	Scaffold attachment factor B2	92.809	3908.19														1900.76										4222.83	4234.95				1625.72						2010.28		
A0A8I6AJW1	A0A8I6AJW1	A0A8I6AJW1_RAT	Rnf121	Ring finger protein 121																																							
A0A8I6AK45	A0A8I6AK45	A0A8I6AK45_RAT	Mtch2	Mitochondrial carrier 2	14424	24976.5	14548.4	6300.03	7838.87	25833.1	3170.26		21497.6	11624	17847	12122.5	13449.5	22011	17157.6	21354.7		8771.34	5635.55	9514.72	10715.1		7498.4	15411.1	7751.2	13967.6	8115.63	4504.68	12558.7	12157.6	10408.5	6316.45	16215.5	12704.5		8824.79	10193.6	15063.9	4100.65
A0A8I6AK85;F7ERB0	F7ERB0;A0A8I6AK85	A0A8I6AK85_RAT;F7ERB0_RAT	ENSRNOG00000068380;Taf5l1	TFIID subunit TAF5 NTD2 domain-containing protein																																							
A0A8I6AK96	A0A8I6AK96	A0A8I6AK96_RAT	Polr1d	DNA-directed RNA polymerases I and III subunit RPAC2	983.418						1821.19																2167.66					5163		1613.6	1724.96			1346.39		1097.82			
A0A8I6AKB0	A0A8I6AKB0	A0A8I6AKB0_RAT	Asmtl	Acetylserotonin O-methyltransferase-like					840.087																																		
A0A8I6AKD4	A0A8I6AKD4	A0A8I6AKD4_RAT	ENSRNOG00000069923	Tr-type G domain-containing protein	108333	140200		56709.8	142992	14880.3	56395.4	27009.7	22767.4	32959.3		144555	112270	7947.08	196846	9484.71	19134.9	63121.4		106058	73098.3	82410.1	118973	24939.3	84541.7	55030.5	79797.3	46447.7	49004.4	108023	59058.4	87336.3	74828.1	64052.1	71214.7	104333	111646	130358	61956.1
A0A8I6AKG2	A0A8I6AKG2	A0A8I6AKG2_RAT	Samd1	Sterile alpha motif domain containing 1																																							
A0A8I6AKL8	A0A8I6AKL8	A0A8I6AKL8_RAT	Xpo5	Exportin 5	751.177	1302.89											397.982										1404.23		1723.43		1478.94			1521.58	1400.37		35539.6	95732	2129.97	7768.37	20321.1	2217.2	
A0A8I6AKP6	A0A8I6AKP6	A0A8I6AKP6_RAT	Rnf213	Ring finger protein 213	733.126				962.148						14299.8	12712.6			31536		4753.08						21137.8								492.572		3635.34		534.279		16862.3		
A0A8I6AKR4	A0A8I6AKR4;A0A8I6GKU5	A0A8I6AKR4_RAT	Ap3s1	Adaptor related protein complex 3 subunit sigma 1		3845.77	2198.37		1500.7																		2857.69				1845.1							2951.46		2118.55			
A0A8I6AKX6	A0A8I6AKX6	A0A8I6AKX6_RAT	Mettl5	Methyltransferase like 5																											1510.36												
A0A8I6AKY1	A0A8I6AKY1	A0A8I6AKY1_RAT	Plekha6	Pleckstrin homology domain containing A6																																				2192.12			
A0A8I6AKZ1	A0A8I6AKZ1	A0A8I6AKZ1_RAT	Kctd17	Potassium channel tetramerization domain containing 17																																							
A0A8I6AKZ8	A0A8I6AKZ8	A0A8I6AKZ8_RAT	Tia1	TIA1 cytotoxic granule-associated RNA binding protein																																				1022.17			
A0A8I6AL26	A0A8I6AL26	A0A8I6AL26_RAT	Gas2l3	Growth arrest-specific 2 like 3														2619.08																							692.386		
A0A8I6AL38	A0A8I6AL38	A0A8I6AL38_RAT	ENSRNOG00000066965	Large ribosomal subunit protein uL4 C-terminal domain-containing protein	528.931		5313.23		1118.47	2165.77								2157.79		2884.93			2243.64	5213.39	117005	7849.68	6656.1				3873.14			2182.68	4134.38	4569.56				2129.29	2583.86	1389.71	
A0A8I6AL43	A0A8I6AL43	A0A8I6AL43_RAT	Ate1	Arginyl-tRNA--protein transferase 1											1957.99																												
A0A8I6AL64	A0A8I6AL64	A0A8I6AL64_RAT	Rbpj	Recombination signal binding protein for immunoglobulin kappa J region																																							
A0A8I6AL75	A0A8I6AL75	A0A8I6AL75_RAT	C2h1orf52	Similar to RIKEN cDNA 2410004B18																											190.451												
A0A8I6AL84	A0A8I6AL84	A0A8I6AL84_RAT	Kank1	KN motif and ankyrin repeat domains 1																																							
A0A8I6AL98	A0A8I6AL98	A0A8I6AL98_RAT	Cnot6l	poly(A)-specific ribonuclease	335.663											5358.09																											
A0A8I6ALB1	A0A8I6ALB1	A0A8I6ALB1_RAT	Ckap5	Cytoskeleton associated protein 5	2591.61	3831.83	6328.68	2624.3	2376.9		2301.34				4851.15	3303.3	2724.27		6009.35		16086.1	4915.76	3806.03	5615.43	2661.83	3204.34	1804.22	7367.45	5173.77	4784.21	2625.04	10621.4	2690.08	3321.45	3466.56	3028.77	1346.57	4814.56	3537.74	2154.79	2753.66	4176.15	5916.14
A0A8I6ALD4	A0A8I6ALD4	A0A8I6ALD4_RAT	Tjp2	Tight junction protein 2	3201.9	12932.7	4385.5	17050.2	3255.48							3446.63			4335.24						3408.65					1947.02													
A0A8I6ALH6	A0A8I6ALH6	A0A8I6ALH6_RAT	Ssbp2	Single-stranded DNA binding protein 2											5838.3																								3545.13		1220.32		
A0A8I6ALJ4	A0A8I6ALJ4	A0A8I6ALJ4_RAT	Arhgef18	Rho/Rac guanine nucleotide exchange factor 18																																				4228.19			
A0A8I6ALM7	A0A8I6ALM7	A0A8I6ALM7_RAT	Uevld	UEV and lactate/malate dehyrogenase domains													927.31																							618.879			
A0A8I6ALM9	A0A8I6ALM9	A0A8I6ALM9_RAT	Ptk7	Protein tyrosine kinase 7		4596.53	1722.7		1058.31				5699.22		3450.13	4677.73						5904.08				4348.87					2528.87		6672.1		2087.33	3275.6		5188.9		2421.84	1705.14		
A0A8I6ALP5	A0A8I6ALP5	A0A8I6ALP5_RAT	AABR07061825.2	Secreted protein																																							
A0A8I6ALQ0	A0A8I6ALQ0	A0A8I6ALQ0_RAT	Ngdn	Neuroguidin																																							
A0A8I6ALW8	A0A8I6ALW8	A0A8I6ALW8_RAT	Garnl3	GTPase activating Rap/RanGAP domain-like 3																																							
A0A8I6ALZ8	A0A8I6ALZ8	A0A8I6ALZ8_RAT	Med6	Mediator of RNA polymerase II transcription subunit 6																																							
A0A8I6AM23	A0A8I6AM23	A0A8I6AM23_RAT	Jak1	Tyrosine-protein kinase		10241.8			5040.39				14155.8	802.499					4445.44																					1301.81		4723.9	
A0A8I6AM26	A0A8I6AM26	A0A8I6AM26_RAT	Srrt	Arsenite-resistance protein 2	3669.01	6224.76	4750.66	8982.86	2766.51			11805.9			6602.56		1607.57		9596.59			6369.07	762.967	1810.61	3726.36	2621.14	7570.28		4188.27	10206.8	5268.26	7664.57		4585.44	4028.86	6924.42	2615.02	9793.85		3996.7	6667.6	5503.15	
A0A8I6AM38	A0A8I6AM38	A0A8I6AM38_RAT	Iqgap2	IQ motif containing GTPase activating protein 2			7210.06						127940		32002.4				53665.9	28436.4	163143				31758.8		25264.5		55264						20882.4			24773.5		25617.3			
A0A8I6AM56	A0A8I6AM56	A0A8I6AM56_RAT	Ppfia2	PTPRF interacting protein alpha 2															1430.71												5232.81												3339.53
A0A8I6AMK1	A0A8I6AMK1	A0A8I6AMK1_RAT	Kdsr	3-dehydrosphinganine reductase	2302.32	1189.05	2142.27	2509.47	2754.16	4081.82			1370.99		2594.73				1251.49	5282.15		805.413				5554.29			1178.84		583.497	2273.34		721.801	2755.56		2272.51	3880.74	2641.88	1442.52	385.706	2028.74	1534.64
A0A8I6AML4	A0A8I6AML4	A0A8I6AML4_RAT	Galc	Galactocerebrosidase																																							
A0A8I6AML7	A0A8I6AML7	A0A8I6AML7_RAT	Prim1	DNA primase																																					2305.96	1907.48	
A0A8I6AML9;A0A8J8YP33	A0A8I6AML9;A0A8J8YP33	A0A8I6AML9_RAT;A0A8J8YP33_RAT	AC125920.1;Haus2	HAUS augmin-like complex subunit 2-like																																							
A0A8I6AMN1	A0A8I6AMN1	A0A8I6AMN1_RAT	RGD1565655	Similar to BC049730 protein															4664.47			1155.05					4428.93	16701.9			1126.13				925.171			11468		1580.57	2542.4		
A0A8I6AMN4	A0A8I6AMN4	A0A8I6AMN4_RAT	ENSRNOG00000066862	C3H1-type domain-containing protein																																	3676.65						
A0A8I6AMN8	A0A8I6AMN8	A0A8I6AMN8_RAT	Nsd1	Nuclear receptor binding SET domain protein 1																																							
A0A8I6AMR3	A0A8I6AMR3	A0A8I6AMR3_RAT	Rpl37-ps4	60S ribosomal protein L37	1186.45				893.292							2318.63							793.237		632.664						1807.69				1432.42					958.224	793.806		
A0A8I6AMS6	A0A8I6AMS6	A0A8I6AMS6_RAT	Rangap1	RAN GTPase activating protein 1	8012.35	15802.1	6347.23	5481.54	6571.01			5767.35			2502.31	2969.25	3768.68		5307.92		1856.94	15196.1	2603.65			3537.05	4832.85		4580.29		8582.89	5859.18	7124.36	5644.07	7167.37	4744.08	6301.52	4521.22	6867.51	5718.7	7648.82	7930.68	7296.46
A0A8I6AMU4	A0A8I6AMU4	A0A8I6AMU4_RAT	Meaf6	Chromatin modification-related protein MEAF6													608.241																										
A0A8I6AN49	D4A250;A0A8I6AN49;A0A8I6ARR2	A0A8I6AN49_RAT	Mlx	MAX dimerization protein MLX												3922.23				2647.88									4968.99		3854.79			2249.25						3810.48	1352.98		
A0A8I6AN59	A0A8I6AN59	A0A8I6AN59_RAT	Plekhb2	Pleckstrin homology domain containing B2																																							
A0A8I6AN62	A0A8I6AN62	A0A8I6AN62_RAT	Rhoc	Ras homolog family member C															2637.12																								
A0A8I6ANB2	A0A8I6ANB2	A0A8I6ANB2_RAT	Ppfibp1	PPFIA binding protein 1																																							
A0A8I6ANC4	A0A8I6ANC4	A0A8I6ANC4_RAT	Coro1c	Coronin	3505.21	1680.64	6761.05		5297.13		2991.74		2655.18		2899.42	3722.05	7011.71		5057.93		7504.9	4429.83	5733.32		5115.17		2288.99	3545.07	3405.36	7175.62	1954.4			1734.42	1947.34	4291.17	3830.62			2557.9	1946.86	2026.84	2808.86
A0A8I6ANF5	A0A8I6ANF5	A0A8I6ANF5_RAT	Dffa	DNA fragmentation factor subunit alpha																																							
A0A8I6ANG1	A0A8I6ANG1	A0A8I6ANG1_RAT	Asb6	Ankyrin repeat and SOCS box-containing 6					2612.28																											5631.02							
A0A8I6ANG7	A0A8I6ANG7	A0A8I6ANG7_RAT	Dennd2b	DENN domain containing 2B																																							
A0A8I6ANH8	A0A8I6ANH8	A0A8I6ANH8_RAT	Dock6	Dedicator of cytokinesis 6																																							
A0A8I6ANL3	A0A8I6ANL3	A0A8I6ANL3_RAT	Shisa7	Shisa family member 7																																							
A0A8I6ANL9	A0A8I6ANL9	A0A8I6ANL9_RAT	Cdc23	Cell division cycle 23	925.995	1293.71	2169.22				6060.92				1846.15											3331.93			3201.42		1521.17		5449.07		2952.37					850.774	2041.58	1295.59	
A0A8I6ANP6;D3ZJT1	A0A8I6ANP6;D3ZJT1	A0A8I6ANP6_RAT;D3ZJT1_RAT	ENSRNOG00000069571;Wdr76	WD repeat-containing protein 76																																							
A0A8I6ANR5	A0A8I6ANR5	A0A8I6ANR5_RAT	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3																																							
A0A8I6ANR6	A0A8I6ANR6	A0A8I6ANR6_RAT	Chuk	IkappaB kinase											3918.32																												
A0A8I6ANS3	A0A8I6ANS3	A0A8I6ANS3_RAT	Efs	Embryonal Fyn-associated substrate																																							
A0A8I6ANT7	A0A8I6ANT7	A0A8I6ANT7_RAT	Ttc33	Tetratricopeptide repeat domain 33																																							
A0A8I6ANU2	A0A8I6ANU2	A0A8I6ANU2_RAT	Ptcd3	Small ribosomal subunit protein mS39													1644.73			1008.01															747.743					445.125	1140.71		
A0A8I6ANY1	A0A8I6ANY1	A0A8I6ANY1_RAT	Ascc2	Activating signal cointegrator 1 complex subunit 2																											1482.3									2065.58			
A0A8I6AP01	A0A8I6AP01	A0A8I6AP01_RAT	Ints6	Integrator complex subunit 6																															1484.24								
A0A8I6AP41	A0A8I6AP41	A0A8I6AP41_RAT	Nbea	Neurobeachin	4276.89	11761.2	729.923	7441.71	3357.34				6393.47		2672.92	12199	2734.31		4981.21						3502.89	6990.46					1045.32			3129.57	5170.01					6642.44		653.148	2123.14
A0A8I6AP78	A0A8I6AP78	A0A8I6AP78_RAT	Bag4	BAG cochaperone 4																																							
A0A8I6AP98	A0A0G2K8S3;A0A8I6AP98	A0A8I6AP98_RAT	Mettl27	Methyltransferase like 27																																							
A0A8I6APA0	A0A8I6APA0	A0A8I6APA0_RAT	Ncoa1	Nuclear receptor coactivator		2736.6																																					
A0A8I6APC1	A0A8I6APC1	A0A8I6APC1_RAT	RGD1564941	Similar to ankyrin repeat domain 26																																							
A0A8I6APG8	A0A8I6APG8	A0A8I6APG8_RAT	LOC120094308	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	1377.57	4003.46		7171.97	1683.7							1494.15	2490.36		992.319							3254.43					2149.65				2692.17	2160.21				2093.89	2646.05	1534.53	
A0A8I6APJ5	A0A8I6APJ5	A0A8I6APJ5_RAT	Prc1	Protein regulator of cytokinesis 1																																						6728.81	
A0A8I6APL1	A0A8I6APL1	A0A8I6APL1_RAT	Flywch2	FLYWCH family member 2																																							
A0A8I6APL5	A0A8I6APL5	A0A8I6APL5_RAT	Arhgap26	Rho GTPase-activating protein 26	1593.38				723.505																															898.305			
A0A8I6APT4	A0A8I6APT4	A0A8I6APT4_RAT	Ctso	Cathepsin O																																							
A0A8I6AQF1	A0A8I6AQF1	A0A8I6AQF1_RAT	Marchf1	Membrane associated ring-CH-type finger 1																																							
A0A8I6AQL7	A0A8I6AQL7	A0A8I6AQL7_RAT	Nek9	NIMA-related kinase 9	1245.56	8812.36										2084.07	2005.07								13773		6080.43		2896.02		569.204			3472.15	1237.28	4093.02	1780.18			9684.48			
A0A8I6AQN6	A0A8I6AQN6	A0A8I6AQN6_RAT	Rps6ka6	Ribosomal protein S6 kinase polypeptide 6																																							
A0A8I6AQR3	A0A8I6AQR3	A0A8I6AQR3_RAT	Tmem263	Transmembrane protein 263	2640.76				2337.69								1085.67		2592.43			9423.75			8970.52				3353.91		1818.42			3891.8	5487.94		1036.99			2223.01	5636.73	3085.89	
A0A8I6AQW7	A0A8I6AQW7	A0A8I6AQW7_RAT	Msi2	Musashi RNA-binding protein 2	1107.92										1561.35		865.038		2128.38			1631.92		3340.15				4496.88	1808.06				1404.92					1461.69		1024.1		1810.44	
A0A8I6AR12	A0A8I6AR12	A0A8I6AR12_RAT	Cct7	T-complex protein 1 subunit eta	21460	17992.1	11167.6	18031	19328.6	4971.52	19505.9	10390.4	2760.6		14043.1	16801.2	15543.2		10838	1669.92	8010.38	8360.94	17412.2	15365.7	18486.4	15840.2	20383.6	45119.8	20594.2	16183.5	23445.5	12557.8	7866.16	24134.8	19433.5	20634.4	21191	15311.5	22146.3	20013.6	18426.5	26845.5	17206.7
A0A8I6AR22	A0A8I6AR22	A0A8I6AR22_RAT	Zdhhc20	Palmitoyltransferase																																							
A0A8I6AR61	A0A8I6AR61	A0A8I6AR61_RAT	Pbrm1	Polybromo 1	1096.51		1855.51		791.29	37472.7			56000.6		2944.19			32773.1	3878.74	1862.99						2385.7			22001.6		2317.62			2980.58	1733.95	5801.88	13848.7			1029.06	3691.24	2908.74	
A0A8I6ARL0	A0A8I6ARL0	A0A8I6ARL0_RAT	Gpt2	alanine transaminase									2463.29																														
A0A8I6ART4	A0A8I6ART4	A0A8I6ART4_RAT	Fmnl3	Formin-like 3																																							
A0A8I6ARU6	A0A8I6ARU6	A0A8I6ARU6_RAT	Galk1	Galactokinase 1	13013.4	6512.52	15381.3	8193.29	12989.8			2372.2	5302.64	7017.19	3200.21	13975.8	8144.65	1051.58	4018.13			5464.67	6467.01	8244.02	11304.2	11581.4	5790.3	7335.85	9607.6	7601.26	13667.3	6530.41	5623.63	4877.08	3340.02		7605.91	7647.56	40690.9	7544.05	8285.33	14243.5	
A0A8I6ARV9	A0A8I6ARV9	A0A8I6ARV9_RAT	Ctsa	Carboxypeptidase			4483.6		800.919				2662.09			10863.7	4716.46		3839.35	8479.79		1198.68	3822.48	8964.49	9752.22		7855.06	4337.97	3302.41		5762.43	8815.97	13358.2	6843.97	9902.96	1341.84	6083.83	5333.96	5514.82	6878.21	4273.08	8145.27	
A0A8I6AS17	A0A8I6AS17	A0A8I6AS17_RAT	Bsdc1	BSD domain containing 1																																							
A0A8I6AS20	A0A8I6AS20	A0A8I6AS20_RAT	Phf3	PHD finger protein 3	4525.86												680.213																										
A0A8I6AS54	A0A8I6AS54	A0A8I6AS54_RAT	ENSRNOG00000069443	Heterogeneous nuclear ribonucleoprotein Q acidic domain-containing protein	2429.21		4443.61		263.963				1635.22			3735.21	1049.31							1557.36			1182.17	4390.35			1167.47	1531.85		3677.74	2519.03	2467.54	5225.39			2802.95	4945.47	6035.37	
A0A8I6AS56	A0A8I6AS56	A0A8I6AS56_RAT	Abhd11	Abhydrolase domain containing 11	1657.96	5945.81			989.168		5240.12				3074.32		4065.11	3261.85		2600.79		785.407									5040.2					6189.65				3092.47		2892.59	
A0A8I6AS90	A0A8I6AS90	A0A8I6AS90_RAT	Arl10	ADP-ribosylation factor like GTPase 10	806.156													1573.1	1896.1	5127.33																1407.04							
A0A8I6ASA9	A0A8I6ASA9	A0A8I6ASA9_RAT	Itsn2	Intersectin 2	2917.49				2192.79							2418.29								3254.41			2571.5				4144.7		1623.61	3317.68	3054.91					623.169	3907.39		
A0A8I6ASF5	A0A8I6ASF5	A0A8I6ASF5_RAT	Rpl4-ps1	Similar to 60S ribosomal protein L4 (L1)	1757.72	4193.25			1693.19																						1916.85			712.405	1942.19				4707.01	2691.62	1683.23	1217.15	
A0A8I6ASH7	A0A8I6ASH7	A0A8I6ASH7_RAT	ENSRNOG00000065518	phosphopyruvate hydratase																																							
A0A8I6ASJ8	A0A8I6ASJ8	A0A8I6ASJ8_RAT	Elk4	ETS transcription factor ELK4																																							
A0A8I6ASK1	A0A8I6ASK1	A0A8I6ASK1_RAT	P4ha2	procollagen-proline 4-dioxygenase					463.156																									20759.1	1347.35						8275.15	1430.87	
A0A8I6ASS6	A0A8I6ASS6	A0A8I6ASS6_RAT	AC098459.1	L-lactate dehydrogenase	5288.06	9815.56	8759.03		58595.5	9198.3	22831.4	12969.5	8743.57		6286.08	11996.2	8656.72	8204.95	2654.68		5737.63	18970.2		4117.05	27114.8	18167.6	20064.6		4533.94	22466.2	12250.5	9039.95	52010.9	31350	21033	26232.1	15118.9	3388.49	9578.84	10568.9	4045.47	11349.1	3403.96
A0A8I6ASZ5	A0A8I6ASZ5	A0A8I6ASZ5_RAT	Tcf25	Transcription factor 25																																				4937.08			
A0A8I6ATB9	A0A8I6ATB9	A0A8I6ATB9_RAT	RGD1561890	Craniofacial development protein 1		1309.73																																					
A0A8I6ATH0	A0A8I6ATH0	A0A8I6ATH0_RAT	Braf	non-specific serine/threonine protein kinase		2221.93			2035.89									3089.78													1286.74				1414.32	5037.35				1471.72	2392.59	1756.69	
A0A8I6ATI0	A0A8I6ATI0	A0A8I6ATI0_RAT	Sacs	Sacsin molecular chaperone																																					788.883		
A0A8I6ATL7	A0A8I6ATL7	A0A8I6ATL7_RAT	ENSRNOG00000066039	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1		1669.55			2086.34							1947.77											1716.66				3370.09				1211.98					1347.97			
A0A8I6ATM0	A0A8I6ATM0	A0A8I6ATM0_RAT	Elavl3	ELAV-like protein		11977		9006.34					701.493							834.08										870.595	3310.7			3896.23		3145.33	3532.02	436.467				5350.75	9588.29
A0A8I6ATM7	A0A8I6ATM7	A0A8I6ATM7_RAT	Gpn1	GPN-loop GTPase																																				810.02			
A0A8I6ATU9	A0A8I6ATU9	A0A8I6ATU9_RAT	Atxn2	Ataxin 2					5831.99																					3784.8											1181.82		
A0A8I6ATX5	A0A8I6ATX5	A0A8I6ATX5_RAT	Stard7	StAR-related lipid transfer domain containing 7																																							
A0A8I6AU21	A0A8I6AU21	A0A8I6AU21_RAT	Ccdc28a	Coiled-coil domain containing 28A																																							
A0A8I6AU26	A0A8I6AU26	A0A8I6AU26_RAT	Galnt2	Polypeptide N-acetylgalactosaminyltransferase	1327.24				3435.07																				6203.97		464.266				298.87					1943.81	143.241	8291.21	
A0A8I6AU33	A0A8I6AU33	A0A8I6AU33_RAT	Gpr89b	G protein-coupled receptor 89B																																							
