Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	PC12_day6_1_1 Spectral Count	PC12_day6_2_2 Spectral Count	PC12_day6_3_3 Spectral Count	PC12_undiff_1_1 Spectral Count	PC12_undiff_2_2 Spectral Count	PC12_undiff_3_3 Spectral Count	PC12_day6_1_1 Unique Spectral Count	PC12_day6_2_2 Unique Spectral Count	PC12_day6_3_3 Unique Spectral Count	PC12_undiff_1_1 Unique Spectral Count	PC12_undiff_2_2 Unique Spectral Count	PC12_undiff_3_3 Unique Spectral Count	PC12_day6_1_1 Total Spectral Count	PC12_day6_2_2 Total Spectral Count	PC12_day6_3_3 Total Spectral Count	PC12_undiff_1_1 Total Spectral Count	PC12_undiff_2_2 Total Spectral Count	PC12_undiff_3_3 Total Spectral Count	PC12_day6_1_1 Intensity	PC12_day6_2_2 Intensity	PC12_day6_3_3 Intensity	PC12_undiff_1_1 Intensity	PC12_undiff_2_2 Intensity	PC12_undiff_3_3 Intensity	PC12_day6_1_1 MaxLFQ Intensity	PC12_day6_2_2 MaxLFQ Intensity	PC12_day6_3_3 MaxLFQ Intensity	PC12_undiff_1_1 MaxLFQ Intensity	PC12_undiff_2_2 MaxLFQ Intensity	PC12_undiff_3_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q32WR5|BL1S2_RAT	Q32WR5	BL1S2_RAT	Bloc1s2	142	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Biogenesis of lysosome-related organelles complex-1 subunit 2	0.9902	0.9965	2	8	8	8	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	18611.516	28409.828	17245.652	17241.742	24437.918	14647.595	0.0	17645.658	0.0	0.0	14994.756	0.0	
sp|Q3B7D0|HEM6_RAT	Q3B7D0	HEM6_RAT	Cpox	443	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	1.0	0.999	7	25	25	25	4	5	5	2	3	6	4	5	5	2	3	6	4	5	5	2	3	6	98235.55	92833.914	76671.734	57286.53	45091.47	79849.19	47230.45	43603.992	40974.293	36621.375	26266.088	34500.477	
sp|Q3B7D1|UBE2Z_RAT	Q3B7D1	UBE2Z_RAT	Ube2z	356	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 Z	1.0	0.999	3	12	12	12	3	2	3	1	2	1	3	2	3	1	2	1	3	2	3	1	2	1	43669.367	66667.85	83060.99	48129.055	39126.57	56290.297	27055.094	31149.518	32787.383	29913.16	22710.725	22329.695	
sp|Q3B7D2|SPTC2_RAT	Q3B7D2	SPTC2_RAT	Sptlc2	560	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Serine palmitoyltransferase 2	1.0	0.999	5	19	19	19	5	4	4	3	1	2	5	4	4	3	1	2	5	4	4	3	1	2	80959.445	53439.28	46469.414	34452.48	12552.152	29186.78	21176.305	20524.238	19554.23	13960.739	0.0	16420.934	
sp|Q3B7K9|RUN3B_RAT	Q3B7K9	RUN3B_RAT	Rundc3b	403	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RUN domain-containing protein 3B	0.9954	0.999	2	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0.0	0.0	6500.0293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3B7T9|RFIP1_RAT	Q3B7T9	RFIP1_RAT	Rab11fip1	648	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Rab11 family-interacting protein 1	1.0	0.999	5	6	6	6	0	2	2	0	1	1	0	2	2	0	1	1	0	2	2	0	1	1	65310.145	0.0	19128.822	0.0	27428.97	29762.727	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3B7U9|FKBP8_RAT	Q3B7U9	FKBP8_RAT	Fkbp8	403	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Peptidyl-prolyl cis-trans isomerase FKBP8	1.0	0.999	10	67	67	67	12	14	11	10	11	9	12	14	11	10	11	9	12	14	11	10	11	9	237012.61	224597.72	199050.66	168967.88	146907.88	179489.44	60614.664	63169.21	60027.727	49734.332	51149.152	47908.723	
sp|Q3B8N7|T22D4_RAT	Q3B8N7	T22D4_RAT	Tsc22d4	387	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	TSC22 domain family protein 4	1.0	0.999	3	12	12	12	2	3	2	2	2	1	2	3	2	2	2	1	2	3	2	2	2	1	42861.203	38454.277	41542.336	39703.555	15826.521	14897.803	17801.541	21057.703	22189.139	26061.936	0.0	0.0	
sp|Q3B8N8|PESC_RAT	Q3B8N8	PESC_RAT	Pes1	586	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Pescadillo homolog	1.0	0.999	10	34	34	34	6	5	4	7	6	6	6	5	4	7	6	6	6	5	4	7	6	6	74129.91	75663.766	26277.984	81639.586	59400.727	49106.094	16180.466	18714.066	15518.02	22203.764	23872.693	23534.053	
sp|Q3B8Q0|MARE2_RAT	Q3B8Q0	MARE2_RAT	Mapre2	326	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Microtubule-associated protein RP/EB family member 2	1.0	0.999	7	38	38	38	4	5	4	6	10	9	4	5	4	6	10	9	4	5	4	6	10	9	122142.555	139940.89	108888.92	175913.5	192092.22	213307.72	49418.08	50103.66	56276.758	87850.57	93062.05	91429.6	
sp|Q3B8Q1|DDX21_RAT	Q3B8Q1	DDX21_RAT	Ddx21	782	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Nucleolar RNA helicase 2	1.0	0.999	31	176	176	176	23	27	24	28	38	36	23	27	24	28	38	36	23	27	24	28	38	36	482957.25	481631.5	351257.53	483097.9	590728.94	634393.9	46014.664	49378.902	45845.496	61123.72	57669.395	59494.293	
sp|Q3B8Q2|IF4A3_RAT	Q3B8Q2	IF4A3_RAT	Eif4a3	411	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Eukaryotic initiation factor 4A-III	1.0	0.999	24	100	100	144	11	13	13	19	23	21	11	13	13	19	23	21	18	19	18	30	32	27	288553.53	273423.7	281538.53	443583.53	415221.1	508070.1	68469.66	60331.2	64387.094	93438.43	80269.62	95375.1	
sp|Q3C2P8|SPRE2_RAT	Q3C2P8	SPRE2_RAT	Spred2	410	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Sprouty-related, EVH1 domain-containing protein 2	0.9345	0.9973	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2706.0244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3KR59|UBP10_RAT	Q3KR59	UBP10_RAT	Usp10	794	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 10	1.0	0.999	6	27	27	27	4	3	5	3	6	6	4	3	5	3	6	6	4	3	5	3	6	6	47794.47	63016.46	69413.21	56452.832	91595.78	76664.96	19993.861	21845.71	22819.807	23297.002	26516.69	27128.809	
sp|Q3KR86|MIC60_RAT	Q3KR86	MIC60_RAT	Immt	609	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	MIC	1.0	0.999	23	179	179	179	27	27	29	30	31	35	27	27	29	30	31	35	27	27	29	30	31	35	869185.1	924619.7	857862.1	769335.9	647362.9	660359.9	130813.11	129780.76	126537.914	130345.78	125807.86	122845.91	
sp|Q3KRC4|GPC5C_RAT	Q3KRC4	GPC5C_RAT	Gprc5c	441	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	G-protein coupled receptor family C group 5 member C	0.9749	0.999	1	4	4	4	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	1	6662.6787	8088.618	0.0	0.0	0.0	6842.6704	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3KRC5|DUS3L_RAT	Q3KRC5	DUS3L_RAT	Dus3l	640	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	0.9977	0.999	2	12	12	12	2	3	1	2	2	2	2	3	1	2	2	2	2	3	1	2	2	2	27187.656	31787.0	8629.051	34211.816	13574.071	39038.316	18845.738	20967.578	0.0	22754.016	0.0	27732.834	
sp|Q3KRC6|LRC8E_RAT	Q3KRC6	LRC8E_RAT	Lrrc8e	795	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Volume-regulated anion channel subunit LRRC8E	0.9999	0.999	3	5	3	5	2	1	2	0	0	0	1	1	1	0	0	0	2	1	2	0	0	0	8242.099	5769.556	6194.9844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3KRD5|TOM34_RAT	Q3KRD5	TOM34_RAT	Tomm34	309	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM34	1.0	0.999	12	90	90	90	16	17	17	11	15	14	16	17	17	11	15	14	16	17	17	11	15	14	302063.0	287420.06	276073.9	201682.17	201336.27	227227.83	84707.47	83264.7	87525.305	74848.33	76046.92	87944.42	
sp|Q3KRD8|IF6_RAT	Q3KRD8	IF6_RAT	Eif6	245	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 6	1.0	0.999	5	32	21	32	5	4	5	6	6	6	3	3	4	3	4	4	5	4	5	6	6	6	55870.81	97261.38	99193.305	178051.0	116246.03	126138.12	35527.203	37959.04	50775.016	40493.7	48668.496	54065.17	
sp|Q3KRE0|ATAD3_RAT	Q3KRE0	ATAD3_RAT	Atad3	591	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	ATPase family AAA domain-containing protein 3	1.0	0.999	6	18	18	18	2	1	2	5	3	5	2	1	2	5	3	5	2	1	2	5	3	5	71525.625	11298.025	7299.5405	128740.17	88439.17	27217.621	24032.133	17518.521	0.0	38257.926	32997.543	34489.707	
sp|Q3KRE8|TBB2B_RAT	Q3KRE8	TBB2B_RAT	Tubb2b	445	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Tubulin beta-2B chain	1.0	0.999	27	27	27	1325	6	6	6	3	4	2	6	6	6	3	4	2	241	258	254	190	193	189	362957.28	368327.25	417893.34	128534.234	128979.055	126459.87	256106.72	254437.27	279954.88	93155.63	89977.06	82134.06	
sp|Q3KRF1|SP110_RAT	Q3KRF1	SP110_RAT	Sp110	478	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Sp110 nuclear body protein	0.9749	0.999	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16940.1	12734.475	13235.818	18910.568	9015.353	10580.457	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3LRZ1|CRTC2_RAT	Q3LRZ1	CRTC2_RAT	Crtc2	691	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	CREB-regulated transcription coactivator 2	0.991	0.9951	2	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0.0	0.0	0.0	24035.512	0.0	13546.212	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3MHC2|INT11_RAT	Q3MHC2	INT11_RAT	Ints11	600	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Integrator complex subunit 11	0.9958	0.9989	2	4	4	4	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	58004.332	65872.945	0.0	10061.96	36685.617	28946.076	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3MHS2|ZN830_RAT	Q3MHS2	ZN830_RAT	Znf830	370	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Zinc finger protein 830	1.0	0.999	3	9	9	9	2	1	1	2	2	1	2	1	1	2	2	1	2	1	1	2	2	1	6941.965	8460.902	6784.4287	35488.29	16388.58	15897.562	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3MIB4|LONP2_RAT	Q3MIB4	LONP2_RAT	Lonp2	852	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Lon protease homolog 2, peroxisomal	1.0	0.999	8	30	30	30	6	7	5	3	5	4	6	7	5	3	5	4	6	7	5	3	5	4	111111.64	109521.2	82213.47	63850.9	61914.273	82106.38	32826.94	30169.887	31849.871	22745.002	24264.076	24635.055	
sp|Q3MID3|ARFG2_RAT	Q3MID3	ARFG2_RAT	Arfgap2	520	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	ADP-ribosylation factor GTPase-activating protein 2	1.0	0.999	8	28	28	28	3	2	3	4	9	7	3	2	3	4	9	7	3	2	3	4	9	7	91422.81	76509.5	35490.973	85530.26	125084.28	148118.88	21639.723	20325.643	24848.568	27023.291	28410.887	29332.803	
sp|Q3MIE4|VAT1_RAT	Q3MIE4	VAT1_RAT	Vat1	404	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Synaptic vesicle membrane protein VAT-1 homolog	1.0	0.999	21	356	356	356	77	72	83	41	41	42	77	72	83	41	41	42	77	72	83	41	41	42	3188232.2	3119602.2	3218912.5	1776553.5	1370247.0	1369639.2	506773.0	506120.9	521502.53	271758.9	258496.84	253323.27	
sp|Q3MIF4|XYLB_RAT	Q3MIF4	XYLB_RAT	Xylb	536	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Xylulose kinase	0.9748	0.999	1	8	8	8	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	15667.317	16273.27	13016.05	14214.1045	14205.152	15329.537	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3MJK5|CDK12_RAT	Q3MJK5	CDK12_RAT	Cdk12	1484	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Cyclin-dependent kinase 12	1.0	0.999	4	6	6	20	0	0	0	1	2	3	0	0	0	1	2	3	3	3	3	3	4	4	4391.2954	0.0	0.0	4811.911	9050.729	10695.799	0.0	0.0	0.0	0.0	7114.5386	6014.761	
sp|Q3MQ06|ATG5_RAT	Q3MQ06	ATG5_RAT	Atg5	275	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Autophagy protein 5	1.0	0.999	4	18	18	18	4	2	3	5	2	2	4	2	3	5	2	2	4	2	3	5	2	2	35100.844	33283.18	35363.918	49690.89	21964.102	41904.742	23674.299	22496.098	23518.568	19374.838	0.0	28721.89	
sp|Q3SWS8|RAE1L_RAT	Q3SWS8	RAE1L_RAT	Rae1	368	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	mRNA export factor	1.0	0.999	10	40	40	40	3	6	6	7	9	9	3	6	6	7	9	9	3	6	6	7	9	9	168194.66	170006.05	130662.09	168468.94	154674.72	187841.06	39597.72	38015.24	37175.22	38796.836	39190.938	39703.414	
sp|Q3SWS9|JKIP1_RAT	Q3SWS9	JKIP1_RAT	Jakmip1	626	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Janus kinase and microtubule-interacting protein 1	0.9996	0.9981	2	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	13576.219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3SWT4|IWS1_RAT	Q3SWT4	IWS1_RAT	Iws1	764	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Protein IWS1 homolog	0.9985	0.9989	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	7739.006	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3SWU3|HNRDL_RAT	Q3SWU3	HNRDL_RAT	Hnrnpdl	322	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein D-like	1.0	0.999	7	35	35	51	3	5	4	8	6	9	3	5	4	8	6	9	6	7	7	9	9	13	93176.29	113171.49	116752.6	194023.81	189661.69	230500.03	43267.24	38613.94	47546.473	60790.98	67155.93	67012.1	
sp|Q3T1G7|COG7_RAT	Q3T1G7	COG7_RAT	Cog7	770	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Conserved oligomeric Golgi complex subunit 7	1.0	0.999	5	19	19	19	4	3	2	4	2	4	4	3	2	4	2	4	4	3	2	4	2	4	47170.86	67031.12	25182.902	88744.5	30233.666	51294.54	16413.445	17912.707	15177.561	20546.742	17879.098	17827.723	
sp|Q3T1I4|PRRC1_RAT	Q3T1I4	PRRC1_RAT	Prrc1	443	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Protein PRRC1	1.0	0.999	6	42	42	42	7	5	8	6	7	9	7	5	8	6	7	9	7	5	8	6	7	9	88904.305	108726.02	90995.59	110020.84	122575.03	125963.69	27640.312	26459.125	27086.127	27203.3	30843.719	31360.494	
sp|Q3T1I5|SRBP2_RAT	Q3T1I5	SRBP2_RAT	Srebf2	1133	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Sterol regulatory element-binding protein 2	0.9982	0.999	2	5	5	5	2	1	1	1	0	0	2	1	1	1	0	0	2	1	1	1	0	0	52705.55	18536.63	18832.52	13369.463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3T1I9|RPAP1_RAT	Q3T1I9	RPAP1_RAT	Rpap1	1400	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RNA polymerase II-associated protein 1	1.0	0.999	4	10	10	10	2	1	0	3	3	1	2	1	0	3	3	1	2	1	0	3	3	1	14707.435	14436.006	0.0	31883.074	18410.666	22052.473	9675.654	9202.422	0.0	11841.549	12686.477	14918.878	
sp|Q3T1J1|IF5A1_RAT	Q3T1J1	IF5A1_RAT	Eif5a	154	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 5A-1	1.0	0.999	15	129	24	129	19	19	19	24	22	26	2	2	3	5	6	6	19	19	19	24	22	26	340467.3	349453.06	329951.0	316099.22	403153.0	433325.9	97146.875	93056.87	96114.51	97067.555	107545.87	105522.93	
sp|Q3T1J8|RTF2_RAT	Q3T1J8	RTF2_RAT	Rtf2	306	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Replication termination factor 2	0.9748	0.999	1	4	4	4	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0.0	11077.025	0.0	10682.491	15716.412	18436.914	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3T1J9|MOB1A_RAT	Q3T1J9	MOB1A_RAT	Mob1a	216	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	MOB kinase activator 1A	0.9747	0.999	1	4	0	4	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0.0	0.0	0.0	11336.426	0.0	10527.368	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A8I5ZK61|A0A8I5ZK61_RAT
sp|Q3T1K5|CAZA2_RAT	Q3T1K5	CAZA2_RAT	Capza2	286	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	F-actin-capping protein subunit alpha-2	1.0	0.999	7	20	20	43	2	2	3	6	3	4	2	2	3	6	3	4	6	7	8	9	6	7	56294.92	53800.438	47906.98	64075.258	73328.65	84458.0	43396.33	46159.207	0.0	47769.664	58458.35	61860.37	
sp|Q3T1L0|A16A1_RAT	Q3T1L0	A16A1_RAT	Aldh16a1	802	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Aldehyde dehydrogenase family 16 member A1	1.0	0.999	10	45	45	45	8	10	8	6	3	10	8	10	8	6	3	10	8	10	8	6	3	10	183394.89	190158.08	166462.56	136195.06	94625.25	134572.17	43791.38	41151.81	42820.09	28718.682	37437.164	30849.418	
sp|Q3ZAV8|EDC4_RAT	Q3ZAV8	EDC4_RAT	Edc4	1407	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Enhancer of mRNA-decapping protein 4	1.0	0.999	14	81	81	81	15	13	13	11	16	13	15	13	13	11	16	13	15	13	13	11	16	13	280830.88	243946.72	226846.84	171444.7	195377.7	261334.0	63094.418	62784.504	57542.484	62247.16	64027.984	68154.3	
sp|Q3ZU82|GOGA5_RAT	Q3ZU82	GOGA5_RAT	Golga5	728	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Golgin subfamily A member 5	1.0	0.999	7	23	23	23	4	2	3	4	5	5	4	2	3	4	5	5	4	2	3	4	5	5	47188.03	33275.57	43940.703	66903.22	84855.97	62874.906	19071.322	17627.818	23343.855	20149.209	22434.498	22498.037	
sp|Q496Z0|ELP2_RAT	Q496Z0	ELP2_RAT	Elp2	821	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Elongator complex protein 2	1.0	0.999	3	15	15	15	2	3	2	1	4	3	2	3	2	1	4	3	2	3	2	1	4	3	38450.664	16920.764	32325.738	10236.384	36529.664	43067.867	17820.64	16149.336	19564.8	0.0	17547.479	19897.049	
sp|Q496Z9|TRM1L_RAT	Q496Z9	TRM1L_RAT	Trmt1l	723	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	TRMT1-like protein	0.9749	0.999	1	8	8	8	2	0	0	1	3	2	2	0	0	1	3	2	2	0	0	1	3	2	8879.081	0.0	0.0	8769.7	6475.5874	8989.892	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q497B0|NIT2_RAT	Q497B0	NIT2_RAT	Nit2	276	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Omega-amidase NIT2	1.0	0.999	10	58	58	58	12	9	7	9	11	10	12	9	7	9	11	10	12	9	7	9	11	10	146011.73	154256.27	158995.61	186093.5	139199.2	176718.81	61937.355	59783.293	59385.51	56878.633	56029.426	61462.246	
sp|Q498C8|RER1_RAT	Q498C8	RER1_RAT	Rer1	196	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Protein RER1	1.0	0.999	4	22	22	22	4	3	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	116838.85	115640.62	115953.49	101048.27	98878.375	92427.09	56781.184	58901.33	59000.164	46544.17	50510.527	47893.95	
sp|Q498E0|TXD12_RAT	Q498E0	TXD12_RAT	Txndc12	170	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Thioredoxin domain-containing protein 12	1.0	0.999	4	24	24	24	4	3	5	3	5	4	4	3	5	3	5	4	4	3	5	3	5	4	141654.38	123808.97	138456.66	108298.766	99227.02	99003.086	74354.09	67151.375	75593.06	64644.94	65502.2	55019.785	
sp|Q498E2|TDRP_RAT	Q498E2	TDRP_RAT	Tdrp	182	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Testis development-related protein	0.9749	0.999	1	4	4	4	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	14628.598	14468.668	18651.88	0.0	16286.865	16794.975	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q498M4|WDR5_RAT	Q498M4	WDR5_RAT	Wdr5	334	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	WD repeat-containing protein 5	1.0	0.999	7	40	40	40	6	5	5	8	8	8	6	5	5	8	8	8	6	5	5	8	8	8	113899.586	102150.43	101914.94	220942.97	149525.8	266628.3	36708.38	32638.543	38421.137	52159.406	52527.676	63214.19	
sp|Q498R1|MTRR_RAT	Q498R1	MTRR_RAT	Mtrr	700	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Methionine synthase reductase	0.971	0.9988	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	5183.3413	0.0	8930.8955	11186.669	6547.8877	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q498R3|DJC10_RAT	Q498R3	DJC10_RAT	Dnajc10	793	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	DnaJ homolog subfamily C member 10	1.0	0.999	8	42	42	42	9	8	8	6	5	6	9	8	8	6	5	6	9	8	8	6	5	6	161758.64	157463.48	138609.97	96090.65	93220.14	103869.02	34550.06	39000.242	36383.746	27599.658	29559.334	26186.732	
sp|Q498T4|RM02_RAT	Q498T4	RM02_RAT	Mrpl2	304	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Large ribosomal subunit protein uL2m	1.0	0.999	3	14	14	14	3	3	2	1	3	2	3	3	2	1	3	2	3	3	2	1	3	2	42384.805	39228.54	7729.0796	21559.658	55432.43	37221.562	23492.732	22090.164	0.0	0.0	19886.428	21110.592	
sp|Q498T9|LRC8C_RAT	Q498T9	LRC8C_RAT	Lrrc8c	803	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Volume-regulated anion channel subunit LRRC8C	0.9935	0.999	2	1	1	3	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	21170.469	27006.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q498U0|CD003_RAT	Q498U0	CD003_RAT		65	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Uncharacterized protein C4orf3 homolog	0.9999	0.999	2	13	13	13	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	59023.516	60974.367	60788.34	21242.615	41749.996	33879.277	38567.35	39841.742	37492.824	0.0	27508.459	21212.934	
sp|Q498U3|S2540_RAT	Q498U3	S2540_RAT	Slc25a40	337	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Probable mitochondrial glutathione transporter SLC25A40	0.9643	0.9986	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	15547.198	11083.696	0.0	7349.5728	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q498U4|SARNP_RAT	Q498U4	SARNP_RAT	Sarnp	210	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	SAP domain-containing ribonucleoprotein	1.0	0.999	17	135	135	135	18	23	22	22	24	26	18	23	22	22	24	26	18	23	22	22	24	26	618784.6	607681.06	548472.3	859836.56	691842.4	792723.6	121500.5	109283.414	122684.12	166215.47	159426.67	147506.3	
sp|Q499M7|LRIF1_RAT	Q499M7	LRIF1_RAT	Lrif1	748	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Ligand-dependent nuclear receptor-interacting factor 1	0.987	0.9962	1	4	4	4	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	2601.4624	0.0	3748.3423	0.0	7707.186	10586.649	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q499N3|WDR18_RAT	Q499N3	WDR18_RAT	Wdr18	431	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	WD repeat-containing protein 18	1.0	0.999	6	18	18	18	2	3	3	2	3	5	2	3	3	2	3	5	2	3	3	2	3	5	36945.5	53002.492	49008.062	28208.82	10144.701	24060.73	19130.799	18327.03	17249.123	20148.441	0.0	16183.119	
sp|Q499N5|ACSF2_RAT	Q499N5	ACSF2_RAT	Acsf2	615	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.0	0.999	5	24	24	24	6	4	4	5	1	4	6	4	4	5	1	4	6	4	4	5	1	4	89603.59	123251.89	73761.13	124240.766	10247.572	123194.94	47963.78	45962.38	45535.23	47521.58	0.0	48331.203	
sp|Q499N6|UBXN1_RAT	Q499N6	UBXN1_RAT	Ubxn1	297	Rattus norvegicus OX=10116	3:Protein inferred from homology	UBX domain-containing protein 1	1.0	0.999	9	51	34	51	8	9	8	10	10	6	5	6	6	7	6	4	8	9	8	10	10	6	399896.25	526790.2	311057.03	582248.25	583745.9	537659.7	293113.75	325330.47	288434.2	404426.62	418183.84	387615.88	
