Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	LFQ.intensity.control_231_1	LFQ.intensity.control_231_2	LFQ.intensity.control_231_3	LFQ.intensity.control_468_1	LFQ.intensity.control_468_2	LFQ.intensity.control_468_3	LFQ.intensity.control_468_42hr_1	LFQ.intensity.control_468_42hr_2	LFQ.intensity.control_468_42hr_3	LFQ.intensity.drug_231_1	LFQ.intensity.drug_231_2	LFQ.intensity.drug_231_3	LFQ.intensity.drug_468_1	LFQ.intensity.drug_468_2	LFQ.intensity.drug_468_3	LFQ.intensity.drug_468_42hr_1	LFQ.intensity.drug_468_42hr_2	LFQ.intensity.drug_468_42hr_3	LFQ.intensity.high_231_2	LFQ.intensity.high_231_3	LFQ.intensity.high_drug_231_2	LFQ.intensity.high_drug_231_3	LFQ.intensity.high_231_1	LFQ.intensity.low_468_1	LFQ.intensity.low_468_2	LFQ.intensity.low_468_3	LFQ.intensity.low_468_42hr_1	LFQ.intensity.low_468_42hr_2	LFQ.intensity.low_468_42hr_3	LFQ.intensity.high_drug_231_1	LFQ.intensity.low_drug_468_42hr_3	LFQ.intensity.low_drug_468_1	LFQ.intensity.low_drug_468_2	LFQ.intensity.low_drug_468_3	LFQ.intensity.low_drug_468_42hr_1	LFQ.intensity.low_drug_468_42hr_2	Indistinguishable Proteins
sp|P15586|GNS_HUMAN	P15586	GNS_HUMAN	GNS	552	Homo sapiens OX=9606	1:Experimental evidence at protein level	N-acetylglucosamine-6-sulfatase	2.40E+08	2.45E+08	1.62E+08	4.75E+07	4.64E+07	6.92E+07	5.72E+07	1.15E+08	5.77E+07	2.93E+08	2.96E+08	2.76E+08	7.91E+07	7.17E+07	7.16E+07	1.57E+08	1.83E+08	1.29E+08	2.40E+08	2.34E+08	1.61E+08	1.95E+08	2.48E+08	6.47E+07	5.58E+07	3.40E+07	9.82E+07	8.18E+07	8.76E+07	1.69E+08	7.56E+07	7.99E+07	7.48E+07	6.92E+07	1.12E+08	1.70E+08	
sp|P15735|PHKG2_HUMAN	P15735	PHKG2_HUMAN	PHKG2	406	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P15880|RS2_HUMAN	P15880	RS2_HUMAN	RPS2	293	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S2	7.19E+08	1.09E+09	2.42E+09	2.49E+09	2.56E+09	2.01E+09	2.48E+09	1.29E+09	2.61E+09	1.05E+09	1.31E+09	1.43E+09	2.55E+09	2.12E+09	2.39E+09	1.85E+09	5.81E+08	2.07E+09	9.77E+08	1.07E+09	2.04E+09	1.37E+09	9.33E+08	1.70E+09	1.49E+09	3.00E+09	2.03E+09	1.76E+09	2.32E+09	1.85E+09	2.62E+09	2.15E+09	2.32E+09	2.21E+09	2.26E+09	7.83E+08	
sp|P15923|TFE2_HUMAN	P15923	TFE2_HUMAN	TCF3	654	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor E2-alpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P15924|DESP_HUMAN	P15924	DESP_HUMAN	DSP	2871	Homo sapiens OX=9606	1:Experimental evidence at protein level	Desmoplakin	0	0	0	4.10E+08	4.20E+08	3.74E+08	3.67E+08	1.67E+08	3.88E+08	0	0	0	4.28E+08	4.18E+08	4.31E+08	2.97E+08	1.14E+08	2.86E+08	0	0	6.82E+07	2.63E+07	1.93E+07	3.36E+08	3.14E+08	3.59E+08	2.19E+08	1.98E+08	3.32E+08	0	4.57E+08	4.07E+08	4.21E+08	4.05E+08	3.87E+08	1.93E+08	
sp|P15927|RFA2_HUMAN	P15927	RFA2_HUMAN	RPA2	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	Replication protein A 32 kDa subunit	1.72E+08	2.21E+08	1.98E+08	1.73E+08	2.02E+08	1.95E+08	1.91E+08	2.93E+08	1.52E+08	2.36E+08	2.41E+08	2.11E+08	1.59E+08	1.94E+08	1.88E+08	2.48E+08	2.90E+08	2.69E+08	2.50E+08	1.64E+08	1.82E+08	1.94E+08	2.58E+08	1.52E+08	1.57E+08	1.00E+08	2.18E+08	2.32E+08	1.82E+08	2.01E+08	1.34E+08	1.47E+08	1.72E+08	1.75E+08	1.62E+08	2.52E+08	
sp|P15941|MUC1_HUMAN	P15941	MUC1_HUMAN	MUC1	1255	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mucin-1	0	0	0	6.78E+07	7.70E+07	1.15E+08	1.08E+08	2.07E+08	1.29E+08	0	0	0	1.64E+08	1.53E+08	1.35E+08	1.78E+08	2.21E+08	1.33E+08	0	0	0	0	0	8.98E+07	6.96E+07	5.06E+07	1.48E+08	1.46E+08	1.46E+08	0	1.16E+08	9.49E+07	1.06E+08	8.47E+07	1.63E+08	2.22E+08	
sp|P15954|COX7C_HUMAN	P15954	COX7C_HUMAN	COX7C	63	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Cytochrome c oxidase subunit 7C, mitochondrial"	5.14E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03E+08	0	0	0	0	3.11E+07	0	0	5.55E+07	0	1.51E+08	1.26E+08	0	0	0	0	0	1.24E+08	0	0	
sp|P16035|TIMP2_HUMAN	P16035	TIMP2_HUMAN	TIMP2	220	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metalloproteinase inhibitor 2	1.02E+08	6.07E+07	5.55E+07	0	0	0	0	0	0	1.39E+08	9.48E+07	1.09E+08	0	0	0	0	0	0	8.15E+07	1.07E+08	1.11E+08	1.38E+08	8.05E+07	0	0	0	0	0	0	1.20E+08	0	0	0	0	0	0	
sp|P16070|CD44_HUMAN	P16070	CD44_HUMAN	CD44	742	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD44 antigen	4.07E+09	3.47E+09	2.74E+09	1.90E+09	1.81E+09	2.26E+09	1.35E+09	2.38E+09	1.39E+09	3.58E+09	2.86E+09	3.88E+09	2.22E+09	2.23E+09	1.97E+09	2.13E+09	2.64E+09	1.79E+09	4.67E+09	3.87E+09	2.94E+09	3.81E+09	4.27E+09	2.63E+09	2.41E+09	2.06E+09	2.80E+09	2.79E+09	2.47E+09	3.90E+09	2.19E+09	2.62E+09	2.71E+09	2.90E+09	2.93E+09	3.74E+09	
sp|P16083|NQO2_HUMAN	P16083	NQO2_HUMAN	NQO2	231	Homo sapiens	1:Experimental evidence at protein level	Ribosyldihydronicotinamide dehydrogenase [quinone]	1.68E+08	1.60E+08	9.12E+07	8.30E+07	8.62E+07	1.22E+08	8.48E+07	1.72E+08	8.70E+07	1.76E+08	1.77E+08	2.05E+08	9.88E+07	9.36E+07	7.32E+07	1.54E+08	2.06E+08	1.51E+08	1.58E+08	1.53E+08	1.48E+08	1.54E+08	1.35E+08	9.06E+07	6.67E+07	5.50E+07	1.11E+08	1.08E+08	7.87E+07	1.34E+08	1.03E+08	7.25E+07	9.36E+07	6.96E+07	1.28E+08	1.69E+08	
sp|P16104|H2AX_HUMAN	P16104	H2AX_HUMAN	H2AX	143	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2AX	4.29E+07	0	1.55E+08	7.14E+07	0	0	2.93E+08	0	1.26E+08	0	0	0	0	9.60E+07	0	1.43E+08	0	2.13E+08	0	1.18E+08	5.09E+07	2.24E+07	0	3.97E+07	0	2.23E+08	0	0	4.50E+07	0	1.47E+08	1.66E+07	6.01E+07	3.18E+07	9.53E+07	0	
sp|P16144|ITB4_HUMAN	P16144	ITB4_HUMAN	ITGB4	1822	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin beta-4	6.93E+07	7.38E+07	8.42E+07	1.13E+08	1.08E+08	9.94E+07	1.10E+08	8.81E+07	9.61E+07	7.22E+07	6.95E+07	8.28E+07	1.41E+08	1.26E+08	1.36E+08	1.02E+08	9.74E+07	1.01E+08	1.97E+08	1.57E+08	2.03E+08	2.44E+08	1.92E+08	1.22E+08	1.06E+08	1.26E+08	1.06E+08	1.02E+08	1.07E+08	2.35E+08	1.03E+08	1.23E+08	1.19E+08	1.31E+08	9.96E+07	9.37E+07	
sp|P16152|CBR1_HUMAN	P16152	CBR1_HUMAN	CBR1	277	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbonyl reductase [NADPH] 1	3.45E+08	4.01E+08	3.41E+08	7.67E+08	8.02E+08	9.43E+08	7.67E+08	9.50E+08	7.49E+08	3.75E+08	4.54E+08	3.98E+08	9.21E+08	9.36E+08	8.70E+08	1.02E+09	9.74E+08	1.15E+09	4.50E+08	3.85E+08	5.31E+08	5.29E+08	4.59E+08	8.39E+08	8.38E+08	5.22E+08	9.26E+08	8.87E+08	7.68E+08	5.19E+08	6.22E+08	8.21E+08	8.64E+08	7.81E+08	6.72E+08	9.07E+08	
sp|P16219|ACADS_HUMAN	P16219	ACADS_HUMAN	ACADS	412	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P16220|CREB1_HUMAN	P16220	CREB1_HUMAN	CREB1	327	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclic AMP-responsive element-binding protein 1	0	8.72E+07	6.43E+07	3.94E+07	0	0	0	8.16E+07	0	8.52E+07	0	8.91E+07	0	0	4.50E+07	0	7.62E+07	0	1.00E+08	0	0	0	9.25E+07	0	0	0	0	0	0	0	0	0	0	3.86E+07	0	7.66E+07	
sp|P16278|BGAL_HUMAN	P16278	BGAL_HUMAN	GLB1	677	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-galactosidase	5.79E+07	6.93E+07	5.18E+07	3.81E+07	3.86E+07	3.55E+07	3.80E+07	5.71E+07	3.50E+07	8.07E+07	8.38E+07	5.54E+07	0	7.16E+07	3.58E+07	9.85E+07	1.11E+08	8.28E+07	7.93E+07	5.39E+07	6.32E+07	6.26E+07	7.45E+07	0	0	0	0	5.93E+07	3.99E+07	0	4.31E+07	3.78E+07	4.98E+07	3.23E+07	5.19E+07	8.40E+07	
sp|P16298|PP2BB_HUMAN	P16298	PP2BB_HUMAN	PPP3CB	524	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P16333|NCK1_HUMAN	P16333	NCK1_HUMAN	NCK1	377	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytoplasmic protein NCK1	0	0	0	4.10E+07	3.33E+07	2.60E+07	0	3.36E+07	0	0	2.30E+07	0	3.04E+07	3.87E+07	3.25E+07	2.76E+07	0	2.54E+07	0	0	0	2.58E+07	0	4.29E+07	0	2.84E+07	0	3.48E+07	3.88E+07	3.12E+07	0	3.12E+07	4.20E+07	3.94E+07	4.20E+07	2.40E+07	
sp|P16383|GCFC2_HUMAN	P16383	GCFC2_HUMAN	GCFC2	781	Homo sapiens OX=9606	1:Experimental evidence at protein level	Intron Large complex component GCFC2	0	2.29E+07	0	0	2.25E+07	0	0	0	0	0	0	0	0	2.84E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P16401|H15_HUMAN	P16401	H15_HUMAN	H1-5	226	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H1.5	1.75E+09	0	0	3.36E+09	2.87E+09	1.22E+09	6.64E+09	7.46E+08	6.86E+09	9.74E+08	1.23E+09	4.57E+09	1.26E+09	6.09E+08	1.85E+09	3.17E+09	2.47E+08	2.18E+09	1.57E+09	4.70E+09	1.05E+10	2.73E+09	0	8.88E+08	4.80E+08	4.01E+09	1.57E+09	2.03E+09	4.06E+09	2.18E+09	5.93E+09	3.41E+09	1.80E+09	2.88E+09	3.78E+09	5.82E+08	
sp|P16402|H13_HUMAN	P16402	H13_HUMAN	H1-3	221	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H1.3	0	0	0	9.76E+08	8.02E+08	1.96E+08	1.21E+09	8.01E+07	1.22E+09	0	0	0	1.62E+08	0	3.46E+08	4.54E+08	6792781.5	1.37E+08	0	0	0	0	0	2.69E+08	0	1.79E+09	3.20E+08	2.26E+08	7.47E+08	0	9.36E+08	8.96E+08	2.73E+08	7.56E+08	9.15E+08	4.71E+07	
sp|P16403|H12_HUMAN	P16403	H12_HUMAN	H1-2	213	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H1.2	2.93E+09	1.37E+09	4.57E+09	9.03E+09	7.91E+09	1.95E+09	8.26E+09	1.37E+09	8.42E+09	2.34E+09	3.02E+09	7.27E+09	2.21E+09	9.50E+08	4.49E+09	4.72E+09	5.59E+08	4.90E+09	3.66E+09	9.17E+09	2.16E+10	6.75E+09	3.77E+09	1.34E+09	7.94E+08	1.18E+10	3.83E+09	3.00E+09	7.47E+09	8.20E+09	6.19E+09	6.90E+09	3.29E+09	6.63E+09	6.10E+09	1.10E+09	
sp|P16422|EPCAM_HUMAN	P16422	EPCAM_HUMAN	EPCAM	314	Homo sapiens OX=9606	1:Experimental evidence at protein level	Epithelial cell adhesion molecule	0	0	0	1.24E+08	1.20E+08	1.47E+08	1.35E+08	1.23E+08	1.36E+08	0	0	0	1.96E+08	2.32E+08	2.58E+08	1.25E+08	9.90E+07	1.37E+08	0	0	0	0	0	1.00E+08	1.10E+08	1.47E+08	9.02E+07	9.82E+07	1.04E+08	0	1.17E+08	1.29E+08	1.58E+08	1.27E+08	1.03E+08	1.10E+08	
sp|P16435|NCPR_HUMAN	P16435	NCPR_HUMAN	POR	677	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADPH--cytochrome P450 reductase	0	5.70E+07	4.60E+07	3.16E+08	3.07E+08	2.13E+08	3.17E+08	1.68E+08	2.19E+08	5.35E+07	6.32E+07	4.56E+07	3.34E+08	3.08E+08	4.30E+08	3.36E+08	1.30E+08	3.42E+08	5.94E+07	0	5.59E+07	7.15E+07	6.09E+07	3.14E+08	3.05E+08	3.90E+08	2.84E+08	2.58E+08	2.46E+08	1.10E+08	3.52E+08	4.53E+08	4.35E+08	4.20E+08	2.89E+08	2.54E+08	
sp|P16455|MGMT_HUMAN	P16455	MGMT_HUMAN	MGMT	207	Homo sapiens OX=9606	1:Experimental evidence at protein level	Methylated-DNA--protein-cysteine methyltransferase	0	0	0	1.19E+08	1.06E+08	1.54E+08	1.22E+08	2.85E+08	1.50E+08	0	0	0	1.85E+08	1.15E+08	1.28E+08	2.12E+08	2.88E+08	1.99E+08	0	0	0	0	0	1.81E+08	1.69E+08	1.01E+08	2.68E+08	2.52E+08	2.01E+08	0	1.31E+08	1.47E+08	1.59E+08	1.29E+08	1.91E+08	3.05E+08	
sp|P16615|AT2A2_HUMAN	P16615	AT2A2_HUMAN	ATP2A2	1042	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	0	6.73E+07	3.16E+08	3.70E+08	3.53E+08	0	2.77E+08	0	2.51E+08	1.17E+08	1.78E+08	1.61E+08	1.53E+08	7.34E+07	2.77E+08	2.23E+08	0	3.19E+08	1.41E+08	1.17E+08	3.11E+08	2.11E+08	1.34E+08	0	0	6.30E+08	1.24E+08	1.10E+08	1.96E+08	2.85E+08	3.02E+08	3.73E+08	1.60E+08	3.42E+08	2.22E+08	6.13E+07	
sp|P16885|PLCG2_HUMAN	P16885	PLCG2_HUMAN	PLCG2	1265	Homo sapiens OX=9606	1:Experimental evidence at protein level	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	0	0	0	2.60E+07	2.16E+07	0	0	0	1.19E+07	0	0	0	2.02E+07	0	2.55E+07	0	0	3.13E+07	0	0	0	0	0	0	0	3.66E+07	0	0	0	0	3.70E+07	3.66E+07	2.18E+07	2.79E+07	2.39E+07	0	
sp|P16930|FAAA_HUMAN	P16930	FAAA_HUMAN	FAH	419	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fumarylacetoacetase	9.37E+07	9.27E+07	7.03E+07	5.66E+07	6.16E+07	5.19E+07	0	5.07E+07	5.43E+07	7.94E+07	8.43E+07	8.54E+07	6.38E+07	5.30E+07	4.56E+07	8.40E+07	9.45E+07	9.84E+07	1.70E+08	1.45E+08	1.65E+08	1.73E+08	1.65E+08	4.56E+07	4.53E+07	3.62E+07	5.68E+07	5.79E+07	4.71E+07	1.69E+08	5.60E+07	4.90E+07	3.75E+07	0	4.45E+07	5.28E+07	
sp|P16949|STMN1_HUMAN	P16949	STMN1_HUMAN	STMN1	149	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stathmin	2.95E+09	2.90E+09	2.68E+09	3.71E+09	3.46E+09	4.15E+09	3.14E+09	7.17E+09	4.24E+09	2.96E+09	3.34E+09	2.73E+09	4.59E+09	4.27E+09	4.78E+09	6.34E+09	6.03E+09	5.98E+09	4.36E+09	4.35E+09	1.69E+09	2.34E+09	4.10E+09	3.37E+09	2.20E+09	3.96E+09	4.95E+09	4.57E+09	5.55E+09	4.41E+09	4.95E+09	4.53E+09	5.16E+09	5.04E+09	6.83E+09	9.58E+09	
sp|P16989|YBOX3_HUMAN	P16989	YBOX3_HUMAN	YBX3	372	Homo sapiens OX=9606	1:Experimental evidence at protein level	Y-box-binding protein 3	2.23E+08	1.41E+08	1.72E+08	2.41E+08	2.35E+08	2.73E+08	2.70E+08	1.54E+08	3.35E+08	1.14E+08	1.19E+08	1.76E+08	2.35E+08	2.10E+08	2.24E+08	2.39E+08	1.57E+08	2.22E+08	1.35E+08	1.49E+08	1.96E+08	1.42E+08	1.28E+08	2.82E+08	2.46E+08	1.61E+08	2.48E+08	2.35E+08	3.18E+08	1.37E+08	2.61E+08	2.00E+08	1.86E+08	2.09E+08	2.47E+08	1.29E+08	
sp|P17026|ZNF22_HUMAN	P17026	ZNF22_HUMAN	ZNF22	224	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17028|ZNF24_HUMAN	P17028	ZNF24_HUMAN	ZNF24	368	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 24	0	2.86E+07	2.31E+07	0	0	0	0	0	0	2.44E+07	2.32E+07	3.24E+07	0	0	2.08E+07	0	0	0	1.91E+07	0	0	2.51E+07	2.17E+07	2.52E+07	2.74E+07	0	0	0	0	0	0	0	0	1.94E+07	0	0	
sp|P17040|ZSC20_HUMAN	P17040	ZSC20_HUMAN	ZSCAN20	1043	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger and SCAN domain-containing protein 20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17050|NAGAB_HUMAN	P17050	NAGAB_HUMAN	NAGA	411	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-N-acetylgalactosaminidase	0	0	0	0	0	0	0	2.82E+07	0	0	0	0	0	0	0	3.74E+07	4.36E+07	3.74E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46E+07	
sp|P17066|HSP76_HUMAN	P17066	HSP76_HUMAN	HSPA6	643	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock 70 kDa protein 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17096|HMGA1_HUMAN	P17096	HMGA1_HUMAN	HMGA1	107	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group protein HMG-I/HMG-Y	1.11E+10	7.13E+09	7.88E+09	1.24E+09	1.38E+09	1.24E+09	1.94E+09	1.11E+09	2.68E+09	5.98E+09	7.47E+09	1.09E+10	1.20E+09	1.10E+09	1.29E+09	1.34E+09	5.93E+08	1.21E+09	7.41E+09	1.00E+10	1.13E+10	8.45E+09	6.80E+09	1.30E+09	8.57E+08	1.22E+09	1.49E+09	1.21E+09	2.28E+09	7.56E+09	2.81E+09	1.21E+09	1.09E+09	1.32E+09	2.55E+09	5.44E+08	
sp|P17152|TMM11_HUMAN	P17152	TMM11_HUMAN	TMEM11	192	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Transmembrane protein 11, mitochondrial"	0	3.98E+07	0	6.24E+07	0	0	4.71E+07	0	0	3.83E+07	4.49E+07	0	5.70E+07	7.55E+07	7.18E+07	5.70E+07	0	6.67E+07	7.08E+07	4.97E+07	6.65E+07	7.24E+07	7.59E+07	0	0	6.02E+07	7.06E+07	0	0	8.94E+07	0	5.95E+07	5.85E+07	5.15E+07	0	4.89E+07	
sp|P17174|AATC_HUMAN	P17174	AATC_HUMAN	GOT1	413	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Aspartate aminotransferase, cytoplasmic"	4.34E+08	5.71E+08	4.41E+08	3.75E+08	3.57E+08	3.76E+08	3.60E+08	4.98E+08	3.56E+08	5.14E+08	5.57E+08	5.31E+08	3.77E+08	3.63E+08	3.72E+08	5.21E+08	5.35E+08	5.11E+08	3.73E+08	3.11E+08	3.88E+08	3.75E+08	3.65E+08	3.38E+08	3.24E+08	2.32E+08	4.31E+08	4.39E+08	3.28E+08	3.75E+08	3.32E+08	3.26E+08	3.57E+08	3.00E+08	3.41E+08	4.21E+08	
sp|P17252|KPCA_HUMAN	P17252	KPCA_HUMAN	PRKCA	672	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein kinase C alpha type	3.89E+07	0	8.19E+07	0	0	0	0	0	0	7.44E+07	6.74E+07	1.06E+08	0	0	0	0	0	0	0	5.25E+07	1.36E+08	1.26E+08	0	0	0	0	0	0	0	1.26E+08	2.43E+07	0	0	0	0	0	
sp|P17275|JUNB_HUMAN	P17275	JUNB_HUMAN	JUNB	347	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor JunB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17301|ITA2_HUMAN	P17301	ITA2_HUMAN	ITGA2	1181	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin alpha-2	6.22E+07	1.05E+08	9.64E+07	0	0	0	0	0	0	9.43E+07	1.38E+08	1.03E+08	0	0	0	0	0	0	2.76E+08	1.79E+08	1.90E+08	2.38E+08	2.78E+08	0	0	0	0	0	0	1.98E+08	0	0	0	0	0	0	
sp|P17405|ASM_HUMAN	P17405	ASM_HUMAN	SMPD1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sphingomyelin phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17480|UBF1_HUMAN	P17480	UBF1_HUMAN	UBTF	764	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar transcription factor 1	0	0	4.94E+07	1.20E+08	1.10E+08	5.90E+07	1.34E+08	0	1.39E+08	1.71E+07	1.11E+07	4.82E+07	6.00E+07	3.52E+07	6.79E+07	5.40E+07	0	4.44E+07	0	6.65E+07	1.02E+08	6.07E+07	2.91E+07	0	4.77E+07	1.56E+08	4.54E+07	4.68E+07	8.48E+07	4.03E+07	9.87E+07	1.04E+08	5.23E+07	9.43E+07	1.04E+08	0	
sp|P17535|JUND_HUMAN	P17535	JUND_HUMAN	JUND	347	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor JunD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.29E+07	3.62E+07	0	2.97E+07	0	0	0	0	0	2.28E+07	0	0	0	0	0	0	0	2.38E+07	
sp|P17544|ATF7_HUMAN	P17544	ATF7_HUMAN	ATF7	483	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclic AMP-dependent transcription factor ATF-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17568|NDUB7_HUMAN	P17568	NDUB7_HUMAN	NDUFB7	137	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	0	0	0	0	6.85E+07	5.47E+07	1.03E+08	0	0	0	0	0	8.18E+07	7.26E+07	7.26E+07	0	4.24E+07	5.71E+07	0	0	0	0	0	0	0	0	0	0	0	0	6.94E+07	0	5.91E+07	5.81E+07	0	0	
sp|P17612|KAPCA_HUMAN	P17612	KAPCA_HUMAN	PRKACA	351	Homo sapiens OX=9606	1:Experimental evidence at protein level	cAMP-dependent protein kinase catalytic subunit alpha	0	0	1.22E+08	1.28E+08	1.69E+08	1.54E+08	1.71E+08	7.09E+07	1.21E+08	4.29E+07	0	3.22E+07	1.86E+08	1.90E+08	2.01E+08	1.59E+08	0	2.00E+08	0	0	7.11E+07	6.91E+07	6.22E+07	1.04E+08	1.25E+08	1.44E+08	7.29E+07	6.51E+07	6.55E+07	6.19E+07	1.04E+08	1.00E+08	1.08E+08	1.27E+08	7.81E+07	5.50E+07	
sp|P17655|CAN2_HUMAN	P17655	CAN2_HUMAN	CAPN2	700	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calpain-2 catalytic subunit	1.67E+08	4.23E+08	7.16E+08	3.44E+08	3.28E+08	1.84E+08	2.51E+08	1.87E+08	1.90E+08	3.67E+08	5.61E+08	3.43E+08	2.46E+08	2.53E+08	3.01E+08	2.68E+08	1.21E+08	3.88E+08	5.04E+08	2.52E+08	5.46E+08	5.77E+08	5.14E+08	1.81E+08	2.52E+08	6.97E+08	1.95E+08	1.85E+08	1.63E+08	7.33E+08	2.59E+08	3.28E+08	2.91E+08	3.61E+08	2.20E+08	1.86E+08	
sp|P17676|CEBPB_HUMAN	P17676	CEBPB_HUMAN	CEBPB	345	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCAAT/enhancer-binding protein beta	7.51E+07	5.68E+07	5.59E+07	0	1.07E+08	1.20E+08	1.03E+08	1.16E+08	9.96E+07	6.50E+07	8.74E+07	7.55E+07	1.20E+08	1.33E+08	1.34E+08	1.70E+08	1.72E+08	1.53E+08	7.88E+07	0	0	8.39E+07	0	7.84E+07	9.98E+07	4.12E+07	0	1.06E+08	1.08E+08	0	9.31E+07	8.79E+07	1.08E+08	9.84E+07	1.11E+08	1.14E+08	
sp|P17693|HLAG_HUMAN	P17693	HLAG_HUMAN	HLA-G	338	Homo sapiens OX=9606	1:Experimental evidence at protein level	"HLA class I histocompatibility antigen, alpha chain G"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
