Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
D3ZDG0	D3ZDG0	D3ZDG0_RAT	C7h8orf33	RIKEN cDNA 1110038F14 gene							74.2846
D3ZDR2	D3ZDR2	D3ZDR2_RAT	Chmp6	Charged multivesicular body protein 6	552.144						141.201
D3ZE05	D3ZE05	D3ZE05_RAT	Cilp2	Cartilage intermediate layer protein 2							148.785
D3ZE63	D3ZE63	D3ZE63_RAT	LOC679748	Similar to Macrophage migration inhibitory factor (MIF) (Phenylpyruvate tautomerase) (Glycosylation-inhibiting factor) (GIF) (Delayed early response protein 6) (DER6)			205.51		558.668	333.47	200.311
D3ZES7	D3ZES7;D3ZWP6	D3ZES7_RAT	Plxna4	Plexin A4					611.555		376.037
D3ZET9	D3ZET9	D3ZET9_RAT	Cep170	Centrosomal protein 170	1057.24			1161.01		1085.01	461.831
D3ZF26	D3ZF26	D3ZF26_RAT	Tnks1bp1	Tankyrase 1 binding protein 1	368.646		244.869				149.654
D3ZF45	D3ZF45	D3ZF45_RAT	Larp4b	La ribonucleoprotein 4B							98.0726
D3ZF97	D3ZF97	D3ZF97_RAT	Erlec1	Endoplasmic reticulum lectin	454.005			496.083			188.716
D3ZFD0	D3ZFD0	MY18A_RAT	Myo18a	Unconventional myosin-XVIIIa							202.889
D3ZFP4	D3ZFP4	D3ZFP4_RAT	Mcm3	DNA replication licensing factor MCM3							194.898
D3ZG88	D3ZG88	D3ZG88_RAT	Znrd2	Zinc ribbon domain containing 2				544.843			1045.03
D3ZG98	D3ZG98	D3ZG98_RAT	Lancl3	LanC lantibiotic synthetase component C-like 3 (bacterial)							234.45
D3ZH41	D3ZH41	D3ZH41_RAT	Ckap4	Cytoskeleton-associated protein 4						68.7016	156.314
D3ZHA0	D3ZHA0	FLNC_RAT	Flnc	Filamin-C	384.589		552.741				202.685
D3ZHS3	D3ZHS3	D3ZHS3_RAT	Nol4l	Nucleolar protein 4-like							138.543
D3ZI07	D3ZI07	D3ZI07_RAT	Kif3b	Kinesin-like protein							132.657
D3ZIN7	D3ZIN7	D3ZIN7_RAT	Mrps23	Mitochondrial ribosomal protein S23						293.363	130.512
D3ZIQ1;M0RC29	M0RC29;D3ZIQ1	D3ZIQ1_RAT;M0RC29_RAT	Acot4;Fam181a	Acyl-CoA thioesterase 4						472.318	134.02
D3ZIV3	D3ZIV3	D3ZIV3_RAT	Mad1l1	Mitotic arrest deficient 1 like 1			460.32			179.558	179.344
D3ZJ08	A0A8I6A289;A0A8I6G2H8;D3ZJ08;P84245;Q6LED0;D3ZK97	D3ZJ08_RAT	Hist2h3c2	Histone H3	600.001		736.266		431.921	227.214	317.264
D3ZJ32	D3ZJ32	D3ZJ32_RAT	Esyt2	Extended synaptotagmin 2			359.863				169.62
D3ZJA9	D3ZJA9	D3ZJA9_RAT	Slc27a3	Solute carrier family 27 member 3							151.325
D3ZJF9	D3ZJF9	D3ZJF9_RAT	Gla	Alpha-galactosidase					686.148	212.868	408.311
D3ZJH2	D3ZJH2	D3ZJH2_RAT	Sugp2	SURP and G patch domain containing 2							209.221
D3ZKD8	D3ZKD8	D3ZKD8_RAT	Fam209	Family with sequence similarity 209	1043.71		1154.52		1361.17	1289.77	
D3ZLB5	D3ZLB5	D3ZLB5_RAT	Pla2g2f	Phospholipase A2	832.472		256.774				231.187
D3ZLB7	D3ZLB7	FOSB_RAT	Fosb	Protein FosB							66.4177
D3ZLC1	D3ZLC1	D3ZLC1_RAT	Lmnb2	Lamin B2			172.258			333.326	141.066
D3ZLS5	D3ZLS5	D3ZLS5_RAT	Hectd1	E3 ubiquitin-protein ligase						213.298	61.9986
D3ZLT1	D3ZLT1	D3ZLT1_RAT	Ndufb7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7							197.996
D3ZMP6	A0A8I5ZWP8;D3ZMP6	D3ZMP6_RAT	Nop10	Nucleolar protein 10	131.365		581.023				295.781
D3ZN63	D3ZN63	D3ZN63_RAT	Wdhd1	WD repeat and HMG-box DNA binding protein 1							186.943
D3ZN95	D3ZN95	HCFC1_RAT	Hcfc1	Host cell factor 1	757.481		1094.73	935.656	324.782	816.672	699.678
D3ZNH9	D3ZNH9	D3ZNH9_RAT	Or2v1	Olfactory receptor						184.294	132.975
D3ZNP9	D3ZNP9	D3ZNP9_RAT	Ankrd65	Ankyrin repeat domain 65			403.835	746.311		632.425	192.885
D3ZP89	D3ZP89	D3ZP89_RAT	Kdm1b	Lysine demethylase 1B							113.4
D3ZPH0	D3ZPH0;D3ZPU6	D3ZPH0_RAT	LOC108350287	60S ribosomal protein L21			661.07				324.195
D3ZPR0	D3ZPR0	D3ZPR0_RAT	Cse1l	Exportin-2			356.433			225.897	297.397
D3ZPT1	D3ZPT1	D3ZPT1_RAT	Eola2	Endothelium and lymphocyte associated ASCH domain 2							219.016
D3ZPW6	D3ZPW6	D3ZPW6_RAT	Lage3	Uncharacterized protein							50.4464
D3ZQJ2	D3ZQJ2	D3ZQJ2_RAT	Pop7	Ribonuclease P protein subunit p20							103.152
D3ZQJ3	D3ZQJ3	D3ZQJ3_RAT	Gigyf1	GRB10 interacting GYF protein 1							178.446
D3ZQL1	D3ZQL1	D3ZQL1_RAT	Emc7	ER membrane protein complex subunit 7						240.738	468.181
D3ZQL7	D3ZQL7	TPPP_RAT	Tppp	Tubulin polymerization-promoting protein				1342.88		782.477	318.922
D3ZQQ9	D3ZQQ9	D3ZQQ9_RAT	Znrd1as	Zinc ribbon domain containing 1 antisense							208.417
D3ZRA6	D3ZRA6	D3ZRA6_RAT	Tnrc6c	Trinucleotide repeat containing adaptor 6C	248.621		938.928	606.687			420.598
D3ZRC3	D3ZRC3	D3ZRC3_RAT	Rbm26	RNA binding motif protein 26			904.844			380.863	232.979
D3ZRE5	D3ZRE5	D3ZRE5_RAT	Stpg3	Sperm-tail PG-rich repeat containing 3		1519.07	6239.98	7526.34	4869.38	4772.61	
D3ZSB7	D3ZSB7	D3ZSB7_RAT	Rps6ka4	Ribosomal protein S6 kinase				422.721			149.786
D3ZSC2	D3ZSC2	D3ZSC2_RAT	Pdcd2l	Programmed cell death 2-like							155.348
D3ZSP1;D4A8M5	A0A8I6AHB2;D3ZSP1;D4A8M5	D3ZSP1_RAT;D4A8M5_RAT	Snrpel1;Snrpepl2	Small nuclear ribonucleoprotein E	1877.41		2038.21		691.519	1338.11	1556.34
D3ZSZ6	D3ZSZ6	D3ZSZ6_RAT	Dgkh	Diacylglycerol kinase							237.763
D3ZTA8	D3ZTA8	D3ZTA8_RAT	Rbm33	RNA binding motif protein 33							108.084
D3ZTB4	D3ZTB4	D3ZTB4_RAT	Vps11	Vacuolar protein sorting-associated protein 11 homolog	245.629			1174.08		285.741	117.742
D3ZTX1	D3ZTX1	D3ZTX1_RAT	Trim67	Tripartite motif-containing 67							173.738
D3ZU52	D3ZU52	D3ZU52_RAT	Cops7b	COP9 signalosome subunit 7B	411.018		280.627			92.6763	157.251
D3ZU86	D3ZU86	D3ZU86_RAT	Cers4	Ceramide synthase 4			644.92				422.26
D3ZUB0	D3ZUB0	D3ZUB0_RAT	Rcn1	Reticulocalbin 1			695.721				784.21
D3ZUL1	D3ZUL1	D3ZUL1_RAT	Ccdc124	Coiled-coil domain containing 124				879.983		1263.05	740.856
D3ZUL8	D3ZUL8	D3ZUL8_RAT	Zcchc8	Zinc finger CCHC domain-containing protein 8							86.4636
D3ZUM2	D3ZUM2	SARM1_RAT	Sarm1	NAD(+) hydrolase SARM1				455.362			182.933
D3ZUP5	D3ZUP5	D3ZUP5_RAT	Brk1	BRICK1 subunit of SCAR/WAVE actin nucleating complex							200.697
D3ZUQ0	D3ZUQ0	RIPL1_RAT	Rilpl1	RILP-like protein 1							395.089
D3ZUU5	D3ZUU5	D3ZUU5_RAT	Dnajb1	DnaJ heat shock protein family (Hsp40) member B1	457.776		234.744	443.412		206.188	342.446
D3ZUV3	D3ZUV3	D3ZUV3_RAT	Eif2a	Eukaryotic translation initiation factor 2A	590.786		276.992	511.891		237.03	272.289
D3ZVD8	D3ZVD8	D3ZVD8_RAT	Hdac6	Histone deacetylase 6							239.572
D3ZVN7	D3ZVN7	D3ZVN7_RAT	Ppox	Amine oxidase							109.038
D3ZVQ0	D3ZVQ0	D3ZVQ0_RAT	Usp5	Ubiquitin carboxyl-terminal hydrolase						482.859	307.928
D3ZVS2	D3ZVS2	D3ZVS2_RAT	L2hgdh	L-2-hydroxyglutarate dehydrogenase	650.342		565.499			879.756	216.322
D3ZVZ0	D3ZVZ0	D3ZVZ0_RAT	Or5p6b	Olfactory receptor							257.859
D3ZW38	D3ZW38	D3ZW38_RAT	Exosc6	Exosome component 6			142.427				194.845
D3ZW55	D3ZW55	ITPA_RAT	Itpa	Inosine triphosphate pyrophosphatase	856.48		919.392	1153.54		531.014	795.247
D3ZWA1	D3ZWA1	D3ZWA1_RAT	Mindy2	Ubiquitin carboxyl-terminal hydrolase	211.034						179.679
D3ZWB1	D3ZWB1	D3ZWB1_RAT	Lsm1	U6 snRNA-associated Sm-like protein LSm1							122.26
D3ZWL6	D3ZWL6	D3ZWL6_RAT	Ahcyl2	Adenosylhomocysteinase-like 2						449.578	246.914
D3ZWS0	D3ZWS0	D3ZWS0_RAT	Scrib	Scribble planar cell polarity protein							129.708
D3ZX38	D3ZX38	D3ZX38_RAT	Pfdn1	Prefoldin subunit 1	2172.06		1310.32	822.474	698.36	3099.1	3966.65
D3ZXD8	D3ZXD8	TM245_RAT	Tmem245	Transmembrane protein 245						430.456	232.792
D3ZXI0	D3ZXI0	D3ZXI0_RAT	Pycr1	Pyrroline-5-carboxylate reductase			520.95			632.717	117.073
D3ZXP3	D3ZVK7;P0C169;Q4FZT6;Q64598;P0C170;A9UMV8;A0A8I6AWT3;D3ZXP3;G3V9C0;P02262;Q6I8Q6;A0A8I5ZYY0;P0CC09;A0A8I6ARS7;A0A8L2QLK6	D3ZXP3_RAT	H2ax	Histone H2A	93503	49404.1	71679.8	52601.3	62678	37308.6	77413.5
D3ZXT1	D3ZXT1	D3ZXT1_RAT	Lrrc4c	Leucine rich repeat containing 4C	254.143						271.518
D3ZY47	D3ZY47	D3ZY47_RAT	C19h1orf198	Similar to RIKEN cDNA 2310022B05	2213.59		814.628	930.414	726.265		
D3ZYB4	D3ZYB4	D3ZYB4_RAT	Lpin2	phosphatidate phosphatase						211.243	127.497
D3ZYM7	D3ZYM7	D3ZYM7_RAT	Lyrm4	LYR motif containing 4	944.375		1126.88	259.913		1164.08	580.297
D3ZYQ2	D3ZYQ2	D3ZYQ2_RAT	Snai3	Snail family transcriptional repressor 3							99.5185
D3ZYS7	D3ZYS7;F7F5P9;F1M2M6	D3ZYS7_RAT	G3bp1	G3BP stress granule assembly factor 1	556.253			561.746		547.075	1254.88
D3ZYT2	D3ZYT2	D3ZYT2_RAT	Mrps5	Mitochondrial ribosomal protein S5	641.148		235.308	325.06		130.629	236.043
D3ZZ04	D3ZZ04	D3ZZ04_RAT	Mettl9	Methyltransferase like 9							117.461
D3ZZ51	D3ZZ51	D3ZZ51_RAT	Prrc2b	Proline-rich coiled-coil 2B							134.337
D3ZZC1	D3ZZC1	D3ZZC1_RAT	Txndc5	protein disulfide-isomerase			5593.22	122.26		488.603	1410.34
D3ZZR5	D3ZZR5	D3ZZR5_RAT	Snrpa1	Small nuclear ribonucleoprotein polypeptide A'			463.468				130.629
D3ZZS8	D3ZZS8	D3ZZS8_RAT	Atp6v1b1	Vacuolar proton pump subunit B	833.281		402.136				
D4A031	D4A031	D4A031_RAT	Ddx42	DEAD-box helicase 42							186.384
D4A0C3	D4A0C3	D4A0C3_RAT	Hid1	HID1 domain containing						470.055	752.243
D4A0E8	D4A0E8	D4A0E8_RAT	Prmt5	Protein arginine N-methyltransferase 5				729.394			277.548
D4A0F3	D4A0F3	D4A0F3_RAT	Osbpl6	Oxysterol-binding protein	854.377					1553.39	355.226
D4A0T0	D4A0T0	D4A0T0_RAT	Ndufb10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	270.57		371.085			342.012	650.33
D4A0W1	D4A0W1	D4A0W1_RAT	Emc4	ER membrane protein complex subunit 4	892.115		529.679		570.288	585.757	1031.99
D4A0X3	D4A0X3	BTBD8_RAT	Btbd8	BTB/POZ domain-containing protein 8	866.948		1145.8			425.708	518.648
D4A0Y6	D4A0Y6	D4A0Y6_RAT	Mki67	Marker of proliferation Ki-67			1410.12				185.643
D4A194	D4A194	D4A194_RAT	Cenpj	Centromere protein J			2720.04	1962.74		4723.89	1568.92
D4A1D4	D4A1D4	D4A1D4_RAT	Nudt14	Nudix hydrolase 14			599.225				64.7433
D4A1G8	D4A1G8	D4A1G8_RAT	Cep170b	Centrosomal protein 170B							420.57
D4A1R8	D4A1R8	CPNE1_RAT	Cpne1	Copine-1			296.365			601.629	170.855
D4A206	D4A206	D4A206_RAT	Tcof1	Treacle ribosome biogenesis factor 1			432.881				258.24
D4A249	D4A249	D4A249_RAT	Mblac2	Metallo-beta-lactamase domain containing 2							42.7
D4A305	D4A305	D4A305_RAT	Mix23	Protein MIX23							208.33
D4A3I4	A0A0G2K4W2;D4A3I4	D4A3I4_RAT	Btf3l4	Transcription factor BTF3							306.597
D4A3P1	D4A3P1	D4A3P1_RAT	Ubqln4	Ubiquilin 4	587.07						300.057
D4A3V6	D4A3V6	D4A3V6_RAT	Bloc1s3	Biogenesis of lysosome-related organelles complex 1 subunit 3						232.256	155.737
D4A4H5	D4A4H5	D4A4H5_RAT	Sdf2	Stromal cell derived factor 2							269.918
D4A4L4	D4A4L4	D4A4L4_RAT	Map7d2	Brain-enriched E-MAP-115-like protein	579.259			489.32		636.13	298.438
D4A4R1	D4A4R1	D4A4R1_RAT	Eml3	EMAP like 3							69.5391
D4A4T0	D4A4T0	D4A4T0_RAT	Stub1	STIP1 homology and U-box containing protein 1	1354.95		516.723			361.988	766.266
D4A4U3	D4A4U3	D4A4U3_RAT	Mdp1	Magnesium-dependent phosphatase 1						851.937	431.425
D4A4Y5	D4A4Y5	D4A4Y5_RAT	Llcfc1	LLLL and CFNLAS motif containing 1	1711.97						135.458
D4A542	D4A542	D4A542_RAT	Gprasp2	G protein-coupled receptor associated sorting protein 2							228.916
D4A5A6	D4A5A6	D4A5A6_RAT	Polr2a	DNA-directed RNA polymerase subunit							111.974
D4A5G8	D4A5G8;P24338	D4A5G8_RAT	Pdha1l1	Pyruvate dehydrogenase E1 component subunit alpha	736.511		587.532		471.917	658.729	315.557
D4A5T1	D4A5T1	D4A5T1_RAT	Sf3b5	Splicing factor 3B subunit 5	1560.3		999.882	1216.89		842.041	1528.14
D4A5T8	D4A5T8	D4A5T8_RAT	Ppl	Periplakin							166.614
D4A6D9	D4A6D9	D4A6D9_RAT	Hs1bp3	HCLS1 binding protein 3							185.51
D4A746	D4A746	D4A746_RAT	Gmppb	GDP-mannose pyrophosphorylase B							70.3814
D4A766	D4A766	D4A766_RAT	Gpr179	Uncharacterized protein	676.082		1130.08	1348.87	1055.27	839.178	1553.88
D4A7I8	D4A7I8	D4A7I8_RAT	Sumf1	Sulfatase modifying factor 1			245.118				200.44
D4A7J8	D4A7J8	D4A7J8_RAT	Prpf4	Pre-mRNA processing factor 4	635.252		413.878				235.133
D4A7L6	D4A7L6	D4A7L6_RAT	Rpia	ribose-5-phosphate isomerase						631.508	121.384
D4A7U1	D4A7U1	D4A7U1_RAT	Zyx	Zyxin							211.272
D4A7U6	D4A7U6	D4A7U6_RAT	Lsm3	U6 snRNA-associated Sm-like protein LSm3			405.087			613.177	608.828
D4A853	D4A853	D4A853_RAT	Cic	Capicua transcriptional repressor							88.5412
D4A8E7	D4A8E7	D4A8E7_RAT	Commd6	COMM domain containing 6	688.617		339.147	293.875		290.601	261.02
D4A8M7	D4A8M7	D4A8M7_RAT	Ncaph	Condensin complex subunit 2							46.237
D4A8N1	D4A8N1	D4A8N1_RAT	Dpm1	Dolichol-phosphate mannosyltransferase subunit 1	2112.24		395.275				614.798
D4A8X8	D4A8X8	D4A8X8_RAT	Cttnbp2nl	CTTNBP2 N-terminal like						355.654	256.345
D4A914	D4A914	D4A914_RAT	Xrn2	5'-3' exoribonuclease	633.289					321.058	309.429
D4A997	D4A997	D4A997_RAT	Htatsf1	HIV-1 Tat specific factor 1							291.42
D4A9A3	D4A9A3	D4A9A3_RAT	Cenpv	Centromere protein V	3029.51		904.805		653.198	489.769	798.098
D4A9D8	D4A9D8	D4A9D8_RAT	Osbp	Oxysterol-binding protein							289.011
D4A9L2	D4A9L2	D4A9L2_RAT	Srsf1	Serine/arginine-rich splicing factor 1						218.667	201.787
D4A9P9	D4A9P9	D4A9P9_RAT	Hhatl	Hedgehog acyltransferase-like	5198.33		4826.5	6048.46	5098.61	4345.04	801.911
D4AA11	D4AA11	D4AA11_RAT	Med21	Mediator of RNA polymerase II transcription subunit 21							213.848
D4AA43	D4AA43	D4AA43_RAT	Klhl40	Kelch-like family member 40							848.944
D4AA91	D4AA91	D4AA91_RAT	Cers5	Ceramide synthase 5	449.139			170.619			189.815
D4AAT7	D4AAT7	NNRD_RAT	Naxd	ATP-dependent (S)-NAD(P)H-hydrate dehydratase							77.4845
D4AAZ8	D4AAZ8	D4AAZ8_RAT	Irf2bp1	Interferon regulatory factor 2 binding protein 1	278.415						242.048
D4AB01	D4AB01	D4AB01_RAT	Hint2	Histidine triad nucleotide binding protein 2			543.041	245.68			382.804
D4AB03	D4AB03	D4AB03_RAT	Fam120a	Family with sequence similarity 120A	1122.66		658.397				675.614
D4AB17	D4AB17	D4AB17_RAT	Pfas	phosphoribosylformylglycinamidine synthase	433.143		228.59	1526.64		348.391	698.658
D4ABK1	D4ABK1	D4ABK1_RAT	Syngr3	Synaptogyrin 3							172.934
D4ABK7	D4ABK7	D4ABK7_RAT	Hnrnph3	Heterogeneous nuclear ribonucleoprotein H3	179.443			470.47		147.655	373.89
D4ABT8	D4ABT8	D4ABT8_RAT	Hnrnpul2	Heterogeneous nuclear ribonucleoprotein U-like 2	894.75		331.513	371.753	856.224	141.069	429.598
D4ABV0	D4ABV0	D4ABV0_RAT	Smim26	Small integral membrane protein 26	394.096		393.266			192.996	334.887
D4ABY2;Q4AEF8	Q4AEF8;D4ABY2	COPG1_RAT;COPG2_RAT	Copg1;Copg2	Coatomer subunit gamma-2			467.314	1173.83		685.99	525.659
D4AC36	D4AC36	D4AC36_RAT	Eif3f	Eukaryotic translation initiation factor 3 subunit F				966.737		263.032	263.947
D4ACB8	D4ACB8	D4ACB8_RAT	Cct8	T-complex protein 1 subunit theta			348.866	419.226		812.191	399.35
D4ACF4	D4ACF4	D4ACF4_RAT	Nrl	Neural retina leucine zipper	685.916		950.806		859.179	838.397	511.208
D4ACK1	D4ACK1	D4ACK1_RAT	Nup214	Nucleoporin 214	905.041		671.062				334.198
D4ACN8	D4ACN8	PLRKT_RAT	Plgrkt	Plasminogen receptor (KT)							104.109
D4AD29	D4AD29	D4AD29_RAT	Lamtor4	Ragulator complex protein LAMTOR4	246.528				487.341	340.957	341.452
D4AD33	D4AD33	D4AD33_RAT	Ramac	RNA guanine-7 methyltransferase activating subunit							167.781
D4AD36	D4AD36	D4AD36_RAT	Fchsd1	FCH and double SH3 domains 1			276.564	658.68		294.498	169.388
D4ADD8	D4ADD8	D4ADD8_RAT	Dctn6	Dynactin subunit 6				462.087		92.8311	432.272
D4ADE5	D4ADE5	D4ADE5_RAT	Setd7	Histone-lysine N-methyltransferase SETD7							82.6606
D4ADE8	D4ADE8;D3ZE86;A0A8I6A7A4	D4ADE8_RAT	Ddx3x	RNA helicase	994.919		973.639	1061.97		713.828	714.169
D4ADF5	B1H286;D4ADF5	D4ADF5_RAT	Pdcd5	Programmed cell death 5	2855.8		179.372			675.914	824.506
D4ADL7	D4ADL7	D4ADL7_RAT	Xxylt1	Xyloside xylosyltransferase 1							150.515
D4AE80	D4AE80	D4AE80_RAT	Dcp1a	5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase						146.419	184.752
D4AE96	D4AE96	D4AE96_RAT	Ipo7	Importin 7							149.452
D4AEC2	D4AEC2	CAMP2_RAT	Camsap2	Calmodulin-regulated spectrin-associated protein 2	1201.43					313.082	146.311
D4AEK9	D4AEK9	D4AEK9_RAT	Ccdc6	Coiled-coil domain containing 6				391.207		262.64	380.446
D4AEP0	D4AEP0	D4AEP0_RAT	Adss	Adenylosuccinate synthetase isozyme 2	1299.02		882.166	1728.37		2170.88	1192.43
E9PSK7	E9PSK7;A0A8I6B3N0	JIP3_RAT	Mapk8ip3	C-Jun-amino-terminal kinase-interacting protein 3						238.443	325.704
E9PST5	E9PST5	E9PST5_RAT	Acin1	Apoptotic chromatin condensation inducer 1	600.188						135.865
E9PT22	E9PT22	E9PT22_RAT	Inf2	Inverted formin 2			560.331	294.251			223.578
E9PT29	E9PT29	E9PT29_RAT	Ddx17	DEAD box helicase 17	923.723		935.718			569.693	594.023
E9PT85	E9PT85	E9PT85_RAT	Xrcc6	X-ray repair cross complementing 6	678.703						177.229
E9PTI6	E9PTI6	E9PTI6_RAT	Raly	RALY heterogeneous nuclear ribonucleoprotein	1737.32		1556.9	941.227	713.958	434.734	1514.12
E9PTS4	E9PTS4	E9PTS4_RAT	Mcm5	DNA replication licensing factor MCM5							123.654
E9PTX9	E9PTX9	E9PTX9_RAT	Slc12a2	Solute carrier family 12 member 2							280.506
E9PU28	E9PU28	IMDH2_RAT	Impdh2	Inosine-5'-monophosphate dehydrogenase 2						228.519	630.997
F1LM42	F1LM42	F1LM42_RAT	Ank2	Ankyrin 2	726.718					558.359	389.95
F1LM55	F1LM55	F1LM55_RAT	Ccar2	Cell cycle and apoptosis regulator 2			366.234				162.216
F1LMQ3	F1LMQ3	F1LMQ3_RAT	Psmd8	26S proteasome non-ATPase regulatory subunit 8	602.856		429.694	883.352		824.557	947.552
F1LMV6	F1LMV6	DESP_RAT	Dsp	Desmoplakin	799.448	517.512	393.09	940.357	988.808	474.333	84.3817
F1LMZ8	F1LMZ8	PSD11_RAT	Psmd11	26S proteasome non-ATPase regulatory subunit 11	1938					712.518	1193.22
F1LNF0	F1LNF0	F1LNF0_RAT	Myh14	Myosin heavy chain 14			335.697			321.036	339.718
F1LNI5	F1LNI5	PPM1G_RAT	Ppm1g	Protein phosphatase 1G	1075.83		951.017	840.164		403.684	557.204
F1LNJ2	F1LNJ2	U520_RAT	Snrnp200	U5 small nuclear ribonucleoprotein 200 kDa helicase			412.848			392.325	178.515
F1LNQ9	F1LNQ9	F1LNQ9_RAT	Clasp1	Cytoplasmic linker associated protein 1	1573.37		169.325	1603.23		289.618	187.714
F1LP64	F1LP64	TRIPC_RAT	Trip12	E3 ubiquitin-protein ligase TRIP12			407.226				174.284
F1LP90	F1LP90	MINK1_RAT	Mink1	Misshapen-like kinase 1							179.164
F1LQ48	F1LQ48	HNRPL_RAT	Hnrnpl	Heterogeneous nuclear ribonucleoprotein L	1380.19		1549.27		1175.88	968.597	990.859
F1LQZ3	F1LQZ3;D3ZI07	F1LQZ3_RAT	Kif3a	Kinesin-like protein							144.888
F1LR10	F1LR10	LIMA1_RAT	Lima1	LIM domain and actin-binding protein 1	440.518	469.323	383.186		648.712	1413.01	301.39
F1LRI5	F1LRI5	F1LRI5_RAT	Gcn1	GCN1 activator of EIF2AK4							389.499
F1LRM0	F1LRM0	F1LRM0_RAT	Scaper	S-phase cyclin A-associated protein in the ER							224.781
F1LRS8	F1LRS8	CD2AP_RAT	Cd2ap	CD2-associated protein	287.267			430.264		293.676	469.178
F1LS86	F1LS86	F1LS86_RAT	Iars1	isoleucine--tRNA ligase			691.577			824.701	523.254
F1LSB5	F1LSB5	F1LSB5_RAT	Lmtk3	Lemur tyrosine kinase 3			293.703			338.248	172.145
F1LSX1	F1LSX1	F1LSX1_RAT	Rskr	Similar to CG14967-PA	781.035						156.4
F1LT36	F1LT36	F1LT36_RAT	AABR07054362.1	Plectin/eS10 N-terminal domain-containing protein						378.212	279.811
F1LT49	F1LT49	F1LT49_RAT	Lrrc47	Leucine rich repeat containing 47				963.945		201.534	178.746
F1LTE0	F1LTE0	TANC2_RAT	Tanc2	Protein TANC2							296.427
F1LU48	F1LU48	F1LU48_RAT	Ergic1	Endoplasmic reticulum-Golgi intermediate compartment protein	702.215					204.866	350.357
F1LUD9	F1LUD9	F1LUD9_RAT	Lrrc20	Leucine rich repeat containing 20				437.422			333.561
F1LVV4	F1LVV4	F1LVV4_RAT	Rcc2	Regulator of chromosome condensation 2							109.746
F1LW91	F1LW91	F1LW91_RAT	Numa1	Nuclear mitotic apparatus protein 1	1000.28		693.389			369.385	451.738
F1LWN1	F1LWN1	F1LWN1_RAT	Ncoa7	Nuclear receptor coactivator 7							87.3959
F1LXA0	F1LXA0	F1LXA0_RAT	Ndufa12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12				557.893			
F1LYZ8	F1LYZ8	F1LYZ8_RAT	Ppp1r21	Protein phosphatase 1 regulatory subunit 21				316.089			120.353
F1M086	F1M086	F1M086_RAT	Elp4	Elongator complex protein 4							56.5537
F1M0L3	F1M0L3	F1M0L3_RAT	Kmt2a	Histone-lysine N-methyltransferase							49.0398
F1M0N1	F1M0N1	F1M0N1_RAT	Abl2	Tyrosine-protein kinase							117.988
F1M124	F1M124	F1M124_RAT	Cobll1	Cordon-bleu WH2 repeat protein-like 1				1098.87			267.774
F1M1H0	F1M1H0	F1M1H0_RAT	Dera	deoxyribose-phosphate aldolase	514.966		652.497			408.673	212.287
F1M3B3	F1M3B3	F1M3B3_RAT	Phip	Pleckstrin homology domain interacting protein							282.177
F1M3G7	F1M3G7	AKP13_RAT	Akap13	A-kinase anchor protein 13							189.51
F1M3H8	F1M3H8	F1M3H8_RAT	Hnrnpa0	Heterogeneous nuclear ribonucleoprotein A0	439.335		216.065	515.951	2124.21	413.298	1353.42
F1M4A4	F1M4A4	KIF1A_RAT	Kif1a	Kinesin-like protein KIF1A	563.4						152.948
F1M5M3	F1M5M3	TEX14_RAT	Tex14	Inactive serine/threonine-protein kinase TEX14	277.47					151.828	248.084
F1M6I7	F1M6I7	F1M6I7_RAT	Psma8	Proteasome subunit alpha type						394.274	392.504
F1M6V8	F1M6V8	F1M6V8_RAT	Strn4	Striatin 4			692.095				166.886
F1M775	F1M775	DIAP1_RAT	Diaph1	Protein diaphanous homolog 1							726.185
F1M7J7	F1M7J7	F1M7J7_RAT	Cep250	Centrosomal protein 250							131.643
F1M7L9	F1M7L9	PKP2_RAT	Pkp2	Plakophilin-2							99.7928
