Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	71_Hela_200pg_1 Spectral Count	72_Hela_200pg_2 Spectral Count	73_Hela_200pg_3 Spectral Count	71_Hela_200pg_1 Unique Spectral Count	72_Hela_200pg_2 Unique Spectral Count	73_Hela_200pg_3 Unique Spectral Count	71_Hela_200pg_1 Total Spectral Count	72_Hela_200pg_2 Total Spectral Count	73_Hela_200pg_3 Total Spectral Count	71_Hela_200pg_1 Intensity	72_Hela_200pg_2 Intensity	73_Hela_200pg_3 Intensity	71_Hela_200pg_1 MaxLFQ Intensity	72_Hela_200pg_2 MaxLFQ Intensity	73_Hela_200pg_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P08865|RSSA_HUMAN	P08865	RSSA_HUMAN	RPSA	295	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein SA	1.0	0.999	3	8	8	8	4	2	2	4	2	2	4	2	2	598145.75	375266.7	358558.88	409610.5	228996.77	238910.2	
sp|P09012|SNRPA_HUMAN	P09012	SNRPA_HUMAN	SNRPA	282	Homo sapiens OX=9606	1:Experimental evidence at protein level	U1 small nuclear ribonucleoprotein A	1.0	0.9971	2	4	1	4	2	1	1	1	0	0	2	1	1	235162.47	217841.31	189620.0	0.0	0.0	0.0	
sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase P	1.0	0.999	6	8	8	8	6	1	1	6	1	1	6	1	1	2257545.5	1026296.3	932662.4	0.0	0.0	0.0	
sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-1	1.0	0.999	6	16	16	16	6	6	4	6	6	4	6	6	4	2338249.8	974173.0	820508.75	516629.8	352312.84	416924.4	
sp|P09496|CLCA_HUMAN	P09496	CLCA_HUMAN	CLTA	248	Homo sapiens OX=9606	1:Experimental evidence at protein level	Clathrin light chain A	1.0	0.9963	4	9	8	9	3	4	2	3	3	2	3	4	2	650598.75	919392.1	739428.56	395406.0	359237.78	325087.56	
sp|P09651|ROA1_HUMAN	P09651	ROA1_HUMAN	HNRNPA1	372	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1	1.0	0.999	6	9	6	10	5	2	2	2	2	2	5	2	3	1185926.0	432938.22	511739.2	0.0	0.0	0.0	
sp|P09661|RU2A_HUMAN	P09661	RU2A_HUMAN	SNRPA1	255	Homo sapiens OX=9606	1:Experimental evidence at protein level	U2 small nuclear ribonucleoprotein A'	0.8411	0.9859	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P09669|COX6C_HUMAN	P09669	COX6C_HUMAN	COX6C	75	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 6C	0.7808	0.9792	1	2	2	2	0	1	1	0	1	1	0	1	1	117469.42	115909.81	153418.3	0.0	0.0	0.0	
sp|P09972|ALDOC_HUMAN	P09972	ALDOC_HUMAN	ALDOC	364	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase C	0.9989	0.9894	5	1	1	10	1	0	0	1	0	0	4	3	3	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P0C0S5|H2AZ_HUMAN	P0C0S5	H2AZ_HUMAN	H2AZ1	128	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2A.Z	1.0	0.9909	4	2	0	21	2	0	0	0	0	0	10	5	6	143480.17	0.0	0.0	0.0	0.0	0.0	sp|Q71UI9|H2AV_HUMAN
sp|P0C0S8|H2A1_HUMAN	P0C0S8	H2A1_HUMAN	H2AC17	130	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2A type 1	1.0	0.999	5	29	0	29	10	9	10	0	0	0	10	9	10	3.8234536E7	2.1190946E7	2.4277534E7	3.0552604E7	1.3018659E7	1.4818219E7	sp|Q16777|H2A2C_HUMAN, sp|Q6FI13|H2A2A_HUMAN, sp|Q93077|H2A1C_HUMAN, sp|Q96KK5|H2A1H_HUMAN, sp|Q99878|H2A1J_HUMAN, sp|Q9BTM1|H2AJ_HUMAN
sp|P0CG38|POTEI_HUMAN	P0CG38	POTEI_HUMAN	POTEI	1075	Homo sapiens OX=9606	3:Protein inferred from homology	POTE ankyrin domain family member I	1.0	0.9792	7	3	3	64	2	1	0	2	1	0	42	13	9	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P0CG47|UBB_HUMAN	P0CG47	UBB_HUMAN	UBB	229	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polyubiquitin-B	1.0	0.999	4	16	0	16	6	5	5	0	0	0	6	5	5	4429128.0	3562547.0	2919631.0	5379075.5	2318266.2	1702517.9	sp|P0CG48|UBC_HUMAN, sp|P62979|RS27A_HUMAN, sp|P62987|RL40_HUMAN
sp|P0DME0|SETLP_HUMAN	P0DME0	SETLP_HUMAN	SETSIP	302	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein SETSIP	1.0	0.998	2	3	0	3	2	1	0	0	0	0	2	1	0	688620.7	120953.61	0.0	0.0	0.0	0.0	sp|Q01105|SET_HUMAN
sp|P0DMV8|HS71A_HUMAN	P0DMV8	HS71A_HUMAN	HSPA1A	641	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock 70 kDa protein 1A	1.0	0.999	10	18	0	28	7	6	5	0	0	0	11	9	8	3587460.2	2131562.8	1819586.9	797336.5	945784.25	868922.94	sp|P0DMV9|HS71B_HUMAN
sp|P0DP23|CALM1_HUMAN	P0DP23	CALM1_HUMAN	CALM1	149	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calmodulin-1	1.0	0.9984	4	7	0	7	4	2	1	0	0	0	4	2	1	1809772.0	1033153.75	1024148.25	417089.5	745406.7	723401.25	sp|P0DP24|CALM2_HUMAN, sp|P0DP25|CALM3_HUMAN
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin	1.0	0.997	2	5	5	5	1	2	2	1	2	2	1	2	2	942640.0	1501505.8	1477278.5	727576.4	1333542.2	1242734.1	
sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	Homo sapiens OX=9606	1:Experimental evidence at protein level	60 kDa heat shock protein, mitochondrial	1.0	0.999	21	64	64	64	28	19	17	28	19	17	28	19	17	2.5025958E7	1.5478565E7	1.5286E7	2823688.0	2636629.5	2635204.0	
sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	HSPA5	654	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum chaperone BiP	1.0	0.999	13	22	19	27	12	5	5	11	4	4	14	6	7	3263834.8	2782164.2	2827783.5	1557629.1	1427909.5	1455814.1	
sp|P11142|HSP7C_HUMAN	P11142	HSP7C_HUMAN	HSPA8	646	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock cognate 71 kDa protein	1.0	0.999	23	50	22	50	22	13	15	12	5	5	22	13	15	1.663475E7	9430064.0	9007076.0	2889478.8	2317053.0	2189195.2	
sp|P11413|G6PD_HUMAN	P11413	G6PD_HUMAN	G6PD	515	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucose-6-phosphate 1-dehydrogenase	1.0	0.9978	6	15	15	15	6	3	6	6	3	6	6	3	6	568787.1	581929.44	445796.0	175689.78	173317.64	181513.9	
sp|P11586|C1TC_HUMAN	P11586	C1TC_HUMAN	MTHFD1	935	Homo sapiens OX=9606	1:Experimental evidence at protein level	C-1-tetrahydrofolate synthase, cytoplasmic	1.0	0.9948	5	6	6	6	2	2	2	2	2	2	2	2	2	180694.66	154245.0	122368.27	66509.69	85340.86	74118.266	
sp|P12004|PCNA_HUMAN	P12004	PCNA_HUMAN	PCNA	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proliferating cell nuclear antigen	0.9754	0.9981	1	3	3	3	1	1	1	1	1	1	1	1	1	94357.125	102387.63	100060.52	0.0	0.0	0.0	
sp|P12081|SYHC_HUMAN	P12081	SYHC_HUMAN	HARS	509	Homo sapiens	1:Experimental evidence at protein level	Histidine--tRNA ligase, cytoplasmic	1.0	0.99	2	2	1	2	0	2	0	0	1	0	0	2	0	61341.016	132451.47	55838.1	0.0	0.0	0.0	
sp|P12268|IMDH2_HUMAN	P12268	IMDH2_HUMAN	IMPDH2	514	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inosine-5'-monophosphate dehydrogenase 2	1.0	0.9989	4	9	5	9	3	3	3	2	1	2	3	3	3	388408.25	447795.66	446209.53	127197.7	149840.25	133932.95	
sp|P12277|KCRB_HUMAN	P12277	KCRB_HUMAN	CKB	381	Homo sapiens OX=9606	1:Experimental evidence at protein level	Creatine kinase B-type	1.0	0.9977	2	2	2	2	1	1	0	1	1	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P12956|XRCC6_HUMAN	P12956	XRCC6_HUMAN	XRCC6	609	Homo sapiens OX=9606	1:Experimental evidence at protein level	X-ray repair cross-complementing protein 6	1.0	0.9987	3	8	8	8	3	3	2	3	3	2	3	3	2	208380.56	201283.88	88103.59	124130.39	100637.09	0.0	
sp|P13010|XRCC5_HUMAN	P13010	XRCC5_HUMAN	XRCC5	732	Homo sapiens OX=9606	1:Experimental evidence at protein level	X-ray repair cross-complementing protein 5	1.0	0.999	3	9	9	9	4	3	2	4	3	2	4	3	2	1235414.9	399550.94	411233.6	0.0	0.0	0.0	
sp|P13073|COX41_HUMAN	P13073	COX41_HUMAN	COX4I1	169	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	0.9474	0.9958	1	2	2	2	1	1	0	1	1	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P13639|EF2_HUMAN	P13639	EF2_HUMAN	EEF2	858	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 2	1.0	0.9986	13	32	28	32	12	9	11	11	8	9	12	9	11	5166858.5	3362872.2	3466317.8	1100801.4	1151517.9	1132662.2	
sp|P13797|PLST_HUMAN	P13797	PLST_HUMAN	PLS3	630	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plastin-3	1.0	0.9949	4	9	7	9	3	3	3	3	2	2	3	3	3	294704.22	203681.78	143371.22	143618.3	131756.92	0.0	
sp|P13929|ENOB_HUMAN	P13929	ENOB_HUMAN	ENO3	434	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-enolase	1.0	0.9925	4	3	3	6	0	2	1	0	2	1	2	3	1	0.0	129551.72	108413.05	0.0	0.0	0.0	
sp|P13987|CD59_HUMAN	P13987	CD59_HUMAN	CD59	128	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD59 glycoprotein	0.9086	0.9924	1	3	3	3	1	1	1	1	1	1	1	1	1	591750.75	602780.7	660340.06	0.0	0.0	0.0	
sp|P14314|GLU2B_HUMAN	P14314	GLU2B_HUMAN	PRKCSH	528	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glucosidase 2 subunit beta	1.0	0.9927	2	4	4	4	1	1	2	1	1	2	1	1	2	149207.25	232135.92	173753.77	0.0	139480.67	101191.445	
sp|P14324|FPPS_HUMAN	P14324	FPPS_HUMAN	FDPS	419	Homo sapiens OX=9606	1:Experimental evidence at protein level	Farnesyl pyrophosphate synthase	0.9841	0.9988	1	3	3	3	1	1	1	1	1	1	1	1	1	123172.62	163428.81	164712.62	0.0	0.0	0.0	
sp|P14618|KPYM_HUMAN	P14618	KPYM_HUMAN	PKM	531	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate kinase PKM	1.0	0.999	20	42	39	42	27	8	7	25	7	7	27	8	7	1.3190024E7	6715966.5	6213866.5	4533584.0	4877968.0	4740573.0	
sp|P14625|ENPL_HUMAN	P14625	ENPL_HUMAN	HSP90B1	803	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmin	1.0	0.999	14	31	24	35	11	10	10	9	8	7	13	11	11	4256120.0	3404031.8	3414210.5	1111987.5	1001293.44	973813.3	
sp|P14866|HNRPL_HUMAN	P14866	HNRPL_HUMAN	HNRNPL	589	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein L	1.0	0.9973	3	6	3	6	2	2	2	1	1	1	2	2	2	510792.44	415940.0	495124.75	225820.28	225307.11	215671.52	
sp|P15104|GLNA_HUMAN	P15104	GLNA_HUMAN	GLUL	373	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamine synthetase	1.0	0.9965	3	7	7	7	2	2	3	2	2	3	2	2	3	255108.84	151235.28	328753.4	127596.984	0.0	171949.39	
sp|P15121|ALDR_HUMAN	P15121	ALDR_HUMAN	AKR1B1	316	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aldo-keto reductase family 1 member B1	1.0	0.999	4	8	5	8	3	3	2	2	2	1	3	3	2	1178370.9	595247.2	529157.5	296220.3	336642.6	292838.03	
sp|P15153|RAC2_HUMAN	P15153	RAC2_HUMAN	RAC2	192	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related C3 botulinum toxin substrate 2	0.9975	0.9937	2	3	0	5	1	1	1	0	0	0	1	2	2	162341.14	84269.74	69254.62	0.0	0.0	0.0	sp|P60763|RAC3_HUMAN, sp|P63000|RAC1_HUMAN
sp|P15170|ERF3A_HUMAN	P15170	ERF3A_HUMAN	GSPT1	499	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	0.9622	0.997	1	1	1	1	1	0	0	1	0	0	1	0	0	71931.69	0.0	0.0	0.0	0.0	0.0	
sp|P15259|PGAM2_HUMAN	P15259	PGAM2_HUMAN	PGAM2	253	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoglycerate mutase 2	1.0	0.9985	2	6	0	6	3	2	1	0	0	0	3	2	1	979718.4	837532.4	471487.94	530714.2	462284.28	0.0	sp|P18669|PGAM1_HUMAN
sp|P15311|EZRI_HUMAN	P15311	EZRI_HUMAN	EZR	586	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ezrin	1.0	0.991	11	12	8	20	3	5	4	2	3	3	6	8	6	631673.44	821084.6	779497.4	255460.39	229300.56	248066.58	
sp|P15531|NDKA_HUMAN	P15531	NDKA_HUMAN	NME1	152	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoside diphosphate kinase A	1.0	0.9904	2	3	0	3	1	1	1	0	0	0	1	1	1	281068.3	350751.66	348131.2	0.0	0.0	0.0	sp|P22392|NDKB_HUMAN
sp|P15559|NQO1_HUMAN	P15559	NQO1_HUMAN	NQO1	274	Homo sapiens	1:Experimental evidence at protein level	NAD(P)H dehydrogenase [quinone] 1	0.9424	0.9954	1	4	4	4	2	1	1	2	1	1	2	1	1	205699.55	201996.08	229153.05	0.0	0.0	0.0	
sp|P15880|RS2_HUMAN	P15880	RS2_HUMAN	RPS2	293	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S2	1.0	0.9962	5	11	11	11	5	4	2	5	4	2	5	4	2	1400657.8	1177541.5	1189314.2	412459.44	460977.44	461764.66	
sp|P16152|CBR1_HUMAN	P16152	CBR1_HUMAN	CBR1	277	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbonyl reductase [NADPH] 1	1.0	0.9895	2	6	3	6	2	2	2	1	1	1	2	2	2	143012.1	234324.38	208757.12	0.0	142279.89	128289.664	
sp|P16401|H15_HUMAN	P16401	H15_HUMAN	H1-5	226	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H1.5	1.0	0.9988	4	9	9	19	4	2	3	4	2	3	7	5	7	1029896.25	515660.16	620440.06	646215.5	404535.66	502180.2	
sp|P16403|H12_HUMAN	P16403	H12_HUMAN	H1-2	213	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H1.2	1.0	0.9988	7	29	5	29	10	9	10	2	2	1	10	9	10	7953060.5	5392417.0	6756320.5	2925162.2	1954289.5	1971002.1	
sp|P16520|GBB3_HUMAN	P16520	GBB3_HUMAN	GNB3	340	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	0.9759	0.9981	1	2	0	2	0	1	1	0	0	0	0	1	1	0.0	59474.766	62836.844	0.0	0.0	0.0	sp|P62873|GBB1_HUMAN, sp|P62879|GBB2_HUMAN, sp|Q9HAV0|GBB4_HUMAN
sp|P16949|STMN1_HUMAN	P16949	STMN1_HUMAN	STMN1	149	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stathmin	1.0	0.9987	4	9	4	9	5	2	2	2	1	1	5	2	2	711221.06	688108.7	365621.06	239898.05	261236.55	190833.69	
sp|P17844|DDX5_HUMAN	P17844	DDX5_HUMAN	DDX5	614	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX5	1.0	0.9954	2	6	0	6	2	2	2	0	0	0	2	2	2	437224.44	281643.62	234041.28	270592.1	191399.58	171094.55	sp|Q92841|DDX17_HUMAN
sp|P17980|PRS6A_HUMAN	P17980	PRS6A_HUMAN	PSMC3	439	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome regulatory subunit 6A	1.0	0.999	2	2	2	2	2	0	0	2	0	0	2	0	0	374597.56	71343.62	61807.92	0.0	0.0	0.0	
sp|P17987|TCPA_HUMAN	P17987	TCPA_HUMAN	TCP1	556	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit alpha	0.9431	0.9954	1	3	3	3	1	1	1	1	1	1	1	1	1	131442.47	116225.57	92687.625	0.0	0.0	0.0	
sp|P18077|RL35A_HUMAN	P18077	RL35A_HUMAN	RPL35A	110	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L35a	1.0	0.9972	4	9	9	9	3	3	3	3	3	3	3	3	3	1395652.2	1615099.4	984907.4	455937.0	515206.22	494273.2	
sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	ARF4	180	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor 4	1.0	0.9984	2	6	6	6	2	2	2	2	2	2	2	2	2	399042.62	387761.7	341973.1	238091.88	231215.81	204500.86	
sp|P18124|RL7_HUMAN	P18124	RL7_HUMAN	RPL7	248	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L7	1.0	0.984	4	10	10	10	3	4	3	3	4	3	3	4	3	273009.47	403284.88	356184.78	0.0	230748.44	204856.42	
sp|P18206|VINC_HUMAN	P18206	VINC_HUMAN	VCL	1134	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vinculin	1.0	0.9968	13	27	27	27	11	7	9	11	7	9	11	7	9	1311323.4	1486737.9	1034175.1	183710.0	204831.45	216952.39	
sp|P18621|RL17_HUMAN	P18621	RL17_HUMAN	RPL17	184	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L17	0.9999	0.9981	1	1	1	1	1	0	0	1	0	0	1	0	0	872276.4	0.0	0.0	0.0	0.0	0.0	
sp|P19338|NUCL_HUMAN	P19338	NUCL_HUMAN	NCL	710	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolin	1.0	0.999	14	34	34	34	13	10	11	13	10	11	13	10	11	5041248.0	3794846.2	3827317.0	735240.56	671788.7	658515.2	
sp|P20290|BTF3_HUMAN	P20290	BTF3_HUMAN	BTF3	206	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor BTF3	0.7209	0.9715	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P20674|COX5A_HUMAN	P20674	COX5A_HUMAN	COX5A	150	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 5A, mitochondrial	1.0	0.9931	2	5	5	5	2	1	2	2	1	2	2	1	2	209896.95	261222.78	250263.36	0.0	0.0	0.0	
sp|P20700|LMNB1_HUMAN	P20700	LMNB1_HUMAN	LMNB1	586	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lamin-B1	1.0	0.9948	7	10	9	13	3	4	3	3	3	3	4	5	4	518917.84	443474.6	352351.16	145039.75	142291.92	153520.5	
sp|P20962|PTMS_HUMAN	P20962	PTMS_HUMAN	PTMS	102	Homo sapiens OX=9606	1:Experimental evidence at protein level	Parathymosin	1.0	0.9988	2	7	7	7	3	2	2	3	2	2	3	2	2	729889.3	562189.56	639492.5	401567.2	318495.22	359547.25	
sp|P21266|GSTM3_HUMAN	P21266	GSTM3_HUMAN	GSTM3	225	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase Mu 3	1.0	0.9947	2	6	2	6	1	3	2	0	1	1	1	3	2	328862.88	399142.12	359820.25	176995.22	214664.52	194623.95	
sp|P21291|CSRP1_HUMAN	P21291	CSRP1_HUMAN	CSRP1	193	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine and glycine-rich protein 1	1.0	0.9987	2	5	5	5	3	1	1	3	1	1	3	1	1	294204.2	202109.12	230212.36	0.0	0.0	0.0	
sp|P21333|FLNA_HUMAN	P21333	FLNA_HUMAN	FLNA	2647	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filamin-A	1.0	0.999	45	103	76	103	45	28	30	36	19	21	45	28	30	1.5322137E7	1.1003308E7	9488782.0	1726547.0	1718683.6	1643953.2	
sp|P21796|VDAC1_HUMAN	P21796	VDAC1_HUMAN	VDAC1	283	Homo sapiens OX=9606	1:Experimental evidence at protein level	Voltage-dependent anion-selective channel protein 1	0.9648	0.9972	1	1	1	1	1	0	0	1	0	0	1	0	0	459156.75	0.0	0.0	0.0	0.0	0.0	
sp|P22061|PIMT_HUMAN	P22061	PIMT_HUMAN	PCMT1	227	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	0.8782	0.9896	1	1	1	1	0	0	1	0	0	1	0	0	1	92898.3	0.0	80399.47	0.0	0.0	0.0	
sp|P22234|PUR6_HUMAN	P22234	PUR6_HUMAN	PAICS	425	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	1.0	0.9965	3	7	7	7	2	3	2	2	3	2	2	3	2	201064.34	598692.7	392621.22	0.0	225361.48	237368.94	
sp|P22314|UBA1_HUMAN	P22314	UBA1_HUMAN	UBA1	1058	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 1	1.0	0.9804	5	11	11	11	4	3	4	4	3	4	4	3	4	634861.44	605691.7	548514.0	149720.52	169630.7	155524.5	
sp|P22626|ROA2_HUMAN	P22626	ROA2_HUMAN	HNRNPA2B1	353	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins A2/B1	1.0	0.999	14	25	24	25	13	6	6	13	6	5	13	6	6	6788518.5	3189986.8	2915671.2	928401.8	1014408.1	997598.2	
sp|P23246|SFPQ_HUMAN	P23246	SFPQ_HUMAN	SFPQ	707	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor, proline- and glutamine-rich	1.0	0.9985	4	7	7	10	4	1	2	4	1	2	5	2	3	218035.22	329142.16	251448.31	146450.64	233214.36	179712.1	
sp|P23284|PPIB_HUMAN	P23284	PPIB_HUMAN	PPIB	216	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase B	1.0	0.9986	6	15	15	15	6	5	4	6	5	4	6	5	4	1178197.2	1026814.4	918944.6	439269.3	497880.62	431446.22	
sp|P23396|RS3_HUMAN	P23396	RS3_HUMAN	RPS3	243	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S3	1.0	0.9955	4	8	8	8	4	2	2	4	2	2	4	2	2	402351.47	416121.0	327597.94	164047.0	151002.44	143699.06	
sp|P23528|COF1_HUMAN	P23528	COF1_HUMAN	CFL1	166	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cofilin-1	1.0	0.999	9	17	12	17	10	4	3	7	3	2	10	4	3	3840880.8	2447746.5	1841141.2	2631789.0	1533401.0	1261892.2	
sp|P23919|KTHY_HUMAN	P23919	KTHY_HUMAN	DTYMK	212	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thymidylate kinase	0.7934	0.9806	1	1	1	1	0	0	1	0	0	1	0	0	1	37933.188	63383.6	57122.77	0.0	0.0	0.0	
sp|P24534|EF1B_HUMAN	P24534	EF1B_HUMAN	EEF1B2	225	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 1-beta	1.0	0.9908	2	3	3	3	2	0	1	2	0	1	2	0	1	168193.47	89404.54	100153.65	0.0	0.0	0.0	
sp|P24539|AT5F1_HUMAN	P24539	AT5F1_HUMAN	ATP5PB	256	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase F(0) complex subunit B1, mitochondrial	0.9445	0.9956	1	3	3	3	1	1	1	1	1	1	1	1	1	129709.54	125433.79	121842.66	0.0	0.0	0.0	
sp|P25205|MCM3_HUMAN	P25205	MCM3_HUMAN	MCM3	808	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA replication licensing factor MCM3	1.0	0.9741	2	2	2	2	0	2	0	0	2	0	0	2	0	57141.797	147913.31	74996.195	0.0	0.0	0.0	
sp|P25398|RS12_HUMAN	P25398	RS12_HUMAN	RPS12	132	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S12	1.0	0.9986	2	4	4	4	2	1	1	2	1	1	2	1	1	298772.78	184545.92	190814.5	0.0	0.0	0.0	
sp|P25705|ATPA_HUMAN	P25705	ATPA_HUMAN	ATP5F1A	553	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit alpha, mitochondrial	1.0	0.9988	9	21	21	21	8	7	6	8	7	6	8	7	6	1154630.6	953343.6	768591.5	335934.53	215343.81	217409.7	
sp|P25786|PSA1_HUMAN	P25786	PSA1_HUMAN	PSMA1	263	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-1	1.0	0.987	3	8	8	8	2	3	3	2	3	3	2	3	3	198188.12	436604.06	379265.78	129178.69	189362.38	166323.64	
sp|P25789|PSA4_HUMAN	P25789	PSA4_HUMAN	PSMA4	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-4	1.0	0.9903	3	4	4	4	1	2	1	1	2	1	1	2	1	141806.34	131351.7	136769.28	78868.51	72876.45	75156.02	
sp|P26038|MOES_HUMAN	P26038	MOES_HUMAN	MSN	577	Homo sapiens OX=9606	1:Experimental evidence at protein level	Moesin	1.0	0.9983	14	35	27	35	11	12	12	8	9	10	11	12	12	3310674.8	2363649.0	2467909.2	603847.7	500646.84	555081.56	
sp|P26373|RL13_HUMAN	P26373	RL13_HUMAN	RPL13	211	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L13	1.0	0.9989	3	10	10	10	2	4	4	2	4	4	2	4	4	1593609.8	1234237.9	1190507.8	997042.1	812950.9	899580.2	
sp|P26447|S10A4_HUMAN	P26447	S10A4_HUMAN	S100A4	101	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A4	1.0	0.9975	5	17	17	17	6	4	7	6	4	7	6	4	7	1403200.8	1604238.9	1968892.9	463283.8	590580.4	540607.94	
